questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_AL_001,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F01_CLAIMS_HAVE_SCOPE,AL_FAM01_CLAIM_SCOPE,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"The statement ""Some laptops have a touchscreen"" is about which part of the group?",Every laptop,"At least one laptop, and possibly all of them",Exactly half the laptops,Most laptops but not all,B,"At least one laptop, and possibly all of them","""Some"" claims that at least one exists and stops there; it neither promises the rest do not nor fixes how many do. Reading it as ""some but not all"" adds a claim the statement never made.",AUTHORED,
GB_AL_002,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F01_CLAIMS_HAVE_SCOPE,AL_FAM01_CLAIM_SCOPE,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"The statement ""All servers in this room are switched on"" is about which part of the group?",Most of the servers in the room,At least one server in the room,The servers in the room and in every other room,"Every server in the room, without exception",D,"Every server in the room, without exception","""All"" covers each member of the named group and no more. It is stronger than ""some"" and narrower than a claim about servers everywhere.",AUTHORED,
GB_AL_003,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F01_CLAIMS_HAVE_SCOPE,AL_FAM01_CLAIM_SCOPE,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"The statement ""No tablet in the store has a keyboard"" is about which part of the group?","Every tablet in the store, each of which lacks a keyboard",At least one tablet in the store lacks a keyboard,Most tablets in the store lack a keyboard,Tablets everywhere lack keyboards,A,"Every tablet in the store, each of which lacks a keyboard","A ""none"" claim is as sweeping as an ""all"" claim, applied to the absence rather than the presence. Weakening it to ""at least one"" loses exactly what it asserts.",AUTHORED,
GB_AL_004,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F01_CLAIMS_HAVE_SCOPE,AL_FAM01_CLAIM_SCOPE,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"Which of these statements is the weakest — that is, claims the least?",All of the machines are new,None of the machines are new,Some of the machines are new,All but one of the machines are new,C,Some of the machines are new,"A claim is weaker when fewer situations would make it false, and ""some"" is satisfied by a single new machine. Each of the others rules out many more possibilities.",AUTHORED,
GB_AL_005,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F01_CLAIMS_HAVE_SCOPE,AL_FAM01_CLAIM_SCOPE,AL_RG_STATEMENTS,D2,REMEMBER,mcq_single,"A report says ""Some of the tests failed"". A reader concludes that some of the tests passed. Is that conclusion warranted?","Yes; ""some"" always means ""some but not all""","No; ""some failed"" leaves open that all of them failed",Yes; a test that did not fail must have passed,No; nothing at all follows about the tests,B,"No; ""some failed"" leaves open that all of them failed","The word ""some"" guarantees at least one and says nothing about the rest, so every test failing is consistent with it. Something does follow — at least one failure — so it is not true that nothing follows.",AUTHORED,
GB_AL_006,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F02_NEGATION_HAS_A_FORM,AL_FAM02_NEGATION_FORM,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"What exactly denies the claim ""All the files were copied""?",No files were copied,Most of the files were not copied,All the files were deleted,At least one file was not copied,D,At least one file was not copied,"To deny that every file was copied, one exception is enough. Claiming none were copied is far stronger than the denial requires, and would itself be a new claim needing its own support.",AUTHORED,
GB_AL_007,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F02_NEGATION_HAS_A_FORM,AL_FAM02_NEGATION_FORM,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"What exactly denies the claim ""No student passed""?",At least one student passed,All students passed,Most students passed,Some students did not pass,A,At least one student passed,"A ""none"" claim is denied by a single case to the contrary. Asserting that all passed overshoots the denial, and ""some did not pass"" is consistent with the original rather than opposed to it.",AUTHORED,
GB_AL_008,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F02_NEGATION_HAS_A_FORM,AL_FAM02_NEGATION_FORM,AL_RG_STATEMENTS,D1,REMEMBER,mcq_single,"What exactly denies the claim ""Some of the readings are above the limit""?",Some of the readings are below the limit,Not all of the readings are above the limit,No reading is above the limit,Most of the readings are below the limit,C,No reading is above the limit,"Denying that at least one exists means asserting none do. The other options are all consistent with the original claim, so none of them contradicts it.",AUTHORED,
GB_AL_009,APTITUDE_REASONING_LOGIC,AL_C01_STATEMENTS,AL_F02_NEGATION_HAS_A_FORM,AL_FAM02_NEGATION_FORM,AL_RG_STATEMENTS,D2,REMEMBER,mcq_single,"Someone claims ""All the sensors are working"". A colleague replies ""That is false"". What has the colleague committed themselves to?",That no sensor is working,That at least one sensor is not working,That most sensors are not working,That the sensors cannot be checked,B,That at least one sensor is not working,"Calling a universal claim false commits you to one exception and nothing more. Taking on the stronger position — that none work — would need separate evidence, and is a common way an argument becomes harder to defend than it had to be.",AUTHORED,
GB_AL_010,APTITUDE_REASONING_LOGIC,AL_C02_SETS,AL_F03_GROUPS_CAN_OVERLAP,AL_FAM03_OVERLAP_RECOGNITION,AL_RG_SETS,D1,UNDERSTAND,mcq_single,"Given only ""Some programmers are designers"", what is settled about the two groups?",They overlap completely,Some programmers are definitely not designers,The two groups have nothing else in common,They overlap at least partly; nothing more is settled,D,They overlap at least partly; nothing more is settled,"The statement guarantees an overlap and fixes neither its size nor whether anything lies outside it. Every programmer being a designer is consistent with it, and so is almost none.",AUTHORED,
