questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_OM_001,OS_MEMORY,OM_C01_KINDS,OM_F01_WORKING_MEMORY_IS_NOT_STORAGE,OM_FAM01_MEMORY_VS_STORAGE,OM_RG_KINDS,D1,REMEMBER,mcq_single,A variable holding a running total is in use while a program runs. Where does it live?,"On disk, since the program was loaded from disk","In working memory, and it is lost when the program ends","On disk, because totals are important",In both places at once,B,"In working memory, and it is lost when the program ends",A value a program is using sits in working memory. Nothing puts it on disk unless the program deliberately writes it there.,AUTHORED,
GB_OM_002,OS_MEMORY,OM_C01_KINDS,OM_F01_WORKING_MEMORY_IS_NOT_STORAGE,OM_FAM01_MEMORY_VS_STORAGE,OM_RG_KINDS,D1,REMEMBER,mcq_single,A machine loses power while a program is running. What is lost?,"Everything, including files already saved","Nothing, since the machine will restore its state",Only the program itself,Whatever was only in working memory,D,Whatever was only in working memory,Working memory does not survive without power and storage does. Files already written are unaffected.,AUTHORED,
GB_OM_003,OS_MEMORY,OM_C01_KINDS,OM_F01_WORKING_MEMORY_IS_NOT_STORAGE,OM_FAM01_MEMORY_VS_STORAGE,OM_RG_KINDS,D1,REMEMBER,mcq_single,A document is opened in an editor and changed but not saved. Where do the changes exist?,In working memory only,"In storage, since the file was opened from there","In both, since editors save continuously",Nowhere until the editor is closed,A,In working memory only,The unsaved changes have not reached the file. Saving is what copies them from working memory into storage.,AUTHORED,
GB_OM_004,OS_MEMORY,OM_C01_KINDS,OM_F01_WORKING_MEMORY_IS_NOT_STORAGE,OM_FAM01_MEMORY_VS_STORAGE,OM_RG_KINDS,D1,REMEMBER,mcq_single,"Why is working memory used at all, when storage is much larger?",Because storage cannot hold running programs,Because working memory is more reliable,"Because it is far quicker to reach, which is what a running program needs",Because storage is only used for backups,C,"Because it is far quicker to reach, which is what a running program needs",Speed is the whole reason for the arrangement. Storage could hold everything and would be far too slow to work from directly.,AUTHORED,
GB_OM_005,OS_MEMORY,OM_C01_KINDS,OM_F01_WORKING_MEMORY_IS_NOT_STORAGE,OM_FAM01_MEMORY_VS_STORAGE,OM_RG_KINDS,D2,REMEMBER,mcq_single,A student says a file of two gigabytes cannot be processed on a machine with one gigabyte of working memory. What is wrong with the claim?,Nothing; the file will not fit and cannot be processed,"The file can be processed a piece at a time, so the whole of it need never be in memory at once",The file can be processed because memory expands as needed,The claim is right unless the file is compressed,B,"The file can be processed a piece at a time, so the whole of it need never be in memory at once","Only what is held simultaneously has to fit. Reading a line, dealing with it and moving on keeps the requirement tiny however large the file is.",AUTHORED,
GB_OM_006,OS_MEMORY,OM_C02_REGIONS,OM_F02_SOME_VALUES_ARE_TIED_TO_A_CALL,OM_FAM02_REGION_RECOGNITION,OM_RG_REGIONS,D1,REMEMBER,mcq_single,A value is needed only while one function call is in progress. Which region suits it?,The region for values outliving the call,"Storage, since the value is temporary",Either; the choice makes no difference,"The region tied to the call, released when the call returns",D,"The region tied to the call, released when the call returns",Lifetime is what decides. A value needed only for the duration of a call belongs where it is released automatically at the end of it.,AUTHORED,
GB_OM_007,OS_MEMORY,OM_C02_REGIONS,OM_F02_SOME_VALUES_ARE_TIED_TO_A_CALL,OM_FAM02_REGION_RECOGNITION,OM_RG_REGIONS,D1,REMEMBER,mcq_single,A value must still exist after the call that created it has returned. Which region suits it?,The region for values whose lifetime is not tied to a call,The region tied to the call,"Storage, since it must survive",Either; the value survives regardless,A,The region for values whose lifetime is not tied to a call,"The call-tied region is released when the call ends, which would take the value with it. Outliving a call means living somewhere the call does not control.",AUTHORED,
GB_OM_008,OS_MEMORY,OM_C02_REGIONS,OM_F02_SOME_VALUES_ARE_TIED_TO_A_CALL,OM_FAM02_REGION_RECOGNITION,OM_RG_REGIONS,D1,REMEMBER,mcq_single,What decides which of the two regions a value belongs in?,How large it is,What type it has,How long it must last,How often it is used,C,How long it must last,"Lifetime is the criterion. A small value that must outlive its call belongs in the longer-lived region, and a large one that need not can sit in the call-tied one.",AUTHORED,
GB_OM_009,OS_MEMORY,OM_C02_REGIONS,OM_F02_SOME_VALUES_ARE_TIED_TO_A_CALL,OM_FAM02_REGION_RECOGNITION,OM_RG_REGIONS,D2,REMEMBER,mcq_single,A student says large values always belong in the longer-lived region and small ones in the call-tied region. What is wrong with the rule?,Nothing; size is the correct criterion,"It uses size where lifetime is what matters, so it gets small long-lived values wrong",It is right except for values of exactly one byte,It is right for numbers and wrong for text,B,"It uses size where lifetime is what matters, so it gets small long-lived values wrong","The rule happens to work often, because large things are frequently long-lived. It fails exactly where the two criteria disagree, and those are the cases that cause faults.",AUTHORED,
GB_OM_010,OS_MEMORY,OM_C03_ADDRESSES,OM_F03_A_PROGRAM_ADDRESS_IS_NOT_A_HARDWARE_ADDRESS,OM_FAM03_ADDRESS_MEANING,OM_RG_ADDRESSES,D1,UNDERSTAND,mcq_single,"Two programs are running, and each holds a value at what it reports as the same address. Are they referring to the same memory?","Yes, since the addresses are identical","Yes, if the two programs were started together",It cannot be determined,No; each program has its own addresses,D,No; each program has its own addresses,"The addresses a program sees are its own, and identical numbers in two programs point at different physical memory. This is what makes isolation possible rather than magical.",AUTHORED,
GB_OM_011,OS_MEMORY,OM_C03_ADDRESSES,OM_F03_A_PROGRAM_ADDRESS_IS_NOT_A_HARDWARE_ADDRESS,OM_FAM03_ADDRESS_MEANING,OM_RG_ADDRESSES,D1,UNDERSTAND,mcq_single,A program prints an address and a developer wants to inspect that location from another program. What is the difficulty?,The address means something only within the program that printed it,Addresses cannot be printed,The address will have changed by the time it is read,There is no difficulty; the address is universal,A,The address means something only within the program that printed it,Handing the number to another program hands it a number that means something else there. Inspecting it requires going through the first program.,AUTHORED,
GB_OM_012,OS_MEMORY,OM_C03_ADDRESSES,OM_F03_A_PROGRAM_ADDRESS_IS_NOT_A_HARDWARE_ADDRESS,OM_FAM03_ADDRESS_MEANING,OM_RG_ADDRESSES,D1,UNDERSTAND,mcq_single,What does a program address actually refer to?,A fixed location in the physical memory chips,A position on disk,A location within that program own view of memory,A position in the list of running programs,C,A location within that program own view of memory,"The program view is translated to physical memory by the system, and the program never sees the physical location. That translation is what keeps programs apart.",AUTHORED,
GB_OM_013,OS_MEMORY,OM_C03_ADDRESSES,OM_F03_A_PROGRAM_ADDRESS_IS_NOT_A_HARDWARE_ADDRESS,OM_FAM03_ADDRESS_MEANING,OM_RG_ADDRESSES,D2,UNDERSTAND,mcq_single,A program is run twice and prints a different address for the same variable each time. Is something wrong?,Yes; the same variable should always have the same address,No; where the program view is placed can differ between runs,Yes; the program is corrupting its own memory,"No, but only because the machine was restarted",B,No; where the program view is placed can differ between runs,"Nothing guarantees the same placement from one run to the next, and some systems deliberately vary it. An address is meaningful within a run rather than across runs.",AUTHORED,
GB_OM_014,OS_MEMORY,OM_C02_REGIONS,OM_F04_LIFETIME_IS_DECIDED_BY_HOW_IT_WAS_OBTAINED,OM_FAM04_LIFETIME_REASONING,OM_RG_REGIONS,D2,UNDERSTAND,mcq_single,A value is placed in the call-tied region during a function call. When is that memory released?,When the value is last used,When the program ends,When the memory is needed by something else,When the call returns,D,When the call returns,The release happens at the end of the call regardless of whether the value was still wanted. That automatic release is what the region is for.,AUTHORED,
GB_OM_015,OS_MEMORY,OM_C02_REGIONS,OM_F04_LIFETIME_IS_DECIDED_BY_HOW_IT_WAS_OBTAINED,OM_FAM04_LIFETIME_REASONING,OM_RG_REGIONS,D3,UNDERSTAND,mcq_single,"In a language that does not reclaim memory automatically, a value is obtained in the longer-lived region and the program stops referring to it. When is that memory released?",Only when the program explicitly releases it,When the last reference to it disappears,When the enclosing call returns,"Immediately, since nothing refers to it",A,Only when the program explicitly releases it,"Without automatic reclamation, no longer referring to memory does not free it. The memory stays held for as long as the program runs unless it is released deliberately.",AUTHORED,
GB_OM_016,OS_MEMORY,OM_C04_CALL_DEPTH,OM_F05_EACH_CALL_TAKES_ITS_OWN_SPACE,OM_FAM05_CALL_DEPTH_EFFECT,OM_RG_DEPTH,D2,UNDERSTAND,mcq_single,"A function calls a second, which calls a third. While the third is running, how many calls are holding space?","One, the innermost","One, the outermost","Three, since all three are still in progress","None, until they return",C,"Three, since all three are still in progress","A call that has not returned still holds its own space. All three are in progress at once, so all three are holding.",AUTHORED,
GB_OM_017,OS_MEMORY,OM_C04_CALL_DEPTH,OM_F05_EACH_CALL_TAKES_ITS_OWN_SPACE,OM_FAM05_CALL_DEPTH_EFFECT,OM_RG_DEPTH,D3,UNDERSTAND,mcq_single,A function calls itself a thousand times before any call returns. What does that do to the call-tied region?,"Only one call holds space, since it is the same function","A thousand calls hold space simultaneously, which may exhaust it",Space is released as each call is entered,"Nothing, since the region grows without limit",B,"A thousand calls hold space simultaneously, which may exhaust it","Being the same function does not merge the calls; each has its own space. The region is considerably smaller than memory as a whole, which is why depth exhausts it first.",AUTHORED,
GB_OM_018,OS_MEMORY,OM_C05_RELEASE,OM_F06_MEMORY_NOT_GIVEN_BACK_IS_STILL_HELD,OM_FAM06_RELEASE_EFFECT,OM_RG_RELEASE,D2,APPLY,mcq_single,"In a language that reclaims memory automatically, a program stops referring to a large structure. What happens to the memory?",It stays held until the program ends,It is released the instant the last reference disappears,It must be released explicitly by the program,It becomes available again once the system notices nothing refers to it,D,It becomes available again once the system notices nothing refers to it,"Automatic reclamation notices unreachable memory and takes it back, though not necessarily at the moment the last reference goes. The timing is the system decision rather than the program.",AUTHORED,
GB_OM_019,OS_MEMORY,OM_C05_RELEASE,OM_F06_MEMORY_NOT_GIVEN_BACK_IS_STILL_HELD,OM_FAM06_RELEASE_EFFECT,OM_RG_RELEASE,D3,APPLY,mcq_single,"In a language that reclaims automatically, a program keeps every structure it has ever created in a list it never empties. Is that memory reclaimed?","No; the list still refers to them, so nothing is unreachable","Yes, since the program has finished using them","Yes, once memory runs short","No, because automatic reclamation does not work on lists",A,"No; the list still refers to them, so nothing is unreachable","Reclamation acts on what nothing refers to, and the list refers to everything. This is how a language that reclaims automatically still runs out of memory.",AUTHORED,
GB_OM_020,OS_MEMORY,OM_C05_RELEASE,OM_F06_MEMORY_NOT_GIVEN_BACK_IS_STILL_HELD,OM_FAM06_RELEASE_EFFECT,OM_RG_RELEASE,D4,APPLY,mcq_single,"In a language that does not reclaim automatically, a function obtains memory each time it runs and never releases it. The function is called once per request. The language does not reclaim automatically and the function releases nothing it obtains. What happens over a day?",Memory is reclaimed when each call returns,Memory is reclaimed when the request finishes,Memory held rises with every request and is never given back,Nothing; memory obtained once is reused on later calls,C,Memory held rises with every request and is never given back,The call returning releases the call-tied region and not memory obtained for an indefinite lifetime. One request is unnoticeable and a day of requests is not.,AUTHORED,
GB_OM_021,OS_MEMORY,OM_C06_PRESSURE,OM_F07_MORE_MEMORY_THAN_EXISTS_IS_BORROWED_FROM_STORAGE,OM_FAM07_PRESSURE_EFFECT,OM_RG_PRESSURE,D2,APPLY,mcq_single,Programs on a machine together want more memory than the machine physically has. What happens?,The newest program is refused and stopped,"Some of it is kept in storage and fetched back when needed, which is much slower",Every program is given an equal share and none exceeds it,The machine stops immediately,B,"Some of it is kept in storage and fetched back when needed, which is much slower","Borrowing space from storage lets the machine keep going and costs a great deal of speed. Refusal comes later, if at all.",AUTHORED,
GB_OM_022,OS_MEMORY,OM_C06_PRESSURE,OM_F07_MORE_MEMORY_THAN_EXISTS_IS_BORROWED_FROM_STORAGE,OM_FAM07_PRESSURE_EFFECT,OM_RG_PRESSURE,D3,APPLY,mcq_single,"A machine short of memory becomes very slow, and a team checks and finds the processor is busy. Does that rule out memory as the cause?",Yes; a busy processor means the processor is the bottleneck,Yes; memory problems leave the processor idle,"No, but only if the machine has one processor",No; moving memory to and from storage keeps the processor busy,D,No; moving memory to and from storage keeps the processor busy,The processor being busy is consistent with memory pressure rather than evidence against it. What it is busy doing is the question worth asking.,AUTHORED,
GB_OM_023,OS_MEMORY,OM_C06_PRESSURE,OM_F07_MORE_MEMORY_THAN_EXISTS_IS_BORROWED_FROM_STORAGE,OM_FAM07_PRESSURE_EFFECT,OM_RG_PRESSURE,D4,APPLY,mcq_single,"A machine becomes slow at everything at once — unrelated programs, the interface, commands that normally return instantly. Every program on the machine is affected rather than one, and nothing was deployed. Which cause fits?","Memory pressure, since it degrades everything on the machine rather than one program","A fault in one program, which is consuming the processor",A slow disk affecting one program,A network problem,A,"Memory pressure, since it degrades everything on the machine rather than one program",A single program consuming the processor leaves other work slower and not uniformly unresponsive. Everything degrading together points at a resource everything depends on.,AUTHORED,
GB_OM_024,OS_MEMORY,OM_C03_ADDRESSES,OM_F08_SHARING_IS_ARRANGED_RATHER_THAN_AUTOMATIC,OM_FAM08_SHARING_REASONING,OM_RG_ADDRESSES,D2,APPLY,mcq_single,Two separate programs each hold a counter and one increments its own. Does the other see the change?,"Yes, since both run on the same machine","Yes, if the two counters have the same name",No; each has its own memory unless sharing was arranged,Only after both programs finish,C,No; each has its own memory unless sharing was arranged,Separate programs see separate memory by default. Sharing between them is something that has to be set up deliberately.,AUTHORED,
GB_OM_025,OS_MEMORY,OM_C03_ADDRESSES,OM_F08_SHARING_IS_ARRANGED_RATHER_THAN_AUTOMATIC,OM_FAM08_SHARING_REASONING,OM_RG_ADDRESSES,D3,APPLY,mcq_single,"A program is started twice, and each run keeps a list. One run adds an item. Does the other run see it?","Yes, since both are running the same program",No; the two runs are separate and have separate memory,"Yes, since the list has the same name in both",Only if the two were started at the same moment,B,No; the two runs are separate and have separate memory,Sharing a program does not mean sharing memory. Each run is its own process with its own view of memory.,AUTHORED,
GB_OM_026,OS_MEMORY,OM_C03_ADDRESSES,OM_F08_SHARING_IS_ARRANGED_RATHER_THAN_AUTOMATIC,OM_FAM08_SHARING_REASONING,OM_RG_ADDRESSES,D4,APPLY,mcq_single,"A team runs four copies of a service to handle more load, and finds that a value cached by one copy is not seen by the other three. The four copies are separate programs and no sharing was arranged between them. Why?",The cache is expiring too quickly,The four copies are interfering with one another,The value was never cached at all,"Each copy has its own memory, so a cache in one is invisible to the rest",D,"Each copy has its own memory, so a cache in one is invisible to the rest","This is the ordinary consequence of running separate copies, and it surprises teams because the code is identical. A cache shared between them has to live somewhere all four can reach.",AUTHORED,
GB_OM_027,OS_MEMORY,OM_C07_FOOTPRINT,OM_F09_THE_NEED_FOLLOWS_FROM_WHAT_IS_HELD_AT_ONCE,OM_FAM09_FOOTPRINT_REASONING,OM_RG_FOOTPRINT,D2,APPLY,mcq_single,"A program reads a large file one line at a time, dealing with each line and keeping nothing. What decides how much memory it needs?",The size of the largest single line,The size of the whole file,The number of lines in the file,The time the program takes to run,A,The size of the largest single line,"Only one line is held at any moment, so that is what has to fit. The total processed can be far larger than the memory available.",AUTHORED,
GB_OM_028,OS_MEMORY,OM_C07_FOOTPRINT,OM_F09_THE_NEED_FOLLOWS_FROM_WHAT_IS_HELD_AT_ONCE,OM_FAM09_FOOTPRINT_REASONING,OM_RG_FOOTPRINT,D3,APPLY,mcq_single,A program reads the same large file by loading all of it into a list first. What decides how much memory it needs now?,The size of the largest single line,The number of lines only,The size of the whole file,Nothing; the requirement is the same either way,C,The size of the whole file,Holding everything at once means everything has to fit. The two approaches process identical data and have completely different requirements.,AUTHORED,
GB_OM_029,OS_MEMORY,OM_C07_FOOTPRINT,OM_F09_THE_NEED_FOLLOWS_FROM_WHAT_IS_HELD_AT_ONCE,OM_FAM09_FOOTPRINT_REASONING,OM_RG_FOOTPRINT,D4,APPLY,mcq_single,A program processes ten gigabytes of records and runs comfortably on a machine with two gigabytes of memory. A colleague says this is impossible. The program holds one record at a time and discards each before reading the next. Is it possible?,No; ten gigabytes cannot be processed with two,Yes; what must fit is what is held at once rather than what is processed in total,"Yes, but only because the records are compressed","Yes, but only if the machine borrows from storage",B,Yes; what must fit is what is held at once rather than what is processed in total,"The total processed and the amount held simultaneously are different quantities, and only the second has to fit. Borrowing from storage is not needed here and would be slow if it were.",AUTHORED,
GB_OM_030,OS_MEMORY,OM_C06_PRESSURE,OM_F10_RUNNING_OUT_HAS_RECOGNISABLE_SYMPTOMS,OM_FAM10_EXHAUSTION_SYMPTOM,OM_RG_PRESSURE,D2,APPLY,mcq_single,A program disappears with no message while doing memory-intensive work. What is one plausible explanation?,The program finished successfully,The program is still running but hidden,The user must have stopped it,The system stopped it because memory ran out,D,The system stopped it because memory ran out,A process stopped from outside because memory ran short leaves no message of its own. The silence is what makes this hard to recognise.,AUTHORED,
GB_OM_031,OS_MEMORY,OM_C06_PRESSURE,OM_F10_RUNNING_OUT_HAS_RECOGNISABLE_SYMPTOMS,OM_FAM10_EXHAUSTION_SYMPTOM,OM_RG_PRESSURE,D3,APPLY,mcq_single,A program reports that it could not obtain memory and continues running in a reduced way. What has happened?,"A request for memory was refused, and the program handled the refusal",The program was stopped by the system and restarted,The machine has no memory left at all,The program is about to be stopped,A,"A request for memory was refused, and the program handled the refusal","A refused request is a different symptom from being stopped, and it is one the program can respond to. Being stopped from outside gives it no such opportunity.",AUTHORED,
GB_OM_032,OS_MEMORY,OM_C06_PRESSURE,OM_F10_RUNNING_OUT_HAS_RECOGNISABLE_SYMPTOMS,OM_FAM10_EXHAUSTION_SYMPTOM,OM_RG_PRESSURE,D4,APPLY,mcq_single,"A service disappears every few days with no message in its own log, and the machine log records that the system stopped it. The service own log ends mid-operation and the system log records the system stopping it. What does this indicate?",The service crashed and failed to log the crash,The service stopped itself deliberately,"The system stopped it from outside, most likely because memory ran short",The machine restarted,C,"The system stopped it from outside, most likely because memory ran short","A service that crashed would usually record something, and one stopped from outside cannot. The two logs together distinguish the cases.",AUTHORED,
GB_OM_033,OS_MEMORY,OM_C08_FAULTS,OM_F11_STEADY_GROWTH_MEANS_SOMETHING_IS_NEVER_RELEASED,OM_FAM11_GROWTH_DIAGNOSIS,OM_RG_FAULTS,D3,ANALYZE,mcq_single,A service memory use rises steadily over a week under constant load and never falls. What does that indicate?,Normal behaviour under sustained load,Something is being obtained repeatedly and never released,A cache filling up,Increasing traffic,B,Something is being obtained repeatedly and never released,"Load is constant, so rising demand does not explain it. Growth that never levels off is the signature of memory that is never given back.",AUTHORED,
GB_OM_034,OS_MEMORY,OM_C08_FAULTS,OM_F11_STEADY_GROWTH_MEANS_SOMETHING_IS_NEVER_RELEASED,OM_FAM11_GROWTH_DIAGNOSIS,OM_RG_FAULTS,D4,ANALYZE,mcq_single,A service memory use rises quickly for two hours after each restart and then stays flat for days. A team plans to spend a week hunting a leak. Memory rises and then levels off rather than continuing to rise. What does the pattern indicate?,A leak that pauses when the machine is busy,A leak that is being partly reclaimed,Memory pressure from other programs,"A cache filling to its limit, which is not a leak",D,"A cache filling to its limit, which is not a leak","A leak does not stop. Levelling off is what a bounded cache does, and the week would have been spent looking for something that is not there.",AUTHORED,
GB_OM_035,OS_MEMORY,OM_C08_FAULTS,OM_F12_UNBOUNDED_DEPTH_EXHAUSTS_THE_CALL_REGION,OM_FAM12_DEPTH_EXHAUSTION_DIAGNOSIS,OM_RG_DEPTH,D3,ANALYZE,mcq_single,"A program fails within a second of starting, on an input of five items, on a machine with plenty of free memory. It uses a function that calls itself. What is the likely cause?","The function is calling itself without ever stopping, exhausting the call-tied region",The machine is short of memory,The input is too large,Memory is leaking over time,A,"The function is calling itself without ever stopping, exhausting the call-tied region","Failing at once on five items rules out both a shortage and a leak, since neither would act that fast on that little. A call chain with no end exhausts a small region very quickly.",AUTHORED,
GB_OM_036,OS_MEMORY,OM_C08_FAULTS,OM_F12_UNBOUNDED_DEPTH_EXHAUSTS_THE_CALL_REGION,OM_FAM12_DEPTH_EXHAUSTION_DIAGNOSIS,OM_RG_DEPTH,D4,ANALYZE,mcq_single,"A program processing a list of three items fails immediately, while the machine reports fifteen gigabytes free. A colleague proposes adding memory. The input is three items and fifteen gigabytes are free, so the machine is not short of memory. What is the fault?",A memory leak that has consumed the available memory,The machine is short of memory despite what it reports,"A call chain with no end, which exhausts the small call-tied region regardless of free memory",The three items are unusually large,C,"A call chain with no end, which exhausts the small call-tied region regardless of free memory","Adding memory would not touch the region that is actually full, which is sized separately and is far smaller. The failure being instant on three items is what points at depth.",AUTHORED,
GB_OM_037,OS_MEMORY,OM_C09_PERFORMANCE,OM_F13_SLOWNESS_CAN_COME_FROM_MEMORY,OM_FAM13_SLOWDOWN_REASONING,OM_RG_PRESSURE,D3,ANALYZE,mcq_single,One program on a machine is slow and everything else is normal. Does memory pressure explain it?,Yes; the program must be the one short of memory,No; memory pressure would slow the whole machine rather than one program,Yes; other programs may have enough memory,It cannot be decided,B,No; memory pressure would slow the whole machine rather than one program,Borrowing from storage affects everything competing for memory. A single slow program points somewhere within that program.,AUTHORED,
