questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PB_001,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F01_THE_SAMPLE_SPACE_LISTS_EVERY_OUTCOME,PB_FAM01_SAMPLE_SPACE,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,A fair coin is tossed once. What outcomes could it produce?,Heads only,Heads and tails,"Heads, tails and neither",The number of times it was tossed,B,Heads and tails,"A single toss produces heads or tails, and those two possibilities are the whole of what could happen. Nothing else belongs on the list.",AUTHORED,
GB_PB_002,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F01_THE_SAMPLE_SPACE_LISTS_EVERY_OUTCOME,PB_FAM01_SAMPLE_SPACE,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,An ordinary six-sided die is rolled once. How many different outcomes are possible?,1,12,36,6,D,6,"Each face is one outcome and there are six faces, so the answer is 6. Twelve and thirty-six belong to two dice rather than one.",AUTHORED,
GB_PB_003,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F01_THE_SAMPLE_SPACE_LISTS_EVERY_OUTCOME,PB_FAM01_SAMPLE_SPACE,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,"A bag holds one red, one blue and one green ball, and a single ball is taken out. What could the result be?","Red, blue or green",Red or blue only,"Red, blue, green, or no ball at all",The number of balls left in the bag,A,"Red, blue or green","Three balls give three possible results, one for each colour. Drawing nothing is not among them, because a ball is taken.",AUTHORED,
GB_PB_004,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F01_THE_SAMPLE_SPACE_LISTS_EVERY_OUTCOME,PB_FAM01_SAMPLE_SPACE,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,What does a sample space set out?,Only the outcomes that are reasonably likely,Only the outcomes somebody is interested in,"Every outcome that could occur, each appearing once",The probability attached to each outcome,C,"Every outcome that could occur, each appearing once",Completeness is the point: leaving out an unlikely outcome makes every probability computed from the list wrong. The probabilities themselves are a separate matter.,AUTHORED,
GB_PB_005,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F01_THE_SAMPLE_SPACE_LISTS_EVERY_OUTCOME,PB_FAM01_SAMPLE_SPACE,PB_RG_OUTCOMES,D2,REMEMBER,mcq_single,"Two coins are tossed. A student says there are three possible results: two heads, two tails, and one of each. What has been missed?",Nothing; there really are three possible results,"One of each can happen in two distinct ways, so there are four results rather than three",The result where neither coin lands at all,"Nothing, since the order of the two coins does not matter",B,"One of each can happen in two distinct ways, so there are four results rather than three","Head-then-tail and tail-then-head are different results even when nobody cares which coin did which. Collapsing them makes one of each look as likely as two heads, and it is twice as likely.",AUTHORED,
GB_PB_006,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F02_AN_EVENT_IS_A_GROUP_OF_OUTCOMES,PB_FAM02_EVENT_RECOGNITION,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,An ordinary die is rolled. Which results make up the event described as an even number?,"1, 3 and 5",2 and 4,Every result from 1 to 6,"2, 4 and 6",D,"2, 4 and 6","Three of the six faces are even, so the event covers 2, 4 and 6. An event may hold several results at once, and this one holds three.",AUTHORED,
GB_PB_007,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F02_AN_EVENT_IS_A_GROUP_OF_OUTCOMES,PB_FAM02_EVENT_RECOGNITION,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,A card is taken from a pack holding only the numbers 1 to 10. The event of interest is described as more than 7. Which numbers does it cover?,"8, 9 and 10","7, 8, 9 and 10",9 and 10,1 to 7,A,"8, 9 and 10","More than 7 leaves 7 itself out and takes everything above it, giving 8, 9 and 10. The boundary value is where this kind of description is most often misread.",AUTHORED,
GB_PB_008,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F02_AN_EVENT_IS_A_GROUP_OF_OUTCOMES,PB_FAM02_EVENT_RECOGNITION,PB_RG_OUTCOMES,D1,REMEMBER,mcq_single,How many results can a single event cover?,Exactly one,At least two,"Any number, from none of them up to all of them",At most half of what could happen,C,"Any number, from none of them up to all of them","An event is simply a group of results, and a group may be empty, may hold one, or may hold everything. Nothing restricts its size.",AUTHORED,
GB_PB_009,PROBABILITY_STATISTICS,PB_C01_OUTCOMES,PB_F02_AN_EVENT_IS_A_GROUP_OF_OUTCOMES,PB_FAM02_EVENT_RECOGNITION,PB_RG_OUTCOMES,D2,REMEMBER,mcq_single,"A die is rolled and the event is described as at least 3. A student lists 4, 5 and 6. What is wrong?",Nothing; at least 3 does mean above 3,"At least 3 takes in 3 itself, so the event is 3, 4, 5 and 6","The event should have been listed as 1, 2 and 3",At least 3 means exactly 3 and nothing else,B,"At least 3 takes in 3 itself, so the event is 3, 4, 5 and 6","At least includes the value named, and more than excludes it. One face is the whole of the difference, and it changes the probability from a half to two thirds.",AUTHORED,
GB_PB_010,PROBABILITY_STATISTICS,PB_C02_SCALE,PB_F03_PROBABILITIES_LIE_BETWEEN_ZERO_AND_ONE,PB_FAM03_VALID_PROBABILITY,PB_RG_SCALE,D1,REMEMBER,mcq_single,Which of these could not be a probability?,0,0.5,1,1.4,D,1.4,"Nothing can be more certain than certain, and 1 is certainty, so 1.4 is impossible. Zero and one are both perfectly ordinary probabilities.",AUTHORED,
