questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_BA_001,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F01_VARIABLES_TAKE_TWO_VALUES,BA_FAM01_VALUES_AND_VARIABLES,BA_RG_NOTATION,D1,REMEMBER,mcq_single,Which of these quantities can be held directly in a Boolean variable?,The number of items in a basket,Whether a switch is on,The temperature of a room,"A traffic light showing red, amber or green",B,Whether a switch is on,"A switch is on or it is not, which is exactly two states. The other three take more than two values and cannot be squeezed into one variable without losing something.",AUTHORED,
GB_BA_002,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F01_VARIABLES_TAKE_TWO_VALUES,BA_FAM01_VALUES_AND_VARIABLES,BA_RG_NOTATION,D1,REMEMBER,mcq_single,How many different values can a Boolean variable take?,One,Ten,Any number at all,Two,D,Two,A Boolean variable holds 0 or 1 and nothing else. Every operation in this algebra is defined on that basis.,AUTHORED,
GB_BA_003,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F01_VARIABLES_TAKE_TWO_VALUES,BA_FAM01_VALUES_AND_VARIABLES,BA_RG_NOTATION,D1,REMEMBER,mcq_single,A door sensor reports open or closed and nothing else. Can its reading be held in a Boolean variable?,"Yes, because it has exactly two states","No, because open and closed are words rather than numbers","No, because the reading changes over time",Only once the two states have been renamed 0 and 1,A,"Yes, because it has exactly two states","What matters is the number of states, not what they are called. Renaming them is a presentation choice made after the decision, not a condition on it.",AUTHORED,
GB_BA_004,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F01_VARIABLES_TAKE_TWO_VALUES,BA_FAM01_VALUES_AND_VARIABLES,BA_RG_NOTATION,D1,REMEMBER,mcq_single,An expression is built only from Boolean variables. What values can the expression itself take?,Any whole number,Any value between 0 and 1,Only 0 or 1,It depends how many variables it contains,C,Only 0 or 1,"Every operation in this algebra returns 0 or 1, so combining Boolean values can never produce anything else however long the expression grows.",AUTHORED,
GB_BA_005,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F01_VARIABLES_TAKE_TWO_VALUES,BA_FAM01_VALUES_AND_VARIABLES,BA_RG_NOTATION,D2,REMEMBER,mcq_single,"A student stores a traffic light state in one Boolean variable, reasoning that a light is either red or not red. What is lost?",Nothing; a light really is either red or not red,"The difference between amber and green, which both count as not red",The ability to record whether the light is red,The order in which the three colours follow each other,B,"The difference between amber and green, which both count as not red",The two-state reading is accurate and throws away two thirds of the information. Anything needing to act differently on amber and green cannot be built on this variable.,AUTHORED,
GB_BA_006,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F02_SYMBOLS_STAND_FOR_OPERATIONS,BA_FAM02_NOTATION_READING,BA_RG_NOTATION,D1,REMEMBER,mcq_single,In Boolean notation the plus sign stands for one of the operations. Which?,AND,NOT,Ordinary addition,OR,D,OR,The plus sign is borrowed from arithmetic and means OR here. Keeping the arithmetic reading is the single most productive mistake in the topic.,AUTHORED,
GB_BA_007,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F02_SYMBOLS_STAND_FOR_OPERATIONS,BA_FAM02_NOTATION_READING,BA_RG_NOTATION,D1,REMEMBER,mcq_single,"In Boolean algebra, what is 1 + 1?",1,2,0,10,A,1,"The plus is an OR, and an OR of two ones is 1. There is no value 2 anywhere in this algebra for the arithmetic answer to land on.",AUTHORED,
GB_BA_008,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F02_SYMBOLS_STAND_FOR_OPERATIONS,BA_FAM02_NOTATION_READING,BA_RG_NOTATION,D1,REMEMBER,mcq_single,"In Boolean notation, two variables written side by side as AB mean what?",A OR B,A multiplied by B in the ordinary sense,A AND B,A followed by B in time,C,A AND B,"Adjacency stands for the product, which in this algebra is AND. The notation is borrowed from arithmetic and the meaning is not.",AUTHORED,
GB_BA_009,BOOLEAN_ALGEBRA,BA_C01_NOTATION,BA_F02_SYMBOLS_STAND_FOR_OPERATIONS,BA_FAM02_NOTATION_READING,BA_RG_NOTATION,D2,REMEMBER,mcq_single,A student evaluates the Boolean expression 1 + 1 + 1 and writes 3. What has gone wrong?,Nothing; 1 + 1 + 1 really is 3,"The plus sign means OR here, and an OR comes to 1 as soon as any part is 1","The plus sign means AND, so the answer should be 1",The expression is not well formed and cannot be evaluated,B,"The plus sign means OR here, and an OR comes to 1 as soon as any part is 1","Adding more ones cannot push the value past 1, because the operation is not addition. The answer would be 1 for any number of terms.",AUTHORED,
GB_BA_010,BOOLEAN_ALGEBRA,BA_C02_GATES,BA_F03_EACH_GATE_HAS_ONE_BEHAVIOUR,BA_FAM03_GATE_BEHAVIOUR,BA_RG_GATES,D1,REMEMBER,mcq_single,An AND gate is given the inputs 1 and 0. What does it output?,1,Both 0 and 1,"Nothing, because the inputs disagree",0,D,0,"An AND gate outputs 1 only when every input is 1, so a single 0 forces the output to 0.",AUTHORED,
