questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_BR_001,BROWSER_FUNDAMENTALS,BR_C01_ROLE,BR_F01_BROWSER_REQUESTS_AND_RENDERS,BR_FAM01_BROWSER_ROLE,BR_RG_ROLE,D1,REMEMBER,mcq_single,Which of these does a browser do?,Stores every page on the web for offline use,Requests files and turns them into what appears on screen,Runs the server that holds the pages,Provides the connection between machines,B,Requests files and turns them into what appears on screen,"A browser asks for files and renders them. It holds only what it has recently fetched, the server runs elsewhere, and the network is what carries the request.",AUTHORED,
GB_BR_002,BROWSER_FUNDAMENTALS,BR_C01_ROLE,BR_F01_BROWSER_REQUESTS_AND_RENDERS,BR_FAM01_BROWSER_ROLE,BR_RG_ROLE,D1,REMEMBER,mcq_single,Is a browser the same thing as the internet?,Yes; the browser is how the internet is delivered,Yes; without a browser there is no internet,No; a browser is the internet plus the operating system,"No; a browser is one program for using the web, which is carried over the internet",D,"No; a browser is one program for using the web, which is carried over the internet",The internet connects machines and carries many services; a browser is a program that uses one of them. Email and file transfer travel over the same internet without a browser.,AUTHORED,
GB_BR_003,BROWSER_FUNDAMENTALS,BR_C01_ROLE,BR_F01_BROWSER_REQUESTS_AND_RENDERS,BR_FAM01_BROWSER_ROLE,BR_RG_ROLE,D1,REMEMBER,mcq_single,A page appears on screen. Which part did the browser do?,Fetched the files and drew the result,Wrote the page's content,Decided what the page should say,Stored the page permanently on the machine,A,Fetched the files and drew the result,The browser obtains and renders; the content was authored elsewhere and lives on a server. Anything kept locally is a temporary copy rather than the page itself.,AUTHORED,
GB_BR_004,BROWSER_FUNDAMENTALS,BR_C01_ROLE,BR_F01_BROWSER_REQUESTS_AND_RENDERS,BR_FAM01_BROWSER_ROLE,BR_RG_ROLE,D1,REMEMBER,mcq_single,Two different browsers open the same address and show slightly different results. How is that possible?,The server sent different pages to each,One of the two browsers is faulty,"Each browser renders the same files, and they may render some things differently",The address means something different in each browser,C,"Each browser renders the same files, and they may render some things differently","Rendering is the browser's own work, so two of them can turn identical files into slightly different pictures. Nothing about the address or the server changes between them.",AUTHORED,
GB_BR_005,BROWSER_FUNDAMENTALS,BR_C01_ROLE,BR_F01_BROWSER_REQUESTS_AND_RENDERS,BR_FAM01_BROWSER_ROLE,BR_RG_ROLE,D2,REMEMBER,mcq_single,"A browser is closed and reopened, and a page that was open loads again. Where did the page come from?","From the browser's memory, which survives being closed","From the server, or from a stored copy the browser kept — not from the browser's memory of it","From the operating system, which held the page","From the page itself, which reloads automatically",B,"From the server, or from a stored copy the browser kept — not from the browser's memory of it","Closing a browser ends what it was holding in memory, so the page has to be obtained again. Whether that means contacting the server depends on what was cached.",AUTHORED,
GB_BR_006,BROWSER_FUNDAMENTALS,BR_C02_URLS,BR_F02_URL_HAS_PARTS,BR_FAM02_URL_PARTS,BR_RG_ADDRESSES,D1,REMEMBER,mcq_single,"In the address https://shop.example.com/orders/42, which part is the host?",https,/orders/42,https://shop.example.com,shop.example.com,D,shop.example.com,The host names the machine to contact and stops before the first slash of the path. The scheme at the front says how to talk to it and is not part of its name.,AUTHORED,
GB_BR_007,BROWSER_FUNDAMENTALS,BR_C02_URLS,BR_F02_URL_HAS_PARTS,BR_FAM02_URL_PARTS,BR_RG_ADDRESSES,D1,REMEMBER,mcq_single,"In the same address, which part is the path?",/orders/42,shop.example.com,https,shop.example.com/orders,A,/orders/42,The path is what follows the host and names what is wanted from it. Including part of the host confuses which machine to ask with what to ask it for.,AUTHORED,
GB_BR_008,BROWSER_FUNDAMENTALS,BR_C02_URLS,BR_F02_URL_HAS_PARTS,BR_FAM02_URL_PARTS,BR_RG_ADDRESSES,D1,REMEMBER,mcq_single,"In the address https://docs.example.com/guide, what is docs?",The first segment of the path,The name of the file being requested,Part of the host name,A parameter passed to the server,C,Part of the host name,"Anything before the first single slash after the scheme belongs to the host, so docs is part of the machine's name. Reading it as a path segment would send the request to a different machine entirely.",AUTHORED,
GB_BR_009,BROWSER_FUNDAMENTALS,BR_C02_URLS,BR_F02_URL_HAS_PARTS,BR_FAM02_URL_PARTS,BR_RG_ADDRESSES,D2,REMEMBER,mcq_single,"What is a web address, in essence?",A type of memory used by the browser,An address identifying a resource and saying where to ask for it,A loop that fetches a page repeatedly,A part of the processor,B,An address identifying a resource and saying where to ask for it,"An address names what is wanted and the machine that has it, which is what lets a browser make a request at all.",LEGACY_REMAP,dec6fa
GB_BR_010,BROWSER_FUNDAMENTALS,BR_C03_DEVTOOLS,BR_F03_DEVTOOLS_SHOW_LIVE_STATE,BR_FAM03_DEVTOOLS_PURPOSE,BR_RG_TOOLS,D1,REMEMBER,mcq_single,Which question can a browser's developer tools answer?,What code the server runs to produce the page,What other users are seeing right now,What the page will look like tomorrow,Which files this page requested and whether each one arrived,D,Which files this page requested and whether each one arrived,"The tools show what this browser did and what it currently holds. Nothing about the server's own code is visible, because none of it is sent.",AUTHORED,
