questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_ID_001,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F01_DIFFERENT_QUESTIONS_HAVE_DIFFERENT_FEATURES,ID_FAM01_FEATURE_MATCH,ID_RG_FEATURES,D1,REMEMBER,mcq_single,A developer wants to know where a function was written. Which kind of feature answers that?,One that lists every place the name is used,One that jumps to where a name is defined,One that searches the project for matching text,One that renames the name everywhere,B,One that jumps to where a name is defined,Finding the definition and finding the uses are opposite questions. A text search would find both and force the developer to sort them out by eye.,AUTHORED,
GB_ID_002,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F01_DIFFERENT_QUESTIONS_HAVE_DIFFERENT_FEATURES,ID_FAM01_FEATURE_MATCH,ID_RG_FEATURES,D1,REMEMBER,mcq_single,A developer wants to know everywhere a function is called before changing it. Which kind of feature answers that?,One that jumps to where the name is defined,One that renames the name everywhere,One that reformats the file,One that reports every place the name is used,D,One that reports every place the name is used,The question is about uses rather than the definition. Renaming would change them rather than reporting them.,AUTHORED,
GB_ID_003,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F01_DIFFERENT_QUESTIONS_HAVE_DIFFERENT_FEATURES,ID_FAM01_FEATURE_MATCH,ID_RG_FEATURES,D1,REMEMBER,mcq_single,A developer wants to find every place a particular phrase appears in comments. Which kind of feature answers that?,One that searches for matching text,One that jumps to where a name is defined,One that reports where a name is used,One that renames a name everywhere,A,One that searches for matching text,"Comments carry no meaning the tool understands, so a text search is the right instrument. The meaning-aware features would ignore them entirely.",AUTHORED,
GB_ID_004,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F01_DIFFERENT_QUESTIONS_HAVE_DIFFERENT_FEATURES,ID_FAM01_FEATURE_MATCH,ID_RG_FEATURES,D1,REMEMBER,mcq_single,What distinguishes a text search from a search that understands the code?,One is faster than the other,One works on saved files and the other on open ones,One matches characters and the other matches the thing a name refers to,One is case sensitive and the other is not,C,One matches characters and the other matches the thing a name refers to,A text search finds a name inside a comment and inside a longer word. A meaning-aware search finds the specific thing and skips coincidental matches.,AUTHORED,
GB_ID_005,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F01_DIFFERENT_QUESTIONS_HAVE_DIFFERENT_FEATURES,ID_FAM01_FEATURE_MATCH,ID_RG_FEATURES,D2,REMEMBER,mcq_single,"A developer uses a text search to find every call to a function named ""run"" and receives hundreds of results. What accounts for that?",The function really is called hundreds of times,"The text appears inside longer words, comments and unrelated names",The search covered too many directories,The search was case insensitive,B,"The text appears inside longer words, comments and unrelated names",A short common name matches a great deal of text that has nothing to do with it. A meaning-aware usage report would have found only the calls.,AUTHORED,
GB_ID_006,IDE_PROFICIENCY,ID_C02_SEARCH_SCOPE,ID_F02_A_SEARCH_COVERS_A_STATED_SET_OF_FILES,ID_FAM02_SEARCH_SCOPE,ID_RG_SEARCH,D1,UNDERSTAND,mcq_single,A project-wide search returns no results for a name. What does that establish?,That the name does not appear in the project,That the name has been deleted,That the name was never used,That the name was not found in what the search covered,D,That the name was not found in what the search covered,A search reports on what it looked at. What it looked at is a separate question with its own answer.,AUTHORED,
GB_ID_007,IDE_PROFICIENCY,ID_C02_SEARCH_SCOPE,ID_F02_A_SEARCH_COVERS_A_STATED_SET_OF_FILES,ID_FAM02_SEARCH_SCOPE,ID_RG_SEARCH,D1,UNDERSTAND,mcq_single,A project excludes a directory of generated files from searching. A name used only there is searched for. What is reported?,"No results, because the excluded directory was not examined",The uses in the excluded directory,A warning that a directory was skipped,"An error, since the name exists",A,"No results, because the excluded directory was not examined","Exclusions are silent by design, so the search simply reports nothing. Knowing what is excluded is what makes an empty result interpretable.",AUTHORED,
GB_ID_008,IDE_PROFICIENCY,ID_C02_SEARCH_SCOPE,ID_F02_A_SEARCH_COVERS_A_STATED_SET_OF_FILES,ID_FAM02_SEARCH_SCOPE,ID_RG_SEARCH,D1,UNDERSTAND,mcq_single,Which question does an empty search result answer?,Whether the text exists anywhere in the project,Whether the text was ever used,Whether the text was found in the searched files,Whether the code compiles,C,Whether the text was found in the searched files,The result is about the files examined and nothing beyond them. Widening the claim is where the mistake gets made.,AUTHORED,
GB_ID_009,IDE_PROFICIENCY,ID_C02_SEARCH_SCOPE,ID_F02_A_SEARCH_COVERS_A_STATED_SET_OF_FILES,ID_FAM02_SEARCH_SCOPE,ID_RG_SEARCH,D2,UNDERSTAND,mcq_single,"A developer searches for a function name, finds no results, and deletes the function as unused. It breaks the build. What did the search fail to cover?",The definition of the function itself,Somewhere the name is used that the search did not examine,The comments in the project,The most recently edited files,B,Somewhere the name is used that the search did not examine,"Something used the function and the search did not look there — an excluded directory, a configuration file, or a name assembled at run time. The empty result was accurate and narrower than it appeared.",AUTHORED,
GB_ID_010,IDE_PROFICIENCY,ID_C03_INDICATORS,ID_F03_A_MARKER_IS_A_CLAIM_BY_A_TOOL,ID_FAM03_INDICATOR_MEANING,ID_RG_INDICATORS,D1,UNDERSTAND,mcq_single,A line is underlined in an editor with a note suggesting a shorter way to write it. What kind of claim is that?,A statement that the code will fail,A statement that the code will not compile,A statement that the code has been tested,"A style suggestion, not a statement that the code is wrong",D,"A style suggestion, not a statement that the code is wrong",Suggestions about how something is written are separate from claims that it is broken. Both appear as underlines and mean different things.,AUTHORED,
GB_ID_011,IDE_PROFICIENCY,ID_C03_INDICATORS,ID_F03_A_MARKER_IS_A_CLAIM_BY_A_TOOL,ID_FAM03_INDICATOR_MEANING,ID_RG_INDICATORS,D1,UNDERSTAND,mcq_single,A marker reports that a name cannot be found. What kind of claim is that?,"That the tool could not resolve the name, which usually means the code will not build",That the code is badly written,That the code is slow,That the code has not been saved,A,"That the tool could not resolve the name, which usually means the code will not build",An unresolvable name is a claim about correctness rather than style. It is the kind of marker worth acting on immediately.,AUTHORED,
GB_ID_012,IDE_PROFICIENCY,ID_C03_INDICATORS,ID_F03_A_MARKER_IS_A_CLAIM_BY_A_TOOL,ID_FAM03_INDICATOR_MEANING,ID_RG_INDICATORS,D1,UNDERSTAND,mcq_single,Two editors show different markers on the same file. What does that indicate?,That one of the two is faulty,That the file changed between the two,That the two are checking for different things,That one editor is a newer version,C,That the two are checking for different things,"A marker is one tool opinion, and different tools hold different opinions. Neither is a property of the code itself.",AUTHORED,
GB_ID_013,IDE_PROFICIENCY,ID_C03_INDICATORS,ID_F03_A_MARKER_IS_A_CLAIM_BY_A_TOOL,ID_FAM03_INDICATOR_MEANING,ID_RG_INDICATORS,D2,UNDERSTAND,mcq_single,A developer treats every underline in their editor as something that must be removed before committing. What is the weakness?,Nothing; a clean file is always better,Style suggestions and genuine faults are being treated as one thing,Underlines cannot be removed,The editor will re-add them anyway,B,Style suggestions and genuine faults are being treated as one thing,Some markers report code that will not build and others express a preference. Treating them alike either wastes time or lets a real fault through in the noise.,AUTHORED,
GB_ID_014,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F04_FOLLOWING_A_SYMBOL_GOES_WHERE_THE_TOOL_BELIEVES_IT_IS_DEFINED,ID_FAM04_DEFINITION_LOOKUP,ID_RG_FEATURES,D2,UNDERSTAND,mcq_single,A developer follows a function name to its definition and arrives somewhere. What has the tool done?,Searched the project for matching text,Guessed based on the file currently open,Taken them to the first definition alphabetically,Taken them to where it worked out the name is defined,D,Taken them to where it worked out the name is defined,"The jump rests on the tool understanding of the code. That understanding can be wrong, which is why the destination is worth glancing at.",AUTHORED,
GB_ID_015,IDE_PROFICIENCY,ID_C01_CAPABILITIES,ID_F04_FOLLOWING_A_SYMBOL_GOES_WHERE_THE_TOOL_BELIEVES_IT_IS_DEFINED,ID_FAM04_DEFINITION_LOOKUP,ID_RG_FEATURES,D3,UNDERSTAND,mcq_single,"Two different modules each define a function with the same name, and a developer follows one call. What determines where they land?",Which definition the tool has worked out this call refers to,Which definition appears first in the project,Which file was most recently edited,Which module has the shorter name,A,Which definition the tool has worked out this call refers to,"The tool resolves the call the way the language would, and lands on that one. Where two definitions genuinely could apply, some tools offer a choice instead.",AUTHORED,
GB_ID_016,IDE_PROFICIENCY,ID_C04_REFERENCES,ID_F05_A_USAGE_SEARCH_MISSES_INDIRECT_USES,ID_FAM05_USAGE_COMPLETENESS,ID_RG_SEARCH,D2,UNDERSTAND,mcq_single,A usage report lists eight places a function is called. What does it establish?,That the function is called exactly eight times,That the function is called from eight files,That the tool found eight; whether there are others depends on what it could see,That the function is safe to change,C,That the tool found eight; whether there are others depends on what it could see,The report covers what the tool understood. Calls constructed at run time or made from configuration are outside what it can resolve.,AUTHORED,
GB_ID_017,IDE_PROFICIENCY,ID_C04_REFERENCES,ID_F05_A_USAGE_SEARCH_MISSES_INDIRECT_USES,ID_FAM05_USAGE_COMPLETENESS,ID_RG_SEARCH,D3,UNDERSTAND,mcq_single,A project calls some functions by name assembled from a string at run time. A usage report for one such function shows no results. What follows?,The function is genuinely unused,"The report cannot see calls of that kind, so the absence proves nothing",The report has failed and should be run again,The function is called from a different project,B,"The report cannot see calls of that kind, so the absence proves nothing",A name that only exists as text at run time is invisible to a meaning-aware search. A plain text search would find the string.,AUTHORED,
GB_ID_018,IDE_PROFICIENCY,ID_C05_RENAME,ID_F06_A_RENAME_REACHES_WHAT_THE_TOOL_UNDERSTOOD,ID_FAM06_RENAME_REACH,ID_RG_RENAME,D2,APPLY,mcq_single,A developer renames a function through the editor. What is changed?,Every occurrence of that text in the project,The definition only,The definition and the uses in the open file only,The definition and every use the tool recognised,D,The definition and every use the tool recognised,The rename follows the tool understanding of what refers to what. A text-based replacement would change every occurrence including coincidental ones.,AUTHORED,
GB_ID_019,IDE_PROFICIENCY,ID_C05_RENAME,ID_F06_A_RENAME_REACHES_WHAT_THE_TOOL_UNDERSTOOD,ID_FAM06_RENAME_REACH,ID_RG_RENAME,D3,APPLY,mcq_single,A function name also appears in a comment and in a configuration file. A rename is performed through the editor. What happens to those two?,"Both are left unchanged, since neither is a use the tool recognises",Both are updated along with the code,The comment is updated and the configuration file is not,The configuration file is updated and the comment is not,A,"Both are left unchanged, since neither is a use the tool recognises",Neither a comment nor a configuration entry is code the tool resolves. Both have to be found and changed separately.,AUTHORED,
GB_ID_020,IDE_PROFICIENCY,ID_C05_RENAME,ID_F06_A_RENAME_REACHES_WHAT_THE_TOOL_UNDERSTOOD,ID_FAM06_RENAME_REACH,ID_RG_RENAME,D4,APPLY,mcq_single,"A developer renames a class through the editor, the project builds cleanly, and the application fails at start-up. The class name appears in a configuration file that is read at run time, and a rename changes only what the tool recognises as code. What happened?",The rename missed some of the code,The build succeeded incorrectly,"The configuration still names the old class, and nothing checked it at build time",The new name conflicts with an existing one,C,"The configuration still names the old class, and nothing checked it at build time",Building cleanly is exactly what makes this hard to anticipate. The configuration is read at run time and nothing connects it to the rename.,AUTHORED,
GB_ID_021,IDE_PROFICIENCY,ID_C06_TERMINAL,ID_F07_THE_TERMINAL_STARTS_SOMEWHERE_SPECIFIC,ID_FAM07_TERMINAL_LOCATION,ID_RG_RUNNING,D2,APPLY,mcq_single,A terminal is opened inside an editor. Which directory does it usually start in?,The directory of the file currently open,The root of the project being edited,The user home directory,The directory where the editor is installed,B,The root of the project being edited,"The project root is the common convention, and it need not match the open file. Which one a given tool uses is worth checking rather than assuming.",AUTHORED,
