questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PL_001,PROPOSITIONAL_LOGIC,PL_C01_PROPOSITIONS,PL_F01_A_PROPOSITION_IS_TRUE_OR_FALSE,PL_FAM01_PROPOSITION_RECOGNITION,PL_RG_BASICS,D1,REMEMBER,mcq_single,Which of these is a statement that is either true or false?,Close the door,The number 7 is greater than 5,What time does the train leave?,Please try again later,B,The number 7 is greater than 5,"Only the first makes a claim that could be checked and found right or wrong. A command and a question assert nothing, so there is nothing in them to be true.",AUTHORED,
GB_PL_002,PROPOSITIONAL_LOGIC,PL_C01_PROPOSITIONS,PL_F01_A_PROPOSITION_IS_TRUE_OR_FALSE,PL_FAM01_PROPOSITION_RECOGNITION,PL_RG_BASICS,D1,REMEMBER,mcq_single,Which of these carries no truth value at all?,The report was sent yesterday,The report has 12 pages,No report was sent,Please send the report,D,Please send the report,"A request is not a claim about how things are, so it cannot be true or false. The other three all assert something that could turn out either way.",AUTHORED,
GB_PL_003,PROPOSITIONAL_LOGIC,PL_C01_PROPOSITIONS,PL_F01_A_PROPOSITION_IS_TRUE_OR_FALSE,PL_FAM01_PROPOSITION_RECOGNITION,PL_RG_BASICS,D1,REMEMBER,mcq_single,"Is ""It will rain in Chennai tomorrow"" a statement that is either true or false?","Yes, though which of the two it is cannot yet be known","No, because nobody knows yet","No, because it is about the future rather than the present","Yes, and as things stand it is true",A,"Yes, though which of the two it is cannot yet be known","The sentence makes a definite claim, and tomorrow will settle it one way or the other. Not knowing the answer is a fact about us, not about the sentence.",AUTHORED,
GB_PL_004,PROPOSITIONAL_LOGIC,PL_C01_PROPOSITIONS,PL_F01_A_PROPOSITION_IS_TRUE_OR_FALSE,PL_FAM01_PROPOSITION_RECOGNITION,PL_RG_BASICS,D1,REMEMBER,mcq_single,A sentence qualifies when it makes a claim that is either true or false. Which of the following qualifies?,Restart the server at midnight,Should the server restart at midnight?,The server restarted at midnight,Restarting servers at midnight is inconvenient,C,The server restarted at midnight,"Only the first reports something that either happened or did not. The last is an expression of preference, which cannot be settled by checking anything.",AUTHORED,
GB_PL_005,PROPOSITIONAL_LOGIC,PL_C01_PROPOSITIONS,PL_F01_A_PROPOSITION_IS_TRUE_OR_FALSE,PL_FAM01_PROPOSITION_RECOGNITION,PL_RG_BASICS,D2,REMEMBER,mcq_single,"A student says that ""The millionth digit of pi is 7"" does not count, because nobody in the room knows whether it is true. What is wrong with that?",Nothing; a sentence nobody can check does not count,Having a truth value is not the same as anyone knowing it; the sentence is one or the other regardless,"It does not count, but for a different reason entirely",It counts only once somebody has actually computed the digit,B,Having a truth value is not the same as anyone knowing it; the sentence is one or the other regardless,"The digit is whatever it is, and the sentence is true or false accordingly. Availability of the answer is a separate matter from the existence of one.",AUTHORED,
GB_PL_006,PROPOSITIONAL_LOGIC,PL_C02_CONNECTIVES,PL_F02_CONNECTIVES_HAVE_FIXED_MEANINGS,PL_FAM02_CONNECTIVE_MEANING,PL_RG_BASICS,D1,REMEMBER,mcq_single,A rule applies when a customer is a member and also holds a voucher. Which connective does that use?,OR,NOT,It uses no connective at all,AND,D,AND,"Both requirements have to hold of the same customer, which is what AND expresses. OR would admit members with no voucher.",AUTHORED,
GB_PL_007,PROPOSITIONAL_LOGIC,PL_C02_CONNECTIVES,PL_F02_CONNECTIVES_HAVE_FIXED_MEANINGS,PL_FAM02_CONNECTIVE_MEANING,PL_RG_BASICS,D1,REMEMBER,mcq_single,A discount is offered to anyone who is a student or a pensioner. Someone is both. Does the discount apply to them?,Yes; OR in logic includes the case where both parts hold,"No, because or means one or the other but not both",Only if the offer explicitly adds the words or both,It cannot be decided from the offer as written,A,Yes; OR in logic includes the case where both parts hold,"The OR of logic asks for at least one, so satisfying two is more than enough. Everyday speech often means the exclusive version, which is the source of the confusion.",AUTHORED,
GB_PL_008,PROPOSITIONAL_LOGIC,PL_C02_CONNECTIVES,PL_F02_CONNECTIVES_HAVE_FIXED_MEANINGS,PL_FAM02_CONNECTIVE_MEANING,PL_RG_BASICS,D1,REMEMBER,mcq_single,Which connective reverses the truth value of whatever it is applied to?,AND,OR,NOT,IF,C,NOT,"NOT turns true into false and false into true, and is the only one of the four that acts on a single statement rather than joining two.",AUTHORED,
GB_PL_009,PROPOSITIONAL_LOGIC,PL_C02_CONNECTIVES,PL_F02_CONNECTIVES_HAVE_FIXED_MEANINGS,PL_FAM02_CONNECTIVE_MEANING,PL_RG_BASICS,D2,REMEMBER,mcq_single,"A sign reads: free entry for children or seniors. A child who is also a senior is turned away, on the grounds that the word or excludes anyone who is both. Is the refusal supported by logic?","Yes, because or always excludes the case where both hold",No; the OR of logic admits those who satisfy both conditions,"Yes, because no person can genuinely be in both categories",It depends on which of the two categories the sign listed first,B,No; the OR of logic admits those who satisfy both conditions,"Satisfying either condition is what the sign asks for, and this person satisfies two. The exclusive reading is a habit of speech rather than anything the wording requires.",AUTHORED,
GB_PL_010,PROPOSITIONAL_LOGIC,PL_C03_TABLES,PL_F03_A_TABLE_LISTS_EVERY_COMBINATION,PL_FAM03_TABLE_SHAPE,PL_RG_TABLES,D1,REMEMBER,mcq_single,A truth table is drawn up for a statement with 2 variables. How many rows does it have?,2,3,8,4,D,4,"Each variable can be true or false independently, giving two times two, which is 4. The number of variables is not itself the number of rows.",AUTHORED,
