questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_RF_001,RELATIONS_FUNCTIONS,RF_C01_PAIRS,RF_F01_ORDER_MATTERS_IN_A_PAIR,RF_FAM01_PAIR_ORDER,RF_RG_PAIRS,D1,REMEMBER,mcq_single,"Paris is the capital of France. If the first position holds the city and the second the country, which ordered pair records that?","(France, Paris)","(Paris, France)","{Paris, France}","(Paris, Paris)",B,"(Paris, France)","The convention stated puts the city first, so (Paris, France) is the record. Swapping the two says that France is the capital of Paris, which is a different claim rather than the same one written differently.",AUTHORED,
GB_RF_002,RELATIONS_FUNCTIONS,RF_C01_PAIRS,RF_F01_ORDER_MATTERS_IN_A_PAIR,RF_FAM01_PAIR_ORDER,RF_RG_PAIRS,D1,REMEMBER,mcq_single,"A record is written as (7, 2), where the first position holds a student number and the second holds a mark. What does the 7 stand for?",The mark,"Either one, since a pair carries no fixed order",The number of students recorded,The student number,D,The student number,"The positions were assigned meanings before anything was written, so the first value is the student number. Without that convention the record would say nothing at all.",AUTHORED,
GB_RF_003,RELATIONS_FUNCTIONS,RF_C01_PAIRS,RF_F01_ORDER_MATTERS_IN_A_PAIR,RF_FAM01_PAIR_ORDER,RF_RG_PAIRS,D1,REMEMBER,mcq_single,"Does (3, 8) mean the same as (8, 3)?","No, because the two positions carry different meanings","Yes, because both contain 3 and 8","Yes, as long as the two values are of the same kind",Only when the pair is written between braces instead,A,"No, because the two positions carry different meanings",Order is the entire content of an ordered pair beyond the values themselves. Two collections containing 3 and 8 would be the same; two ordered pairs are not.,AUTHORED,
GB_RF_004,RELATIONS_FUNCTIONS,RF_C01_PAIRS,RF_F01_ORDER_MATTERS_IN_A_PAIR,RF_FAM01_PAIR_ORDER,RF_RG_PAIRS,D1,REMEMBER,mcq_single,"A delivery log pairs a driver with the van they drove, driver first. Sunil drove van 12. Which pair records it?","(12, Sunil)","(Sunil, Sunil)","(Sunil, 12)","(12, 12)",C,"(Sunil, 12)","Driver first means (Sunil, 12). The reversed form would be read by anything using this log as a van having driven a person.",AUTHORED,
GB_RF_005,RELATIONS_FUNCTIONS,RF_C01_PAIRS,RF_F01_ORDER_MATTERS_IN_A_PAIR,RF_FAM01_PAIR_ORDER,RF_RG_PAIRS,D2,REMEMBER,mcq_single,"A system stores pairs of the form (manager, report), manager first. A record reads (Anya, Ben), and a colleague reads it as meaning that Ben manages Anya. What has gone wrong?",Nothing; a record of this kind may be read in either direction,"The positions were read in the wrong order, so the record actually says Anya manages Ben","The record itself is wrong and should have been written as (Ben, Anya)",The record should have used braces rather than brackets,B,"The positions were read in the wrong order, so the record actually says Anya manages Ben",The data is correct and the reading is not. A convention that is not carried to the reader turns every record into two contradictory claims.,AUTHORED,
GB_RF_006,RELATIONS_FUNCTIONS,RF_C02_DOMAIN_RANGE,RF_F02_DOMAIN_IS_INPUTS_RANGE_IS_OUTPUTS,RF_FAM02_DOMAIN_RANGE_NAMING,RF_RG_DOMAIN_RANGE,D1,REMEMBER,mcq_single,"A mapping is given by the pairs (1, 5), (2, 7) and (3, 5). What is its domain?","{5, 7}","{1, 2, 3, 5, 7}","{5, 7, 5}","{1, 2, 3}",D,"{1, 2, 3}","The domain holds the values that go in, which are 1, 2 and 3. The values 5 and 7 are what comes out, and belong to the range.",AUTHORED,
GB_RF_007,RELATIONS_FUNCTIONS,RF_C02_DOMAIN_RANGE,RF_F02_DOMAIN_IS_INPUTS_RANGE_IS_OUTPUTS,RF_FAM02_DOMAIN_RANGE_NAMING,RF_RG_DOMAIN_RANGE,D1,REMEMBER,mcq_single,"A machine turns 10 into a, 20 into b, and 30 into a. Which values come out of it?","{a, b}","{10, 20, 30}","{a, b, a}","{10, a, 20, b, 30}",A,"{a, b}","Only a and b ever emerge, and a emerging twice does not make it two different outputs. The numbers going in are a separate collection entirely.",AUTHORED,
GB_RF_008,RELATIONS_FUNCTIONS,RF_C02_DOMAIN_RANGE,RF_F02_DOMAIN_IS_INPUTS_RANGE_IS_OUTPUTS,RF_FAM02_DOMAIN_RANGE_NAMING,RF_RG_DOMAIN_RANGE,D1,REMEMBER,mcq_single,"In a mapping, what is the domain?",The values that come out,The pairs themselves,The values that go in,The number of pairs,C,The values that go in,"The domain is the collection of inputs. The outputs form the range, and confusing the two reverses every question asked about the mapping.",AUTHORED,
GB_RF_009,RELATIONS_FUNCTIONS,RF_C02_DOMAIN_RANGE,RF_F02_DOMAIN_IS_INPUTS_RANGE_IS_OUTPUTS,RF_FAM02_DOMAIN_RANGE_NAMING,RF_RG_DOMAIN_RANGE,D2,REMEMBER,mcq_single,"A mapping sends 1 to 4, 2 to 4 and 3 to 9. A student gives its range as {4, 4, 9}. What is wrong?","Nothing; the range really is {4, 4, 9}","The range is a collection of the values produced, so 4 is listed once, giving {4, 9}","The range should have been given as {1, 2, 3}","The range should have been given as {1, 2, 3, 4, 9}",B,"The range is a collection of the values produced, so 4 is listed once, giving {4, 9}","Two inputs producing 4 does not put 4 into the range twice, because a collection of this kind records what belongs to it rather than how often.",AUTHORED,
GB_RF_010,RELATIONS_FUNCTIONS,RF_C03_FUNCTION_TEST,RF_F03_A_FUNCTION_GIVES_ONE_OUTPUT_PER_INPUT,RF_FAM03_RELATION_VS_FUNCTION,RF_RG_FUNCTION_TEST,D1,UNDERSTAND,mcq_single,"A relation contains the pairs (1, 5), (2, 5) and (3, 8). Is it a function?","No, because 5 comes out of two different inputs","No, because there are three pairs but only two different outputs",It cannot be decided from the pairs alone,"Yes; every input appears once, and two inputs sharing an output is allowed",D,"Yes; every input appears once, and two inputs sharing an output is allowed","Each of 1, 2 and 3 has exactly one output, which is the whole requirement. That 1 and 2 both produce 5 breaks nothing.",AUTHORED,
