questionId,sourceType,sourceId,skillKey,skillName,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,difficulty,difficultyWord,difficultyNumeric,factKeys,tags,active,contribution,questionType,marks,subject,description,explanation,codeSnippet,expectedOutput,source
b117f9c1e0dbc3339284e344,question,b117f9c1e0dbc3339284e344,APTITUDE_DATA_INTERPRETATION,Data Interpretation,A bag has 3 red and 2 blue balls. Probability of red?,2/5,3/5,1/5,5/3,B,3/5,medium,medium,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 3/5.,Correct statistical result/concept: 3/5.,,,question-bank-xlsx
b017f82e7f133ce49284450d,question,b017f82e7f133ce49284450d,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"For values 10,20,30,40, what is the range?",10,20,30,40,C,30,medium,medium,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 30.,Correct statistical result/concept: 30.,,,question-bank-xlsx
b317fce71d4ab6959283a6d6,question,b317fce71d4ab6959283a6d6,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If all values in a dataset are identical, the range is…",0,1,the same as mean,undefined,A,0,medium,medium,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 0.,Correct statistical result/concept: 0.,,,question-bank-xlsx
b217fb54bb8230469283089f,question,b217fb54bb8230469283089f,APTITUDE_DATA_INTERPRETATION,Data Interpretation,Which measure is most directly affected by an extremely large outlier?,Mean,Median,Mode only,Count,A,Mean,medium,medium,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: Mean.,Correct statistical result/concept: Mean.,,,question-bank-xlsx
8d81867af1a8c67ab5bef9f7,question,8d81867af1a8c67ab5bef9f7,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Marks: A=70, B=85, C=60, D=90. Who scored highest?",A,B,C,D,D,D,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives D.,Reading/calculating the values gives D.,,,question-bank-xlsx
8e81880d8fe0402bb5c702c2,question,8e81880d8fe0402bb5c702c2,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Attendance: A=80%, B=75%, C=92%, D=88%. Lowest?",A,B,C,D,B,B,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives B.,Reading/calculating the values gives B.,,,question-bank-xlsx
7f8170702e17b9dcb5c7a0f9,question,7f8170702e17b9dcb5c7a0f9,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Sales: Mon=10,Tue=15,Wed=12. Total?",25,27,37,45,C,37,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives 37.,Reading/calculating the values gives 37.,,,question-bank-xlsx
80817203cc4f338db5c5c654,question,80817203cc4f338db5c5c654,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Scores: X=40,Y=55,Z=50. Difference between highest and lowest?",5,10,15,95,C,15,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives 15.,Reading/calculating the values gives 15.,,,question-bank-xlsx
f988ec433c42b8b553aa6782,question,f988ec433c42b8b553aa6782,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Hours: P=2,Q=4,R=3,S=5. Average?",3,3.5,4,14,B,3.5,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives 3.5.,Reading/calculating the values gives 3.5.,,,question-bank-xlsx
f888eab0da7a326653a9c94b,question,f888eab0da7a326653a9c94b,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Tickets: Open=12, Closed=28. Total?",16,28,40,336,C,40,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives 40.,Reading/calculating the values gives 40.,,,question-bank-xlsx
fb88ef6978b1ac1753a92b14,question,fb88ef6978b1ac1753a92b14,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Data: Jan=100, Feb=120, Mar=90. Which month highest?",January,February,March,Equal,B,February,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives February.,Reading/calculating the values gives February.,,,question-bank-xlsx
