questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CC_001,C_BASICS,CC_C01_TYPES,CC_F01_VARIABLES_ARE_DECLARED_WITH_A_TYPE,CC_FAM01_DECLARATION_RECOGNITION,CC_RG_TYPES,D1,REMEMBER,mcq_single,Which of these is a well-formed C declaration?,count;,int count;,count = 0;,var count;,B,int count;,"A C declaration states a type before the name. A bare name, or an assignment with no type, is valid in some other languages and not here.",AUTHORED,
GB_CC_002,C_BASICS,CC_C01_TYPES,CC_F01_VARIABLES_ARE_DECLARED_WITH_A_TYPE,CC_FAM01_DECLARATION_RECOGNITION,CC_RG_TYPES,D1,REMEMBER,mcq_single,A C program contains: int total = 5; total = 2.7; What type does total hold afterwards?,"double, because a fractional value was assigned","int, and the program refuses to compile",Whichever type the most recent assignment used,"int, still; the fractional part is discarded on assignment",D,"int, still; the fractional part is discarded on assignment","A name's type is fixed at its declaration and no assignment changes it. The value is converted to fit, silently losing the fraction, which is why nothing is reported.",AUTHORED,
GB_CC_003,C_BASICS,CC_C01_TYPES,CC_F01_VARIABLES_ARE_DECLARED_WITH_A_TYPE,CC_FAM01_DECLARATION_RECOGNITION,CC_RG_TYPES,D1,REMEMBER,mcq_single,"What does the declaration int a, b; do?","Declares two variables, both of type int","Declares one variable whose name is a, b",Declares a as int and leaves b untyped,Is not valid; each name needs its own declaration,A,"Declares two variables, both of type int","One type may introduce several names separated by commas, and every name takes that type. Neither leaving one untyped nor requiring separate lines is the rule.",AUTHORED,
GB_CC_004,C_BASICS,CC_C01_TYPES,CC_F01_VARIABLES_ARE_DECLARED_WITH_A_TYPE,CC_FAM01_DECLARATION_RECOGNITION,CC_RG_TYPES,D1,REMEMBER,mcq_single,A C program uses the name total without any declaration of it anywhere. What happens?,The program runs and total starts at zero,The program runs and total holds an unpredictable value,The program does not compile; C requires a declaration before use,The compiler infers the type from the first assignment,C,The program does not compile; C requires a declaration before use,"A missing declaration is caught before the program runs at all. That is different from a declared variable never assigned to, which does compile and does hold an unpredictable value.",AUTHORED,
GB_CC_005,C_BASICS,CC_C01_TYPES,CC_F01_VARIABLES_ARE_DECLARED_WITH_A_TYPE,CC_FAM01_DECLARATION_RECOGNITION,CC_RG_TYPES,D2,REMEMBER,mcq_single,"A C program contains printf(""%d"", x) with no declaration of x. What is the problem?",printf cannot print whole numbers,"x must be declared, with a type, before it can be used",The specifier should be %s for a variable,Nothing; x is created by being used,B,"x must be declared, with a type, before it can be used",Every name in C needs a declaration that fixes its type before any use of it. Being created on first use is how some other languages work and is exactly the habit this catches.,LEGACY_REMAP,bf982e
GB_CC_006,C_BASICS,CC_C01_TYPES,CC_F02_TYPES_HAVE_SIZES_AND_RANGES,CC_FAM02_TYPE_CAPABILITY,CC_RG_TYPES,D1,REMEMBER,mcq_single,A variable is declared as int. Which value can it hold exactly?,2.5,"""hello""",'a' and 'b' together,-40,D,-40,"A whole-number type holds whole numbers, negative ones included. A fraction loses its fractional part, and text is a different kind of thing entirely.",AUTHORED,
GB_CC_007,C_BASICS,CC_C01_TYPES,CC_F02_TYPES_HAVE_SIZES_AND_RANGES,CC_FAM02_TYPE_CAPABILITY,CC_RG_TYPES,D1,REMEMBER,mcq_single,A variable is declared as char. What can it hold?,A single character,A word of any length,A whole number of any size,A fractional value,A,A single character,"A char holds one character. Storing a word needs an array of them, which is why text in C is handled differently from a single letter.",AUTHORED,
GB_CC_008,C_BASICS,CC_C01_TYPES,CC_F02_TYPES_HAVE_SIZES_AND_RANGES,CC_FAM02_TYPE_CAPABILITY,CC_RG_TYPES,D1,REMEMBER,mcq_single,A variable declared as int is given the value 3.9. What does it hold?,3.9,4,3,Nothing; the assignment is refused,C,3,"Conversion into a whole-number type discards the fraction rather than rounding it, so 3.9 becomes 3. Nothing is reported, which is what makes the loss easy to miss.",AUTHORED,
GB_CC_009,C_BASICS,CC_C01_TYPES,CC_F02_TYPES_HAVE_SIZES_AND_RANGES,CC_FAM02_TYPE_CAPABILITY,CC_RG_TYPES,D2,REMEMBER,mcq_single,A whole-number type is given a value far beyond the largest it can represent. What happens?,The program stops with an error,"The value wraps to something within range, and nothing is reported",The type grows to accommodate the value,"The value is stored exactly, since whole numbers have no limit",B,"The value wraps to something within range, and nothing is reported","A C whole-number type has a fixed size and therefore a fixed range, and exceeding it produces a value inside the range rather than a complaint. Assuming such types are unbounded is a habit brought from languages where they are.",AUTHORED,
GB_CC_010,C_BASICS,CC_C02_OUTPUT,CC_F03_OUTPUT_NEEDS_A_MATCHING_SPECIFIER,CC_FAM03_OUTPUT_SPECIFIER,CC_RG_OUTPUT,D1,REMEMBER,mcq_single,Which specifier prints a value declared as int?,%f,%c,%s,%d,D,%d,"Each specifier names a type, and %d is the one for a whole number. Using the wrong one does not convert the value; it reads the same bytes as though they were a different type.",LEGACY_REWRITE,95dee9
