questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CR_001,TECH_CAREER_AWARENESS,CR_C01_ROLES,CR_F01_ROLES_HAVE_DISTINCT_WORK,CR_FAM01_ROLE_WORK_RECOGNITION,CR_RG_ROLES,D1,REMEMBER,mcq_single,Someone spends their day writing and reviewing the code that runs a company's website. Which role is that?,Data analyst,Software developer,Project manager,Systems administrator,B,Software developer,"Writing and reviewing code is the developer's daily work. An analyst works with data, a manager coordinates the work, and an administrator keeps the systems running.",AUTHORED,
GB_CR_002,TECH_CAREER_AWARENESS,CR_C01_ROLES,CR_F01_ROLES_HAVE_DISTINCT_WORK,CR_FAM01_ROLE_WORK_RECOGNITION,CR_RG_ROLES,D1,REMEMBER,mcq_single,Someone spends their day writing queries against a database and preparing reports on what the numbers show. Which role is that?,Software developer,Database administrator,Support engineer,Data analyst,D,Data analyst,"Querying data and reporting on it is analysis. A database administrator keeps the database itself running, which is adjacent work with different accountability.",AUTHORED,
GB_CR_003,TECH_CAREER_AWARENESS,CR_C01_ROLES,CR_F01_ROLES_HAVE_DISTINCT_WORK,CR_FAM01_ROLE_WORK_RECOGNITION,CR_RG_ROLES,D1,REMEMBER,mcq_single,Someone spends their day investigating problems reported by customers and telling the engineering team what is reproducible. Which role is that?,Support engineer,Software developer,Project manager,Data analyst,A,Support engineer,"Reproducing reported problems and passing them on is support work. A developer may fix what is found, which is the next step rather than the same job.",AUTHORED,
GB_CR_004,TECH_CAREER_AWARENESS,CR_C01_ROLES,CR_F01_ROLES_HAVE_DISTINCT_WORK,CR_FAM01_ROLE_WORK_RECOGNITION,CR_RG_ROLES,D1,REMEMBER,mcq_single,Someone spends their day setting up the machines an application runs on and keeping them available. Which role is that?,Software developer,Data analyst,Systems administrator,Support engineer,C,Systems administrator,"Preparing and maintaining the machines is administration. Writing what runs on them is a different job, though in a small team one person may do both.",AUTHORED,
GB_CR_005,TECH_CAREER_AWARENESS,CR_C01_ROLES,CR_F01_ROLES_HAVE_DISTINCT_WORK,CR_FAM01_ROLE_WORK_RECOGNITION,CR_RG_ROLES,D2,REMEMBER,mcq_single,"In a very small company, one person writes the code, sets up the servers and answers customer problems. What does that show about roles?",That the roles are not really distinct,The work is the same in any company; who does it depends on how many people there are,That small companies do not need specialists,That the person holds three jobs at once,B,The work is the same in any company; who does it depends on how many people there are,"The tasks do not merge when one person does them all, which is why a larger team can split them along the same lines. What varies is the division of labour rather than the work.",AUTHORED,
GB_CR_006,TECH_CAREER_AWARENESS,CR_C02_ARTEFACTS,CR_F02_EACH_ARTEFACT_HAS_A_JOB,CR_FAM02_ARTEFACT_PURPOSE,CR_RG_ARTEFACTS,D1,REMEMBER,mcq_single,What job does a CV do?,Proves what someone has done,Lists every task someone has ever performed,Replaces the need for an interview,"States what someone claims to have done, so a reader can decide whether to look further",D,"States what someone claims to have done, so a reader can decide whether to look further","A CV is a set of claims, which is why it opens a conversation rather than settling one. Anything that could be checked independently is evidence, and a CV is where it is pointed at.",AUTHORED,
GB_CR_007,TECH_CAREER_AWARENESS,CR_C02_ARTEFACTS,CR_F02_EACH_ARTEFACT_HAS_A_JOB,CR_FAM02_ARTEFACT_PURPOSE,CR_RG_ARTEFACTS,D1,REMEMBER,mcq_single,What job does a portfolio of projects do?,Shows work a reader can examine for themselves,Lists the technologies someone has used,Proves someone worked hard,Replaces a CV entirely,A,Shows work a reader can examine for themselves,"A portfolio is checkable in a way a claim is not, which is the whole reason for having one. A list of technologies is another claim, in a different format.",AUTHORED,
GB_CR_008,TECH_CAREER_AWARENESS,CR_C02_ARTEFACTS,CR_F02_EACH_ARTEFACT_HAS_A_JOB,CR_FAM02_ARTEFACT_PURPOSE,CR_RG_ARTEFACTS,D1,REMEMBER,mcq_single,What job does a reference do?,Adds a formality to the application,Proves the candidate is a good person,Lets somebody who worked with the candidate confirm what they did,Replaces the need for evidence of work,C,Lets somebody who worked with the candidate confirm what they did,A reference converts a claim into something another person will stand behind. Treating it as a formality is what makes candidates choose referees who cannot say anything specific.,AUTHORED,
GB_CR_009,TECH_CAREER_AWARENESS,CR_C02_ARTEFACTS,CR_F02_EACH_ARTEFACT_HAS_A_JOB,CR_FAM02_ARTEFACT_PURPOSE,CR_RG_ARTEFACTS,D2,REMEMBER,mcq_single,A candidate needs to show they can build a working application. Which artefact serves that best?,A CV line saying they can build applications,A project the reader can run or read,A certificate from a course about building applications,A reference saying they are hard-working,B,A project the reader can run or read,"Only one of these lets the reader check the claim rather than accept it. A certificate shows a course was completed, which is a different fact.",AUTHORED,
GB_CR_010,TECH_CAREER_AWARENESS,CR_C03_STAGES,CR_F03_ENTRY_ROUTES_DIFFER_IN_WHAT_THEY_EXPECT,CR_FAM03_ROUTE_RECOGNITION,CR_RG_ROUTES,D1,UNDERSTAND,mcq_single,What does an internship expect a candidate to show?,Several years of experience in the role,Nothing at all,A completed degree in the subject,"Enough foundation to learn quickly, rather than experience of the work",D,"Enough foundation to learn quickly, rather than experience of the work","An internship exists to provide the experience, so demanding it would defeat the purpose. That does not make it open to anyone regardless of preparation.",AUTHORED,
