questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_GF_001,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F01_HISTORY_IS_RECOVERABLE,GF_FAM01_VERSION_CONTROL_PURPOSE,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,What does version control give a project that keeping dated copies of the folder does not?,A safe copy of the current files,"A recorded history that can be returned to, with a note of what each change was",A way of sending files to other people,Somewhere to keep files that are too large for a disk,B,"A recorded history that can be returned to, with a note of what each change was","Dated copies preserve states without saying anything about them, whereas version control keeps a recorded history that can be returned to, with a note of what each change was. Being able to ask which change did what is the part copying cannot provide.",AUTHORED,
GB_GF_002,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F01_HISTORY_IS_RECOVERABLE,GF_FAM01_VERSION_CONTROL_PURPOSE,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,Does a project under version control save the work automatically as it is typed?,Yes; every change is captured as it is made,Yes; a snapshot is taken every few minutes,Yes; each time the editor saves the file,No; work enters the history only when it is deliberately recorded,D,No; work enters the history only when it is deliberately recorded,"Recording is an act somebody performs, so work enters the history only when it is deliberately recorded. Believing otherwise is exactly why unrecorded work gets lost.",AUTHORED,
GB_GF_003,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F01_HISTORY_IS_RECOVERABLE,GF_FAM01_VERSION_CONTROL_PURPOSE,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,"A file is deleted by accident, a week after the change to it was recorded. What can version control do?",Bring the file back as it was in the recorded history,Nothing; it records changes rather than files,Bring it back only if the folder was copied beforehand,Bring back only the most recent version of the whole project,A,Bring the file back as it was in the recorded history,"Anything that was recorded remains available, so version control can bring the file back as it was in the recorded history. No separate copy of the folder is needed for that.",AUTHORED,
GB_GF_004,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F01_HISTORY_IS_RECOVERABLE,GF_FAM01_VERSION_CONTROL_PURPOSE,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,Why does each recorded change carry a written message?,So the changed file can be found again by name,Because the tool refuses to store anything without text,"So the history says why a change was made, and not only what altered",To record who was sitting at the machine,C,"So the history says why a change was made, and not only what altered","The message is the part a person reads months later, so the history says why a change was made, and not only what altered. The difference between the two states is already recorded without it.",AUTHORED,
GB_GF_005,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F01_HISTORY_IS_RECOVERABLE,GF_FAM01_VERSION_CONTROL_PURPOSE,GF_RG_PURPOSE,D2,REMEMBER,mcq_single,A student copies their project folder every evening and keeps the copies. What does that practice still not give them?,A second copy of the files,The ability to see which individual change caused something and to return to just that point,Protection against the disk failing,The ability to work without a network,B,The ability to see which individual change caused something and to return to just that point,"Nightly copies give states of a whole day and nothing finer, so they lack the ability to see which individual change caused something and to return to just that point. A day's work arrives as one undivided lump.",AUTHORED,
GB_GF_006,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F02_REPOSITORY_HOLDS_HISTORY,GF_FAM02_REPOSITORY_RECOGNITION,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,"Besides the files as they stand now, what does a repository hold?",Only the files as they stand now,A link to the website the project came from,The settings of the editor being used,The recorded history of the project,D,The recorded history of the project,"A repository is the project plus the recorded history of the project, which is what makes earlier states reachable. Without the history it would be an ordinary folder.",AUTHORED,
GB_GF_007,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F02_REPOSITORY_HOLDS_HISTORY,GF_FAM02_REPOSITORY_RECOGNITION,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,Does starting a repository require an account on a website?,No; it exists on the machine where it was created,Yes; a repository lives on a website by definition,"Yes, unless the project is never shared with anybody",Only once the first change has been recorded,A,No; it exists on the machine where it was created,"Creating a repository is a local act, so it exists on the machine where it was created. Sharing it later is a separate decision that adds a second copy.",AUTHORED,
GB_GF_008,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F02_REPOSITORY_HOLDS_HISTORY,GF_FAM02_REPOSITORY_RECOGNITION,GF_RG_PURPOSE,D1,REMEMBER,mcq_single,"For a repository on your own machine, where is the recorded history kept?",On the website the project is shared through,In the editor that opened the project,Inside the project folder itself,In a backup folder elsewhere on the disk,C,Inside the project folder itself,"The history travels with the project, because it is kept inside the project folder itself. Copying the folder copies the history along with it.",AUTHORED,
GB_GF_009,GIT_FUNDAMENTALS,GF_C01_PURPOSE,GF_F02_REPOSITORY_HOLDS_HISTORY,GF_FAM02_REPOSITORY_RECOGNITION,GF_RG_PURPOSE,D2,REMEMBER,mcq_single,A project has been under version control on one laptop for six months and has never been shared with anybody. Is its history real?,No; a history only begins once the project is shared,Yes; a complete history exists locally with no shared copy involved,Only the most recent recorded change is kept,"Yes, but it is discarded when the machine is restarted",B,Yes; a complete history exists locally with no shared copy involved,"Nothing about a history depends on anybody else seeing it, so yes; a complete history exists locally with no shared copy involved. What such a project lacks is a second copy, not a history.",AUTHORED,
GB_GF_010,GIT_FUNDAMENTALS,GF_C02_COMMANDS,GF_F03_COMMANDS_MOVE_BETWEEN_STATES,GF_FAM03_COMMAND_PURPOSE,GF_RG_COMMANDS,D1,REMEMBER,mcq_single,What does git add do?,Records the change into the history,Sends the change to the shared copy,Creates a new file in the project,Marks a change to be included in the next recorded commit,D,Marks a change to be included in the next recorded commit,"It moves a change one step along, no further: it marks a change to be included in the next recorded commit. Nothing is written into the history until a commit is made.",AUTHORED,
