questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_GBR_001,GIT_BRANCHING,GB_C01_PURPOSE,GB_F01_BRANCH_ISOLATES_WORK,GB_FAM01_BRANCH_PURPOSE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,What does branching make possible that working in a single line of history does not?,Keeping a spare copy of the project in case of accident,Carrying unfinished work forward without disturbing the version that already works,Giving each person on the team a project of their own,Storing files that are too large to record,B,Carrying unfinished work forward without disturbing the version that already works,"A branch lets half-done work be recorded and returned to, so it allows carrying unfinished work forward without disturbing the version that already works. In one line, unfinished work and working code have to share the same commits.",AUTHORED,
GB_GBR_002,GIT_BRANCHING,GB_C01_PURPOSE,GB_F01_BRANCH_ISOLATES_WORK,GB_FAM01_BRANCH_PURPOSE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,Is a branch a copy of the project folder?,Yes; each branch gets a folder of its own,"Yes, though only the changed files are duplicated",No; it is a copy of the most recent commit,No; it is a second line of history over the same folder,D,No; it is a second line of history over the same folder,"There is one folder and one recorded history, so a branch is a second line of history over the same folder. Believing it duplicates the project is what makes branching feel expensive.",AUTHORED,
GB_GBR_003,GIT_BRANCHING,GB_C01_PURPOSE,GB_F01_BRANCH_ISOLATES_WORK,GB_FAM01_BRANCH_PURPOSE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,Two features are being built at the same time. What does giving each one a branch achieve?,Either can be finished and recorded without the other's half-done work coming with it,Each feature gets a separate backup,Each feature gets its own shared copy,The two features are combined automatically when they are done,A,Either can be finished and recorded without the other's half-done work coming with it,"The two sets of commits stay apart until somebody joins them, so either can be finished and recorded without the other's half-done work coming with it. Nothing is combined until a merge is asked for.",AUTHORED,
GB_GBR_004,GIT_BRANCHING,GB_C01_PURPOSE,GB_F01_BRANCH_ISOLATES_WORK,GB_FAM01_BRANCH_PURPOSE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,Can work done on a branch be brought back into the main line later?,No; a branch is a permanent separation,Only by copying the files across by hand,Yes; merging is what joins the two histories,Only if no further commits were made on the main line,C,Yes; merging is what joins the two histories,"Branches are made to be rejoined, and merging is what joins the two histories. Commits made on the main line in the meantime do not prevent it.",AUTHORED,
GB_GBR_005,GIT_BRANCHING,GB_C01_PURPOSE,GB_F01_BRANCH_ISOLATES_WORK,GB_FAM01_BRANCH_PURPOSE,GB_RG_PURPOSE,D2,REMEMBER,mcq_single,Why is a branch preferred to simply keeping a second copy of the folder while an experiment is tried?,A branch takes up less room on the disk,"The two histories can be recombined afterwards, which two folders cannot be",A branch is quicker to switch between,A branch cannot produce a clash,B,"The two histories can be recombined afterwards, which two folders cannot be","Two folders leave somebody comparing files by hand at the end, whereas the two histories can be recombined afterwards, which two folders cannot be. Space and speed are side effects rather than the reason.",AUTHORED,
GB_GBR_006,GIT_BRANCHING,GB_C01_PURPOSE,GB_F02_BRANCH_IS_A_POINTER_INTO_HISTORY,GB_FAM02_BRANCH_NATURE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,What is created at the moment a new branch is made?,A copy of every file in the project,A new folder alongside the existing one,A new shared copy of the project,A name that points at the commit you are currently on,D,A name that points at the commit you are currently on,Making a branch records a name that points at the commit you are currently on and nothing else. That is why it is instant however large the project is.,AUTHORED,
GB_GBR_007,GIT_BRANCHING,GB_C01_PURPOSE,GB_F02_BRANCH_IS_A_POINTER_INTO_HISTORY,GB_FAM02_BRANCH_NATURE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,Do the files in the working folder change at the moment a branch is created?,No; nothing changes until commits are made or another branch is switched to,Yes; they are reset to the last recorded state,Yes; a second set of them appears,Yes; any unrecorded work is cleared away first,A,No; nothing changes until commits are made or another branch is switched to,"Creating a branch is a note about history rather than an operation on files, so nothing changes until commits are made or another branch is switched to. Unrecorded work is left exactly where it was.",AUTHORED,
GB_GBR_008,GIT_BRANCHING,GB_C01_PURPOSE,GB_F02_BRANCH_IS_A_POINTER_INTO_HISTORY,GB_FAM02_BRANCH_NATURE,GB_RG_PURPOSE,D1,REMEMBER,mcq_single,Does creating a branch require a shared copy of the project?,Yes; branches exist on the shared copy,"Yes, unless the project has never been shared at all",No; branches are local until somebody sends them,Only the first branch requires one,C,No; branches are local until somebody sends them,"Branching is a local act like committing, so branches are local until somebody sends them. A project that has never been shared can have as many as it likes.",AUTHORED,
GB_GBR_009,GIT_BRANCHING,GB_C01_PURPOSE,GB_F02_BRANCH_IS_A_POINTER_INTO_HISTORY,GB_FAM02_BRANCH_NATURE,GB_RG_PURPOSE,D2,REMEMBER,mcq_single,A project of 500 files has six branches. How many copies of those files are sitting on the disk?,"Six, one for each branch","One working folder, plus one recorded history that all six branches read from","Six, but only of the files that differ between branches","Three thousand, one set per branch",B,"One working folder, plus one recorded history that all six branches read from","Branches are names into a single recorded history, so there is one working folder, plus one recorded history that all six branches read from. The count of branches has almost no bearing on the size of the project.",AUTHORED,
GB_GBR_010,GIT_BRANCHING,GB_C02_MERGING,GB_F03_MERGE_COMBINES_HISTORIES,GB_FAM03_MERGE_PURPOSE,GB_RG_MERGE,D1,REMEMBER,mcq_single,What does a merge produce?,A third branch holding the work of both,Two branches that are now identical,One branch holding whichever work was newer,One branch that now holds the work of both,D,One branch that now holds the work of both,"Merging joins one line into another, leaving one branch that now holds the work of both. No third branch is created and nothing is chosen on grounds of age.",AUTHORED,
