questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_ST_001,SET_THEORY,ST_C01_MEMBERSHIP,ST_F01_SETS_IGNORE_ORDER_AND_REPEATS,ST_FAM01_SET_IDENTITY,ST_RG_BASICS,D1,REMEMBER,mcq_single,"Which of the following denotes the same collection as {3, 5, 7}?","{3, 5}","{7, 5, 3}","{3, 5, 7, 9}","{3, 7}",B,"{7, 5, 3}","A collection of this kind is fixed by which things belong to it, so writing the same three things in another order denotes {7, 5, 3} and nothing different. The other options each add or drop a member.",AUTHORED,
GB_ST_002,SET_THEORY,ST_C01_MEMBERSHIP,ST_F01_SETS_IGNORE_ORDER_AND_REPEATS,ST_FAM01_SET_IDENTITY,ST_RG_BASICS,D1,REMEMBER,mcq_single,"A collection is written as {2, 4, 4, 6}. How many members does it have?",4,2,6,3,D,3,"Writing 4 twice does not put it in twice, so the members are 2, 4 and 6, giving 3 members in all. Counting the written symbols rather than the members gives 4.",AUTHORED,
GB_ST_003,SET_THEORY,ST_C01_MEMBERSHIP,ST_F01_SETS_IGNORE_ORDER_AND_REPEATS,ST_FAM01_SET_IDENTITY,ST_RG_BASICS,D1,REMEMBER,mcq_single,"Do {a, b} and {b, a} denote the same thing?","Yes, because membership is what fixes it and the order of writing does not","No, because the two elements appear in a different order","No, because a and b occupy different positions",Only if a happens to come before b alphabetically,A,"Yes, because membership is what fixes it and the order of writing does not","Both contain a and b and nothing else, so they are the same. Position carries meaning in a list and carries none here, which is the difference between the two ideas.",AUTHORED,
GB_ST_004,SET_THEORY,ST_C01_MEMBERSHIP,ST_F01_SETS_IGNORE_ORDER_AND_REPEATS,ST_FAM01_SET_IDENTITY,ST_RG_BASICS,D1,REMEMBER,mcq_single,Which statement is true?,Reordering the members produces a different collection,The members must be listed in increasing order,Writing a member twice does not put it in twice,A collection with three members written twice has six members,C,Writing a member twice does not put it in twice,"Repetition and order are both invisible here. That is precisely what distinguishes this kind of collection from a list, where both matter.",AUTHORED,
GB_ST_005,SET_THEORY,ST_C01_MEMBERSHIP,ST_F01_SETS_IGNORE_ORDER_AND_REPEATS,ST_FAM01_SET_IDENTITY,ST_RG_BASICS,D2,REMEMBER,mcq_single,A student is told that two sets are equal and concludes that they must have been written down identically. What is wrong with that conclusion?,Nothing; equal sets are always written identically,"Two sets are equal when they have the same members, however they happen to be written",Sets are equal only when their members appear in the same order,Sets can never be equal unless they are literally the same collection,B,"Two sets are equal when they have the same members, however they happen to be written","Equality is decided by membership alone. {1, 2, 2, 3} and {3, 2, 1} look nothing alike on the page and are the same set.",AUTHORED,
GB_ST_006,SET_THEORY,ST_C02_OPERATIONS,ST_F02_EACH_OPERATION_ANSWERS_A_QUESTION,ST_FAM02_OPERATION_NAMING,ST_RG_OPERATIONS,D1,REMEMBER,mcq_single,A club needs the people who belong to both the chess group and the debate group. Which operation gives them?,Union,Difference,Complement,Intersection,D,Intersection,"Membership of both groups at once is exactly what an intersection selects. A union would return anyone in either group, which is a much larger set.",AUTHORED,
GB_ST_007,SET_THEORY,ST_C02_OPERATIONS,ST_F02_EACH_OPERATION_ANSWERS_A_QUESTION,ST_FAM02_OPERATION_NAMING,ST_RG_OPERATIONS,D1,REMEMBER,mcq_single,"A mailing list must reach everyone who signed up for at least one of the two newsletters, including those who signed up for both. Which operation gives that list?",Union,Intersection,Difference,Complement,A,Union,"At least one, with those on both included once, is a union. Those on both are not counted twice, because a member appears once however many ways it qualifies.",AUTHORED,
GB_ST_008,SET_THEORY,ST_C02_OPERATIONS,ST_F02_EACH_OPERATION_ANSWERS_A_QUESTION,ST_FAM02_OPERATION_NAMING,ST_RG_OPERATIONS,D1,REMEMBER,mcq_single,A report needs the customers who bought last year but not this year. Which operation gives them?,Union,Intersection,Difference,Complement,C,Difference,Taking one group and removing the members of another is a difference. The direction matters: the customers who bought this year but not last year are a different group entirely.,AUTHORED,
GB_ST_009,SET_THEORY,ST_C02_OPERATIONS,ST_F02_EACH_OPERATION_ANSWERS_A_QUESTION,ST_FAM02_OPERATION_NAMING,ST_RG_OPERATIONS,D2,REMEMBER,mcq_single,"A manager asks for the students taking maths and physics, and is handed everyone taking at least one of the two subjects. What went wrong?",Nothing; in this context and does mean union,"The everyday word and was read as a union, but the request names students in both groups, which is an intersection",The request was for a difference and was answered with a union,"The request is ambiguous, so either answer is defensible",B,"The everyday word and was read as a union, but the request names students in both groups, which is an intersection","Ordinary speech uses and to join the two subject names, not the two groups of students. The group being described is the one where both statements are true of the same student.",AUTHORED,
GB_ST_010,SET_THEORY,ST_C01_MEMBERSHIP,ST_F03_BEING_IN_IS_NOT_BEING_PART_OF,ST_FAM03_MEMBER_VS_SUBSET,ST_RG_BASICS,D1,REMEMBER,mcq_single,"Let S be the collection {1, 2, 3}. Which one of the following belongs to S as a member?",{2},"{1, 2}",{},2,D,2,"The members of S are the numbers 1, 2 and 3. The option {2} is a collection containing 2, which is a different thing from the number 2 itself.",AUTHORED,
