questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_DS_001,DSA_STRINGS,DS_C01_STRUCTURE,DS_F01_STRING_IS_A_SEQUENCE_OF_CHARACTERS,DS_FAM01_CHARACTER_POSITION,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"The text is ""my code"". What character is at position 0?",y,m,c,There is no position 0,B,m,"Positions are counted from zero, so the first character sits at position 0. Counting from one would give the second character instead.",AUTHORED,
GB_DS_002,DSA_STRINGS,DS_C01_STRUCTURE,DS_F01_STRING_IS_A_SEQUENCE_OF_CHARACTERS,DS_FAM01_CHARACTER_POSITION,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"The text is ""my code"". What character is at position 2?",c,y,o,A space,D,A space,"A space is a character like any other and occupies its own position, so it sits between the two words at position 2. Skipping it shifts every later position by one.",AUTHORED,
GB_DS_003,DSA_STRINGS,DS_C01_STRUCTURE,DS_F01_STRING_IS_A_SEQUENCE_OF_CHARACTERS,DS_FAM01_CHARACTER_POSITION,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"The text is ""my code"". At what position is the letter c?",3,2,4,1,A,3,"Counting m as 0, y as 1 and the space as 2 puts c at position 3. Answering 2 is what ignoring the space produces.",AUTHORED,
GB_DS_004,DSA_STRINGS,DS_C01_STRUCTURE,DS_F01_STRING_IS_A_SEQUENCE_OF_CHARACTERS,DS_FAM01_CHARACTER_POSITION,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"The text is ""go now"". What is at the last valid position?",o,A space,w,There is none until the text is complete,C,w,"The last valid position holds the final character, which is w. Answering o stops one short, which is what treating the length as the last position and then correcting twice produces.",AUTHORED,
GB_DS_005,DSA_STRINGS,DS_C01_STRUCTURE,DS_F01_STRING_IS_A_SEQUENCE_OF_CHARACTERS,DS_FAM01_CHARACTER_POSITION,DS_RG_ACCESS,D2,REMEMBER,mcq_single,"The text is ""a b c"", with single spaces between the letters. How many positions does it occupy, and what is at position 1?","Three positions, and position 1 holds b","Five positions, and position 1 holds a space","Five positions, and position 1 holds b","Three positions, and position 1 holds a space",B,"Five positions, and position 1 holds a space","Three letters and two spaces occupy five positions in all, and the first space follows the first letter. Counting only the letters gives three and moves every later character.",AUTHORED,
GB_DS_006,DSA_STRINGS,DS_C01_STRUCTURE,DS_F02_LENGTH_COUNTS_EVERYTHING,DS_FAM02_LENGTH_COUNTING,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"What is the length of the text ""data set""?",7,2,9,8,D,8,"Seven letters and one space make a length of 8. Answering 7 omits the space, and 2 counts the words rather than the characters.",AUTHORED,
GB_DS_007,DSA_STRINGS,DS_C01_STRUCTURE,DS_F02_LENGTH_COUNTS_EVERYTHING,DS_FAM02_LENGTH_COUNTING,DS_RG_ACCESS,D1,REMEMBER,mcq_single,"What is the length of the text ""hi "" — the two letters followed by a single trailing space?",3,2,4,1,A,3,"A trailing space is a character and is counted, so the length is three. It is invisible when the text is displayed, which is exactly why it is missed.",AUTHORED,
GB_DS_008,DSA_STRINGS,DS_C01_STRUCTURE,DS_F02_LENGTH_COUNTS_EVERYTHING,DS_FAM02_LENGTH_COUNTING,DS_RG_ACCESS,D1,REMEMBER,mcq_single,What is the length of text containing no characters at all?,1,Undefined,0,It cannot exist,C,0,"Empty text is ordinary text whose length is zero, and it has no valid positions. That is different from text containing a single space, whose length is one.",AUTHORED,
GB_DS_009,DSA_STRINGS,DS_C01_STRUCTURE,DS_F02_LENGTH_COUNTS_EVERYTHING,DS_FAM02_LENGTH_COUNTING,DS_RG_ACCESS,D2,REMEMBER,mcq_single,"A program holds the text ""career"" and reports its length. What is reported?",5,6,7,career,B,6,"Six characters give a length of 6. Answering 5 or 7 is off by one at an end, and reporting the text itself answers a different question.",LEGACY_REMAP,67f5a5
GB_DS_010,DSA_STRINGS,DS_C02_CASE,DS_F03_CASE_MATTERS_IN_COMPARISON,DS_FAM03_CASE_COMPARISON,DS_RG_COMPARISON,D1,REMEMBER,mcq_single,"Do the two pieces of text ""Yes"" and ""yes"" compare as equal?",Yes; they spell the same word,Yes; comparison ignores case,It cannot be decided without knowing the language,No; the first characters differ,D,No; the first characters differ,"A comparison examines the characters, and an upper-case letter is a different character from its lower-case form. Spelling the same word is not the same as being the same text.",AUTHORED,
GB_DS_011,DSA_STRINGS,DS_C02_CASE,DS_F03_CASE_MATTERS_IN_COMPARISON,DS_FAM03_CASE_COMPARISON,DS_RG_COMPARISON,D1,REMEMBER,mcq_single,"Do the two pieces of text ""OK"" and ""OK"" compare as equal?",Yes; every character matches,No; identical text never compares equal,"Yes, but only if the two are stored in the same place",It depends on how the text was created,A,Yes; every character matches,"Comparison is about the characters and nothing else, so identical characters compare equal however each piece of text came to exist.",AUTHORED,
GB_DS_012,DSA_STRINGS,DS_C02_CASE,DS_F03_CASE_MATTERS_IN_COMPARISON,DS_FAM03_CASE_COMPARISON,DS_RG_COMPARISON,D1,REMEMBER,mcq_single,"Do the two pieces of text "" ok"" and ""ok"" compare as equal — the first with a single leading space?",Yes; a leading space is ignored,Yes; both contain the same letters,No; the first has an extra character at the front,No; the two have the same length but differ in case,C,No; the first has an extra character at the front,"A leading space is a character, so the two pieces differ in both length and content. Nothing strips spaces on the way into a comparison.",AUTHORED,
GB_DS_013,DSA_STRINGS,DS_C02_CASE,DS_F03_CASE_MATTERS_IN_COMPARISON,DS_FAM03_CASE_COMPARISON,DS_RG_COMPARISON,D2,REMEMBER,mcq_single,"A program compares a typed answer with the stored answer ""Blue"" and rejects ""blue"" as wrong. What change would accept both?",Compare the lengths instead of the characters,Convert both to the same case before comparing,Store the answer in lower case only,Nothing; the two are genuinely different answers,B,Convert both to the same case before comparing,Bringing both sides to a common case removes the distinction before the comparison sees it. Storing the answer in lower case alone would still reject a capitalised entry.,AUTHORED,
GB_DS_014,DSA_STRINGS,DS_C03_SLICING,DS_F04_A_RANGE_HAS_TWO_ENDS,DS_FAM04_RANGE_EXTRACTION,DS_RG_EXTRACTION,D2,APPLY,mcq_single,"The text is ""abcdef"". A range starts at position 1 and stops before position 4. What does it produce?",bcde,abcd,bc,bcd,D,bcd,"Positions 1, 2 and 3 are taken and position 4 is not, because the range stops before it. Including the end gives one character too many.",AUTHORED,
GB_DS_015,DSA_STRINGS,DS_C03_SLICING,DS_F04_A_RANGE_HAS_TWO_ENDS,DS_FAM04_RANGE_EXTRACTION,DS_RG_EXTRACTION,D3,APPLY,mcq_single,"The text is ""network"". A range starts at position 3 and stops before position 3. What does it produce?",Nothing; the range is empty,w,wo,The whole text,A,Nothing; the range is empty,"A range that starts where it stops contains no positions at all, so the result is empty. That is a legitimate outcome rather than an error, and it is what an off-by-one in the wrong direction quietly produces.",AUTHORED,
GB_DS_016,DSA_STRINGS,DS_C04_IMMUTABILITY,DS_F05_OPERATIONS_PRODUCE_NEW_TEXT,DS_FAM05_ORIGINAL_UNCHANGED,DS_RG_MUTATION,D2,UNDERSTAND,mcq_single,"A variable holds ""Report"". An operation converting it to upper case is performed, and its result is not stored anywhere. What does the variable hold afterwards?",REPORT,report,Report,Nothing; the value was consumed,C,Report,"The operation builds new text and hands it back, leaving the original untouched. Discarding the result therefore changes nothing at all.",AUTHORED,
GB_DS_017,DSA_STRINGS,DS_C04_IMMUTABILITY,DS_F05_OPERATIONS_PRODUCE_NEW_TEXT,DS_FAM05_ORIGINAL_UNCHANGED,DS_RG_MUTATION,D3,UNDERSTAND,mcq_single,"A variable holds "" total "" with a space at each end. A trimming operation is applied and its result is assigned to a second variable. What do the two variables hold?","Both hold ""total""","The first still holds "" total "" and the second holds ""total""","The first holds ""total"" and the second holds "" total ""","Both hold "" total """,B,"The first still holds "" total "" and the second holds ""total""","Trimming produces new text and the original is unchanged, so the two variables differ. Assigning the result is what makes the trimmed version available at all.",AUTHORED,
GB_DS_018,DSA_STRINGS,DS_C05_SEARCHING,DS_F06_SEARCH_RETURNS_A_POSITION_OR_NOTHING,DS_FAM06_SEARCH_RESULT,DS_RG_SEARCH,D2,APPLY,mcq_single,"The text is ""banana"". A search for ""an"" reports the position of the first match. What does it report?",3,2,0,1,D,1,"The first ""an"" begins at position 1, counting b as 0. Position 3 is where the second match begins, which is what reporting the last match would give.",AUTHORED,
