questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PT_001,PYTHON_STRINGS,PT_C01_LITERAL_FORMS,PT_F01_QUOTES_COME_IN_MORE_THAN_ONE_FORM,PT_FAM01_QUOTE_FORMS,PT_RG_LITERALS,D1,REMEMBER,mcq_single,Text can be written between single quotes or between double quotes. How do the two differ?,Single quotes hold text and double quotes hold formatted text,Only in which quote character they can contain without escaping,Double quotes allow longer text,Single quotes are faster to process,B,Only in which quote character they can contain without escaping,The two produce identical text. Which one is chosen matters only when the text itself contains a quote.,AUTHORED,
GB_PT_002,PYTHON_STRINGS,PT_C01_LITERAL_FORMS,PT_F01_QUOTES_COME_IN_MORE_THAN_ONE_FORM,PT_FAM01_QUOTE_FORMS,PT_RG_LITERALS,D1,REMEMBER,mcq_single,Which of these is a valid way to write text?,Opening with a single quote and closing with a double,Opening with a double quote and closing with a single,Opening and closing with no quote at all,Opening and closing with the same quote character,D,Opening and closing with the same quote character,The closing quote has to match the opening one. Mismatched quotes leave the literal unterminated.,AUTHORED,
GB_PT_003,PYTHON_STRINGS,PT_C01_LITERAL_FORMS,PT_F01_QUOTES_COME_IN_MORE_THAN_ONE_FORM,PT_FAM01_QUOTE_FORMS,PT_RG_LITERALS,D1,REMEMBER,mcq_single,Two pieces of text are written identically except that one uses single quotes and the other double. Are the resulting values the same?,Yes; the quote form is not part of the text,No; the quote characters are included in the value,No; one is longer than the other,Only if the text contains no letters,A,Yes; the quote form is not part of the text,Quotes mark where the text begins and ends and do not become part of it. The two values compare equal.,AUTHORED,
GB_PT_004,PYTHON_STRINGS,PT_C01_LITERAL_FORMS,PT_F01_QUOTES_COME_IN_MORE_THAN_ONE_FORM,PT_FAM01_QUOTE_FORMS,PT_RG_LITERALS,D1,REMEMBER,mcq_single,What decides which quote form to use for a piece of text?,The length of the text,Whether the text contains numbers,What quote characters the text itself contains,"Personal preference alone, in every case",C,What quote characters the text itself contains,"Choosing the form the text does not contain avoids escaping altogether. Where the text contains neither, preference genuinely does decide.",AUTHORED,
GB_PT_005,PYTHON_STRINGS,PT_C01_LITERAL_FORMS,PT_F01_QUOTES_COME_IN_MORE_THAN_ONE_FORM,PT_FAM01_QUOTE_FORMS,PT_RG_LITERALS,D2,REMEMBER,mcq_single,A piece of text contains both a single quote and a double quote. What follows about writing it with ordinary quotes?,It cannot be written at all,"Whichever form is chosen, one of the two characters will need escaping",It must be split into two separate pieces,Single quotes will work without escaping,B,"Whichever form is chosen, one of the two characters will need escaping",Containing both removes the option of picking the form the text avoids. A triple-quoted form is the other way out.,AUTHORED,
GB_PT_006,PYTHON_STRINGS,PT_C02_ESCAPES,PT_F02_A_BACKSLASH_CHANGES_WHAT_FOLLOWS_IT,PT_FAM02_ESCAPE_MEANING,PT_RG_ESCAPES,D1,REMEMBER,mcq_single,A backslash followed by the letter n appears inside a piece of text. What does that pair produce?,"The two characters, a backslash and an n",A backslash only,An instruction that is removed with no character produced,A single line break character,D,A single line break character,The pair stands together for one character that is neither of the two written. That is the whole purpose of an escape.,AUTHORED,
GB_PT_007,PYTHON_STRINGS,PT_C02_ESCAPES,PT_F02_A_BACKSLASH_CHANGES_WHAT_FOLLOWS_IT,PT_FAM02_ESCAPE_MEANING,PT_RG_ESCAPES,D1,REMEMBER,mcq_single,How many characters does an escape sequence of a backslash and one letter produce?,One,Two,None,It depends on the letter,A,One,"One character results, though two were written: the written form and the value differ in length.",AUTHORED,
GB_PT_008,PYTHON_STRINGS,PT_C02_ESCAPES,PT_F02_A_BACKSLASH_CHANGES_WHAT_FOLLOWS_IT,PT_FAM02_ESCAPE_MEANING,PT_RG_ESCAPES,D1,REMEMBER,mcq_single,How is a literal backslash written inside ordinary text?,As one backslash,As a backslash followed by a space,As two backslashes,A backslash cannot appear in text,C,As two backslashes,"A single backslash begins an escape, so producing one requires escaping the backslash itself. The written form is twice the length of the result.",AUTHORED,
GB_PT_009,PYTHON_STRINGS,PT_C02_ESCAPES,PT_F02_A_BACKSLASH_CHANGES_WHAT_FOLLOWS_IT,PT_FAM02_ESCAPE_MEANING,PT_RG_ESCAPES,D2,REMEMBER,mcq_single,"A student writes text containing a backslash and one letter, expecting to see both characters, and something else appears. What has happened?",The backslash was removed and the letter kept,The pair was read as an escape sequence and produced a different single character,The text was truncated at the backslash,The letter was removed and the backslash kept,B,The pair was read as an escape sequence and produced a different single character,"Only some letters form an escape, which is why this surprises people unevenly. Doubling the backslash produces the two characters intended.",AUTHORED,
GB_PT_010,PYTHON_STRINGS,PT_C03_INTERPOLATION,PT_F03_A_MARKED_LITERAL_SUBSTITUTES_VALUES,PT_FAM03_INTERPOLATION_RECOGNITION,PT_RG_INTERPOLATION,D1,UNDERSTAND,mcq_single,Two literals are written identically except that one carries a marker before its opening quote indicating interpolation. Both contain braces around a name. What differs?,Nothing; braces always interpolate,The unmarked one produces an error,The marked one is longer,The marked one replaces the braced section with a value; the unmarked one contains the braces as text,D,The marked one replaces the braced section with a value; the unmarked one contains the braces as text,Interpolation happens only when the literal is marked for it. Without the marker the braces are ordinary characters.,AUTHORED,
GB_PT_011,PYTHON_STRINGS,PT_C03_INTERPOLATION,PT_F03_A_MARKED_LITERAL_SUBSTITUTES_VALUES,PT_FAM03_INTERPOLATION_RECOGNITION,PT_RG_INTERPOLATION,D1,UNDERSTAND,mcq_single,An unmarked literal contains braces around the word total. What does it produce?,"The braces and the word total, as written",The value of a variable called total,"An error, since total is not defined",An empty piece of text,A,"The braces and the word total, as written",Without the interpolation marker nothing is substituted. The braces are characters like any others.,AUTHORED,
GB_PT_012,PYTHON_STRINGS,PT_C03_INTERPOLATION,PT_F03_A_MARKED_LITERAL_SUBSTITUTES_VALUES,PT_FAM03_INTERPOLATION_RECOGNITION,PT_RG_INTERPOLATION,D1,UNDERSTAND,mcq_single,What makes a literal interpolate the values named inside it?,The presence of braces,The names inside being defined,A marker on the literal itself,The literal being assigned to a variable,C,A marker on the literal itself,The marker is what turns braces into substitution points. Defined names and braces alone change nothing.,AUTHORED,
GB_PT_013,PYTHON_STRINGS,PT_C03_INTERPOLATION,PT_F03_A_MARKED_LITERAL_SUBSTITUTES_VALUES,PT_FAM03_INTERPOLATION_RECOGNITION,PT_RG_INTERPOLATION,D2,UNDERSTAND,mcq_single,"A developer builds a message by joining two literals together with an operator, and the second literal is marked for interpolation while the first is not. What happens to braces in the first?","They interpolate, since the two are joined","They remain as literal braces, since the marker applies to one literal only",The join fails because the two forms differ,They are removed from the result,B,"They remain as literal braces, since the marker applies to one literal only",Marking is a property of each literal rather than of the expression. Joining them does not spread the marker.,AUTHORED,
