questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_OP_001,OS_PROCESSES,OP_C01_IDENTITY,OP_F01_A_RUNNING_THING_HAS_A_NUMBER,OP_FAM01_IDENTIFIER_ROLE,OP_RG_IDENTITY,D1,REMEMBER,mcq_single,A running process is given a number by the system. What does that number identify?,The program on disk,This particular run of the program,The user who started it,The position of the program in a menu,B,This particular run of the program,The number belongs to one run and not to the program. Starting the same program again produces a different number.,AUTHORED,
GB_OP_002,OS_PROCESSES,OP_C01_IDENTITY,OP_F01_A_RUNNING_THING_HAS_A_NUMBER,OP_FAM01_IDENTIFIER_ROLE,OP_RG_IDENTITY,D1,REMEMBER,mcq_single,A program is stopped and started again. What happens to the number it was given?,The same number is reused for the new run,The number is kept because the program is the same,The program has no number until it finishes,The new run receives a different number,D,The new run receives a different number,Each run is a separate process and gets its own number. Expecting the number to follow the program is what makes stale numbers dangerous later.,AUTHORED,
GB_OP_003,OS_PROCESSES,OP_C01_IDENTITY,OP_F01_A_RUNNING_THING_HAS_A_NUMBER,OP_FAM01_IDENTIFIER_ROLE,OP_RG_IDENTITY,D1,REMEMBER,mcq_single,The same program is started three times at once. How many numbers are in play?,"Three, one for each run","One, since it is the same program","One, with the three runs sharing it","None, since only one program is involved",A,"Three, one for each run","Three separate runs mean three separate processes, each with its own number. What they have in common is the program they were started from.",AUTHORED,
GB_OP_004,OS_PROCESSES,OP_C01_IDENTITY,OP_F01_A_RUNNING_THING_HAS_A_NUMBER,OP_FAM01_IDENTIFIER_ROLE,OP_RG_IDENTITY,D1,REMEMBER,mcq_single,Why does anything wanting to act on a running process need its number?,Because the number records how long it has been running,Because the number states how much memory it may use,Because the number is how a particular run is named,Because the number gives its position in the start order,C,Because the number is how a particular run is named,The number is an address for one run. Without it there would be no way to say which of several runs an instruction applies to.,AUTHORED,
GB_OP_005,OS_PROCESSES,OP_C01_IDENTITY,OP_F01_A_RUNNING_THING_HAS_A_NUMBER,OP_FAM01_IDENTIFIER_ROLE,OP_RG_IDENTITY,D2,REMEMBER,mcq_single,"A script records the number of a process it started, so that it can stop it later. A colleague says it should record the program name instead. What is the weakness of using the name?",Program names change too often to rely on,"Several runs of the same program may exist, and the name does not say which is meant",Program names cannot be recorded in a script,There is no weakness; the name is more reliable,B,"Several runs of the same program may exist, and the name does not say which is meant","The name identifies the program and the number identifies the run. When only one run exists the two agree, which is why the weakness stays hidden until it does not.",AUTHORED,
GB_OP_006,OS_PROCESSES,OP_C02_STATES,OP_F02_A_PROCESS_IS_NOT_ALWAYS_RUNNING,OP_FAM02_STATE_NAMING,OP_RG_LIFECYCLE,D1,REMEMBER,mcq_single,A process has asked to read from a file and is waiting for the data to arrive. What condition is it in?,Using the processor,Ready and waiting for the processor,Finished,"Blocked, waiting on something outside itself",D,"Blocked, waiting on something outside itself","It cannot proceed until the data arrives, so giving it the processor would achieve nothing. That is what distinguishes this from waiting for a turn.",AUTHORED,
GB_OP_007,OS_PROCESSES,OP_C02_STATES,OP_F02_A_PROCESS_IS_NOT_ALWAYS_RUNNING,OP_FAM02_STATE_NAMING,OP_RG_LIFECYCLE,D1,REMEMBER,mcq_single,A process has everything it needs and is simply waiting for its turn on the processor. What condition is it in?,"Ready, waiting only for the processor","Blocked, waiting on something outside itself",Using the processor,Finished,A,"Ready, waiting only for the processor","Nothing is missing except a turn, so it could run the instant one is available. A blocked process could not.",AUTHORED,
GB_OP_008,OS_PROCESSES,OP_C02_STATES,OP_F02_A_PROCESS_IS_NOT_ALWAYS_RUNNING,OP_FAM02_STATE_NAMING,OP_RG_LIFECYCLE,D1,REMEMBER,mcq_single,"Two processes are both described as ""not running"". What distinguishes them?",How long each has existed,How much memory each is using,Whether each is waiting only for a turn or waiting for something else entirely,Nothing; not running is a single condition,C,Whether each is waiting only for a turn or waiting for something else entirely,"Adding processors would help one and not the other, which is why the two are kept apart. Lumping them together makes every performance question unanswerable.",AUTHORED,
GB_OP_009,OS_PROCESSES,OP_C02_STATES,OP_F02_A_PROCESS_IS_NOT_ALWAYS_RUNNING,OP_FAM02_STATE_NAMING,OP_RG_LIFECYCLE,D2,REMEMBER,mcq_single,"A machine has many processes that are not running, and adding a faster processor makes no difference. What does that suggest about them?",They were waiting for the processor and the new one is too slow,They were waiting on something other than the processor,They have all finished,The measurement must have been taken incorrectly,B,They were waiting on something other than the processor,Processes waiting for a turn would have benefited from a faster processor. That nothing changed points at waits the processor cannot end.,AUTHORED,
GB_OP_010,OS_PROCESSES,OP_C03_RELATIONSHIPS,OP_F03_PROCESSES_ARE_STARTED_BY_PROCESSES,OP_FAM03_PARENT_CHILD,OP_RG_RELATIONSHIPS,D1,UNDERSTAND,mcq_single,A terminal session is used to start a long-running task. What is the relationship between the two processes?,The task started the terminal session,The task runs inside the terminal session as part of it,The two are unrelated once both are running,The terminal session started the task,D,The terminal session started the task,"One started the other, and that relationship is recorded. It is a relationship between two separate processes rather than one containing the other.",AUTHORED,
