questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CN_001,COMPUTER_NETWORKS,CN_C01_PURPOSE,CN_F01_NETWORK_MOVES_DATA_BETWEEN_MACHINES,CN_FAM01_NETWORK_ROLE,CN_RG_PURPOSE,D1,REMEMBER,mcq_single,What is needed for two machines to exchange data?,A browser on each machine,A connection between them and an agreed way of addressing each other,A connection to the internet,Both machines to be made by the same manufacturer,B,A connection between them and an agreed way of addressing each other,"A network is machines connected with a shared way of finding one another. The internet is one very large example rather than a requirement, and a browser is one program among many that uses a network.",AUTHORED,
GB_CN_002,COMPUTER_NETWORKS,CN_C01_PURPOSE,CN_F01_NETWORK_MOVES_DATA_BETWEEN_MACHINES,CN_FAM01_NETWORK_ROLE,CN_RG_PURPOSE,D1,REMEMBER,mcq_single,Two machines in one room are connected to each other and to nothing else. Is that a network?,No; a network must reach the internet,No; two machines are too few,"Yes, but only while data is actually moving",Yes; connected machines that can exchange data form a network whatever its size,D,Yes; connected machines that can exchange data form a network whatever its size,"What makes a network is the connection and the ability to exchange, not the scale or the reach. A network with no traffic is idle rather than nonexistent.",AUTHORED,
GB_CN_003,COMPUTER_NETWORKS,CN_C01_PURPOSE,CN_F01_NETWORK_MOVES_DATA_BETWEEN_MACHINES,CN_FAM01_NETWORK_ROLE,CN_RG_PURPOSE,D1,REMEMBER,mcq_single,Must both machines be switched on at the same moment for any exchange to be possible?,For a direct exchange yes; a message left with an intermediary can be collected later,"Yes, always; data cannot be held anywhere",No; data waits on the network until the other machine appears,No; the network stores everything sent over it,A,For a direct exchange yes; a message left with an intermediary can be collected later,"A direct conversation needs both ends present, and services that hold messages exist precisely so that they do not have to be. The network itself carries rather than stores.",AUTHORED,
GB_CN_004,COMPUTER_NETWORKS,CN_C01_PURPOSE,CN_F01_NETWORK_MOVES_DATA_BETWEEN_MACHINES,CN_FAM01_NETWORK_ROLE,CN_RG_PURPOSE,D1,REMEMBER,mcq_single,Is the internet the same thing as a network?,Yes; the two words mean the same thing,No; a network is part of a computer and the internet is outside it,No; the internet is a very large network built out of many smaller ones,Yes; every network is connected to the internet,C,No; the internet is a very large network built out of many smaller ones,Networks exist at every scale and most are not connected to the internet at all. Treating the two as synonyms makes a disconnected office network impossible to describe.,AUTHORED,
GB_CN_005,COMPUTER_NETWORKS,CN_C01_PURPOSE,CN_F01_NETWORK_MOVES_DATA_BETWEEN_MACHINES,CN_FAM01_NETWORK_ROLE,CN_RG_PURPOSE,D2,REMEMBER,mcq_single,A machine is connected to a network and cannot reach any other machine on it. What has to be true for it to succeed?,It must have a browser installed,It must be able to address the other machine and have a path to it,It must be the same kind of machine as the others,It must be switched on before the others,B,It must be able to address the other machine and have a path to it,Reaching another machine needs both a way to name it and a route that carries the data. A physical connection alone is not enough if either is missing.,AUTHORED,
GB_CN_006,COMPUTER_NETWORKS,CN_C02_ADDRESSES,CN_F02_MACHINES_HAVE_ADDRESSES_AND_NAMES,CN_FAM02_ADDRESS_VS_NAME,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,Which does a network use to decide where to send data?,The name,Either; they are interchangeable,"The name, converted to uppercase",The address,D,The address,"Routing works on addresses, and a name has to be looked up to obtain one first. The two exist for different audiences: names for people, addresses for machines.",AUTHORED,
GB_CN_007,COMPUTER_NETWORKS,CN_C02_ADDRESSES,CN_F02_MACHINES_HAVE_ADDRESSES_AND_NAMES,CN_FAM02_ADDRESS_VS_NAME,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,What is a name used for?,So that people can refer to a machine without remembering its address,So that the network can route data,So that the machine can identify itself to its operating system,So that two machines can share one address,A,So that people can refer to a machine without remembering its address,"A name is a convenience for people, resolved to an address before anything is sent. The network never sees it.",AUTHORED,
GB_CN_008,COMPUTER_NETWORKS,CN_C02_ADDRESSES,CN_F02_MACHINES_HAVE_ADDRESSES_AND_NAMES,CN_FAM02_ADDRESS_VS_NAME,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,Does one name always refer to the same machine?,Yes; a name is permanently tied to one machine,"Yes, unless the machine is switched off",No; the address a name points at can be changed at any time,No; a name refers to a different machine on each request,C,No; the address a name points at can be changed at any time,"The point of a name is that it can be redirected, which is how a service moves to new hardware without anybody learning a new address. It does not change on its own between requests.",AUTHORED,
GB_CN_009,COMPUTER_NETWORKS,CN_C02_ADDRESSES,CN_F02_MACHINES_HAVE_ADDRESSES_AND_NAMES,CN_FAM02_ADDRESS_VS_NAME,CN_RG_ADDRESSING,D2,REMEMBER,mcq_single,A name is entered in a browser. What has to happen before any data is sent to that machine?,The data is sent to the name and forwarded,The name is looked up to obtain an address,The machine announces its address to the browser,Nothing; names are routable in the same way as addresses,B,The name is looked up to obtain an address,"Nothing can be routed until an address exists, so the lookup happens first. Sending to a name would require every machine on the path to understand names.",AUTHORED,
GB_CN_010,COMPUTER_NETWORKS,CN_C03_PORTS,CN_F03_PORTS_DISTINGUISH_SERVICES,CN_FAM03_PORT_PURPOSE,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,What does a port identify?,Which machine the data is for,A physical socket the cable plugs into,How fast the data may be sent,Which service on a machine the data is for,D,Which service on a machine the data is for,The address gets data to the machine and the port decides which program on it receives them. The physical socket is a different thing that happens to share the word.,AUTHORED,
GB_CN_011,COMPUTER_NETWORKS,CN_C03_PORTS,CN_F03_PORTS_DISTINGUISH_SERVICES,CN_FAM03_PORT_PURPOSE,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,Two services on one machine try to use the same port. What happens?,"One of them fails to start, because a port can serve only one at a time","Both work, sharing the port",Both fail to start,The machine chooses a different port for one of them automatically,A,"One of them fails to start, because a port can serve only one at a time","A port has to identify one recipient unambiguously, so a second claim on it is refused. Nothing reassigns it, which is why the second service reports that the port is in use.",AUTHORED,
GB_CN_012,COMPUTER_NETWORKS,CN_C03_PORTS,CN_F03_PORTS_DISTINGUISH_SERVICES,CN_FAM03_PORT_PURPOSE,CN_RG_ADDRESSING,D1,REMEMBER,mcq_single,Can two different machines each run a service on the same port number?,No; a port number may be used once anywhere,"Yes, but only if the machines are on different networks",Yes; the port only has to be unique on its own machine,No; port numbers are assigned centrally,C,Yes; the port only has to be unique on its own machine,"A recipient is identified by an address and a port together, so the same port on two machines is two different destinations. That is why every web server can use the same port.",AUTHORED,
