questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_HP_001,HTTP,HP_C01_EXCHANGE,HP_F01_EXCHANGE_IS_REQUEST_THEN_RESPONSE,HP_FAM01_EXCHANGE_RECOGNITION,HP_RG_EXCHANGE,D1,REMEMBER,mcq_single,"In a web exchange, which side sends first?","The server, with a response","The client, with a request",Either; whichever is ready first,"Both at once, and the exchange settles afterwards",B,"The client, with a request",An exchange begins with a request and the response answers it. A server that could start the conversation would have to know which client to speak to and when.,AUTHORED,
GB_HP_002,HTTP,HP_C01_EXCHANGE,HP_F01_EXCHANGE_IS_REQUEST_THEN_RESPONSE,HP_FAM01_EXCHANGE_RECOGNITION,HP_RG_EXCHANGE,D1,REMEMBER,mcq_single,How many responses does a server send for one request?,None; the response is optional,"As many as it needs, over time",Two: one to acknowledge and one with the answer,One,D,One,"One request is answered by one response, even when that response reports a failure. A client waiting for an answer that never comes has no way to tell success from silence.",AUTHORED,
GB_HP_003,HTTP,HP_C01_EXCHANGE,HP_F01_EXCHANGE_IS_REQUEST_THEN_RESPONSE,HP_FAM01_EXCHANGE_RECOGNITION,HP_RG_EXCHANGE,D1,REMEMBER,mcq_single,A page is loaded and then the reader does nothing for an hour. What is passing between the browser and the server during that hour?,"Nothing, unless something on the page asks for more",A continuous stream keeping the page alive,"A response every few seconds, confirming the page is still valid","The page itself, sent repeatedly",A,"Nothing, unless something on the page asks for more","The exchange finished when the response arrived, and nothing continues by itself. Anything further requires a new request.",AUTHORED,
GB_HP_004,HTTP,HP_C01_EXCHANGE,HP_F01_EXCHANGE_IS_REQUEST_THEN_RESPONSE,HP_FAM01_EXCHANGE_RECOGNITION,HP_RG_EXCHANGE,D1,REMEMBER,mcq_single,A browser asks for a page and the server has no such page. What does the server send?,"Nothing, since there is nothing to send",The nearest page it does have,A response saying the page was not found,A request asking the browser to try again,C,A response saying the page was not found,"Every request gets a response, and reporting an absence is one of the things a response is for. Sending nothing would leave the browser unable to distinguish a missing page from a broken connection.",AUTHORED,
GB_HP_005,HTTP,HP_C01_EXCHANGE,HP_F01_EXCHANGE_IS_REQUEST_THEN_RESPONSE,HP_FAM01_EXCHANGE_RECOGNITION,HP_RG_EXCHANGE,D2,REMEMBER,mcq_single,A page contains three images. How many exchanges take place to display it fully?,One; the page arrives complete,Four: one for the page and one for each image,Two: one for the page and one for the images together,"Three: one per image, with the page included in the first",B,Four: one for the page and one for each image,"The page arrives first and names the images, and each of those is fetched by its own request. The browser cannot ask for the images before it has read the page that mentions them.",AUTHORED,
GB_HP_006,HTTP,HP_C02_METHODS,HP_F02_METHODS_STATE_INTENT,HP_FAM02_METHOD_RECOGNITION,HP_RG_METHODS,D1,REMEMBER,mcq_single,"A request uses the method that means ""give me this"". What is it asking for?",A change to be made on the server,A record to be deleted,A new record to be created,"Data, without changing anything",D,"Data, without changing anything","A fetch states an intention to read. The other three describe changes, which a different method exists to express.",AUTHORED,
GB_HP_007,HTTP,HP_C02_METHODS,HP_F02_METHODS_STATE_INTENT,HP_FAM02_METHOD_RECOGNITION,HP_RG_METHODS,D1,REMEMBER,mcq_single,"A request uses the method that means ""here is something to store"". What is it asking for?",A change on the server,Data to be returned unchanged,The connection to be closed,The page to be reloaded,A,A change on the server,"A submitting method states an intention to change something. The response may still return data, and that is not what the method is for.",AUTHORED,
GB_HP_008,HTTP,HP_C02_METHODS,HP_F02_METHODS_STATE_INTENT,HP_FAM02_METHOD_RECOGNITION,HP_RG_METHODS,D1,REMEMBER,mcq_single,Who decides which method a request uses?,"The server, when it decides how to answer","The protocol, according to the address","The client, when it makes the request","The browser, according to the page size",C,"The client, when it makes the request","The method states what the client intends, so the client chooses it. The server may refuse, which is a different matter from choosing.",AUTHORED,
GB_HP_009,HTTP,HP_C02_METHODS,HP_F02_METHODS_STATE_INTENT,HP_FAM02_METHOD_RECOGNITION,HP_RG_METHODS,D2,REMEMBER,mcq_single,"A request made with a fetch method changes a record on the server. Is that possible, and is it appropriate?",Impossible; the protocol prevents it,"Possible, because nothing enforces the meaning, and inappropriate, because everything treats a fetch as safe to repeat","Possible and appropriate, if it is what the application needs",Impossible; the server would refuse the request,B,"Possible, because nothing enforces the meaning, and inappropriate, because everything treats a fetch as safe to repeat","The method is a statement of intent rather than a rule the protocol enforces, so a fetch that changes things will work. Everything from browsers to caches assumes a fetch is repeatable, which is what makes it a poor choice rather than an impossible one.",AUTHORED,
GB_HP_010,HTTP,HP_C03_STATUS,HP_F03_STATUS_CLASSES_HAVE_MEANINGS,HP_FAM03_STATUS_CLASS_RECOGNITION,HP_RG_STATUS,D1,REMEMBER,mcq_single,A response carries a status in the 400 range. What does that indicate?,The server failed while handling the request,The request succeeded,The request should be sent to a different address,The request was refused because of something about the request itself,D,The request was refused because of something about the request itself,"The 400 range places the problem on the client side — a bad address, missing identification, a malformed body. A server failure falls in a different range.",AUTHORED,
GB_HP_011,HTTP,HP_C03_STATUS,HP_F03_STATUS_CLASSES_HAVE_MEANINGS,HP_FAM03_STATUS_CLASS_RECOGNITION,HP_RG_STATUS,D1,REMEMBER,mcq_single,A response carries a status in the 500 range. What does that indicate?,The server failed while handling a request that may have been perfectly valid,The request was malformed,The request succeeded,The address does not exist,A,The server failed while handling a request that may have been perfectly valid,"The 500 range says the fault is on the server side, so resending the same request unchanged is reasonable. A malformed request would be reported in the 400 range instead.",AUTHORED,
GB_HP_012,HTTP,HP_C03_STATUS,HP_F03_STATUS_CLASSES_HAVE_MEANINGS,HP_FAM03_STATUS_CLASS_RECOGNITION,HP_RG_STATUS,D1,REMEMBER,mcq_single,"A response carries a status in the 300 range, telling the client to look elsewhere. Did the request fail?",Yes; anything other than success is a failure,Yes; the resource does not exist,"No; the client is being told where to go next, which is a normal outcome",No; the response is the resource itself,C,"No; the client is being told where to go next, which is a normal outcome","A redirection is an instruction rather than a failure, and following it usually succeeds. Treating every non-success status as a failure loses that distinction.",AUTHORED,
GB_HP_013,HTTP,HP_C03_STATUS,HP_F03_STATUS_CLASSES_HAVE_MEANINGS,HP_FAM03_STATUS_CLASS_RECOGNITION,HP_RG_STATUS,D2,REMEMBER,mcq_single,A request returns a success status and an empty body. Did it fail?,Yes; an empty body means the server failed,No; the request succeeded and the answer happens to be empty,Yes; a success status with no data is a contradiction,It cannot be said without the status number,B,No; the request succeeded and the answer happens to be empty,"A search that matched nothing succeeds and returns nothing, which is exactly this. Reading an empty answer as a failure confuses ""no results"" with ""no answer"".",AUTHORED,
GB_HP_014,HTTP,HP_C01_EXCHANGE,HP_F04_REQUEST_HAS_PARTS,HP_FAM04_MESSAGE_PARTS,HP_RG_EXCHANGE,D2,UNDERSTAND,mcq_single,"A request shows: a method, an address, several lines of the form name: value, a blank line, and then some data. Which part are the name-and-value lines?","The body, which carries the data","The address, split across lines","The status, reporting the outcome","The headers, which describe the message",D,"The headers, which describe the message",Headers sit between the first line and the blank line and describe the message rather than carrying its content. The data after the blank line is the body.,AUTHORED,
GB_HP_015,HTTP,HP_C01_EXCHANGE,HP_F04_REQUEST_HAS_PARTS,HP_FAM04_MESSAGE_PARTS,HP_RG_EXCHANGE,D3,UNDERSTAND,mcq_single,"In the same request, what separates the headers from the body?",A blank line,A header naming the body's length,"The address, which comes between them",Nothing; the reader has to infer where the body begins,A,A blank line,"A blank line marks the end of the headers, which is what lets a reader know where the body starts without counting. A length header describes the body and does not delimit it.",AUTHORED,
GB_HP_016,HTTP,HP_C04_STATELESS,HP_F05_REQUESTS_ARE_INDEPENDENT,HP_FAM05_STATELESSNESS,HP_RG_STATE,D2,UNDERSTAND,mcq_single,"A client makes a request, and then a second one a minute later. What does the server remember about the first by default?","Everything, for as long as the browser stays open","The address requested, but not the data sent",Nothing; each request arrives without any memory of the last,Whether the client was logged in,C,Nothing; each request arrives without any memory of the last,"Each request is independent, and anything the server is to know must arrive with it. That is why identifying information travels in every request rather than being established once.",AUTHORED,
GB_HP_017,HTTP,HP_C04_STATELESS,HP_F05_REQUESTS_ARE_INDEPENDENT,HP_FAM05_STATELESSNESS,HP_RG_STATE,D3,UNDERSTAND,mcq_single,"How does a server recognise the same user across several requests, given that it remembers nothing by default?",The connection stays open and identifies the user,"Something identifying is sent with each request, and the server looks it up",The server recognises the address the requests come from,"The browser tells the server it is the same user, and the server trusts it",B,"Something identifying is sent with each request, and the server looks it up","Recognition is rebuilt on every request from something the client sends. An address identifies a network location rather than a person, and many people can share one.",AUTHORED,
GB_HP_018,HTTP,HP_C02_METHODS,HP_F06_METHOD_CHOICE_HAS_CONSEQUENCES,HP_FAM06_METHOD_SELECTION,HP_RG_METHODS,D2,ANALYZE,mcq_single,A page must show a list of orders without changing anything. Which method fits?,"A submitting method, because data is being returned","A deleting method, because the list may shrink",Either; the method makes no difference for reading,"A fetch, because nothing is being changed",D,"A fetch, because nothing is being changed","The method states intent, and the intent here is to read. Everything that handles the request is entitled to assume a fetch is safe to repeat.",AUTHORED,
GB_HP_019,HTTP,HP_C02_METHODS,HP_F06_METHOD_CHOICE_HAS_CONSEQUENCES,HP_FAM06_METHOD_SELECTION,HP_RG_METHODS,D3,ANALYZE,mcq_single,A form places an order. What goes wrong if it is submitted with a fetch?,Reloading the page or following a link back can place the order again,The order will not be recorded at all,The server will refuse the request,Nothing; the method is a matter of style,A,Reloading the page or following a link back can place the order again,"A fetch is treated as repeatable by browsers, caches and users, so a request that changes something can be replayed. The order is recorded perfectly well the first time, which is what makes the problem easy to miss.",AUTHORED,
