questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CB_001,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F01_COMPARISON_OPERATORS,CB_FAM01_OPERATOR_MEANING,CB_RG_COMPARISON,D1,REMEMBER,mcq_single,Both x and y hold 7. Is the comparison x < y true?,"Yes, because the values are equal","No, because the values are equal and < excludes equality","Yes, because < allows the two to be the same",It cannot be decided; equal values have no ordering,B,"No, because the values are equal and < excludes equality","A strict comparison asks whether one value is genuinely below the other, and equal values are not. Swapping to <= would make it true, which is exactly the difference between the two operators.",AUTHORED,
GB_CB_002,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F01_COMPARISON_OPERATORS,CB_FAM01_OPERATOR_MEANING,CB_RG_COMPARISON,D1,REMEMBER,mcq_single,A queue admits someone when position <= limit. Both position and limit hold 7. Is that person admitted?,"No, because neither of the two is below the other","No, because <= requires the left-hand value to be the smaller",It cannot be settled until the two values differ,"Yes, because the two are equal and <= includes equality",D,"Yes, because the two are equal and <= includes equality","The operator holds when the left-hand value is below the right or equal to it, and here the second case applies, so the person is admitted. The strict form would refuse them on exactly the same numbers.",AUTHORED,
GB_CB_003,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F01_COMPARISON_OPERATORS,CB_FAM01_OPERATOR_MEANING,CB_RG_COMPARISON,D1,REMEMBER,mcq_single,Both a and b hold 4. What does the comparison a == b produce?,true,4,It stores 4 in a,"An error, because == is not an assignment",A,true,"A double equals asks whether two values are the same and answers true or false. A single equals would store rather than compare, which is the distinction the two symbols exist to keep apart.",AUTHORED,
GB_CB_004,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F01_COMPARISON_OPERATORS,CB_FAM01_OPERATOR_MEANING,CB_RG_COMPARISON,D1,REMEMBER,mcq_single,Both m and n hold 10. Is the comparison m != n true?,"Yes, because the names are different","Yes, because != is true whenever two names are compared","No, because the values are the same",It cannot be decided without knowing the type,C,"No, because the values are the same","The comparison is about the values held, not the names holding them. Two different names can perfectly well hold the same value, and here they do.",AUTHORED,
GB_CB_005,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F01_COMPARISON_OPERATORS,CB_FAM01_OPERATOR_MEANING,CB_RG_COMPARISON,D2,REMEMBER,mcq_single,A threshold is 18 and the value being checked is exactly 18. Which of these comparisons is false?,value >= threshold,value > threshold,value == threshold,value <= threshold,B,value > threshold,"At exactly the threshold, every comparison that includes equality holds and the one strict comparison does not. This is why the boundary is the only place the operators can be told apart.",AUTHORED,
GB_CB_006,CONDITIONALS_BASICS,CB_C02_BOOLEANS,CB_F02_CONDITIONS_YIELD_BOOLEANS,CB_FAM02_BOOLEAN_RECOGNITION,CB_RG_BOOLEANS,D1,REMEMBER,mcq_single,A program evaluates the comparison 5 > 3. What kind of value does it produce?,The number 5,The number 3,"The text ""5 > 3""",A true-or-false value,D,A true-or-false value,"A comparison answers a question, and the answer is one of two values. Neither operand is the result, and nothing about the comparison is kept as text.",AUTHORED,
GB_CB_007,CONDITIONALS_BASICS,CB_C02_BOOLEANS,CB_F02_CONDITIONS_YIELD_BOOLEANS,CB_FAM02_BOOLEAN_RECOGNITION,CB_RG_BOOLEANS,D1,REMEMBER,mcq_single,A program runs result = (4 > 2). What does result hold afterwards?,true,4,2,Nothing; a comparison cannot be stored in a variable,A,true,"The comparison is worked out first and its answer is stored, exactly as any other value would be. Storing the answer to a question is ordinary, and it is what lets a condition be decided once and used later.",AUTHORED,
GB_CB_008,CONDITIONALS_BASICS,CB_C02_BOOLEANS,CB_F02_CONDITIONS_YIELD_BOOLEANS,CB_FAM02_BOOLEAN_RECOGNITION,CB_RG_BOOLEANS,D1,REMEMBER,mcq_single,Which of these is a true-or-false value rather than text?,"""true""","""True""",true,"""false""",C,true,"The quoted forms are pieces of text that happen to spell the words. Text is never empty and so behaves as true in a condition regardless of what it spells, which makes the quoted version of false particularly misleading.",AUTHORED,
GB_CB_009,CONDITIONALS_BASICS,CB_C02_BOOLEANS,CB_F02_CONDITIONS_YIELD_BOOLEANS,CB_FAM02_BOOLEAN_RECOGNITION,CB_RG_BOOLEANS,D2,REMEMBER,mcq_single,A program runs flag = (2 > 9) and then tests if flag:. Does the body run?,"Yes, because flag holds a value and so is true","No, because the comparison produced false and that is what flag holds","Yes, because the comparison was successfully carried out","No, because a stored comparison cannot be tested again",B,"No, because the comparison produced false and that is what flag holds","What flag holds is the answer to the comparison, not the fact that a comparison happened. The comparison ran perfectly well and produced false; testing that stored answer is exactly the point of keeping it.",AUTHORED,
GB_CB_010,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM03_STRUCTURE_RECOGNITION,CB_RG_STRUCTURE,D1,UNDERSTAND,mcq_single,"A fragment reads: if x > 0: / [indented] print(""A"") / print(""B""), where only the first print is indented. Which lines run when x is 5?",Only the first print runs,Only the second print runs,"Neither runs, because the second is outside the conditional",Both prints run,D,Both prints run,The indented line belongs to the conditional and runs because the condition held; the unindented line sits after the conditional and runs regardless. Both therefore run here.,AUTHORED,
GB_CB_011,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM03_STRUCTURE_RECOGNITION,CB_RG_STRUCTURE,D1,UNDERSTAND,mcq_single,"The same fragment reads: if x > 0: / [indented] print(""A"") / print(""B""). Which lines run when x is -5?",Only the second print runs,Neither runs,Both run,Only the first print runs,A,Only the second print runs,"The condition fails, so the indented line is skipped, but the unindented line was never part of the conditional and runs anyway. Reading it as part of the branch is the misreading this measures.",AUTHORED,
GB_CB_012,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM03_STRUCTURE_RECOGNITION,CB_RG_STRUCTURE,D1,UNDERSTAND,mcq_single,"In a fragment with an if branch and an else branch, how many of the two branches run on any single pass?","Both, in the order written","Neither, unless the condition is stored first",Exactly one,It depends on how many lines each branch contains,C,Exactly one,The condition selects one branch and the other is skipped entirely. Neither the length of the branches nor anything stored beforehand changes that.,AUTHORED,
GB_CB_013,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM03_STRUCTURE_RECOGNITION,CB_RG_STRUCTURE,D2,UNDERSTAND,mcq_single,"A fragment reads: if x > 0: / [indented] print(""A"") / else: / [indented] print(""B"") / print(""C""). How many lines of output appear for any value of x?","One, whichever branch is chosen","Two: one from the chosen branch, and C","Three, since every print is reached","Two: A and B, with C only when the condition holds",B,"Two: one from the chosen branch, and C","One branch runs and the other does not, so the branches contribute exactly one line between them; the unindented line after the conditional then always runs. The total is the same whatever x holds.",AUTHORED,
GB_CB_014,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F04_CONDITION_EVALUATION,CB_FAM04_CONDITION_EVALUATION,CB_RG_COMPARISON,D2,APPLY,mcq_single,"A program sets balance = 500 and price = 450, then sets price = 500, then tests balance >= price. Does the condition hold?","No; the two are now equal, and the operator needs the left value to be larger","Yes; it is checked against 450, the value price held first",No; a comparison of two equal values produces neither answer,"Yes; the two are now equal, and the operator includes equality",D,"Yes; the two are now equal, and the operator includes equality","A condition looks at what the names hold when it runs, which here is 500 on both sides. The earlier 450 has been replaced and plays no part, and equal values are handled by whether the operator admits equality.",LEGACY_REMAP,45bd85
GB_CB_015,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F04_CONDITION_EVALUATION,CB_FAM04_CONDITION_EVALUATION,CB_RG_COMPARISON,D2,APPLY,mcq_single,A program sets stock = 3 and then tests stock > 5. Does the condition hold?,No; 3 is not above 5,Yes; the comparison is read as 5 being above 3,"Yes; stock holds a value, so the check passes",It cannot be decided without a second value to compare against,A,No; 3 is not above 5,"The name on the left is the one being asked about, so the question is whether 3 exceeds 5. Reading the comparison in the other direction is the commonest way to get the answer exactly backwards.",AUTHORED,
GB_CB_016,CONDITIONALS_BASICS,CB_C01_COMPARISON,CB_F04_CONDITION_EVALUATION,CB_FAM04_CONDITION_EVALUATION,CB_RG_COMPARISON,D3,APPLY,mcq_single,"A program sets total = 20, then total = total - 8, then tests total < 15. Does the condition hold?",No; total holds 20 when the test runs,No; 12 is not below 15,Yes; total holds 12 by the time the test runs,Yes; but only because the subtraction happens again during the test,C,Yes; total holds 12 by the time the test runs,"The subtraction has already replaced what total holds, so the test sees 12 and 12 is below 15. Evaluating against the original 20 is the slip; nothing is recomputed while the condition is checked.",AUTHORED,
GB_CB_017,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM05_BRANCH_SELECTION,CB_RG_STRUCTURE,D2,APPLY,mcq_single,"A fragment reads: IF marks >= 40 PRINT ""Pass"" ELSE PRINT ""Fail"". The marks are 75. What is printed?",Fail,Pass,Both Pass and Fail,"Nothing, because the condition only checks and does not print",B,Pass,"75 satisfies the condition, so the first branch runs and the second is skipped entirely. Only one of the two branches can ever print, and one of them always does.",LEGACY_REWRITE,76f466
GB_CB_018,CONDITIONALS_BASICS,CB_C03_IF_STRUCTURE,CB_F03_ONE_BRANCH_RUNS,CB_FAM05_BRANCH_SELECTION,CB_RG_STRUCTURE,D2,APPLY,mcq_single,"A fragment reads: IF stock > 0 PRINT ""Available"" ELSE PRINT ""Out of stock"". The stock is 0. What is printed?",Available,Both Available and Out of stock,"Nothing, because 0 is neither above nor below the threshold",Out of stock,D,Out of stock,"A strict comparison excludes the boundary, so a stock of 0 fails the condition and the else branch runs. The boundary is always handled by one branch or the other; it is never left undecided.",LEGACY_REWRITE,747b8a
