questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_GA_001,GENERATIVE_AI_LLM,GA_C01_PIECES,GA_F01_TEXT_IS_HANDLED_IN_PIECES,GA_FAM01_TOKEN_RECOGNITION,GA_RG_MECHANISM,D1,REMEMBER,mcq_single,A language model is described as processing text in units. What are those units usually like?,Individual characters,Pieces often smaller than a word,Whole words only,Complete sentences,B,Pieces often smaller than a word,The units are commonly fragments — a common word may be one piece while an unusual one is split into several. Characters and whole words are the two natural guesses and neither is how these systems work.,AUTHORED,
GB_GA_002,GENERATIVE_AI_LLM,GA_C01_PIECES,GA_F01_TEXT_IS_HANDLED_IN_PIECES,GA_FAM01_TOKEN_RECOGNITION,GA_RG_MECHANISM,D1,REMEMBER,mcq_single,A common short word and a long unusual one are given to a model. What can be said about how many pieces each becomes?,"Both become one piece each, since both are words","Both become the same number of pieces, since length is what matters","The common one becomes more pieces, since it appears more often",The unusual one is likely to become more pieces than the common one,D,The unusual one is likely to become more pieces than the common one,Frequent words tend to be single pieces and rare ones get broken up. That is why length in letters is a poor guide to how much of a system limit a passage consumes.,AUTHORED,
GB_GA_003,GENERATIVE_AI_LLM,GA_C01_PIECES,GA_F01_TEXT_IS_HANDLED_IN_PIECES,GA_FAM01_TOKEN_RECOGNITION,GA_RG_MECHANISM,D1,REMEMBER,mcq_single,A limit on how much a model can handle at once is quoted in units rather than in words. Why does that matter to someone estimating whether a document fits?,Because the count of units does not follow directly from the count of words,Because units are always larger than words,Because the limit changes as the document is read,It does not matter; the two counts are interchangeable,A,Because the count of units does not follow directly from the count of words,A passage of unusual terms uses more units than an equally long passage of ordinary prose. Estimating from word count alone can be some way out in either direction.,AUTHORED,
GB_GA_004,GENERATIVE_AI_LLM,GA_C01_PIECES,GA_F01_TEXT_IS_HANDLED_IN_PIECES,GA_FAM01_TOKEN_RECOGNITION,GA_RG_MECHANISM,D1,REMEMBER,mcq_single,Does the way text is broken into units affect what a model can do with it?,No; the division is only a matter of storage,No; the model reconstructs the original text before working on it,"Yes; the units are what the model works with, so the division is part of the mechanism",Only for text that is not in English,C,"Yes; the units are what the model works with, so the division is part of the mechanism","Everything the model does happens over these pieces. That is why tasks about individual letters, such as counting them in a word, are harder than they look.",AUTHORED,
GB_GA_005,GENERATIVE_AI_LLM,GA_C01_PIECES,GA_F01_TEXT_IS_HANDLED_IN_PIECES,GA_FAM01_TOKEN_RECOGNITION,GA_RG_MECHANISM,D2,REMEMBER,mcq_single,"A model is asked how many times a particular letter appears in a long word, and gets it wrong. What does the mechanism suggest about why?",The model cannot count at all,The word may have arrived as one or two pieces rather than as separate letters,The model was not trained on that word,The model refuses questions about spelling,B,The word may have arrived as one or two pieces rather than as separate letters,"Individual letters are not what the system works with, so a question about them asks it to reason about something below the level it operates on. It answers anyway, which is why the error is confident.",AUTHORED,
GB_GA_006,GENERATIVE_AI_LLM,GA_C02_CONTEXT,GA_F02_ONLY_THE_CONTEXT_IS_VISIBLE,GA_FAM02_CONTEXT_CONTENT,GA_RG_CONTEXT,D1,REMEMBER,mcq_single,"A user asks a model about a file open on their computer, without pasting any of it. What can the model see?","The open file, since it is on the same machine",Every file the user has recently opened,The file name but not its contents,Only the text of the question itself,D,Only the text of the question itself,A model responds to the text in front of it and has no access to the machine. Nothing about the file reached it.,AUTHORED,
GB_GA_007,GENERATIVE_AI_LLM,GA_C02_CONTEXT,GA_F02_ONLY_THE_CONTEXT_IS_VISIBLE,GA_FAM02_CONTEXT_CONTENT,GA_RG_CONTEXT,D1,REMEMBER,mcq_single,"A user had a conversation yesterday in a separate session. Today, with no memory feature enabled, they refer to it. What can the model see?",Only what is in front of it today,"Yesterday conversation, since it was with the same user",A summary of yesterday conversation,Every conversation the model has ever had,A,Only what is in front of it today,"Each session presents its own text and nothing else. Whether a product adds a memory feature on top is a separate decision, and this one has not.",AUTHORED,
GB_GA_008,GENERATIVE_AI_LLM,GA_C02_CONTEXT,GA_F02_ONLY_THE_CONTEXT_IS_VISIBLE,GA_FAM02_CONTEXT_CONTENT,GA_RG_CONTEXT,D1,REMEMBER,mcq_single,"Within a single conversation, what does a model have available when answering the fifth question?",Only the fifth question,Only the first question and the fifth,"The earlier questions and answers, as far as they still fit",The fifth question and a summary of the rest,C,"The earlier questions and answers, as far as they still fit","The exchange so far is presented to the model each time, which is why it can refer back. That availability lasts only while the material still fits.",AUTHORED,
GB_GA_009,GENERATIVE_AI_LLM,GA_C02_CONTEXT,GA_F02_ONLY_THE_CONTEXT_IS_VISIBLE,GA_FAM02_CONTEXT_CONTENT,GA_RG_CONTEXT,D2,REMEMBER,mcq_single,A user pastes a document into the conversation and asks a question about it. Later in the same conversation the model answers about the document accurately. What accounts for that?,The model retrieved the document from where it is stored,"The document is in front of the model, because it was pasted in",The model memorised the document during training,The model was updated with the document,B,"The document is in front of the model, because it was pasted in","Pasting it put it into what the model can see. Nothing was stored, retrieved or learned; the text is simply present.",AUTHORED,
GB_GA_010,GENERATIVE_AI_LLM,GA_C03_WHEN_LEARNING_HAPPENS,GA_F03_TRAINING_HAPPENED_BEFORE,GA_FAM03_TRAINING_VS_USE,GA_RG_MECHANISM,D1,UNDERSTAND,mcq_single,"A user corrects a model, which then gives a better answer. Has the model been trained by the correction?",Yes; that is what training means,"Yes, but only for this user","No, and the improved answer must be a coincidence","No; the correction is now part of what it can see, which is a different thing",D,"No; the correction is now part of what it can see, which is a different thing",The improvement is real and its cause is the context rather than training. The correction sits in front of the model exactly as any other text does.,AUTHORED,
