questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_AR_001,AI_RESPONSIBLE_USE,AR_C01_FABRICATION,AR_F01_INVENTED_DETAIL_IS_SPECIFIC,AR_FAM01_FABRICATION_RECOGNITION,AR_RG_FABRICATION,D1,REMEMBER,mcq_single,An output contains four statements. Which is most likely to be invented?,A statement that the topic is widely debated,A named study from 2019 with two authors and a page range,A statement that more research would be useful,A statement that the question is difficult to answer,B,A named study from 2019 with two authors and a page range,"Invention produces precise, well-formed detail because that is what the surrounding text calls for. The three vague statements are nearly always safe and nearly always useless.",AUTHORED,
GB_AR_002,AI_RESPONSIBLE_USE,AR_C01_FABRICATION,AR_F01_INVENTED_DETAIL_IS_SPECIFIC,AR_FAM01_FABRICATION_RECOGNITION,AR_RG_FABRICATION,D1,REMEMBER,mcq_single,What does a fabricated detail typically look like?,Vague and hedged,Obviously unusual in wording,Marked as uncertain by the system,"Specific, correctly formatted and entirely ordinary",D,"Specific, correctly formatted and entirely ordinary",Nothing about a fabricated detail announces itself. It is produced by the same process as a correct one and comes out looking the same.,AUTHORED,
GB_AR_003,AI_RESPONSIBLE_USE,AR_C01_FABRICATION,AR_F01_INVENTED_DETAIL_IS_SPECIFIC,AR_FAM01_FABRICATION_RECOGNITION,AR_RG_FABRICATION,D1,REMEMBER,mcq_single,An output gives a statistic to one decimal place and attributes it to a named organisation. What follows from the precision?,Nothing; precision is not evidence about accuracy,That the figure came from a real source,That the figure was computed rather than recalled,That the figure is current,A,Nothing; precision is not evidence about accuracy,"A precise figure is what the sentence needed, whether or not one exists. Precision reads as authority and carries none.",AUTHORED,
GB_AR_004,AI_RESPONSIBLE_USE,AR_C01_FABRICATION,AR_F01_INVENTED_DETAIL_IS_SPECIFIC,AR_FAM01_FABRICATION_RECOGNITION,AR_RG_FABRICATION,D1,REMEMBER,mcq_single,Which part of an output about a legal question most needs checking before use?,The general description of how the law works,The observation that the area is complex,The section number of the statute it cites,The suggestion to consult a professional,C,The section number of the statute it cites,"A section number is precise, checkable, and exactly the kind of detail that gets invented. The general description is harder to falsify and easier to verify loosely.",AUTHORED,
GB_AR_005,AI_RESPONSIBLE_USE,AR_C01_FABRICATION,AR_F01_INVENTED_DETAIL_IS_SPECIFIC,AR_FAM01_FABRICATION_RECOGNITION,AR_RG_FABRICATION,D2,REMEMBER,mcq_single,A student says they can tell fabricated output apart because it sounds less confident. What is wrong with that?,Nothing; confidence is a reliable signal,"Fabricated output is typically as confident as accurate output, since both are produced the same way","Fabricated output is more confident, so the test is backwards",Fabricated output cannot be told apart by any means,B,"Fabricated output is typically as confident as accurate output, since both are produced the same way","Manner is not correlated with accuracy in either direction. It can be told apart, by checking the claim against something outside the system.",AUTHORED,
GB_AR_006,AI_RESPONSIBLE_USE,AR_C02_CONFIDENTIALITY,AR_F02_SOME_MATERIAL_IS_NOT_YOURS_TO_SEND,AR_FAM02_CONFIDENTIAL_INPUT,AR_RG_CONFIDENTIALITY,D1,REMEMBER,mcq_single,Which of these should not be pasted into an external service?,A published product manual,A page from the company public website,An error message from open-source software,A customer list including names and addresses,D,A customer list including names and addresses,The customer list belongs to the people in it and to the company. The other three are already public and pasting them discloses nothing.,AUTHORED,
GB_AR_007,AI_RESPONSIBLE_USE,AR_C02_CONFIDENTIALITY,AR_F02_SOME_MATERIAL_IS_NOT_YOURS_TO_SEND,AR_FAM02_CONFIDENTIAL_INPUT,AR_RG_CONFIDENTIALITY,D1,REMEMBER,mcq_single,A developer wants to paste twenty lines from a private codebase to ask about an error. What decides whether that is acceptable?,"Whether those lines are confidential, rather than how few of them there are","The number of lines, since twenty is a small extract",Whether the error is serious,Whether the developer wrote the lines themselves,A,"Whether those lines are confidential, rather than how few of them there are",A short extract of confidential material is still confidential. Authorship does not transfer ownership when the work was done for an employer.,AUTHORED,
GB_AR_008,AI_RESPONSIBLE_USE,AR_C02_CONFIDENTIALITY,AR_F02_SOME_MATERIAL_IS_NOT_YOURS_TO_SEND,AR_FAM02_CONFIDENTIAL_INPUT,AR_RG_CONFIDENTIALITY,D1,REMEMBER,mcq_single,Which of these is confidential in a way that pasting would breach?,A public holiday calendar,The office opening hours,A colleague medical certificate,A published organisational chart,C,A colleague medical certificate,Information about an identified person health belongs to them. The others are routinely published and concern nobody in particular.,AUTHORED,
GB_AR_009,AI_RESPONSIBLE_USE,AR_C02_CONFIDENTIALITY,AR_F02_SOME_MATERIAL_IS_NOT_YOURS_TO_SEND,AR_FAM02_CONFIDENTIAL_INPUT,AR_RG_CONFIDENTIALITY,D2,REMEMBER,mcq_single,"A developer replaces the customer names in a file with placeholders before pasting it, but leaves the account numbers, dates and amounts. Is the file now safe to paste?","Yes, since the names have been removed",No; the remaining fields may still identify people and are themselves confidential,"Yes, provided the placeholders are consistent","No, because placeholders make the question harder to answer",B,No; the remaining fields may still identify people and are themselves confidential,"Removing names removes one identifier and not the others, and account numbers are sensitive in their own right. Partial removal is where this goes wrong most often.",AUTHORED,
GB_AR_010,AI_RESPONSIBLE_USE,AR_C03_ATTRIBUTION,AR_F03_DISCLOSURE_DEPENDS_ON_WHAT_WAS_BEING_ASSESSED,AR_FAM03_DISCLOSURE_NEED,AR_RG_INTEGRITY,D1,UNDERSTAND,mcq_single,"A course states: ""Assistance of any kind must be acknowledged in a note at the end of the submission."" A student used a tool to check their spelling. What does the rule require?","Nothing, since spelling is trivial","Nothing, since spelling checkers are standard",A note only if the tool changed the meaning,"A note acknowledging it, since the rule covers assistance of any kind",D,"A note acknowledging it, since the rule covers assistance of any kind",The rule as quoted admits no exception for how small the help was. Whether the rule should be that broad is a different question from what it says.,AUTHORED,
