questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_DA_001,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F01_ARRAY_IS_INDEXED_SEQUENCE,DA_FAM01_INDEX_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,"An array holds 40, 55, 62, 77. What value is at position 0?",55,40,77,There is no position 0,B,40,"Positions are counted from zero, so position 0 holds the first value. Counting from one would give the second value instead.",AUTHORED,
GB_DA_002,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F01_ARRAY_IS_INDEXED_SEQUENCE,DA_FAM01_INDEX_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,"An array holds red, green, blue, white, black. At what position is white?",4,2,5,3,D,3,"Counting red as position 0 puts white at position 3. Answering 4 counts from one, which is the commonest source of an off-by-one fault later.",AUTHORED,
GB_DA_003,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F01_ARRAY_IS_INDEXED_SEQUENCE,DA_FAM01_INDEX_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,"An array holds 9, 4, 7, 1, 6. What value is at the last valid position?",6,1,5,There is no last position until the array is full,A,6,"The last valid position holds the final value, which is 6. Answering 1 stops one position short, and 5 reports how many values there are rather than any of them.",AUTHORED,
GB_DA_004,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F01_ARRAY_IS_INDEXED_SEQUENCE,DA_FAM01_INDEX_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,An array holds 3 values. Which of these is a valid position?,3,4,1,-2,C,1,"Three values occupy positions 0, 1 and 2, so 1 is inside the array and 3 is one past the end. Using the count as a position is the single commonest array fault.",AUTHORED,
GB_DA_005,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F01_ARRAY_IS_INDEXED_SEQUENCE,DA_FAM01_INDEX_RECOGNITION,DA_RG_ACCESS,D2,REMEMBER,mcq_single,"A collection holds 10, 20, 30, and a program reads the value at position 1. What does it get?",10,20,30,1,B,20,"Counting from zero makes position 1 the second value, which is 20. Answering 10 counts from one, and 1 reports the position rather than what is stored there.",LEGACY_REMAP,661b00
GB_DA_006,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F02_LENGTH_IS_NOT_LAST_INDEX,DA_FAM02_LENGTH_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,An array holds 6 values. What is its last valid position?,6,7,0,5,D,5,"Six values occupy positions 0 to 5, so the last is one below the count. Treating the length as a position reads one past the end.",AUTHORED,
GB_DA_007,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F02_LENGTH_IS_NOT_LAST_INDEX,DA_FAM02_LENGTH_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,An array occupies positions 0 to 8. How many values does it hold?,9,8,10,7,A,9,"Positions 0 to 8 inclusive is 9 positions, because the count includes both ends. Subtracting the two numbers gives 8 and forgets that both ends are occupied.",AUTHORED,
GB_DA_008,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F02_LENGTH_IS_NOT_LAST_INDEX,DA_FAM02_LENGTH_RECOGNITION,DA_RG_ACCESS,D1,REMEMBER,mcq_single,An array holds no values at all. What is its length?,1,Undefined,0,It cannot exist,C,0,"An empty array is a perfectly ordinary array whose length is zero. It has no valid positions at all, which is different from having one.",AUTHORED,
GB_DA_009,DSA_ARRAYS,DA_C01_STRUCTURE,DA_F02_LENGTH_IS_NOT_LAST_INDEX,DA_FAM02_LENGTH_RECOGNITION,DA_RG_ACCESS,D2,REMEMBER,mcq_single,Someone says an array's length and its last valid position are the same number. When is that true?,Always; both count the items,Never; the last position is always one below the length,When the array holds exactly one item,When the array is empty,B,Never; the last position is always one below the length,"Counting from zero puts the two exactly one apart for every array. A single item gives length 1 and last position 0, and an empty array has length 0 and no valid position at all.",AUTHORED,
GB_DA_010,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F03_OPERATIONS_HAVE_NAMES,DA_FAM03_OPERATION_RECOGNITION,DA_RG_OPERATIONS,D1,REMEMBER,mcq_single,"A value already stored at a position is changed to a different value. What is the operation, and does the length change?","Inserting, and the length increases by one","Removing, and the length decreases by one","Searching, and the length does not change","Replacing, and the length does not change",D,"Replacing, and the length does not change","Replacing puts a new value where one already was, so nothing is added or lost. The length is what separates replacing from inserting.",AUTHORED,
GB_DA_011,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F03_OPERATIONS_HAVE_NAMES,DA_FAM03_OPERATION_RECOGNITION,DA_RG_OPERATIONS,D1,REMEMBER,mcq_single,"A new value is put into the middle of an array without any existing value being lost. What is the operation, and does the length change?","Inserting, and the length increases by one","Replacing, and the length does not change","Inserting, and the length does not change","Removing, and the length decreases by one",A,"Inserting, and the length increases by one","Nothing being lost means nothing was overwritten, so the array must have grown. An insertion that did not change the length would have to have destroyed something.",AUTHORED,
GB_DA_012,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F03_OPERATIONS_HAVE_NAMES,DA_FAM03_OPERATION_RECOGNITION,DA_RG_OPERATIONS,D1,REMEMBER,mcq_single,An array is examined to find whether a value is present. What happens to the array?,The found value is removed,The array is reordered so the value comes first,Nothing; searching reads and does not change anything,The length decreases by one,C,Nothing; searching reads and does not change anything,"A search reports where something is, or that it is absent, and leaves the data as it found it. An operation that changed the array while looking would make repeated searches unreliable.",AUTHORED,
GB_DA_013,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F03_OPERATIONS_HAVE_NAMES,DA_FAM03_OPERATION_RECOGNITION,DA_RG_OPERATIONS,D2,REMEMBER,mcq_single,A value is removed from the middle of an array. What happens to the position it occupied?,The position is left empty and the length is unchanged,"The later items move down to close the gap, and the length decreases by one",The position is filled with zero and the length is unchanged,The later items keep their positions and the length decreases by one,B,"The later items move down to close the gap, and the length decreases by one","An array holds its items in consecutive positions, so removing one means everything after it moves. A gap left behind would break the rule that positions run without interruption.",AUTHORED,
GB_DA_014,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F04_INSERTION_SHIFTS_ITEMS,DA_FAM04_SHIFT_EFFECT,DA_RG_OPERATIONS,D2,APPLY,mcq_single,"An array holds 5, 8, 12, 20. The value 9 is inserted at position 1. What does the array hold?","5, 9, 12, 20","9, 5, 8, 12, 20","5, 8, 9, 12, 20","5, 9, 8, 12, 20",D,"5, 9, 8, 12, 20","The new value takes position 1 and everything from there onward moves up one place, so nothing is lost. Overwriting the 8 would be replacing rather than inserting.",AUTHORED,
GB_DA_015,DSA_ARRAYS,DA_C02_OPERATIONS,DA_F04_INSERTION_SHIFTS_ITEMS,DA_FAM04_SHIFT_EFFECT,DA_RG_OPERATIONS,D3,APPLY,mcq_single,"An array holds 3, 7, 11, 15, 19. The value at position 1 is removed. Where is 15 afterwards?",Position 2,"Position 3, where it was",Position 4,Position 1,A,Position 2,"Removing an item moves everything after it down one place, so 15 falls from position 3 to position 2. Items keeping their old positions is what an array cannot do.",AUTHORED,
GB_DA_016,DSA_ARRAYS,DA_C03_TRAVERSAL,DA_F05_TRAVERSAL_VISITS_EACH_ITEM,DA_FAM05_TRAVERSAL_RESULT,DA_RG_TRAVERSAL,D2,APPLY,mcq_single,"A collection holds 4, 9, 2, 7, 5. A traversal counts how many values exceed 4. What is the result?",21,4,3,2,C,3,"The values 9, 7 and 5 exceed 4, so the count is 3. Answering 21 totals those values instead, and 4 counts the values that are 4 or more.",LEGACY_REMAP,1e5032
GB_DA_017,DSA_ARRAYS,DA_C03_TRAVERSAL,DA_F05_TRAVERSAL_VISITS_EACH_ITEM,DA_FAM05_TRAVERSAL_RESULT,DA_RG_TRAVERSAL,D3,APPLY,mcq_single,"A collection holds -8, -3, -12, -5. A traversal finds the largest value, starting from the first item. What is the result?",0,-3,-12,-8,B,-3,"Comparing each value against the running largest gives -3, which is the greatest of the four. Answering 0 is what a traversal starting from zero rather than from the first item would report — a value that never appears in the data.",LEGACY_REMAP,1eee69
GB_DA_018,DSA_ARRAYS,DA_C04_SEARCH,DA_F06_UNSORTED_SEARCH_CHECKS_EACH,DA_FAM06_LINEAR_SEARCH_WORK,DA_RG_SEARCH,D2,APPLY,mcq_single,"An unsorted array holds 6, 2, 9, 4, 7. A search checks each item in turn for the value 9. How many comparisons does it make?",1,5,2,3,D,3,"The search checks 6, then 2, then 9, stopping when it matches, which is 3 comparisons. Answering 2 gives the position rather than the number of comparisons.",AUTHORED,
GB_DA_019,DSA_ARRAYS,DA_C04_SEARCH,DA_F06_UNSORTED_SEARCH_CHECKS_EACH,DA_FAM06_LINEAR_SEARCH_WORK,DA_RG_SEARCH,D3,APPLY,mcq_single,An unsorted array of 20 items is searched for a value that is present as the very last item. How many comparisons does a check-each-in-turn search make?,20,19,1,10,A,20,"Every item is checked, including the last, so the count equals the length of 20. Answering 19 stops one short, and 10 assumes an average rather than this particular case.",AUTHORED,
GB_DA_020,DSA_ARRAYS,DA_C04_SEARCH,DA_F06_UNSORTED_SEARCH_CHECKS_EACH,DA_FAM06_LINEAR_SEARCH_WORK,DA_RG_SEARCH,D4,APPLY,mcq_single,An unsorted array of 20 items is searched for a value that is not present at all. Someone says the search stops early because there is nothing to find. How many comparisons are made?,"19, since the last item need not be checked","1, since the search stops as soon as it fails",20; every item must be checked before absence can be established,"0, since the value is not there to compare against",C,20; every item must be checked before absence can be established,"Absence can only be established by exhausting the array, so the absent case costs the most rather than the least. Nothing in an unsorted array allows an earlier conclusion.",AUTHORED,
GB_DA_021,DSA_ARRAYS,DA_C04_SEARCH,DA_F07_SORTED_SEARCH_DISCARDS_HALF,DA_FAM07_HALVING_SEARCH,DA_RG_SEARCH,D2,ANALYZE,mcq_single,"A sorted array holds 2, 5, 9, 14, 20, 27, 31. The middle value 14 is compared with a target of 27. Which items remain in consideration?","2, 5, 9","20, 27, 31","2, 5, 9, 14","20, 27",B,"20, 27, 31","The target is larger than the middle, so everything at or below the middle is discarded and the upper part remains. Discarding from the wrong side would throw away the item being sought.",AUTHORED,
GB_DA_022,DSA_ARRAYS,DA_C04_SEARCH,DA_F07_SORTED_SEARCH_DISCARDS_HALF,DA_FAM07_HALVING_SEARCH,DA_RG_SEARCH,D3,ANALYZE,mcq_single,A sorted array holds 64 items. At most how many comparisons does a halving search need?,32,64,8,7,D,7,"Each comparison halves what remains — 64, 32, 16, 8, 4, 2, 1 — which is 7 steps to reach a single item. Halving the length once gives 32, which is what one halving leaves rather than the number of steps.",AUTHORED,
GB_DA_023,DSA_ARRAYS,DA_C04_SEARCH,DA_F07_SORTED_SEARCH_DISCARDS_HALF,DA_FAM07_HALVING_SEARCH,DA_RG_SEARCH,D4,ANALYZE,mcq_single,A halving search is applied to an unsorted array of 100 items and reports that a value is absent. The value is in fact present. The search itself was implemented correctly. What is wrong?,"The method requires the data to be in order, and discarding half of unsorted data discards it arbitrarily",The array is too large for a halving search,The search should have made more comparisons,The value must have been in a position the search cannot reach,A,"The method requires the data to be in order, and discarding half of unsorted data discards it arbitrarily","Every step assumes that everything on the discarded side is smaller or larger, and unsorted data gives no such guarantee. A correct implementation of a method whose precondition fails is still wrong.",AUTHORED,
GB_DA_024,DSA_ARRAYS,DA_C05_SORTING,DA_F08_SORTING_PROCEEDS_IN_PASSES,DA_FAM08_SORT_PASS_STATE,DA_RG_SORTING,D2,APPLY,mcq_single,"An array holds 5, 1, 4, 2. A pass compares each adjacent pair from the left and swaps them when the left is larger. What does the array hold after one complete pass?","1, 2, 4, 5","5, 4, 2, 1","1, 4, 2, 5","1, 4, 5, 2",C,"1, 4, 2, 5",The largest value is carried to the end by successive swaps while the rest move down one place. Answering the fully sorted array reports the eventual outcome rather than the state after one pass.,AUTHORED,
GB_DA_025,DSA_ARRAYS,DA_C05_SORTING,DA_F08_SORTING_PROCEEDS_IN_PASSES,DA_FAM08_SORT_PASS_STATE,DA_RG_SORTING,D3,APPLY,mcq_single,"Continuing from 1, 4, 2, 5, a second pass of the same method runs. What does the array hold afterwards?","1, 4, 2, 5","1, 2, 4, 5","1, 2, 5, 4","2, 1, 4, 5",B,"1, 2, 4, 5","The second pass swaps 4 and 2 and leaves the rest, which happens to complete the ordering here. That it finishes early is a property of this data rather than of the method.",AUTHORED,
GB_DA_026,DSA_ARRAYS,DA_C05_SORTING,DA_F08_SORTING_PROCEEDS_IN_PASSES,DA_FAM08_SORT_PASS_STATE,DA_RG_SORTING,D4,APPLY,mcq_single,"After one pass of the same method over an array of 6 items, someone says nothing useful has been achieved because the array is still unsorted. What has in fact been guaranteed?",The smallest item is now at the front,The array is half sorted,Nothing at all is guaranteed after a single pass,The largest item is now in its final position at the end,D,The largest item is now in its final position at the end,"Each pass carries the largest remaining item all the way to the end, so one item is settled even when the rest look unchanged. That is exactly why later passes can examine one fewer item each time.",AUTHORED,
GB_DA_027,DSA_ARRAYS,DA_C06_WORK,DA_F09_WORK_GROWS_WITH_SIZE,DA_FAM09_WORK_COMPARISON,DA_RG_COST,D2,ANALYZE,mcq_single,"Reading the value at a stated position in an array of 10 items, and doing the same in an array of 10,000. Which does more work?","Neither; a position is reached directly, whatever the size","The larger array, since there is more to search through","The smaller array, since it is held differently",It cannot be said without knowing the values,A,"Neither; a position is reached directly, whatever the size","An array reaches a position by calculation rather than by looking through the items, so the size does not enter into it. That is the property that makes an array worth using.",AUTHORED,
