questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_DG_001,DEBUGGING,DG_C01_EVIDENCE,DG_F01_A_MESSAGE_CARRIES_SPECIFIC_INFORMATION,DG_FAM01_MESSAGE_READING,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"A program stops with the message ""division by zero at line 42"". What does that tell you?",That line 42 contains the mistake that must be corrected,That a division by zero happened while line 42 was running,That line 42 should be deleted,That the value zero was typed in by the user,B,That a division by zero happened while line 42 was running,"The message names where the failure surfaced and what happened there. Why the divisor was zero may lie many lines earlier, which is exactly the difference between where a fault appears and where it is.",AUTHORED,
GB_DG_002,DEBUGGING,DG_C01_EVIDENCE,DG_F01_A_MESSAGE_CARRIES_SPECIFIC_INFORMATION,DG_FAM01_MESSAGE_READING,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"A program stops with the message ""file not found: report.csv"". What does the message not tell you?",Which file was being looked for,That the program could not find it,That the program stopped,Why the file is not there,D,Why the file is not there,"The message states what was sought and what happened, and nothing about the cause. Whether the file was never created, was deleted, or was looked for in the wrong place is what the investigation has to establish.",AUTHORED,
GB_DG_003,DEBUGGING,DG_C01_EVIDENCE,DG_F01_A_MESSAGE_CARRIES_SPECIFIC_INFORMATION,DG_FAM01_MESSAGE_READING,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"A message reads ""expected a number, found text"". What kind of information is that?","A description of what went wrong, not of how to correct it",An instruction saying what to change,A warning that can safely be ignored,A statement that the program is beyond repair,A,"A description of what went wrong, not of how to correct it","A message reports the mismatch it met. Which value should have been converted, and where, is the reader's job — a message that named the fix would have had to understand the intent.",AUTHORED,
GB_DG_004,DEBUGGING,DG_C01_EVIDENCE,DG_F01_A_MESSAGE_CARRIES_SPECIFIC_INFORMATION,DG_FAM01_MESSAGE_READING,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"Someone says an error message is ""just noise"" and closes it without reading. What is lost?",Nothing; messages repeat what is already obvious,The chance to restart the program cleanly,The most specific evidence available about what happened and where,The record of how long the program ran,C,The most specific evidence available about what happened and where,"A message is the cheapest evidence there is, produced at the moment of failure and naming both the failure and its location. Discarding it means starting the investigation with nothing.",AUTHORED,
GB_DG_005,DEBUGGING,DG_C01_EVIDENCE,DG_F01_A_MESSAGE_CARRIES_SPECIFIC_INFORMATION,DG_FAM01_MESSAGE_READING,DG_RG_EVIDENCE,D2,REMEMBER,mcq_single,"A program stops with ""index out of range at line 90"". Line 90 reads a position from a list. Where is the fault most likely to be?","At line 90, which must be rewritten","Wherever the position was computed, which may be well before line 90","In the list, which must be too short","In the message, which reports the wrong line",B,"Wherever the position was computed, which may be well before line 90","Line 90 is where an invalid position was used, and the position came from somewhere. The list being shorter than expected is one possibility among several, and it too would have a cause earlier in the program.",AUTHORED,
GB_DG_006,DEBUGGING,DG_C01_EVIDENCE,DG_F02_FAILURES_ANNOUNCE_THEMSELVES_DIFFERENTLY,DG_FAM02_FAILURE_KIND,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,A program refuses to start and reports a problem with its text before anything runs. What kind of failure is that?,One that happens partway through running,One that produces a wrong answer,"Not a failure, since nothing ran","One caught before execution, in how the program is written",D,"One caught before execution, in how the program is written",Being caught before anything runs places it in the program's form rather than its behaviour. A failure partway through would require the program to have started.,AUTHORED,
GB_DG_007,DEBUGGING,DG_C01_EVIDENCE,DG_F02_FAILURES_ANNOUNCE_THEMSELVES_DIFFERENTLY,DG_FAM02_FAILURE_KIND,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"A program runs for a while, then stops with a message. What kind of failure is that?",One that happens while running,One caught before execution,One that produces a wrong answer and finishes,"Not a failure, since some of it worked",A,One that happens while running,"Starting and then stopping places the failure during execution, typically because some value or resource was not what the code assumed. Partial success does not make it something other than a failure.",AUTHORED,
GB_DG_008,DEBUGGING,DG_C01_EVIDENCE,DG_F02_FAILURES_ANNOUNCE_THEMSELVES_DIFFERENTLY,DG_FAM02_FAILURE_KIND,DG_RG_EVIDENCE,D1,REMEMBER,mcq_single,"A program runs to the end, reports nothing, and produces an answer that is wrong. Is that a failure?",No; a program that finishes has worked,No; without a message there is nothing to investigate,"Yes; a program can be entirely legal, finish normally, and be wrong","Yes, but only if it stops on some other input",C,"Yes; a program can be entirely legal, finish normally, and be wrong","Nothing about finishing cleanly speaks to correctness, and this is the most expensive kind of failure precisely because nothing announces it. Taking silence as success is the belief this measures.",AUTHORED,
GB_DG_009,DEBUGGING,DG_C01_EVIDENCE,DG_F02_FAILURES_ANNOUNCE_THEMSELVES_DIFFERENTLY,DG_FAM02_FAILURE_KIND,DG_RG_EVIDENCE,D2,REMEMBER,mcq_single,"Three reports arrive: one program will not start, one stops halfway, and one finishes with a wrong total. Which is likely to be discovered last?","The one that will not start, because nobody can run it","The one that finishes with a wrong total, because nothing about it announces a problem","The one that stops halfway, because it runs partly","They are discovered at the same time, since all three are faults",B,"The one that finishes with a wrong total, because nothing about it announces a problem",The first two report themselves the moment anyone tries them. A plausible wrong answer passes every informal check and may be acted on for a long time before anybody questions it.,AUTHORED,
GB_DG_010,DEBUGGING,DG_C01_EVIDENCE,DG_F03_DIFFERENT_EVIDENCE_ANSWERS_DIFFERENT_QUESTIONS,DG_FAM03_EVIDENCE_SELECTION,DG_RG_EVIDENCE,D1,UNDERSTAND,mcq_single,The question is whether a function is being called at all. Which evidence answers it?,A record of the value the function returns,A record written at the end of the program,Reading the function's code again,A record written at the start of the function,D,A record written at the start of the function,"Something written on entry appears exactly when the function is reached and not otherwise. A record of the return value tells you nothing when the function never runs, since none is produced either way.",AUTHORED,
