questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_TC_001,TECHNICAL_COMMUNICATION,TC_C01_VOCABULARY,TC_F01_TERMS_HAVE_PRECISE_MEANINGS,TC_FAM01_TERM_MEANING,TC_RG_VOCABULARY,D1,REMEMBER,mcq_single,"In ""the program executes the instructions"", what does executes mean?",Deletes them,Carries them out,Prints them,Stores them permanently,B,Carries them out,"To execute an instruction is to perform it. The everyday sense of the word suggests removal, which is close to the opposite of what the technical term means.",LEGACY_KEEP,194246
GB_TC_002,TECHNICAL_COMMUNICATION,TC_C01_VOCABULARY,TC_F01_TERMS_HAVE_PRECISE_MEANINGS,TC_FAM01_TERM_MEANING,TC_RG_VOCABULARY,D1,REMEMBER,mcq_single,"In ""verify the result"", what does verify mean?",Record it for later,Accept it as given,Produce it again,Check that it is correct,D,Check that it is correct,Verification is a check against what was expected. Recording or repeating something are things one might do around a check without being the check itself.,LEGACY_KEEP,18a40f
GB_TC_003,TECHNICAL_COMMUNICATION,TC_C01_VOCABULARY,TC_F01_TERMS_HAVE_PRECISE_MEANINGS,TC_FAM01_TERM_MEANING,TC_RG_VOCABULARY,D1,REMEMBER,mcq_single,"In ""an efficient solution"", what does efficient mean?",It uses little time or few resources for what it achieves,It is short to write,It is correct,It is easy to understand,A,It uses little time or few resources for what it achieves,"Efficiency is about the resources consumed, not about length, correctness or clarity — all of which are real virtues and separate ones. A long, hard-to-read solution can be the efficient one.",LEGACY_KEEP,1c5959
GB_TC_004,TECHNICAL_COMMUNICATION,TC_C01_VOCABULARY,TC_F01_TERMS_HAVE_PRECISE_MEANINGS,TC_FAM01_TERM_MEANING,TC_RG_VOCABULARY,D1,REMEMBER,mcq_single,"In ""the system is reliable"", what does reliable mean?",It is fast,It is secure,It behaves as expected consistently over time,It recovers quickly when it fails,C,It behaves as expected consistently over time,"Reliability is about behaving as expected again and again. Speed, security and quick recovery are each desirable and each a different property — a system can recover quickly precisely because it fails often.",LEGACY_REWRITE,1805d8
GB_TC_005,TECHNICAL_COMMUNICATION,TC_C01_VOCABULARY,TC_F01_TERMS_HAVE_PRECISE_MEANINGS,TC_FAM01_TERM_MEANING,TC_RG_VOCABULARY,D2,REMEMBER,mcq_single,"In ""the data is consistent"", what does consistent mean?",It is correct,It follows the same rule or format throughout,It is complete,It has been checked,B,It follows the same rule or format throughout,"Consistency is about internal agreement, so data can be consistently wrong — every entry in the same wrong format. Correctness, completeness and having been checked are three further properties, none implied by this one.",LEGACY_REWRITE,1bbb22
GB_TC_006,TECHNICAL_COMMUNICATION,TC_C02_INSTRUCTIONS,TC_F02_INSTRUCTIONS_HAVE_AN_ORDER_AND_A_SCOPE,TC_FAM02_INSTRUCTION_READING,TC_RG_INSTRUCTIONS,D1,UNDERSTAND,mcq_single,A procedure reads: 1. Copy the folder. 2. Rename the copy. 3. Delete the original. What does step 2 act on?,The original folder,Both the original and the copy,Whichever folder is open,The copy made in step 1,D,The copy made in step 1,"Step 2 names the copy, and step 1 is what produced it. Applying it to the original would leave the copy unnamed and rename the thing step 3 then deletes.",LEGACY_KEEP,93f13c
GB_TC_007,TECHNICAL_COMMUNICATION,TC_C02_INSTRUCTIONS,TC_F02_INSTRUCTIONS_HAVE_AN_ORDER_AND_A_SCOPE,TC_FAM02_INSTRUCTION_READING,TC_RG_INSTRUCTIONS,D1,UNDERSTAND,mcq_single,A procedure reads: 1. Open the report. 2. Update the totals. 3. Save the report as a new file. What does step 3 act on?,The report as it stands after step 2,The report as it was before step 2,A new empty file,Both the original report and a new file,A,The report as it stands after step 2,"Steps run in order, so what step 3 saves includes the change step 2 made. Saving the earlier state would require the procedure to have kept it, which nothing here does.",AUTHORED,
GB_TC_008,TECHNICAL_COMMUNICATION,TC_C02_INSTRUCTIONS,TC_F02_INSTRUCTIONS_HAVE_AN_ORDER_AND_A_SCOPE,TC_FAM02_INSTRUCTION_READING,TC_RG_INSTRUCTIONS,D1,UNDERSTAND,mcq_single,A procedure reads: 1. Enter your name. 2. Enter your email address. 3. Check both entries. What does step 3 act on?,"Only the email address, being the most recent","Only the name, being the first entered",The name and the email address,Anything else on the form as well,C,The name and the email address,"The instruction names both, and its scope is exactly what it names. Reading it as applying to the last thing done, or to the whole form, changes what is checked.",AUTHORED,
GB_TC_009,TECHNICAL_COMMUNICATION,TC_C02_INSTRUCTIONS,TC_F02_INSTRUCTIONS_HAVE_AN_ORDER_AND_A_SCOPE,TC_FAM02_INSTRUCTION_READING,TC_RG_INSTRUCTIONS,D2,UNDERSTAND,mcq_single,"An instruction reads: ""Upload one PDF under 5 MB."" Which submission satisfies it?",One PDF of 6 MB,One PDF of 4 MB,One document file of 4 MB,Two PDFs of 2 MB each,B,One PDF of 4 MB,"Three conditions are stated together — one file, PDF format, under the size limit — and a submission has to meet all three. Each wrong option satisfies two of them and fails the third.",AUTHORED,
GB_TC_010,TECHNICAL_COMMUNICATION,TC_C03_PURPOSE,TC_F03_A_MESSAGE_HAS_A_PURPOSE,TC_FAM03_PURPOSE_RECOGNITION,TC_RG_PURPOSE,D1,UNDERSTAND,mcq_single,"A message reads: ""The nightly job finished at 03:12 and processed 4,200 records."" What is its purpose?",To request that something be done,To ask a question,To announce a decision that has been taken,To report what happened,D,To report what happened,The message states facts and asks for nothing. Reading a report as a request is what leaves everybody unsure whether action was expected of them.,AUTHORED,
GB_TC_011,TECHNICAL_COMMUNICATION,TC_C03_PURPOSE,TC_F03_A_MESSAGE_HAS_A_PURPOSE,TC_FAM03_PURPOSE_RECOGNITION,TC_RG_PURPOSE,D1,UNDERSTAND,mcq_single,"A message reads: ""Could you send me the sample file before Thursday?"" What is its purpose?",To request that something be done,To report what happened,To announce a decision,To offer an opinion about the file,A,To request that something be done,"The message asks for an action with a deadline, which is a request whatever its politeness. Nothing is being reported and nothing is being settled.",AUTHORED,
GB_TC_012,TECHNICAL_COMMUNICATION,TC_C03_PURPOSE,TC_F03_A_MESSAGE_HAS_A_PURPOSE,TC_FAM03_PURPOSE_RECOGNITION,TC_RG_PURPOSE,D1,UNDERSTAND,mcq_single,"A message reads: ""We will use the second approach; I have updated the plan accordingly."" What is its purpose?",To ask which approach to use,To request that the plan be updated,To announce a decision that has been taken,To report a fault,C,To announce a decision that has been taken,"The choice has already been made and the message says so, so nothing remains open. A message proposing the same approach would be a different thing entirely.",AUTHORED,
GB_TC_013,TECHNICAL_COMMUNICATION,TC_C03_PURPOSE,TC_F03_A_MESSAGE_HAS_A_PURPOSE,TC_FAM03_PURPOSE_RECOGNITION,TC_RG_PURPOSE,D2,UNDERSTAND,mcq_single,"A message reads: ""I think the second approach is better, but it is your call."" A reader treats it as a decision and stops discussing it. What went wrong?",The message was a decision and the reader was right to stop,The message offered an opinion and explicitly left the decision open; it was read as settling the matter,The message was a request and the reader should have acted,The message was a report and required no response,B,The message offered an opinion and explicitly left the decision open; it was read as settling the matter,"Its second half hands the choice to somebody else, which is exactly what a decision does not do. Purpose decides what a message obliges the reader to do, and here the obligation was to decide.",AUTHORED,
GB_TC_014,TECHNICAL_COMMUNICATION,TC_C02_INSTRUCTIONS,TC_F04_INSTRUCTIONS_PRODUCE_AN_OUTCOME,TC_FAM04_INSTRUCTION_OUTCOME,TC_RG_INSTRUCTIONS,D2,APPLY,mcq_single,"An instruction reads: ""Enter a positive integer from 1 to 100."" Which entry does it exclude?",1,50,100,0,D,0,"The excluded entry is 0, which is neither positive nor within the stated range and so fails on both counts. Both endpoints are included, because the instruction says from 1 to 100 rather than between them.",LEGACY_KEEP,95cbe1
