questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_WA_001,WEB_ACCESSIBILITY,WA_C01_BARRIERS,WA_F01_A_BARRIER_STOPS_A_PARTICULAR_PERSON,WA_FAM01_BARRIER_RECOGNITION,WA_RG_BARRIERS,D1,REMEMBER,mcq_single,A page control can only be operated by clicking it with a mouse. Who is prevented from using it?,Anyone using a screen reader only,Anyone navigating by keyboard,Anyone with a small screen,Anyone on a slow connection,B,Anyone navigating by keyboard,"The barrier is about how the control is operated rather than how it is perceived. People navigate by keyboard for many reasons, including motor difficulties and simple preference.",AUTHORED,
GB_WA_002,WEB_ACCESSIBILITY,WA_C01_BARRIERS,WA_F01_A_BARRIER_STOPS_A_PARTICULAR_PERSON,WA_FAM01_BARRIER_RECOGNITION,WA_RG_BARRIERS,D1,REMEMBER,mcq_single,A status is shown only by making a row red or green. Who is prevented from reading it?,Anyone navigating by keyboard,Anyone using a large screen,Nobody; colour is universally understood,"Anyone who cannot distinguish those colours, and anyone hearing the page read aloud",D,"Anyone who cannot distinguish those colours, and anyone hearing the page read aloud",Two separate groups are affected by the same fault. Colour vision and non-visual reading are different situations with the same consequence here.,AUTHORED,
GB_WA_003,WEB_ACCESSIBILITY,WA_C01_BARRIERS,WA_F01_A_BARRIER_STOPS_A_PARTICULAR_PERSON,WA_FAM01_BARRIER_RECOGNITION,WA_RG_BARRIERS,D1,REMEMBER,mcq_single,An image conveys information and carries no description. Who is prevented from getting that information?,Anyone who cannot see the image,Anyone navigating by keyboard,Anyone who cannot distinguish colours,Anyone using an old browser,A,Anyone who cannot see the image,A missing description affects people who do not receive the image itself. Keyboard use and colour vision are unrelated to it.,AUTHORED,
GB_WA_004,WEB_ACCESSIBILITY,WA_C01_BARRIERS,WA_F01_A_BARRIER_STOPS_A_PARTICULAR_PERSON,WA_FAM01_BARRIER_RECOGNITION,WA_RG_BARRIERS,D1,REMEMBER,mcq_single,What identifies something as an accessibility barrier?,That the page looks unpolished,That the page is slow to load,That a described person cannot do or learn something others can,That the page has not been tested,C,That a described person cannot do or learn something others can,A barrier is stated as who is prevented from what. Whether a page looks acceptable is a separate judgement entirely.,AUTHORED,
GB_WA_005,WEB_ACCESSIBILITY,WA_C01_BARRIERS,WA_F01_A_BARRIER_STOPS_A_PARTICULAR_PERSON,WA_FAM01_BARRIER_RECOGNITION,WA_RG_BARRIERS,D2,REMEMBER,mcq_single,A team fixes every missing image description and declares the page accessible. What is wrong with the conclusion?,Nothing; image descriptions are the whole of accessibility,"One barrier has been removed and others — keyboard reach, focus order, colour alone — were never examined",The descriptions should have been checked by a specialist,The page cannot be accessible until it is retested for speed,B,"One barrier has been removed and others — keyboard reach, focus order, colour alone — were never examined",Image descriptions address people who cannot see images and nobody else. A page can have perfect descriptions and be entirely unusable by keyboard.,AUTHORED,
GB_WA_006,WEB_ACCESSIBILITY,WA_C02_ALTERNATIVES,WA_F02_ONLY_MEANINGFUL_IMAGES_NEED_DESCRIBING,WA_FAM02_DESCRIPTION_NEED,WA_RG_ALTERNATIVES,D1,UNDERSTAND,mcq_single,"A chart shows the sales figures being discussed, and the figures appear nowhere else on the page. Should it be described?",No; charts are decorative,No; the surrounding text is enough,Only if the page has no other images,Yes; it carries information available nowhere else,D,Yes; it carries information available nowhere else,"The chart is the only source of those figures, so a reader who cannot see it loses them. That is what makes an image meaningful rather than decorative.",AUTHORED,
GB_WA_007,WEB_ACCESSIBILITY,WA_C02_ALTERNATIVES,WA_F02_ONLY_MEANINGFUL_IMAGES_NEED_DESCRIBING,WA_FAM02_DESCRIPTION_NEED,WA_RG_ALTERNATIVES,D1,UNDERSTAND,mcq_single,A decorative swirl separates two sections and carries no information. Should it be described?,No; it should be passed over silently,Yes; every image should be described,Yes; it should be described as a swirl,Yes; it should be described as decorative,A,No; it should be passed over silently,Describing it inserts noise into the reading of the page. Being passed over is the correct treatment for an image that says nothing.,AUTHORED,
GB_WA_008,WEB_ACCESSIBILITY,WA_C02_ALTERNATIVES,WA_F02_ONLY_MEANINGFUL_IMAGES_NEED_DESCRIBING,WA_FAM02_DESCRIPTION_NEED,WA_RG_ALTERNATIVES,D1,UNDERSTAND,mcq_single,What decides whether an image needs describing?,How large the image is,How many images the page contains,Whether it carries information the reader would otherwise lose,Whether the image loads quickly,C,Whether it carries information the reader would otherwise lose,The test is what would be missing without it. Size and quantity have nothing to do with it.,AUTHORED,
GB_WA_009,WEB_ACCESSIBILITY,WA_C02_ALTERNATIVES,WA_F02_ONLY_MEANINGFUL_IMAGES_NEED_DESCRIBING,WA_FAM02_DESCRIPTION_NEED,WA_RG_ALTERNATIVES,D2,UNDERSTAND,mcq_single,"A team adds a description to every image on the page, including forty decorative dividers. What is the consequence for someone hearing the page read aloud?",Nothing; more description is always better,Forty meaningless announcements interrupt the content,The page becomes faster to navigate,The decorative images are skipped automatically,B,Forty meaningless announcements interrupt the content,"Every description is read out, so describing nothing-in-particular forty times buries the content. Conscientiousness applied without judgement makes the page worse.",AUTHORED,
GB_WA_010,WEB_ACCESSIBILITY,WA_C03_KEYBOARD,WA_F03_SOME_THINGS_CANNOT_BE_REACHED_BY_KEYBOARD,WA_FAM03_KEYBOARD_REACH,WA_RG_KEYBOARD,D1,UNDERSTAND,mcq_single,A page uses a genuine button element for an action. Can a keyboard user reach and operate it?,No; buttons require a mouse,Only if extra code is added,Only if the button carries a description,Yes; a button is reachable and operable by keyboard as it stands,D,Yes; a button is reachable and operable by keyboard as it stands,Elements that exist to be operated come with keyboard behaviour already. That is the main practical reason to use them.,AUTHORED,
