questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_JD_001,JS_DOM,JD_C01_WHAT_THE_DOM_IS,JD_F01_DOM_IS_A_LIVE_TREE,JD_FAM01_DOM_RECOGNITION,JD_RG_MODEL,D1,REMEMBER,mcq_single,What is the page tree that scripts work with?,The file that was delivered from the server,The browser's live in-memory representation of the page,A browser option that has to be switched on,Something supplied by a framework,B,The browser's live in-memory representation of the page,"Scripts work on the browser's live in-memory representation of the page, which the browser keeps for as long as the page is open. The delivered file is only what it was built from.",AUTHORED,
GB_JD_002,JS_DOM,JD_C01_WHAT_THE_DOM_IS,JD_F01_DOM_IS_A_LIVE_TREE,JD_FAM01_DOM_RECOGNITION,JD_RG_MODEL,D1,REMEMBER,mcq_single,Where does that tree come from?,It is downloaded from the server as a second file,The developer writes it alongside the markup,It is created only when a script first asks for it,The browser builds it from the delivered markup,D,The browser builds it from the delivered markup,"The browser builds it from the delivered markup as the page is read, before any script runs. Nothing extra is fetched and nothing has to be requested.",AUTHORED,
GB_JD_003,JS_DOM,JD_C01_WHAT_THE_DOM_IS,JD_F01_DOM_IS_A_LIVE_TREE,JD_FAM01_DOM_RECOGNITION,JD_RG_MODEL,D1,REMEMBER,mcq_single,"Once a page has finished loading, can that tree still be changed?","Yes, for as long as the page stays open",No; it is fixed until the page is reloaded,No; it can be read but never changed,Only while the page is still loading,A,"Yes, for as long as the page stays open","The tree stays available and changeable for as long as the page stays open, which is what makes interactive pages possible at all. Loading finishing is not a freeze.",AUTHORED,
GB_JD_004,JS_DOM,JD_C01_WHAT_THE_DOM_IS,JD_F01_DOM_IS_A_LIVE_TREE,JD_FAM01_DOM_RECOGNITION,JD_RG_MODEL,D1,REMEMBER,mcq_single,Does a plain script on a page need a library before it can reach the page tree?,Yes; a library is required,"Yes, unless a framework is used instead",No; reaching it is part of the browser itself,"Only for changing it, not for reading it",C,No; reaching it is part of the browser itself,"Reaching the tree is part of the browser itself, so a plain script can already read and change it. Libraries make the same work shorter to write rather than possible.",AUTHORED,
GB_JD_005,JS_DOM,JD_C01_WHAT_THE_DOM_IS,JD_F01_DOM_IS_A_LIVE_TREE,JD_FAM01_DOM_RECOGNITION,JD_RG_MODEL,D2,REMEMBER,mcq_single,A script inserts a new paragraph into the page. The developer then asks the browser to show the page source. Is the new paragraph in what they see?,Yes; the source is kept in step with the page,"No; the source shown is the delivered file, which the script never touched","Yes, but only after the page is reloaded",No; the paragraph was never really added,B,"No; the source shown is the delivered file, which the script never touched","The paragraph is genuinely in the live page and not in the delivered file, so the source shown is the delivered file, which the script never touched. Inspecting the live tree shows the paragraph; viewing the source does not.",AUTHORED,
GB_JD_006,JS_DOM,JD_C02_FINDING,JD_F02_SELECTION_RETURNS_ELEMENTS_OR_NOTHING,JD_FAM02_SELECTION_RESULT_RECOGNITION,JD_RG_SELECTION,D1,REMEMBER,mcq_single,A lookup by identifier finds a matching element. What does the lookup produce?,A collection containing that one element,The text inside that element,"True, to say it was found",That one element,D,That one element,"A lookup by identifier produces that one element, ready to be read or changed directly. No collection is involved, so no position has to be taken from it.",AUTHORED,
GB_JD_007,JS_DOM,JD_C02_FINDING,JD_F02_SELECTION_RETURNS_ELEMENTS_OR_NOTHING,JD_FAM02_SELECTION_RESULT_RECOGNITION,JD_RG_SELECTION,D1,REMEMBER,mcq_single,A lookup for every element carrying a class matches three elements. What does the lookup produce?,A collection of the three elements,The first of the three elements,The three elements joined into one piece of text,The number of matches,A,A collection of the three elements,"A lookup for every match produces a collection of the three elements, whatever the number of matches turns out to be. Reaching any one of them means taking it out of the collection first.",AUTHORED,
GB_JD_008,JS_DOM,JD_C02_FINDING,JD_F02_SELECTION_RETURNS_ELEMENTS_OR_NOTHING,JD_FAM02_SELECTION_RESULT_RECOGNITION,JD_RG_SELECTION,D1,REMEMBER,mcq_single,A lookup by identifier matches nothing. What happens?,It throws an error and the program stops,It produces an empty collection,It produces null and the program carries on,It produces the closest matching element instead,C,It produces null and the program carries on,"A failed lookup produces null and the program carries on, which is why the failure is only noticed on the next line. Nothing is raised at the lookup itself.",AUTHORED,
GB_JD_009,JS_DOM,JD_C02_FINDING,JD_F02_SELECTION_RETURNS_ELEMENTS_OR_NOTHING,JD_FAM02_SELECTION_RESULT_RECOGNITION,JD_RG_SELECTION,D2,REMEMBER,mcq_single,One lookup asks for a single element and another asks for every match. Neither finds anything. How do the two results differ?,Both give null,The single lookup gives null and the every-match lookup gives an empty collection,Both give an empty collection,Both raise the same error,B,The single lookup gives null and the every-match lookup gives an empty collection,The two failures are shaped differently: the single lookup gives null and the every-match lookup gives an empty collection. That is why one crashes on the next line and the other quietly loops zero times.,AUTHORED,
GB_JD_010,JS_DOM,JD_C03_EVENTS,JD_F03_EVENTS_RUN_CODE_LATER,JD_FAM03_EVENT_TIMING_RECOGNITION,JD_RG_EVENTS,D1,UNDERSTAND,mcq_single,A click handler is attached while the page is loading. Has the code inside it run at that point?,Yes; attaching runs it once,"Yes, and it will also run on each click",Only once the page has been reloaded,No; it runs when a click happens,D,No; it runs when a click happens,"Attaching only records what should happen later, so the code inside runs when a click happens and not before. Nothing about the attaching itself executes the body.",AUTHORED,
