questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_HT_001,HTML,HT_C01_ELEMENTS,HT_F01_ELEMENT_HAS_A_MEANING,HT_FAM01_ELEMENT_PURPOSE,HT_RG_ELEMENTS,D1,REMEMBER,mcq_single,A page has a title at the top of a section. Which element fits its meaning?,A paragraph with large text,A heading element,"A list item, for the indentation","A quote element, which stands out",B,A heading element,"A heading element says that the text titles what follows, which is what the content is. The other three would be chosen for how they look rather than for what they mean.",AUTHORED,
GB_HT_002,HTML,HT_C01_ELEMENTS,HT_F01_ELEMENT_HAS_A_MEANING,HT_FAM01_ELEMENT_PURPOSE,HT_RG_ELEMENTS,D1,REMEMBER,mcq_single,"A page shows three product names, one after another, with no ordering between them. Which element fits?",Three paragraphs,"An ordered list, since they appear in an order on screen",A table with one column,An unordered list,D,An unordered list,A group of related items with no meaningful order is exactly what an unordered list expresses. Appearing one after another on screen is not the same as being ordered.,AUTHORED,
GB_HT_003,HTML,HT_C01_ELEMENTS,HT_F01_ELEMENT_HAS_A_MEANING,HT_FAM01_ELEMENT_PURPOSE,HT_RG_ELEMENTS,D1,REMEMBER,mcq_single,A page reproduces a sentence taken from another source. Which element fits?,A quotation element,A paragraph in italics,"A list item, which indents it","A heading, to set it apart",A,A quotation element,"The content is a quotation, and one element says so. Italics and indentation are how quotations often look, which is a consequence rather than the meaning.",AUTHORED,
GB_HT_004,HTML,HT_C01_ELEMENTS,HT_F01_ELEMENT_HAS_A_MEANING,HT_FAM01_ELEMENT_PURPOSE,HT_RG_ELEMENTS,D1,REMEMBER,mcq_single,A developer uses a heading element because it makes the text large. What is wrong with that?,Nothing; the text is the right size,Headings should never be used,"The element says the text is a heading, which will be untrue and will mislead anything reading the structure",The text will be the wrong size on some screens,C,"The element says the text is a heading, which will be untrue and will mislead anything reading the structure",Choosing an element for its appearance puts a false claim into the document. Size can be set directly without changing what the markup says the content is.,AUTHORED,
GB_HT_005,HTML,HT_C01_ELEMENTS,HT_F01_ELEMENT_HAS_A_MEANING,HT_FAM01_ELEMENT_PURPOSE,HT_RG_ELEMENTS,D2,REMEMBER,mcq_single,Two developers produce pages that look identical. One used headings for its section titles and the other used styled paragraphs. What differs?,Nothing; the pages are identical,"What the document says its structure is, which anything other than a sighted reader depends on",The file size,How quickly each page loads,B,"What the document says its structure is, which anything other than a sighted reader depends on","Appearance is the same and meaning is not. A reader navigating by structure, or a tool building an outline, sees sections in one page and undifferentiated text in the other.",AUTHORED,
GB_HT_006,HTML,HT_C01_ELEMENTS,HT_F02_TAGS_OPEN_AND_CLOSE,HT_FAM02_TAG_STRUCTURE,HT_RG_SYNTAX,D1,REMEMBER,mcq_single,Which fragment is written correctly?,<p>Hello,<p>Hello<p>,<p>Hello</p></p>,<p>Hello</p>,D,<p>Hello</p>,"An element that holds content opens and closes once around it. Repeating the opening tag opens a second element, and a second closing tag closes something that is not open.",AUTHORED,
GB_HT_007,HTML,HT_C01_ELEMENTS,HT_F02_TAGS_OPEN_AND_CLOSE,HT_FAM02_TAG_STRUCTURE,HT_RG_SYNTAX,D1,REMEMBER,mcq_single,An image is being placed on a page. Which fragment is written correctly?,"<img src=""cat.png"" alt=""A cat"">","<img src=""cat.png"" alt=""A cat""></img>",<img>cat.png</img>,"<img src=""cat.png"" alt=""A cat""</img>",A,"<img src=""cat.png"" alt=""A cat"">","An image element holds no content, so it takes no closing tag and its source is supplied as an attribute. Giving it content or a closing tag treats it like an element that wraps something.",AUTHORED,
GB_HT_008,HTML,HT_C01_ELEMENTS,HT_F02_TAGS_OPEN_AND_CLOSE,HT_FAM02_TAG_STRUCTURE,HT_RG_SYNTAX,D1,REMEMBER,mcq_single,Which fragment closes its tags in the right order?,<p><strong>text</p></strong>,<strong><p>text</strong></p>,<p><strong>text</strong></p>,<p><strong>text<p></strong>,C,<p><strong>text</strong></p>,"Elements close in the reverse of the order they open, so the inner one closes first. Crossing them leaves each element half inside the other, which nothing can represent.",AUTHORED,
GB_HT_009,HTML,HT_C01_ELEMENTS,HT_F02_TAGS_OPEN_AND_CLOSE,HT_FAM02_TAG_STRUCTURE,HT_RG_SYNTAX,D2,REMEMBER,mcq_single,"A paragraph element is opened and never closed, and the rest of the page follows. What happens to that later content?",It is discarded,"It may be absorbed into the unclosed element, so it is treated as part of the paragraph",The page refuses to render,It renders exactly as though the tag had been closed,B,"It may be absorbed into the unclosed element, so it is treated as part of the paragraph","An element that is never closed continues, so what follows falls inside it. The page still renders, which is why the fault shows up as misplaced content rather than as an error.",AUTHORED,
GB_HT_010,HTML,HT_C02_ATTRIBUTES,HT_F03_ATTRIBUTES_CONFIGURE_ELEMENTS,HT_FAM03_ATTRIBUTE_RECOGNITION,HT_RG_SYNTAX,D1,REMEMBER,mcq_single,"In <a href=""/help"">Help</a>, which part is an attribute?",a,Help,</a>,"href=""/help""",D,"href=""/help""","The attribute is href=""/help"", a name-and-value pair inside the opening tag. The letter at the front is the element name and the word between the tags is the content.",AUTHORED,
