questionId,currentSkillKey,proposedSkillKey,proposedConceptId,proposedFactId,proposedFamilyId,reason,confidence,action
b117f9c1e0dbc3339284e344,APTITUDE_DATA_INTERPRETATION,APTITUDE_DATA_INTERPRETATION,,,,"BLUEPRINT REVIEW — elementary probability. No APTITUDE_DATA_INTERPRETATION family accepts it, but the committed Year-1 map does place this content there: module M10_MATHS topic T_STATS, ""Statistics Foundations"", whose only skill is APTITUDE_DATA_INTERPRETATION. So the gap is in the blueprint, not in the filing.",HIGH,BLUEPRINT_REVIEW
cc8cbef714599907ff094b60,APTITUDE_DATA_INTERPRETATION,PROGRAMMING_FUNDAMENTALS,PGF_C04_EXPRESSIONS,PGF_F05_PRECEDENCE_DECIDES_ORDER,PGF_FAM06_PRECEDENCE_REASONING,"Measures operator precedence, which decides the value of an expression — there is no data to interpret here, so APTITUDE_DATA_INTERPRETATION does not own it, and the stem needs to be shown as code, which is PROGRAMMING_FUNDAMENTALS.",MEDIUM,REMAP_PRIMARY
c89746078cd2b14f863a58a8,APTITUDE_DATA_INTERPRETATION,APTITUDE_DATA_INTERPRETATION,,,,"BLUEPRINT REVIEW — elementary probability. No APTITUDE_DATA_INTERPRETATION family accepts it, but the committed Year-1 map does place this content there: module M10_MATHS topic T_STATS, ""Statistics Foundations"", whose only skill is APTITUDE_DATA_INTERPRETATION. So the gap is in the blueprint, not in the filing.",HIGH,BLUEPRINT_REVIEW
c79744742b0a2b008639ba71,APTITUDE_DATA_INTERPRETATION,APTITUDE_DATA_INTERPRETATION,,,,"BLUEPRINT REVIEW — elementary probability. No APTITUDE_DATA_INTERPRETATION family accepts it, but the committed Year-1 map does place this content there: module M10_MATHS topic T_STATS, ""Statistics Foundations"", whose only skill is APTITUDE_DATA_INTERPRETATION. So the gap is in the blueprint, not in the filing.",HIGH,BLUEPRINT_REVIEW
a1136363e0a95bf555b45962,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F05_ANALOGIES_ARE_COMPLETED_BY_RELATION,AS_FAM05_ANALOGY_COMPLETION,"Analogy completion in A:B::C:? form, which is AS_C02_ANALOGY. APTITUDE_REASONING_LOGIC measures inference from stated claims, not relational mapping.",HIGH,REMAP_PRIMARY
a01361d07ee0d5a655b1424f,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F05_ANALOGIES_ARE_COMPLETED_BY_RELATION,AS_FAM05_ANALOGY_COMPLETION,"Analogy completion in A:B::C:? form, which is AS_C02_ANALOGY. APTITUDE_REASONING_LOGIC measures inference from stated claims, not relational mapping.",HIGH,REMAP_PRIMARY
a7136cd51d184f5755b0a418,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,,,,"Do not remap: measures the same thing the same way as b1424f (an agent and the action it performs), already proposed for AS_FAM05_ANALOGY_COMPLETION. Moving both would import into the Golden Bank exactly the cosmetic redundancy the blueprint forbids.",HIGH,KEEP_CURRENT
a6136b42bb4fc90855b27ebd,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F05_ANALOGIES_ARE_COMPLETED_BY_RELATION,AS_FAM05_ANALOGY_COMPLETION,"Analogy completion in A:B::C:? form, which is AS_C02_ANALOGY. APTITUDE_REASONING_LOGIC measures inference from stated claims, not relational mapping.",HIGH,REMAP_PRIMARY
a51369af598742b955b1e086,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F05_ANALOGIES_ARE_COMPLETED_BY_RELATION,AS_FAM05_ANALOGY_COMPLETION,"Analogy completion in A:B::C:? form, which is AS_C02_ANALOGY. APTITUDE_REASONING_LOGIC measures inference from stated claims, not relational mapping.",HIGH,REMAP_PRIMARY
a413681cf7bebc6a55aec973,APTITUDE_REASONING_LOGIC,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F05_ANALOGIES_ARE_COMPLETED_BY_RELATION,AS_FAM05_ANALOGY_COMPLETION,"Analogy completion in A:B::C:? form, which is AS_C02_ANALOGY. APTITUDE_REASONING_LOGIC measures inference from stated claims, not relational mapping.",HIGH,REMAP_PRIMARY
