skillKey,skillName,conceptId,conceptName,factId,factStatement,familyId,familyName,measurementObjective,allowedDifficultyMin,allowedDifficultyMax,cognitiveLevel,questionType,distractorStrategy,reassessmentGroup,notes,plannedD1,plannedD2,plannedD3,plannedD4,plannedD5,plannedTotal
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C01_TERMS,What the three words cover,AM_F01_THE_TERMS_NEST,"Machine learning is one way of building artificial intelligence, and deep learning is one way of doing machine learning.",AM_FAM01_TERM_SCOPE,Placing the three terms inside one another,"Given the three terms, say which contains which.",D1,D2,REMEMBER,mcq_single,"The nesting reversed, with artificial intelligence placed inside machine learning; the three offered as separate fields that do not overlap; deep learning equated with the whole of the subject.",AM_RG_TERMS,The widest entry point. Keep it about scope rather than about what any of them can do.,4,1,0,0,0,5
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C02_LEARNED_VS_WRITTEN,Where the behaviour came from,AM_F02_RULES_ARE_WRITTEN_PATTERNS_ARE_LEARNED,A rule-based system does what someone wrote down; a learned system does what its examples supported.,AM_FAM02_LEARNED_VS_RULE,Deciding whether a system was written or trained,"Given a described system, say whether its behaviour was programmed or learned from examples.",D1,D2,REMEMBER,mcq_single,Any system that behaves cleverly assumed to be learned — a spell checker with a word list is the productive case; a learned system called rule-based because its output is consistent.,AM_RG_LEARNED,"At least one stem should be a rule-based system that looks intelligent, since that is where the assumption shows.",3,1,0,0,0,4
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C03_TRAINING_DATA,What examples are for,AM_F03_EXAMPLES_ARE_WHERE_THE_BEHAVIOUR_COMES_FROM,Training data is the examples a system generalises from; it is not a store the system looks answers up in.,AM_FAM03_TRAINING_DATA_ROLE,Recognising what training data does,"Given a description of training, say what the examples were used for.",D1,D2,UNDERSTAND,mcq_single,Training data treated as a lookup table the system consults at use time — the single commonest model students hold; examples treated as instructions written by hand.,AM_RG_LEARNED,,3,1,0,0,0,4
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C04_TASK_SHAPE,What kind of question is being asked,AM_F04_TASKS_HAVE_SHAPES,"Sorting things into named categories, predicting a number, and grouping without categories are three different tasks.",AM_FAM04_TASK_CLASSIFICATION,Naming the shape of a described task,"Given a task in plain words, say whether it sorts into categories, predicts a quantity, or groups without them.",D2,D3,UNDERSTAND,mcq_single,"A prediction of a number described as sorting into categories, and the reverse; grouping confused with sorting, which differs only in whether the categories were named in advance.",AM_RG_TASKS,,0,1,1,0,0,2
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C04_TASK_SHAPE,What kind of question is being asked,AM_F05_SOME_TASKS_HAVE_ANSWERS_ALREADY,A task where the right answer is recorded for each example is a different problem from one where it is not.,AM_FAM05_LABEL_PRESENCE,Deciding whether the examples carry answers,"Given a described collection of data, say whether it already contains the answers a system would learn from.",D2,D3,UNDERSTAND,mcq_single,"Data assumed to carry answers because it is well organised; answers assumed absent because nobody wrote them deliberately, where past outcomes supply them.",AM_RG_TASKS,Historical outcomes as accidental answers is the case worth asking about — a record of which customers left is a set of answers nobody set out to create.,0,1,1,0,0,2
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C05_SUITABILITY,When learning is the wrong tool,AM_F06_A_STATED_RULE_NEEDS_NO_LEARNING,A task whose rule is already known and can be written down does not need a system to discover it.,AM_FAM06_SUITABILITY_JUDGEMENT,Deciding whether a task needs learning at all,"Given a task, say whether it calls for a learned system or a written rule.",D2,D4,APPLY,mcq_single,"Learning chosen for a task with an exact known rule — computing tax, validating a checksum; a written rule chosen for a task nobody can state, such as recognising a handwritten digit.",AM_RG_SUITABILITY,"Both errors must appear across the family, or it teaches that one answer is always right.",0,1,1,1,0,3
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C06_WHAT_IS_LEARNED,What comes out of the examples,AM_F07_ONLY_WHAT_THE_EXAMPLES_SUPPORT_IS_LEARNED,A system can only pick up distinctions its examples actually contain.,AM_FAM07_PATTERN_FROM_EXAMPLES,Reasoning about what a set of examples supports,"Given a described set of examples, say what a system could and could not learn to tell apart.",D2,D4,APPLY,mcq_single,A distinction the examples never contained assumed learnable; a distinction present in the examples denied because it was not the stated purpose.,AM_RG_LIMITS,,0,1,1,1,0,3
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C06_WHAT_IS_LEARNED,What comes out of the examples,AM_F08_UNLIKE_INPUTS_ARE_NOT_COVERED,Behaviour on inputs unlike anything in the examples is not predictable from performance on inputs like them.,AM_FAM08_GENERALISATION,Predicting behaviour on an unfamiliar input,"Given how a system performed on its examples, say what follows about an input unlike them.",D2,D4,APPLY,mcq_single,"Performance assumed to carry over to any input; the system assumed to refuse or to signal doubt, where a confident wrong answer is the usual outcome.",AM_RG_LIMITS,That the system answers confidently rather than declining is the point; a stem should make the unfamiliarity concrete rather than abstract.,0,1,1,1,0,3
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C07_EVALUATION,What a score means,AM_F09_ACCURACY_HIDES_THE_SPLIT,A high proportion correct can be achieved by ignoring a rare case entirely.,AM_FAM09_ACCURACY_MEANING,Reasoning about what an accuracy figure reports,"Given an accuracy figure and the makeup of the data, say what the figure does and does not establish.",D2,D4,APPLY,mcq_single,"A 99 per cent figure accepted as strong where 99 per cent of cases share one answer; the figure rejected as meaningless, which overcorrects.",AM_RG_EVALUATION,The rare-disease shape is the canonical stem and the arithmetic must stay trivial.,0,1,1,1,0,3
AI_ML_CONCEPTS,"AI, ML & Deep Learning",AM_C08_LIMITS,What a trained system cannot do,AM_F10_A_MODEL_DOES_NOT_EXPLAIN_ITSELF,"A learned system produces an answer; it does not thereby produce a reason, and any reason it states is another output rather than a record of its working.",AM_FAM10_MODEL_LIMITS,Reasoning about what a trained system can be asked for,"Given a request made of a trained system, say whether the system can supply it.",D2,D4,APPLY,mcq_single,"A stated reason accepted as the real cause of the answer; the system assumed unable to produce any explanation at all, which is also wrong.",AM_RG_LIMITS,,0,1,1,1,0,3
