questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_FN_001,FUNCTIONS_BASICS,FN_C01_PURPOSE,FN_F01_FUNCTION_NAMES_A_STEP,FN_FAM01_FUNCTION_PURPOSE,FN_RG_PURPOSE,D1,REMEMBER,mcq_single,Which of these is the best candidate to be made into a function?,A single line that appears exactly once in the whole program,"Checking that an email address is well formed, which several different forms all need",A comment describing what the program does,A variable holding the title shown at the top of the screen,B,"Checking that an email address is well formed, which several different forms all need","Work that is needed in more than one place is what a function saves from being written out repeatedly. A line used once gains nothing from being named, and a comment or a variable is not work at all.",LEGACY_REMAP,195e7a
GB_FN_002,FUNCTIONS_BASICS,FN_C01_PURPOSE,FN_F01_FUNCTION_NAMES_A_STEP,FN_FAM01_FUNCTION_PURPOSE,FN_RG_PURPOSE,D1,REMEMBER,mcq_single,What does giving a piece of work a name as a function provide?,Faster execution than writing the same lines out,Protection against the work being changed later,A guarantee that the work is correct,"One place where that work is written, which every use of it shares",D,"One place where that work is written, which every use of it shares","The gain is that the work exists once rather than in many copies, so a change reaches every use. Nothing about naming makes code faster, safer from edits, or correct.",AUTHORED,
GB_FN_003,FUNCTIONS_BASICS,FN_C01_PURPOSE,FN_F01_FUNCTION_NAMES_A_STEP,FN_FAM01_FUNCTION_PURPOSE,FN_RG_PURPOSE,D1,REMEMBER,mcq_single,A program defines a function and never calls it. What does that function do?,Nothing; a definition describes work without performing it,"It runs once, at the point where it is defined",It runs at the end of the program,It causes the program to refuse to start,A,Nothing; a definition describes work without performing it,"Defining is describing; the body only runs when something calls it. An unused function is harmless rather than an error, which is exactly why an uncalled function can sit unnoticed.",AUTHORED,
GB_FN_004,FUNCTIONS_BASICS,FN_C01_PURPOSE,FN_F01_FUNCTION_NAMES_A_STEP,FN_FAM01_FUNCTION_PURPOSE,FN_RG_PURPOSE,D1,REMEMBER,mcq_single,Two programs behave identically. One writes the same eight lines in four places; the other defines them once as a function and calls it four times. What differs?,How quickly the program runs,How much output the program produces,How many places have to be edited when those eight lines need to change,Whether the program is allowed to run at all,C,How many places have to be edited when those eight lines need to change,"The behaviour is stated to be identical, so output and legality are settled; what a function changes is the cost of the next change. Four copies means four edits and one chance to miss one.",AUTHORED,
GB_FN_005,FUNCTIONS_BASICS,FN_C01_PURPOSE,FN_F01_FUNCTION_NAMES_A_STEP,FN_FAM01_FUNCTION_PURPOSE,FN_RG_PURPOSE,D2,REMEMBER,mcq_single,The same tax calculation is needed in twenty places. What does defining it once as a function give you?,A calculation that runs faster than twenty copies would,A single place to correct when the tax rule changes,A calculation that runs by itself wherever it is needed,Compliance with a language rule forbidding repeated code,B,A single place to correct when the tax rule changes,"Twenty copies all work until the rule changes, and then nineteen of them are wrong until someone finds them. A function still has to be called at each of the twenty places; what it removes is twenty copies of the logic.",LEGACY_REMAP,1bd756
GB_FN_006,FUNCTIONS_BASICS,FN_C02_DEFINITION_AND_CALL,FN_F02_DEFINING_IS_NOT_RUNNING,FN_FAM02_DEFINITION_VS_CALL,FN_RG_CALLS,D1,UNDERSTAND,mcq_single,"A fragment defines a function whose body prints ""hello"", and the fragment contains nothing else. What is printed?","hello, once","hello, twice",An error message about the function never being used,Nothing,D,Nothing,"The body belongs to the definition and runs only when the function is called, and nothing here calls it. A function that is never used is not an error.",AUTHORED,
GB_FN_007,FUNCTIONS_BASICS,FN_C02_DEFINITION_AND_CALL,FN_F02_DEFINING_IS_NOT_RUNNING,FN_FAM02_DEFINITION_VS_CALL,FN_RG_CALLS,D1,UNDERSTAND,mcq_single,"A fragment defines a function that prints a greeting, and below the definition it contains one call to that function. How many greetings appear?",One,Two: one where it is defined and one where it is called,"None, because defining it and calling it cancel out","One, appearing before the definition is reached",A,One,"Only the call performs the work, so a single call yields a single greeting. Counting the definition as a run would predict two where the code produces one.",AUTHORED,
GB_FN_008,FUNCTIONS_BASICS,FN_C02_DEFINITION_AND_CALL,FN_F02_DEFINING_IS_NOT_RUNNING,FN_FAM02_DEFINITION_VS_CALL,FN_RG_CALLS,D1,UNDERSTAND,mcq_single,When does the body of a function run?,"Once, when the function is defined",Once at the definition and again at each call,Each time the function is called,Automatically at the end of the program,C,Each time the function is called,"A definition names work and a call performs it, so the number of runs is the number of calls — which may be none. Nothing runs a function on the program's behalf.",AUTHORED,
GB_FN_009,FUNCTIONS_BASICS,FN_C02_DEFINITION_AND_CALL,FN_F02_DEFINING_IS_NOT_RUNNING,FN_FAM02_DEFINITION_VS_CALL,FN_RG_CALLS,D2,UNDERSTAND,mcq_single,"A fragment defines a function that prints a line, then calls it, then calls it again. How many lines are printed?","Three, counting the definition",Two,"One, since the body exists only once","None, because the second call reuses the first result",B,Two,"Each call runs the body once, so two calls print two lines. The body existing once is about where the code lives, not how often it runs, and nothing is reused between calls.",AUTHORED,
GB_FN_010,FUNCTIONS_BASICS,FN_C03_PARAMETERS,FN_F03_PARAMETER_VS_ARGUMENT,FN_FAM03_PARAMETER_VS_ARGUMENT,FN_RG_PARAMETERS,D1,REMEMBER,mcq_single,"A function is defined as def greet(name): and later called as greet(""Sam""). Which is the parameter?","""Sam""",greet,The value the function sends back,name,D,name,"The parameter is the name written in the definition, standing for whatever will be supplied. The value supplied at the call is the argument, and the function's own name is neither.",AUTHORED,
GB_FN_011,FUNCTIONS_BASICS,FN_C03_PARAMETERS,FN_F03_PARAMETER_VS_ARGUMENT,FN_FAM03_PARAMETER_VS_ARGUMENT,FN_RG_PARAMETERS,D1,REMEMBER,mcq_single,"A function is defined as def area(width, height): and called as area(3, 7). Which are the arguments?",3 and 7,width and height,"area, width and height",The value area sends back,A,3 and 7,"Arguments are the values handed over at the call, so here they are 3 and 7; width and height are the names waiting to receive them. The returned value travels the other way.",AUTHORED,
GB_FN_012,FUNCTIONS_BASICS,FN_C03_PARAMETERS,FN_F03_PARAMETER_VS_ARGUMENT,FN_FAM03_PARAMETER_VS_ARGUMENT,FN_RG_PARAMETERS,D1,REMEMBER,mcq_single,"How many parameters does a function defined as def total(a, b, c): have?","One, since they are written in a single pair of brackets","None, until the function is called",Three,"Four, counting the function name",C,Three,"Each name inside the brackets is a parameter, so there are three regardless of whether the function has ever been called. Parameters exist in the definition; arguments appear at a call.",AUTHORED,
GB_FN_013,FUNCTIONS_BASICS,FN_C03_PARAMETERS,FN_F03_PARAMETER_VS_ARGUMENT,FN_FAM03_PARAMETER_VS_ARGUMENT,FN_RG_PARAMETERS,D2,REMEMBER,mcq_single,A function is defined as def price_with_tax(price): and called as price_with_tax(250). Which statement is correct?,250 is the parameter and price is the argument,price is the parameter and 250 is the argument,"Both are parameters, since both stand for the same value",price is the parameter and the returned value is the argument,B,price is the parameter and 250 is the argument,"The definition names what it expects and the call supplies it, so the name is the parameter and the supplied value the argument. Every later error message uses these two words to mean exactly these two things.",LEGACY_REMAP,18220c
