questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_HF_001,HTML_FORMS,HF_C01_CONTROLS,HF_F01_EACH_CONTROL_SUITS_A_KIND_OF_ANSWER,HF_FAM01_CONTROL_PURPOSE,HF_RG_CONTROLS,D1,REMEMBER,mcq_single,A form must collect exactly one answer from a fixed list of four. Which kind of control fits?,A set of independent tick boxes,A set of options where choosing one clears the others,A free text field,A field that accepts a number,B,A set of options where choosing one clears the others,Exactly one from a fixed set is what a mutually exclusive group expresses. Independent tick boxes would let a visitor choose all four.,AUTHORED,
GB_HF_002,HTML_FORMS,HF_C01_CONTROLS,HF_F01_EACH_CONTROL_SUITS_A_KIND_OF_ANSWER,HF_FAM01_CONTROL_PURPOSE,HF_RG_CONTROLS,D1,REMEMBER,mcq_single,"A form must collect any number of answers from a fixed list of six, including none. Which kind of control fits?",A set of options where choosing one clears the others,A free text field,A drop-down allowing one selection,A set of independent tick boxes,D,A set of independent tick boxes,"Independent boxes permit none, some or all, which is what the requirement allows. A mutually exclusive group would cap it at one.",AUTHORED,
GB_HF_003,HTML_FORMS,HF_C01_CONTROLS,HF_F01_EACH_CONTROL_SUITS_A_KIND_OF_ANSWER,HF_FAM01_CONTROL_PURPOSE,HF_RG_CONTROLS,D1,REMEMBER,mcq_single,A form must collect a comment of a paragraph or two. Which kind of control fits?,A multi-line text field,A single-line text field,A set of tick boxes,A field that accepts a number,A,A multi-line text field,"A paragraph needs room and line breaks, which a single-line field does not offer. The choice follows from the shape of the answer.",AUTHORED,
GB_HF_004,HTML_FORMS,HF_C01_CONTROLS,HF_F01_EACH_CONTROL_SUITS_A_KIND_OF_ANSWER,HF_FAM01_CONTROL_PURPOSE,HF_RG_CONTROLS,D1,REMEMBER,mcq_single,What decides which kind of control a form should use for a question?,How the control looks on the page,How much space is available,The shape of the answer being collected,Which control is easiest to style,C,The shape of the answer being collected,The control encodes what kind of answer is permitted. Appearance can be adjusted afterwards and cannot change how many answers are possible.,AUTHORED,
GB_HF_005,HTML_FORMS,HF_C01_CONTROLS,HF_F01_EACH_CONTROL_SUITS_A_KIND_OF_ANSWER,HF_FAM01_CONTROL_PURPOSE,HF_RG_CONTROLS,D2,REMEMBER,mcq_single,"A designer uses independent tick boxes for a question that must have exactly one answer, planning to check afterwards that only one was ticked. What is the weakness?",Nothing; the check is equivalent to using the right control,"The form permits an invalid answer, so the check has to catch what the control should have prevented",Tick boxes cannot be checked afterwards,The form will refuse to submit,B,"The form permits an invalid answer, so the check has to catch what the control should have prevented",The right control makes the invalid state unreachable. Permitting it and rejecting it afterwards means a visitor can complete the form and be told they were wrong.,AUTHORED,
GB_HF_006,HTML_FORMS,HF_C02_LABELS,HF_F02_A_LABEL_IS_BOUND_OR_MERELY_NEARBY,HF_FAM02_LABEL_ASSOCIATION,HF_RG_LABELS,D1,REMEMBER,mcq_single,"Text reading ""Email address"" sits immediately to the left of a text field, and nothing in the markup connects the two. Is the field labelled?",Yes; the text is clearly its label,"Yes, because the text is close enough",It depends on how far apart they are,No; the text is adjacent and not associated with it,D,No; the text is adjacent and not associated with it,A label is a relationship recorded in the markup rather than a position on screen. Proximity is what a sighted reader uses and is not available to anything else.,AUTHORED,
GB_HF_007,HTML_FORMS,HF_C02_LABELS,HF_F02_A_LABEL_IS_BOUND_OR_MERELY_NEARBY,HF_FAM02_LABEL_ASSOCIATION,HF_RG_LABELS,D1,REMEMBER,mcq_single,What makes text a control label rather than nearby text?,An association recorded between the two in the markup,Its position immediately before the control,Its being written in bold,Its ending in a colon,A,An association recorded between the two in the markup,"The association is the whole of it. Position, styling and punctuation are conventions that help sighted readers and record nothing.",AUTHORED,
GB_HF_008,HTML_FORMS,HF_C02_LABELS,HF_F02_A_LABEL_IS_BOUND_OR_MERELY_NEARBY,HF_FAM02_LABEL_ASSOCIATION,HF_RG_LABELS,D1,REMEMBER,mcq_single,"Two forms look identical on screen. In one, every label is associated with its control; in the other, none is. What differs?",Nothing at all,The visual layout,What anything other than a sighted reader can determine about the fields,The speed at which the page loads,C,What anything other than a sighted reader can determine about the fields,"The appearance is the same and the recorded structure is not. Clicking a label to focus its field also stops working, which is the visible symptom.",AUTHORED,
GB_HF_009,HTML_FORMS,HF_C02_LABELS,HF_F02_A_LABEL_IS_BOUND_OR_MERELY_NEARBY,HF_FAM02_LABEL_ASSOCIATION,HF_RG_LABELS,D2,REMEMBER,mcq_single,"A developer replaces every label with placeholder text inside the field, saying the form now looks cleaner and still tells the user what to enter. What is lost?",Nothing; placeholder text serves the same purpose,"The description disappears as soon as the user types, and nothing records what the field is for",The ability to style the text,The ability to make the field required,B,"The description disappears as soon as the user types, and nothing records what the field is for",Placeholder text vanishes exactly when the user might want to check what they were asked for. It is a hint rather than a name for the field.,AUTHORED,
GB_HF_010,HTML_FORMS,HF_C03_IDENTITY,HF_F03_A_VALUE_TRAVELS_UNDER_A_NAME,HF_FAM03_VALUE_IDENTITY,HF_RG_SUBMISSION,D1,UNDERSTAND,mcq_single,A form is submitted. How does the receiving side tell which value came from which control?,By the label text shown beside it,By the order the controls appear on the page,By the text the user typed,By the name given to each control,D,By the name given to each control,Each value travels under the control name. The label is for the person filling the form and never reaches the other end.,AUTHORED,
