questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_DB_001,DB_FUNDAMENTALS,DB_C01_TABLES,DB_F01_TABLE_HAS_ROWS_AND_COLUMNS,DB_FAM01_TABLE_ANATOMY,DB_RG_STRUCTURE,D1,REMEMBER,mcq_single,"An employees table has the headings emp_id, full_name, department, joined_on and holds three employees. What is one employee's entry across all four headings called?",A column,A row,A heading,A table,B,A row,One employee's entry across the whole width of the table is a row. It runs across the headings rather than down one of them.,AUTHORED,
GB_DB_002,DB_FUNDAMENTALS,DB_C01_TABLES,DB_F01_TABLE_HAS_ROWS_AND_COLUMNS,DB_FAM01_TABLE_ANATOMY,DB_RG_STRUCTURE,D1,REMEMBER,mcq_single,"In that same table, department taken all the way down the table is what?",A row,A single value,A key,A column,D,A column,A heading together with everything stored under it is a column. It runs down the table rather than across one employee.,AUTHORED,
GB_DB_003,DB_FUNDAMENTALS,DB_C01_TABLES,DB_F01_TABLE_HAS_ROWS_AND_COLUMNS,DB_FAM01_TABLE_ANATOMY,DB_RG_STRUCTURE,D1,REMEMBER,mcq_single,Printed on paper the employees table shows a line of headings and then three employees. How many rows of data does it hold?,Three,"Four, counting the headings",One,"Twelve, one per value",A,Three,"The headings name the columns and are not data, so the table holds three rows. Each employee contributes one.",AUTHORED,
GB_DB_004,DB_FUNDAMENTALS,DB_C01_TABLES,DB_F01_TABLE_HAS_ROWS_AND_COLUMNS,DB_FAM01_TABLE_ANATOMY,DB_RG_STRUCTURE,D1,REMEMBER,mcq_single,"The department column holds Sales, Sales and Support. What has to be true of the values in any one column?",They are all different from each other,They are always text,They are all the same kind of thing,They are stored in alphabetical order,C,They are all the same kind of thing,"A column records one kind of thing about every row, so the values are all the same kind of thing. They may repeat, and they are not kept in any particular order.",AUTHORED,
GB_DB_005,DB_FUNDAMENTALS,DB_C01_TABLES,DB_F01_TABLE_HAS_ROWS_AND_COLUMNS,DB_FAM01_TABLE_ANATOMY,DB_RG_STRUCTURE,D2,REMEMBER,mcq_single,Where in the table is one particular employee's department found?,Anywhere in the department column,Where that employee's row meets the department column,In the line of headings,"In a separate table, since a department is not an employee",B,Where that employee's row meets the department column,"A single stored value sits where a row and a column cross, so it is found where that employee's row meets the department column. Knowing only the column narrows it to a list of departments and not to one.",AUTHORED,
GB_DB_006,DB_FUNDAMENTALS,DB_C02_KEYS,DB_F02_KEY_IDENTIFIES_ONE_ROW,DB_FAM02_KEY_RECOGNITION,DB_RG_KEYS,D1,REMEMBER,mcq_single,"A table holds emp_id, full_name, email and date_of_birth. Which column is intended to serve as the key?",full_name,date_of_birth,email,emp_id,D,emp_id,"The identifier column exists for exactly this purpose, so emp_id is the key. The others describe the employee rather than identify the row.",AUTHORED,
GB_DB_007,DB_FUNDAMENTALS,DB_C02_KEYS,DB_F02_KEY_IDENTIFIES_ONE_ROW,DB_FAM02_KEY_RECOGNITION,DB_RG_KEYS,D1,REMEMBER,mcq_single,Two different employees are both recorded as Ana Kumar. What does that show about full_name?,It cannot be relied on to identify one row,"It can, as long as the two work in different departments","It can, because the two rows have different identifiers","It can, once one of the two names is corrected",A,It cannot be relied on to identify one row,"A value that appears twice picks out two rows rather than one, so the name cannot be relied on to identify one row. Nothing about the rest of the row repairs that.",AUTHORED,
GB_DB_008,DB_FUNDAMENTALS,DB_C02_KEYS,DB_F02_KEY_IDENTIFIES_ONE_ROW,DB_FAM02_KEY_RECOGNITION,DB_RG_KEYS,D1,REMEMBER,mcq_single,What does a column have to do before it can be used as a key?,Hold numbers rather than text,Be the first column in the table,"Pick out exactly one row, every time and forever",Be kept in sorted order,C,"Pick out exactly one row, every time and forever","A key has one job, which is to pick out exactly one row, every time and forever. Its type and its position in the table are irrelevant to that.",AUTHORED,
GB_DB_009,DB_FUNDAMENTALS,DB_C02_KEYS,DB_F02_KEY_IDENTIFIES_ONE_ROW,DB_FAM02_KEY_RECOGNITION,DB_RG_KEYS,D2,REMEMBER,mcq_single,"In a table of forty employees, every value in date_of_birth happens to be different. Does that make it a key?",Yes; all the values being different is what a key needs,No; being different today does not make a column different in principle,"Yes, as long as the column is never left blank",No; a key has to be a number,B,No; being different today does not make a column different in principle,"The fortieth employee hired tomorrow may share a birthday with somebody already there, so being different today does not make a column different in principle. A key has to be guaranteed, not observed.",AUTHORED,
GB_DB_010,DB_FUNDAMENTALS,DB_C03_TYPES,DB_F03_COLUMNS_HAVE_TYPES,DB_FAM03_COLUMN_TYPE_RECOGNITION,DB_RG_STRUCTURE,D1,REMEMBER,mcq_single,A column holds values such as 9876543210 and 0801234567. What type should it be given?,"A whole number, since the values are digits",A decimal number,"A date, since it is a fixed length","Text, so that a leading zero survives",D,"Text, so that a leading zero survives","These are labels made of digits rather than quantities, and nothing is ever added to them, so the column should be text, so that a leading zero survives. Stored as a number the second value comes back shorter than it went in.",AUTHORED,
