questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_SC_001,SHELL_COMMANDS,SC_C01_ANATOMY,SC_F01_A_COMMAND_LINE_HAS_PARTS_WITH_ROLES,SC_FAM01_LINE_ANATOMY,SC_RG_ANATOMY,D1,REMEMBER,mcq_single,"A command line names a command, then a setting that changes how it behaves, then a file. Which part is the thing being acted on?",The command name,The file,The setting,All three equally,B,The file,"The command says what to do and the setting adjusts how, leaving the file as what it is done to. The three parts have distinct roles.",AUTHORED,
GB_SC_002,SHELL_COMMANDS,SC_C01_ANATOMY,SC_F01_A_COMMAND_LINE_HAS_PARTS_WITH_ROLES,SC_FAM01_LINE_ANATOMY,SC_RG_ANATOMY,D1,REMEMBER,mcq_single,What is the purpose of a setting given on a command line?,To name what the command acts on,To say where the output should go,To name the user running the command,To change how the command behaves,D,To change how the command behaves,A setting adjusts behaviour and does not supply the target. Confusing the two is what makes a command act on nothing or on the wrong thing.,AUTHORED,
GB_SC_003,SHELL_COMMANDS,SC_C01_ANATOMY,SC_F01_A_COMMAND_LINE_HAS_PARTS_WITH_ROLES,SC_FAM01_LINE_ANATOMY,SC_RG_ANATOMY,D1,REMEMBER,mcq_single,A command line lists three file names after the command. What does that usually mean?,The command acts on all three,The command acts on the first and ignores the rest,The command acts on the last only,"The command will refuse, since it expects one file",A,The command acts on all three,Most commands accept several targets and act on each. That is what makes a pattern expanding to many names work at all.,AUTHORED,
GB_SC_004,SHELL_COMMANDS,SC_C01_ANATOMY,SC_F01_A_COMMAND_LINE_HAS_PARTS_WITH_ROLES,SC_FAM01_LINE_ANATOMY,SC_RG_ANATOMY,D1,REMEMBER,mcq_single,Why does the order of the parts on a command line matter?,Because commands run their parts left to right as separate steps,Because the last part is always ignored,Because the command has to be named first and its targets identified as targets,It does not matter; the parts can be given in any order,C,Because the command has to be named first and its targets identified as targets,The command name comes first because it decides how everything after it is read. Settings and targets are then distinguished by their form.,AUTHORED,
GB_SC_005,SHELL_COMMANDS,SC_C01_ANATOMY,SC_F01_A_COMMAND_LINE_HAS_PARTS_WITH_ROLES,SC_FAM01_LINE_ANATOMY,SC_RG_ANATOMY,D2,REMEMBER,mcq_single,"A user means to act on a file named in a certain way and the command reports that it cannot find a file with that name, while also behaving unusually. The name resembles the form a setting takes. What has most likely happened?",The file has been deleted,The name was read as a setting rather than as a target,The command does not accept targets,The command was misspelled,B,The name was read as a setting rather than as a target,"A target that looks like a setting is read as one, so the command adjusts its behaviour and finds no target at all. Files whose names begin like settings need marking as targets explicitly.",AUTHORED,
GB_SC_006,SHELL_COMMANDS,SC_C02_LOCATION,SC_F02_A_COMMAND_ACTS_FROM_WHERE_YOU_ARE,SC_FAM02_CURRENT_LOCATION,SC_RG_LOCATION,D1,REMEMBER,mcq_single,A command is given a file name with no path. Where does it look for the file?,In the user home directory always,In the directory where the command itself is installed,Everywhere on the machine,In the directory the session is currently in,D,In the directory the session is currently in,A bare name is read from wherever the session happens to be. That location is a property of the session rather than of the command.,AUTHORED,
GB_SC_007,SHELL_COMMANDS,SC_C02_LOCATION,SC_F02_A_COMMAND_ACTS_FROM_WHERE_YOU_ARE,SC_FAM02_CURRENT_LOCATION,SC_RG_LOCATION,D1,REMEMBER,mcq_single,Is the current directory a property of the session or of the command being run?,Of the session,Of the command,Of the user account,Of the machine,A,Of the session,The session carries a current directory and every command run from it inherits that. Two sessions on the same machine can be in different places.,AUTHORED,
GB_SC_008,SHELL_COMMANDS,SC_C02_LOCATION,SC_F02_A_COMMAND_ACTS_FROM_WHERE_YOU_ARE,SC_FAM02_CURRENT_LOCATION,SC_RG_LOCATION,D1,REMEMBER,mcq_single,Two terminal sessions are open on one machine. Must they be in the same directory?,Yes; the machine has one current directory,"Yes, if the same user opened both",No; each keeps its own current directory,Only if both are running commands,C,No; each keeps its own current directory,Each session tracks its own location independently. Moving around in one has no effect on the other.,AUTHORED,
GB_SC_009,SHELL_COMMANDS,SC_C02_LOCATION,SC_F02_A_COMMAND_ACTS_FROM_WHERE_YOU_ARE,SC_FAM02_CURRENT_LOCATION,SC_RG_LOCATION,D2,REMEMBER,mcq_single,"A user runs a command that works, moves to a different directory, and runs the identical command line, which now fails. Nothing on disk has changed. What explains it?",The command was corrupted by the move,The bare names in the command resolved to different places from the two directories,The command can only be run once per session,The second directory has different permissions on the command,B,The bare names in the command resolved to different places from the two directories,"The command line is identical and what it names is not, because bare names depend on where they are read from. Using paths that begin at the top removes the dependence.",AUTHORED,
GB_SC_010,SHELL_COMMANDS,SC_C03_PURPOSE,SC_F03_COMMANDS_HAVE_NARROW_JOBS,SC_FAM03_PURPOSE_MATCH,SC_RG_ANATOMY,D1,UNDERSTAND,mcq_single,"A user wants a second copy of a file, keeping the original. Which kind of command does that?",One that moves,One that removes,One that lists,One that copies,D,One that copies,Copying leaves the original where it was and creates a second. Moving would relocate the one file rather than producing two.,AUTHORED,
GB_SC_011,SHELL_COMMANDS,SC_C03_PURPOSE,SC_F03_COMMANDS_HAVE_NARROW_JOBS,SC_FAM03_PURPOSE_MATCH,SC_RG_ANATOMY,D1,UNDERSTAND,mcq_single,A user wants to give a file a different name in the same directory. Which kind of command does that?,One that moves,One that copies,One that removes,One that inspects,A,One that moves,Renaming and relocating are the same operation: the entry changes and no second copy appears. Copying would leave the old name in place as well.,AUTHORED,
GB_SC_012,SHELL_COMMANDS,SC_C03_PURPOSE,SC_F03_COMMANDS_HAVE_NARROW_JOBS,SC_FAM03_PURPOSE_MATCH,SC_RG_ANATOMY,D1,UNDERSTAND,mcq_single,A user wants to see what a text file contains without changing it. Which kind of command does that?,One that lists names in a directory,One that copies the file,One that displays contents,One that changes the file permissions,C,One that displays contents,Displaying contents and listing names answer different questions. A listing tells you the file is there and nothing about what is in it.,AUTHORED,
GB_SC_013,SHELL_COMMANDS,SC_C03_PURPOSE,SC_F03_COMMANDS_HAVE_NARROW_JOBS,SC_FAM03_PURPOSE_MATCH,SC_RG_ANATOMY,D2,UNDERSTAND,mcq_single,A user wants to know which files in a directory were changed most recently. Which kind of command answers that?,One that displays the contents of each file,One that lists names together with their details,One that copies the directory somewhere else,One that searches inside the files for text,B,One that lists names together with their details,"The question is about the entries rather than the contents, so a detailed listing answers it. Opening every file would answer a different question slowly.",AUTHORED,
GB_SC_014,SHELL_COMMANDS,SC_C02_LOCATION,SC_F04_MOVING_AROUND_CHANGES_WHAT_FOLLOWS,SC_FAM04_NAVIGATION_RESULT,SC_RG_LOCATION,D2,UNDERSTAND,mcq_single,"A session starts in /home/asha, moves into reports, and then moves up one level. Where is it?",/home/asha/reports,/home,/,/home/asha,D,/home/asha,"Moving in and then back up returns to the starting point, which is /home/asha. One further move up would have reached the directory above it.",AUTHORED,
GB_SC_015,SHELL_COMMANDS,SC_C02_LOCATION,SC_F04_MOVING_AROUND_CHANGES_WHAT_FOLLOWS,SC_FAM04_NAVIGATION_RESULT,SC_RG_LOCATION,D3,UNDERSTAND,mcq_single,"A session starts in /var/log, moves up two levels, and then moves into tmp. Where is it?",/tmp,/var/tmp,/var/log/tmp,/tmp/log,A,/tmp,"Two levels up from /var/log reaches the top of the tree, and entering tmp from there gives /tmp. Climbing only one level would have left the session inside /var.",AUTHORED,
GB_SC_016,SHELL_COMMANDS,SC_C04_INSPECTION,SC_F05_A_LISTING_SHOWS_WHAT_IT_WAS_ASKED_TO_SHOW,SC_FAM05_LISTING_CONTENT,SC_RG_INSPECTION,D2,UNDERSTAND,mcq_single,A plain listing of a directory produces no output. What follows?,The directory is definitely empty,The directory does not exist,"Nothing was shown, which does not establish that the directory is empty",The user lacks permission to read it,C,"Nothing was shown, which does not establish that the directory is empty",Entries whose names mark them as hidden are left out of a plain listing. An empty result and an empty directory are different things.,AUTHORED,
GB_SC_017,SHELL_COMMANDS,SC_C04_INSPECTION,SC_F05_A_LISTING_SHOWS_WHAT_IT_WAS_ASKED_TO_SHOW,SC_FAM05_LISTING_CONTENT,SC_RG_INSPECTION,D3,UNDERSTAND,mcq_single,A directory contains a subdirectory holding four files. A plain listing of the directory shows one entry. Why?,The listing failed to read the subdirectory,"A listing shows what is in the directory, and the subdirectory is one entry",The four files are hidden,The listing shows only the first entry,B,"A listing shows what is in the directory, and the subdirectory is one entry",The subdirectory is a single entry however much is inside it. Reaching inside is a separate request.,AUTHORED,
GB_SC_018,SHELL_COMMANDS,SC_C05_EFFECTS,SC_F06_COPYING_AND_MOVING_LEAVE_DIFFERENT_THINGS,SC_FAM06_COPY_MOVE_EFFECT,SC_RG_EFFECTS,D2,APPLY,mcq_single,A file is moved from one directory to another. What exists afterwards?,"Two files, one in each directory","One file, in the old directory","Two files, both in the new directory","One file, in the new directory",D,"One file, in the new directory",Moving relocates the single file rather than duplicating it. Copying is what would leave two.,AUTHORED,
GB_SC_019,SHELL_COMMANDS,SC_C05_EFFECTS,SC_F06_COPYING_AND_MOVING_LEAVE_DIFFERENT_THINGS,SC_FAM06_COPY_MOVE_EFFECT,SC_RG_EFFECTS,D3,APPLY,mcq_single,A file called report.txt is copied into a directory that already contains a different file called report.txt. What is the likely result?,"The existing file is replaced by the copy, and its previous contents are gone",The copy is refused because the name is taken,The copy is renamed automatically to avoid the clash,Both files exist afterwards under the same name,A,"The existing file is replaced by the copy, and its previous contents are gone","Most such commands overwrite without asking. Two entries cannot share one name in a directory, so one of them has to go.",AUTHORED,
GB_SC_020,SHELL_COMMANDS,SC_C05_EFFECTS,SC_F06_COPYING_AND_MOVING_LEAVE_DIFFERENT_THINGS,SC_FAM06_COPY_MOVE_EFFECT,SC_RG_EFFECTS,D4,APPLY,mcq_single,"A user copies notes.txt into a backup directory each evening. Tonight the backup directory already holds a notes.txt from last night, which they wanted to keep. The copy replaces any file of the same name in the destination, and both files are called notes.txt. What happens to last night version?","It is kept, since the two came from different days",It is renamed automatically before the copy arrives,It is replaced and its contents are lost,"The copy is refused, leaving last night version intact",C,It is replaced and its contents are lost,"Nothing about the file records which day it came from, so the name is all the command sees. Including a date in the destination name is what would keep both.",AUTHORED,
GB_SC_021,SHELL_COMMANDS,SC_C06_PATTERNS,SC_F07_A_PATTERN_SELECTS_BY_NAME,SC_FAM07_PATTERN_MATCH,SC_RG_PATTERNS,D2,APPLY,mcq_single,"A directory contains a.txt, b.txt, c.log and notes.txt. A pattern matching anything ending in .txt is used. Which entries are selected?",a.txt and b.txt only,"a.txt, b.txt and notes.txt",Every entry in the directory,c.log only,B,"a.txt, b.txt and notes.txt","The pattern selects by name and every name ending in .txt qualifies, including the longer one. The log file does not.",AUTHORED,
GB_SC_022,SHELL_COMMANDS,SC_C06_PATTERNS,SC_F07_A_PATTERN_SELECTS_BY_NAME,SC_FAM07_PATTERN_MATCH,SC_RG_PATTERNS,D3,APPLY,mcq_single,"A directory contains report.txt, report1.txt, report2.txt and a subdirectory called reports holding three more .txt files. A pattern matching anything ending in .txt is used. Which entries are selected?","All six .txt files, including those in the subdirectory","Only report.txt, since the others have digits","The subdirectory as well, since its name begins with report","The three .txt files in this directory, and none of those inside the subdirectory",D,"The three .txt files in this directory, and none of those inside the subdirectory",A pattern of this kind selects entries in the directory it is applied to and does not descend. The subdirectory name does not end in .txt.,AUTHORED,
GB_SC_023,SHELL_COMMANDS,SC_C06_PATTERNS,SC_F07_A_PATTERN_SELECTS_BY_NAME,SC_FAM07_PATTERN_MATCH,SC_RG_PATTERNS,D4,APPLY,mcq_single,"A directory contains data.csv, data_old.csv, .data_hidden.csv and archive.csv. A user applies a pattern matching anything beginning with data. A general pattern does not match names beginning with a dot, and one of the four begins with one. Which entries are selected?",data.csv and data_old.csv,"data.csv, data_old.csv and .data_hidden.csv",data.csv only,All four entries,A,data.csv and data_old.csv,"Names beginning with a dot are excluded from ordinary patterns deliberately, so the hidden file is left out. Archive.csv does not begin with data.",AUTHORED,
GB_SC_024,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F08_SOME_COMMANDS_DESTROY_WITHOUT_ASKING,SC_FAM08_DESTRUCTIVE_EFFECT,SC_RG_DESTRUCTION,D2,APPLY,mcq_single,A file is removed with a command that deletes it. Where does it go?,"To a recycle bin, from which it can be restored",To a temporary directory for a period,Nowhere; it is gone and there is no bin to recover it from,"To the directory above, renamed",C,Nowhere; it is gone and there is no bin to recover it from,A command-line removal does not pass through a bin. Recovery afterwards depends on a backup having been taken.,AUTHORED,
GB_SC_025,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F08_SOME_COMMANDS_DESTROY_WITHOUT_ASKING,SC_FAM08_DESTRUCTIVE_EFFECT,SC_RG_DESTRUCTION,D3,APPLY,mcq_single,"A directory contains four files. A removal command is applied with a pattern matching anything ending in .tmp, and three of the four end in .tmp. What is lost?",All four files,"The three .tmp files, without any confirmation being asked","Nothing, until the user confirms","The three .tmp files, after a confirmation prompt",B,"The three .tmp files, without any confirmation being asked",The pattern selects three names and the command acts on each. Nothing asks first unless it has been set up to.,AUTHORED,
GB_SC_026,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F08_SOME_COMMANDS_DESTROY_WITHOUT_ASKING,SC_FAM08_DESTRUCTIVE_EFFECT,SC_RG_DESTRUCTION,D4,APPLY,mcq_single,"A user means to remove files ending in .bak and types a pattern that matches everything instead. The directory holds twelve files, three of them .bak. The pattern selects all twelve names and the command acts on each without asking. What is lost?",The three .bak files only,"Nothing, since the pattern was clearly a mistake","The three .bak files, with the rest reported as errors",All twelve files,D,All twelve files,The command has no way to know which of the twelve were intended. Listing what a pattern matches before removing is the habit this exists to justify.,AUTHORED,
GB_SC_027,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F09_ACTING_THROUGHOUT_A_TREE_REACHES_FURTHER_THAN_EXPECTED,SC_FAM09_TREE_REACH,SC_RG_DESTRUCTION,D2,APPLY,mcq_single,"A command is told to work throughout a tree, starting at a directory. How far does it reach?","Everything below that directory, at every depth",Only the immediate contents,"Only the directories, not the files",Only two levels down,A,"Everything below that directory, at every depth",Working throughout a tree means every level below the starting point. Depth is not limited unless something limits it.,AUTHORED,
GB_SC_028,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F09_ACTING_THROUGHOUT_A_TREE_REACHES_FURTHER_THAN_EXPECTED,SC_FAM09_TREE_REACH,SC_RG_DESTRUCTION,D3,APPLY,mcq_single,A directory holds two files and one subdirectory. That subdirectory holds three files and another subdirectory holding one file. A command working throughout the tree is applied to the top directory. How many files does it reach?,Two,Five,Six,Three,C,Six,"Two at the top, three in the first subdirectory and one deeper: Six in all. Counting only the entries directly inside the starting directory would give a much smaller answer.",AUTHORED,
GB_SC_029,SHELL_COMMANDS,SC_C07_DESTRUCTION,SC_F09_ACTING_THROUGHOUT_A_TREE_REACHES_FURTHER_THAN_EXPECTED,SC_FAM09_TREE_REACH,SC_RG_DESTRUCTION,D4,APPLY,mcq_single,"A user applies a removal command throughout a tree, meaning to clear one subdirectory, and gives the parent directory by mistake. The parent holds nine files of its own and four subdirectories. Working throughout a tree reaches every level below the directory given, and the directory given was the parent. What is lost?",Only the one subdirectory that was intended,"The nine files, all four subdirectories and everything inside them","The nine files only, with the subdirectories left alone","The four subdirectories only, with the nine files left alone",B,"The nine files, all four subdirectories and everything inside them",Naming the parent hands the command the whole tree beneath it. This single mistake is the reason for listing what a command would reach before running it.,AUTHORED,
GB_SC_030,SHELL_COMMANDS,SC_C08_NAMES,SC_F10_A_SPACE_SPLITS_A_NAME_IN_TWO,SC_FAM10_NAME_SPLITTING,SC_RG_PATTERNS,D2,APPLY,mcq_single,"A file is named ""my report.txt"", with a space in the middle. It is given to a command unquoted. What does the command receive?","One target, ""my report.txt""","One target, ""myreport.txt""","Nothing, since the name is invalid","Two separate targets, ""my"" and ""report.txt""",D,"Two separate targets, ""my"" and ""report.txt""","A space separates one part of a command line from the next, so the name arrives as two. Quoting is what keeps it together.",AUTHORED,
GB_SC_031,SHELL_COMMANDS,SC_C08_NAMES,SC_F10_A_SPACE_SPLITS_A_NAME_IN_TWO,SC_FAM10_NAME_SPLITTING,SC_RG_PATTERNS,D3,APPLY,mcq_single,"A removal command is given the unquoted name ""old notes.txt"" in a directory that happens to contain a file called old and a file called notes.txt. What is removed?",Both old and notes.txt,"Nothing, since no file is called old notes.txt",Only the file called old,"A file called oldnotes.txt, if one exists",A,Both old and notes.txt,"The command receives two names, both of which exist, and removes both. It succeeds completely and does entirely the wrong thing.",AUTHORED,
GB_SC_032,SHELL_COMMANDS,SC_C08_NAMES,SC_F10_A_SPACE_SPLITS_A_NAME_IN_TWO,SC_FAM10_NAME_SPLITTING,SC_RG_PATTERNS,D4,APPLY,mcq_single,"A script builds a file name from a value that sometimes contains a space, and passes it unquoted to a command. Most of the time the value has no space and the script works. An unquoted value containing a space arrives as two separate targets rather than one. What happens on the day it does?",The command fails and the script stops,The command acts on the first part and ignores the second,"The command acts on two things instead of one, and reports success",The script refuses to build the name,C,"The command acts on two things instead of one, and reports success","Nothing detects the split, so the failure is silent and intermittent. That the script has worked for months is exactly what makes the day it does not so confusing.",AUTHORED,
