questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PS_001,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F01_REQUIREMENT_EXTRACTION,PS_FAM16_REQUIREMENT_VS_METHOD,PS_RG_INTERPRETATION,D1,UNDERSTAND,mcq_single,"A task is described as: find the highest mark in a class. Which statement says what must be true of a correct solution, rather than how to reach it?",Every mark is examined one at a time,The value reported is at least as large as every mark in the class,The marks are sorted and the last one is taken,A variable holds the largest mark seen so far,B,The value reported is at least as large as every mark in the class,"The requirement describes the answer, and any method producing an answer with that property is correct. The other three are all ways of getting there — and each would be judged by whether it satisfies the first.",AUTHORED,
GB_PS_002,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F01_REQUIREMENT_EXTRACTION,PS_FAM16_REQUIREMENT_VS_METHOD,PS_RG_INTERPRETATION,D1,UNDERSTAND,mcq_single,A task is described as: report how many words in a document are longer than six letters. Which of these is the requirement?,Each word is measured in turn,The document is read from beginning to end,Words of six letters or fewer are skipped,"A count is produced, and it equals the number of words longer than six letters",D,"A count is produced, and it equals the number of words longer than six letters",What must be true of the answer is that it is the right count. Reading the document and measuring words are steps somebody might take; a different method that produced the same count would be equally correct.,AUTHORED,
GB_PS_003,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F01_REQUIREMENT_EXTRACTION,PS_FAM16_REQUIREMENT_VS_METHOD,PS_RG_INTERPRETATION,D2,UNDERSTAND,mcq_single,"A task is described as: given a list of readings, report whether any of them is negative. Someone states the goal as ""look at each reading until a negative one is found"". What is wrong with that as a statement of the requirement?",It describes a method; the requirement is that the answer is yes exactly when a negative reading exists,Nothing; that is a correct statement of the requirement,It is too specific about the answer and should say more about the data,"It is wrong, because every reading must be examined",A,It describes a method; the requirement is that the answer is yes exactly when a negative reading exists,"The stated method happens to be a reasonable one, which is what makes it tempting. But it settles how the work proceeds rather than what would make the answer right, and it leaves no way to judge a different method.",AUTHORED,
GB_PS_004,PROBLEM_SOLVING,PS_C02_CONSTRAINTS,PS_F04_CONSTRAINT_EFFECT,PS_FAM17_CONSTRAINT_RECOGNITION,PS_RG_CONSTRAINTS,D1,UNDERSTAND,mcq_single,A problem statement says: report the largest value; the count of values may be anything from 1 to 100; the values arrive in a file. Which part is a constraint?,Report the largest value,The values arrive in a file,The count of values may be anything from 1 to 100,A repetition should be used to examine them,C,The count of values may be anything from 1 to 100,"A constraint limits what a solution may assume or do — here, the range of sizes it must cope with. Reporting the largest value is the requirement, arriving in a file is context, and choosing a repetition is a method nobody asked for.",LEGACY_REWRITE,7047a3
GB_PS_005,PROBLEM_SOLVING,PS_C02_CONSTRAINTS,PS_F04_CONSTRAINT_EFFECT,PS_FAM17_CONSTRAINT_RECOGNITION,PS_RG_CONSTRAINTS,D1,UNDERSTAND,mcq_single,"A problem says: sort the names into alphabetical order, without using any extra list. Which part is the constraint?",Sort the names,Without using any extra list,Into alphabetical order,The names are the input,B,Without using any extra list,The constraint is what rules solutions out: an otherwise perfectly good sort that builds a second list is disallowed. Sorting into alphabetical order is what must be achieved.,AUTHORED,
GB_PS_006,PROBLEM_SOLVING,PS_C02_CONSTRAINTS,PS_F04_CONSTRAINT_EFFECT,PS_FAM17_CONSTRAINT_RECOGNITION,PS_RG_CONSTRAINTS,D2,UNDERSTAND,mcq_single,"A problem says: find the two readings furthest apart, and the readings may not be reordered. Why is the second part a constraint rather than context?",Because it describes where the readings came from,Because it states what the answer must contain,Because it says how many readings there are,Because it forbids an approach — sorting first — that would otherwise solve the problem,D,Because it forbids an approach — sorting first — that would otherwise solve the problem,"Context can be ignored without affecting correctness; a constraint cannot. This one eliminates a method that would otherwise be a good one, which is exactly what makes it worth noticing before choosing an approach.",AUTHORED,
GB_PS_007,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F02_INPUT_IDENTIFICATION,PS_FAM02_INPUT_IDENTIFICATION,PS_RG_IO_ANALYSIS,D1,UNDERSTAND,mcq_single,A solution must work out the average of five marks. Which values are its inputs?,The five marks,The average itself,The total of the five marks,"The number five, which the solution already knows",A,The five marks,Inputs are what the solution is given; the total and the average are both things it works out for itself. Offering a value the solution must compute as though it were supplied is the commonest confusion here.,LEGACY_REWRITE,6d3090
GB_PS_008,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F02_INPUT_IDENTIFICATION,PS_FAM02_INPUT_IDENTIFICATION,PS_RG_IO_ANALYSIS,D1,UNDERSTAND,mcq_single,"A solution must report how many days in a month a shop was open, given a list of dates on which it opened. What is the input?",The number of days it was open,The number of days in the month,The list of dates,A statement of whether the shop was busy,C,The list of dates,The list is what the solution receives; the count is what it produces. The length of the month is not supplied and is not needed to count the entries in a list.,AUTHORED,
GB_PS_009,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F02_INPUT_IDENTIFICATION,PS_FAM02_INPUT_IDENTIFICATION,PS_RG_IO_ANALYSIS,D1,UNDERSTAND,mcq_single,"A solution converts a temperature from one scale to another. What is its input, and what is derived?",The converted value is the input; the original is derived,The temperature in the first scale is the input; the converted value is derived,"Both values are inputs, since both appear in the problem",The conversion formula is the input,B,The temperature in the first scale is the input; the converted value is derived,A value that appears in the problem is not automatically supplied to the solution — the converted temperature is precisely what the solution has to produce. The formula is part of the method rather than data handed over.,AUTHORED,
GB_PS_010,PROBLEM_SOLVING,PS_C01_INTERPRETATION,PS_F02_INPUT_IDENTIFICATION,PS_FAM02_INPUT_IDENTIFICATION,PS_RG_IO_ANALYSIS,D2,UNDERSTAND,mcq_single,"A solution must report the percentage of students who passed, given each student's mark and the pass threshold. Which of these is not an input?",Each student's mark,The pass threshold,The number of students,The number of students who passed,D,The number of students who passed,"The number of students who passed is what the solution works out for itself, by comparing each mark against the threshold. How many students there are is not stated separately but is available from the marks themselves, which makes it given rather than computed.",AUTHORED,
