questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_SQ_001,SQL_BASICS,SQ_C01_SELECTION,SQ_F01_SELECT_CHOOSES_COLUMNS,SQ_FAM01_COLUMN_SELECTION,SQ_RG_SELECTION,D1,REMEMBER,mcq_single,"A students table holds id, name, city and marks, and contains 5 rows. What does SELECT name, city FROM students return?","All four columns, for all 5 rows","Two columns, for all 5 rows","Two columns, for the rows that have a city recorded",Two rows,B,"Two columns, for all 5 rows","Naming columns chooses what comes back across the width of the result and leaves the rows alone, so the query returns two columns, for all 5 rows. Nothing was asked that could remove a row.",AUTHORED,
GB_SQ_002,SQL_BASICS,SQ_C01_SELECTION,SQ_F01_SELECT_CHOOSES_COLUMNS,SQ_FAM01_COLUMN_SELECTION,SQ_RG_SELECTION,D1,REMEMBER,mcq_single,"What does SELECT * FROM students return, for that same 5-row table?","Every column, for the first row only",Only the first column,Nothing until a condition is added,"Every column, for all 5 rows",D,"Every column, for all 5 rows","The star stands for the whole width of the table, so the query returns every column, for all 5 rows. A query with no condition removes nothing.",AUTHORED,
GB_SQ_003,SQL_BASICS,SQ_C01_SELECTION,SQ_F01_SELECT_CHOOSES_COLUMNS,SQ_FAM01_COLUMN_SELECTION,SQ_RG_SELECTION,D1,REMEMBER,mcq_single,"The table stores name before city. In what order do the columns arrive from SELECT city, name FROM students?","city first, then name","name first, then city, as the table stores them",In alphabetical order of the column names,In an order that cannot be relied on,A,"city first, then name","The result is laid out in the order the query asked for, giving city first, then name. How the table stores them does not reach the caller.",AUTHORED,
GB_SQ_004,SQL_BASICS,SQ_C01_SELECTION,SQ_F01_SELECT_CHOOSES_COLUMNS,SQ_FAM01_COLUMN_SELECTION,SQ_RG_SELECTION,D1,REMEMBER,mcq_single,How many rows does SELECT name FROM students return from that 5-row table?,"One, containing all five names","Five, only if every name is different",Five,"None, until a condition is added",C,Five,"One row of the table becomes one row of the result, so five come back. Choosing a single column narrows the result rather than combining it.",AUTHORED,
GB_SQ_005,SQL_BASICS,SQ_C01_SELECTION,SQ_F01_SELECT_CHOOSES_COLUMNS,SQ_FAM01_COLUMN_SELECTION,SQ_RG_SELECTION,D2,REMEMBER,mcq_single,"Changing a query from SELECT * to SELECT name, city changes which of the following?",Both how many columns and how many rows come back,Only how many columns come back,Only how many rows come back,"Neither, since the same table is read",B,Only how many columns come back,"The choice of columns and the choice of rows are made by different parts of a query, so this changes only how many columns come back. Removing rows takes a condition.",AUTHORED,
GB_SQ_006,SQL_BASICS,SQ_C02_CLAUSE_ORDER,SQ_F02_CLAUSES_HAVE_A_FIXED_ORDER,SQ_FAM02_CLAUSE_ORDER,SQ_RG_SYNTAX,D1,REMEMBER,mcq_single,Which query is written in a valid order?,SELECT name FROM students ORDER BY name WHERE marks > 50,SELECT name WHERE marks > 50 FROM students ORDER BY name,ORDER BY name SELECT name FROM students WHERE marks > 50,SELECT name FROM students WHERE marks > 50 ORDER BY name,D,SELECT name FROM students WHERE marks > 50 ORDER BY name,"The parts of a query have a fixed written order: what to return, where from, which rows, then how to sort. Only SELECT name FROM students WHERE marks > 50 ORDER BY name follows it.",AUTHORED,
GB_SQ_007,SQL_BASICS,SQ_C02_CLAUSE_ORDER,SQ_F02_CLAUSES_HAVE_A_FIXED_ORDER,SQ_FAM02_CLAUSE_ORDER,SQ_RG_SYNTAX,D1,REMEMBER,mcq_single,Students scoring above 40 are to be counted city by city. Which query is written in a valid order?,"SELECT city, COUNT(*) FROM students WHERE marks > 40 GROUP BY city","SELECT city, COUNT(*) FROM students GROUP BY city WHERE marks > 40","SELECT city, COUNT(*) GROUP BY city FROM students WHERE marks > 40","GROUP BY city SELECT city, COUNT(*) FROM students WHERE marks > 40",A,"SELECT city, COUNT(*) FROM students WHERE marks > 40 GROUP BY city","Row filtering is written before grouping, so SELECT city, COUNT(*) FROM students WHERE marks > 40 GROUP BY city is the one that will run. The others place the parts out of order.",AUTHORED,
GB_SQ_008,SQL_BASICS,SQ_C02_CLAUSE_ORDER,SQ_F02_CLAUSES_HAVE_A_FIXED_ORDER,SQ_FAM02_CLAUSE_ORDER,SQ_RG_SYNTAX,D1,REMEMBER,mcq_single,"In a written query, which comes first: naming the table, or saying how to sort?",Saying how to sort,Either; the order of the two is free,Naming the table,It depends on whether a condition is present,C,Naming the table,"Naming the table comes first, because everything after it refers to that table. Sorting is written last of the two.",AUTHORED,
GB_SQ_009,SQL_BASICS,SQ_C02_CLAUSE_ORDER,SQ_F02_CLAUSES_HAVE_A_FIXED_ORDER,SQ_FAM02_CLAUSE_ORDER,SQ_RG_SYNTAX,D2,REMEMBER,mcq_single,A query is written with its sorting clause before its row condition. What happens when it is run?,"It runs, sorting before filtering",It does not run at all,"It runs, and the sorting is ignored","It runs, and returns every row unsorted",B,It does not run at all,"The order the parts are written in is fixed, so a query with them swapped does not run at all. This is one of the few mistakes the database refuses outright rather than answering oddly.",AUTHORED,
GB_SQ_010,SQL_BASICS,SQ_C03_FILTERING,SQ_F03_A_CONDITION_SELECTS_ROWS,SQ_FAM03_SIMPLE_FILTER,SQ_RG_FILTERING,D1,REMEMBER,mcq_single,"A scores table holds: Ana 40, Ben 55, Cara 40, Dan 70, Eve with no marks recorded. How many rows does WHERE marks > 40 return?",3,4,1,2,D,2,"Only Ben and Dan are above forty, giving 2 rows. The two rows at exactly forty are not above it.",AUTHORED,
