questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PY_001,PYTHON_BASICS,PY_C01_VALUES,PY_F01_LITERAL_TYPES,PY_FAM01_LITERAL_TYPE,PY_RG_TYPES,D1,REMEMBER,mcq_single,"In Python, what is the type of the literal 5.0?",int,float,str,bool,B,float,"The decimal point is what makes it a float, even though the value it represents is a whole number. Written as 5 it would be an int, and the two behave differently in division.",AUTHORED,
GB_PY_002,PYTHON_BASICS,PY_C01_VALUES,PY_F01_LITERAL_TYPES,PY_FAM01_LITERAL_TYPE,PY_RG_TYPES,D1,REMEMBER,mcq_single,"In Python, what is the type of the literal ""5""?",int,float,bool,str,D,str,"Quotation marks make it a string, and the fact that the character inside is a digit changes nothing. It cannot take part in arithmetic until it is converted.",AUTHORED,
GB_PY_003,PYTHON_BASICS,PY_C01_VALUES,PY_F01_LITERAL_TYPES,PY_FAM01_LITERAL_TYPE,PY_RG_TYPES,D1,REMEMBER,mcq_single,"In Python, what is the type of the literal True?",bool,str,int,float,A,bool,"Written without quotes and with a capital letter, True is a bool. Written as ""True"" it would be a string that merely looks like one.",AUTHORED,
GB_PY_004,PYTHON_BASICS,PY_C01_VALUES,PY_F01_LITERAL_TYPES,PY_FAM01_LITERAL_TYPE,PY_RG_TYPES,D1,REMEMBER,mcq_single,"Which of these four literals has a type different from the other three: 5, 5.0, ""5"", -5?",5,5.0,"""5""",-5,C,"""5""","The quoted one, ""5"", is a string; the rest are numbers. Among the numbers 5.0 is a float and the others ints, but that difference is smaller than the one between numbers and text.",AUTHORED,
GB_PY_005,PYTHON_BASICS,PY_C01_VALUES,PY_F01_LITERAL_TYPES,PY_FAM01_LITERAL_TYPE,PY_RG_TYPES,D2,REMEMBER,mcq_single,Which of these Python values is a bool?,"""True""",True,1.0,[True],B,True,"Written bare and capitalised, True is a bool. Quoting it makes a string, 1.0 is a float that behaves as true in a condition without being one, and putting it in brackets makes a list that happens to contain a bool.",LEGACY_KEEP,940444
GB_PY_006,PYTHON_BASICS,PY_C02_OUTPUT,PY_F02_PRINT_SHOWS_VALUE,PY_FAM02_PRINT_OUTPUT,PY_RG_OUTPUT,D1,UNDERSTAND,mcq_single,These two lines run in order: x = 5 and print(x). What is displayed?,x,"""5""",Nothing is displayed,5,D,5,"The name is replaced by the value it holds, so what appears is 5. Displaying the letter x would require it to be quoted, and no quotation marks are shown around a number.",LEGACY_REWRITE,999d5f
GB_PY_007,PYTHON_BASICS,PY_C02_OUTPUT,PY_F02_PRINT_SHOWS_VALUE,PY_FAM02_PRINT_OUTPUT,PY_RG_OUTPUT,D1,UNDERSTAND,mcq_single,"A program runs word = ""hello"" and then print(word). What is the output?",hello,"""hello""",word,h e l l o,A,hello,"print shows the value of the string without the quotation marks, because the quotes are part of how the literal was written rather than part of its contents.",AUTHORED,
GB_PY_008,PYTHON_BASICS,PY_C02_OUTPUT,PY_F02_PRINT_SHOWS_VALUE,PY_FAM02_PRINT_OUTPUT,PY_RG_OUTPUT,D1,UNDERSTAND,mcq_single,"A program runs print(""a"") and then print(""b""), as two separate statements. What is the output?",ab on one line,a b on one line,a on one line and b on the next,"""a"" and ""b"" on two lines",C,a on one line and b on the next,"Each print statement finishes its own line, so two statements produce two lines. Joining them onto one would need a single print or an instruction not to end the line.",AUTHORED,
GB_PY_009,PYTHON_BASICS,PY_C02_OUTPUT,PY_F02_PRINT_SHOWS_VALUE,PY_FAM02_PRINT_OUTPUT,PY_RG_OUTPUT,D2,UNDERSTAND,mcq_single,"Two lines are written as n = 3 and print(""n""). What appears when the second of them runs?",3,n,"""n""","Nothing, because n holds a number rather than text",B,n,"Quoting the name turns it into a piece of text, so what appears is the letter n itself and the variable is never consulted. Removing the quotation marks is what would display the 3.",AUTHORED,
GB_PY_010,PYTHON_BASICS,PY_C01_VALUES,PY_F03_IDENTIFIER_RULES,PY_FAM03_IDENTIFIER_VALIDITY,PY_RG_NAMES,D1,REMEMBER,mcq_single,Which of these is a valid Python variable name?,2nd_mark,total-marks,total marks,total_marks,D,total_marks,"Letters, digits and underscores are allowed, but a name cannot begin with a digit, a hyphen is read as subtraction, and a space separates two things rather than joining them.",AUTHORED,
GB_PY_011,PYTHON_BASICS,PY_C01_VALUES,PY_F03_IDENTIFIER_RULES,PY_FAM03_IDENTIFIER_VALIDITY,PY_RG_NAMES,D1,REMEMBER,mcq_single,Which of these Python variable names would the language refuse?,1count,count1,_count,countOne,A,1count,"A digit may appear anywhere in a name except at the start, since a leading digit would make the name unreadable as a name. An underscore at the start is perfectly ordinary.",AUTHORED,
