skillKey,skillName,conceptId,conceptName,factId,factStatement,familyId,familyName,measurementObjective,allowedDifficultyMin,allowedDifficultyMax,cognitiveLevel,questionType,distractorStrategy,reassessmentGroup,notes
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C01_PROCESSOR,The processor and its parts,CA_F01_CPU_ROLE,The CPU executes program instructions; it does not store programs or files permanently.,CA_FAM01_CPU_ROLE_SELECT,CPU role identification,"Given a described job inside a computer, decide whether it is the CPU that does it.",D1,D2,REMEMBER,mcq_single,"The two commonest first-year conflations: that the CPU is where files live (CPU/storage), and that the CPU is a program rather than hardware (CPU/OS). Also offer ""makes the screen display images"" for students who equate the CPU with everything the machine does.",CA_RG_COMPONENT_ROLES,The anchor fact for the whole concept. Keep the phrasing plain: this is the one item a student with no background should still be able to attempt.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C01_PROCESSOR,The processor and its parts,CA_F02_ALU_ARITHMETIC_LOGIC,The ALU carries out arithmetic and logical (comparison) operations.,CA_FAM02_OPERATION_ROUTING,Routing an operation to the unit that performs it,"Given a concrete operation — adding two numbers, comparing two values — name the unit that performs it.",D2,D3,APPLY,mcq_single,"Route the operation to the control unit (the student who thinks ""control"" means ""does the work""), to RAM (confusing where a value is held with where it is operated on), and to the OS (confusing software instruction with hardware execution). Comparison operations are the most productive stem: many students believe only arithmetic reaches the ALU.",CA_RG_COMPONENT_ROLES,Comparison-as-logic is the part most often missed; at least one variant should use a comparison rather than a sum.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C01_PROCESSOR,The processor and its parts,CA_F03_CONTROL_UNIT_DECODES,The control unit decodes each instruction and directs the other components; it does not compute results itself.,CA_FAM03_CONTROL_VS_COMPUTE,Separating direction from computation,Distinguish the component that decides what happens next from the component that produces the value.,D2,D3,UNDERSTAND,mcq_single,Attribute calculation to the control unit; attribute decoding to the ALU; claim the control unit holds the program. All three follow from reading the names rather than the behaviour.,CA_RG_COMPONENT_ROLES,Pairs with CA_FAM02 — do not serve both in one paper. Same reassessment group for that reason.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C01_PROCESSOR,The processor and its parts,CA_F04_REGISTERS_WORKING_VALUES,Registers hold the few values the CPU is working on at this instant; they are the smallest and fastest storage in the machine.,CA_FAM04_REGISTER_PLACEMENT,Placing registers in the storage picture,Identify what registers hold and how they differ in size and speed from RAM.,D2,D3,UNDERSTAND,mcq_single,"Registers as ""a fast part of RAM""; registers as surviving power loss; registers as larger than cache. Each is a coherent guess from someone who has only heard the word.",CA_RG_MEMORY_HIERARCHY,
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C02_MEMORY_STORAGE,Memory and storage,CA_F05_RAM_VOLATILE_WORKING,RAM holds the programs and data currently in use and loses its contents when power is removed.,CA_FAM05_RAM_PURPOSE,What RAM is for,Decide what is kept in RAM and what happens to it when the machine is switched off.,D1,D2,REMEMBER,mcq_single,"""RAM keeps files permanently"" — the single most common first-year error, and the one that makes the whole hierarchy incoherent. Also ""RAM is where the operating system is installed"" and ""adding RAM makes the processor faster"", both of which sound reasonable and are widely repeated.",CA_RG_STORAGE_CHOICE,"Volatility is the load-bearing half of this fact. A variant that only asks ""what is RAM for"" without touching persistence measures less."
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C02_MEMORY_STORAGE,Memory and storage,CA_F06_SECONDARY_STORAGE_PERSISTS,"Secondary storage (disk, SSD) keeps data without power and is slower than RAM.",CA_FAM06_STORAGE_SELECTION,Choosing memory or storage for a stated need,"Given a requirement — survive a restart, be read as fast as possible — choose the appropriate place to keep the data.",D2,D3,APPLY,mcq_single,"Choose storage where speed was the requirement, and RAM where persistence was; also offer ""the CPU runs the program directly from disk"", which is the belief that removes the reason RAM exists.",CA_RG_STORAGE_CHOICE,"The requirement must genuinely decide the answer. A scenario whose details do not change the choice is a wording variant, not a measurement."
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C02_MEMORY_STORAGE,Memory and storage,CA_F07_HIERARCHY_SPEED_CAPACITY_TRADE,"From registers to cache to RAM to disk, capacity increases and speed decreases.",CA_FAM07_HIERARCHY_ORDERING,Ordering the hierarchy by speed and capacity,"Order or compare storage layers on both axes, and recognise that the two run in opposite directions.",D2,D4,ANALYZE,mcq_single,"Invert one axis while keeping the other (fastest also biggest) — the error that shows the trade-off has not landed. Also place cache above RAM in capacity, and treat the ordering as being about cost only.",CA_RG_MEMORY_HIERARCHY,"Spans to D4 because comparing two layers on two axes at once is genuinely multi-step, not because the words can be made longer."
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C03_IO_AND_BUSES,"Getting data in, out and across",CA_F08_IO_DIRECTION,"Input devices bring data into the machine, output devices send it out, and some devices do both.",CA_FAM08_IO_CLASSIFICATION,Classifying a device by direction of data flow,"Classify named devices as input, output, or both, from what the data does rather than from the device category.",D1,D2,UNDERSTAND,mcq_single,"Force the both-directions cases: a touchscreen classified as output only (because it is a screen), a printer that scans classified as output only, storage classified as neither. The single-direction cases are too easy to carry the item alone.",CA_RG_IO_AND_COMMS,"A dual-direction device should appear in every variant, or the family collapses to naming."
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C03_IO_AND_BUSES,"Getting data in, out and across",CA_F09_BUSES_CARRY_SIGNALS,"Buses carry data, addresses and control signals between components; components do not each wire directly to every other.",CA_FAM09_COMPONENT_COMMUNICATION,How components reach each other,"Explain what travels between the CPU and memory, and by what shared route.",D2,D3,UNDERSTAND,mcq_single,"A bus that stores data rather than carrying it; components connected point to point; only data travelling, with addresses and control signals forgotten. The last is the most instructive — it is the half-formed model.",CA_RG_IO_AND_COMMS,
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C04_INSTRUCTION_CYCLE,The instruction cycle,CA_F10_FETCH_DECODE_EXECUTE_ORDER,"Each instruction is fetched, then decoded, then executed, and the cycle repeats for the next instruction.",CA_FAM10_CYCLE_ORDERING,Ordering the stages of the instruction cycle,"Put the stages in order, or identify which stage a described action belongs to.",D2,D3,APPLY,mcq_single,"Decode before fetch (the student who thinks the CPU must understand an instruction before collecting it), execute before decode, and one cycle covering the whole program rather than a single instruction. The last exposes whether the repetition is understood.",CA_RG_INSTRUCTION_CYCLE,Order-only variants sit at D2; identifying the stage from a described action sits at D3.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C04_INSTRUCTION_CYCLE,The instruction cycle,CA_F11_CYCLE_DATA_MOVEMENT,"During execution, values move from memory into registers, through the ALU, and back into registers before any result returns to memory.",CA_FAM11_DATA_FLOW_TRACE,Tracing a value through one instruction,"Follow a single value through the components involved in executing one instruction, and say where it is at a given point.",D3,D4,ANALYZE,mcq_single,"The ALU reading straight from disk; a result written directly to secondary storage; the value never entering a register at all. Each removes one step, which is exactly the gap being probed.",CA_RG_INSTRUCTION_CYCLE,Depends on CA_F04 and CA_F10. Do not schedule this before registers and the cycle have been measured.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C05_DATA_REPRESENTATION,How data is represented,CA_F12_EVERYTHING_IS_BINARY,"All data — text, images, sound — is stored as binary; what the bits mean depends on how they are interpreted.",CA_FAM12_REPRESENTATION_REASONING,Reasoning about binary representation,"Recognise that different data types share one underlying representation, and that interpretation supplies the meaning.",D2,D3,UNDERSTAND,mcq_single,"Text stored as letters and images stored as pictures — the belief that storage mirrors appearance. Also ""binary is only used for numbers"", and ""the same bits always mean the same thing"", which misses interpretation.",CA_RG_REPRESENTATION,"Conceptual only at Foundation. Base conversion is arithmetic and belongs with the aptitude skills, not here."
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C06_PERFORMANCE,Performance and bottlenecks,CA_F13_SLOWEST_RESOURCE_LIMITS,"The slowest resource on a path limits overall performance, so improving anything else changes nothing.",CA_FAM13_BOTTLENECK_DIAGNOSIS,Diagnosing which resource is the limit,"Given symptoms — heavy disk activity, idle processor — identify the limiting resource and the change that would help.",D3,D5,ANALYZE,mcq_single,"Blame the CPU whatever the symptoms (the default assumption), add RAM to a disk-bound task, upgrade a component the described work never touches. All three are the reasoning error, not carelessness.",CA_RG_PERFORMANCE,The symptoms must determine the answer. Any variant where a different limiting resource would give the same answer is not measuring diagnosis.
COMPUTER_ARCHITECTURE,Computer Architecture Basics,CA_C06_PERFORMANCE,Performance and bottlenecks,CA_F14_ARCHITECTURE_TRADEOFF,Hardware choices trade speed against capacity and cost; there is no option that is best on every axis.,CA_FAM14_TRADEOFF_DECISION,Choosing under a stated constraint,"Pick the defensible configuration for a stated priority, and say what it gives up.",D4,D5,EVALUATE,mcq_single,The fastest option regardless of the stated budget or capacity need; an option that ignores the constraint entirely; an option that claims to win on all three axes. The last tests whether the trade-off is believed at all.,CA_RG_PERFORMANCE,"The constraint must be explicit and must change the answer, otherwise this degrades into ""pick the biggest number""."
HOW_COMPUTERS_WORK,How Computers Work,HCW_C01_IPO,"Input, process, output",HCW_F01_IPO_MODEL,"Every computing task takes input, processes it, and produces output.",HCW_FAM01_IPO_LABELLING,Labelling the parts of a described task,"Given a described task, identify which part is the input, the processing and the output.",D1,D2,UNDERSTAND,mcq_single,"Swap input and output; label the processing step as input (the student who calls the whole activity ""input""); offer a part of the task that is neither. Use tasks where the output is not visible on a screen, since students otherwise equate output with display.",HCW_RG_SYSTEM_MODEL,The opening fact of the skill. Everything in HCW_C02 and HCW_C03 assumes it.
