questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PGF_001,PROGRAMMING_FUNDAMENTALS,PGF_C01_VARIABLES,PGF_F01_ASSIGNMENT_STORES_VALUE,PGF_FAM01_ASSIGNMENT_DIRECTION,PGF_RG_VARIABLES,D1,REMEMBER,mcq_single,"A program contains the single line: count = 7. Which name changes, and what does it hold afterwards?","7 changes, and it holds count","count changes, and it holds 7",Both count and 7 change,Nothing changes; the line states that count and 7 are equal,B,"count changes, and it holds 7","Assignment stores the value on the right into the name on the left, so only count changes. The line is an instruction to store something, not a claim that two things are equal.",AUTHORED,
GB_PGF_002,PROGRAMMING_FUNDAMENTALS,PGF_C01_VARIABLES,PGF_F01_ASSIGNMENT_STORES_VALUE,PGF_FAM01_ASSIGNMENT_DIRECTION,PGF_RG_VARIABLES,D1,REMEMBER,mcq_single,A program contains the single line: total = price. What is true immediately afterwards?,price holds whatever value total held,"total and price are linked, so changing either one changes the other",The line is only correct if total and price already held the same value,total holds whatever value price held,D,total holds whatever value price held,"The value travels from the right-hand name into the left-hand one, and the copy is finished the moment the line ends. Nothing links the two afterwards, and nothing about the line has to be true beforehand.",AUTHORED,
GB_PGF_003,PROGRAMMING_FUNDAMENTALS,PGF_C01_VARIABLES,PGF_F01_ASSIGNMENT_STORES_VALUE,PGF_FAM01_ASSIGNMENT_DIRECTION,PGF_RG_VARIABLES,D1,REMEMBER,mcq_single,A program contains the line: n = n + 1. How can such a line be valid?,"The value in n is read, one is added to it, and the result is stored back into n","It cannot be valid, because a value cannot equal itself plus one",It sets n to 1,"It creates a second variable, also called n",A,"The value in n is read, one is added to it, and the result is stored back into n","The right-hand side is worked out first, using the value n holds at that moment; only then is the result stored back. Read as a claim of equality the line would indeed be impossible, which is exactly why the difference matters.",AUTHORED,
GB_PGF_004,PROGRAMMING_FUNDAMENTALS,PGF_C01_VARIABLES,PGF_F01_ASSIGNMENT_STORES_VALUE,PGF_FAM01_ASSIGNMENT_DIRECTION,PGF_RG_VARIABLES,D1,REMEMBER,mcq_single,"A program runs x = 2 and then x = 9. What does x hold, and what became of the 2?","x holds 2, and the second line was ignored",x holds both 2 and 9,"x holds 9, and the 2 was replaced","x holds 11, because the two values were combined",C,"x holds 9, and the 2 was replaced","A name holds one value at a time, and storing a new one discards what was there. Nothing accumulates and nothing is kept alongside.",AUTHORED,
GB_PGF_005,PROGRAMMING_FUNDAMENTALS,PGF_C01_VARIABLES,PGF_F01_ASSIGNMENT_STORES_VALUE,PGF_FAM01_ASSIGNMENT_DIRECTION,PGF_RG_VARIABLES,D2,REMEMBER,mcq_single,"A program runs three lines in order: A = 1, then B = 2, then A = B. What do A and B hold at the end?",A holds 1 and B holds 1,A holds 2 and B holds 2,A holds 1 and B holds 2,A holds 2 and B holds 1,B,A holds 2 and B holds 2,"The third line copies B into A, so A becomes 2 and B is untouched. Reading it right to left would give the opposite, treating it as an exchange would swap them, and treating it as a statement about equality would leave both alone.",LEGACY_REWRITE,71d550
GB_PGF_006,PROGRAMMING_FUNDAMENTALS,PGF_C02_TYPES,PGF_F02_VALUES_HAVE_TYPES,PGF_FAM02_LITERAL_TYPE,PGF_RG_TYPES,D1,REMEMBER,mcq_single,"In a program, a value is written as ""5"", with the quotation marks. What type of value is it?",A whole number,A decimal number,A true-or-false value,Text,D,Text,"The quotation marks are what make it text; the character between them happens to be a digit, which changes nothing. Written as 5 without quotes it would be a whole number.",AUTHORED,
GB_PGF_007,PROGRAMMING_FUNDAMENTALS,PGF_C02_TYPES,PGF_F02_VALUES_HAVE_TYPES,PGF_FAM02_LITERAL_TYPE,PGF_RG_TYPES,D1,REMEMBER,mcq_single,Which of these values is written as text?,"""42""",42,42.0,True,A,"""42""","Only the quoted one is text. The other three are a whole number, a decimal number and a true-or-false value — different types from each other, but none of them text.",AUTHORED,
GB_PGF_008,PROGRAMMING_FUNDAMENTALS,PGF_C02_TYPES,PGF_F02_VALUES_HAVE_TYPES,PGF_FAM02_LITERAL_TYPE,PGF_RG_TYPES,D1,REMEMBER,mcq_single,Which of these values is not a number?,7,7.0,"""7""",-7,C,"""7""","Digits inside quotation marks are text, and text cannot be used in arithmetic without being converted first. A whole number, a decimal number and a negative number are all still numbers.",AUTHORED,
GB_PGF_009,PROGRAMMING_FUNDAMENTALS,PGF_C02_TYPES,PGF_F02_VALUES_HAVE_TYPES,PGF_FAM02_LITERAL_TYPE,PGF_RG_TYPES,D2,REMEMBER,mcq_single,"A program runs x = ""5"" and y = 5. Which statement is correct?",Both hold the number 5,"x holds text and y holds a number, so the two are different types",Both hold text,"x holds 5 and y holds ""5"", because the quotation marks are removed when a value is stored",B,"x holds text and y holds a number, so the two are different types","What is written decides the type, and the quotation marks are part of what is written, not punctuation that gets stripped away. The two names hold values that look alike and behave completely differently.",AUTHORED,
GB_PGF_010,PROGRAMMING_FUNDAMENTALS,PGF_C03_OUTPUT,PGF_F03_OUTPUT_DISPLAYS_ONLY,PGF_FAM03_SINGLE_OUTPUT,PGF_RG_OUTPUT,D1,UNDERSTAND,mcq_single,"A program runs label = ""ready"" and then print(label). What appears?",label,"""ready""","Nothing, because label was only stored and not calculated",ready,D,ready,"The name is replaced by the value it holds, and the quotation marks are part of how the text was written rather than part of the text. Printing the name itself would need it quoted.",AUTHORED,
