questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_SP_001,SHELL_PIPELINES,SP_C01_STREAMS,SP_F01_THERE_ARE_THREE_CHANNELS,SP_FAM01_CHANNEL_RECOGNITION,SP_RG_STREAMS,D1,REMEMBER,mcq_single,A command produces results and also produces a warning. Do the two travel on the same channel?,Yes; everything a command produces travels together,No; results go on the ordinary output channel and warnings on the error channel,"Yes, unless the command is told otherwise",No; warnings are not produced by commands at all,B,No; results go on the ordinary output channel and warnings on the error channel,Two separate outgoing channels exist and both are shown on the screen by default. Sharing a screen is what makes them look like one.,AUTHORED,
GB_SP_002,SHELL_PIPELINES,SP_C01_STREAMS,SP_F01_THERE_ARE_THREE_CHANNELS,SP_FAM01_CHANNEL_RECOGNITION,SP_RG_STREAMS,D1,REMEMBER,mcq_single,How many channels does a command typically have?,"One, used for everything","Two, one in and one out","Four, one for each kind of message",Three: one incoming and two outgoing,D,Three: one incoming and two outgoing,"Input arrives on one channel and output leaves on two, separated into ordinary results and errors. The separation is what makes the two independently routable.",AUTHORED,
GB_SP_003,SHELL_PIPELINES,SP_C01_STREAMS,SP_F01_THERE_ARE_THREE_CHANNELS,SP_FAM01_CHANNEL_RECOGNITION,SP_RG_STREAMS,D1,REMEMBER,mcq_single,A command reports that a file could not be opened. Which channel carries that message?,The error channel,The ordinary output channel,The incoming channel,Neither; failures are not written to a channel,A,The error channel,Anything reporting that something went wrong belongs on the error channel. Keeping it apart is what lets results be captured cleanly.,AUTHORED,
GB_SP_004,SHELL_PIPELINES,SP_C01_STREAMS,SP_F01_THERE_ARE_THREE_CHANNELS,SP_FAM01_CHANNEL_RECOGNITION,SP_RG_STREAMS,D1,REMEMBER,mcq_single,Why are results and errors kept on separate channels?,So that errors can be displayed in a different colour,So that errors are produced faster,So that results can be sent somewhere without the errors going with them,So that a command can produce only one of the two,C,So that results can be sent somewhere without the errors going with them,Separation exists to make the two routable independently. Capturing results into a file while still seeing problems on the screen is the everyday consequence.,AUTHORED,
GB_SP_005,SHELL_PIPELINES,SP_C01_STREAMS,SP_F01_THERE_ARE_THREE_CHANNELS,SP_FAM01_CHANNEL_RECOGNITION,SP_RG_STREAMS,D2,REMEMBER,mcq_single,A user watching a terminal sees results and an error message appear together and concludes they are on one channel. What is wrong with the conclusion?,Nothing; appearing together means one channel,"Both channels point at the screen by default, which is why they appear together",The error must have been written to the output channel by mistake,The two appeared together by coincidence,B,"Both channels point at the screen by default, which is why they appear together","The screen is the default destination for both, so the evidence is consistent with either account. Sending one of them elsewhere is what makes the separation visible.",AUTHORED,
GB_SP_006,SHELL_PIPELINES,SP_C02_REDIRECTION,SP_F02_A_CHANNEL_CAN_BE_POINTED_AT_A_FILE,SP_FAM02_REDIRECTION_EFFECT,SP_RG_REDIRECTION,D1,REMEMBER,mcq_single,A command output is sent to a file instead of the screen. What appears on the screen?,"The output, as well as going to the file",A summary of the output,"The output, delayed until the command finishes",Nothing from the ordinary output channel,D,Nothing from the ordinary output channel,Redirecting moves the output rather than copying it. The screen sees none of what went to the file.,AUTHORED,
GB_SP_007,SHELL_PIPELINES,SP_C02_REDIRECTION,SP_F02_A_CHANNEL_CAN_BE_POINTED_AT_A_FILE,SP_FAM02_REDIRECTION_EFFECT,SP_RG_REDIRECTION,D1,REMEMBER,mcq_single,A command that produces no output at all has its output redirected to a new file. Is the file created?,"Yes, and it is empty","No, since there was nothing to write","No, and the command fails","Yes, containing a message saying there was no output",A,"Yes, and it is empty","The file is prepared before the command runs, so it exists whether or not anything is written. That preparation is what makes the emptying behaviour matter.",AUTHORED,
GB_SP_008,SHELL_PIPELINES,SP_C02_REDIRECTION,SP_F02_A_CHANNEL_CAN_BE_POINTED_AT_A_FILE,SP_FAM02_REDIRECTION_EFFECT,SP_RG_REDIRECTION,D1,REMEMBER,mcq_single,What does redirecting a command output achieve?,It saves a copy while still showing it,It changes what the command produces,It sends that channel to a file rather than to the screen,It makes the command run faster,C,It sends that channel to a file rather than to the screen,The destination changes and the content does not. The command behaves identically and its output ends up somewhere else.,AUTHORED,
GB_SP_009,SHELL_PIPELINES,SP_C02_REDIRECTION,SP_F02_A_CHANNEL_CAN_BE_POINTED_AT_A_FILE,SP_FAM02_REDIRECTION_EFFECT,SP_RG_REDIRECTION,D2,REMEMBER,mcq_single,A user redirects a command output to a file and is surprised to see a message still appear on the screen. What is the explanation?,The redirection failed,"The message was on the error channel, which was not redirected",The file was full,The command wrote the message twice,B,"The message was on the error channel, which was not redirected",Only the ordinary output channel was sent to the file. Errors continue to the screen unless they are redirected as well.,AUTHORED,
GB_SP_010,SHELL_PIPELINES,SP_C03_PIPES,SP_F03_A_PIPE_JOINS_ONE_OUTPUT_TO_THE_NEXT_INPUT,SP_FAM03_PIPE_MEANING,SP_RG_PIPES,D1,UNDERSTAND,mcq_single,Two commands are joined by a pipe. What does the second receive?,The name of the first command as an argument,The errors produced by the first,Nothing; the two simply run one after the other,"The ordinary output of the first, as its incoming channel",D,"The ordinary output of the first, as its incoming channel",The pipe connects one outgoing channel to the next incoming one. The second command reads it as though it were typed in.,AUTHORED,
GB_SP_011,SHELL_PIPELINES,SP_C03_PIPES,SP_F03_A_PIPE_JOINS_ONE_OUTPUT_TO_THE_NEXT_INPUT,SP_FAM03_PIPE_MEANING,SP_RG_PIPES,D1,UNDERSTAND,mcq_single,Do errors from the first command travel down a pipe to the second?,No; a pipe carries the ordinary output channel only,Yes; everything the first produces is passed on,"Yes, but only if the first command fails",No; errors stop the pipeline entirely,A,No; a pipe carries the ordinary output channel only,"The error channel is not what the pipe connects, so errors go to the screen as usual. This is why an error can appear while the pipeline continues.",AUTHORED,
GB_SP_012,SHELL_PIPELINES,SP_C03_PIPES,SP_F03_A_PIPE_JOINS_ONE_OUTPUT_TO_THE_NEXT_INPUT,SP_FAM03_PIPE_MEANING,SP_RG_PIPES,D1,UNDERSTAND,mcq_single,Three commands are joined by two pipes. What does the third receive?,The output of the first,The outputs of the first and second combined,The output of the second,The original input to the first,C,The output of the second,"Each pipe connects one stage to the next, so each stage sees only what its immediate predecessor produced.",AUTHORED,
