questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_TE_001,TECHNICAL_EXPLANATION,TE_C01_WHAT_AN_EXPLANATION_IS,TE_F01_AN_EXPLANATION_ANSWERS_WHY,TE_FAM01_EXPLANATION_VS_DESCRIPTION,TE_RG_NATURE,D1,UNDERSTAND,mcq_single,"Which of these explains why a page loads slowly, rather than describing that it does?",The page takes a long time to appear,"The page requests forty separate images, each needing its own round trip",The page has poor loading performance,A page is a document fetched over a network,B,"The page requests forty separate images, each needing its own round trip","An explanation names something that produces the effect. Restating the slowness in other words is circular, and defining what a page is answers a different question.",AUTHORED,
GB_TE_002,TECHNICAL_EXPLANATION,TE_C01_WHAT_AN_EXPLANATION_IS,TE_F01_AN_EXPLANATION_ANSWERS_WHY,TE_FAM01_EXPLANATION_VS_DESCRIPTION,TE_RG_NATURE,D1,UNDERSTAND,mcq_single,"Which of these explains why a total came out wrong, rather than describing that it did?",The total is not the correct value,The program has a bug in its arithmetic,A total is the sum of a set of values,"The running total was reset inside the loop, so only the last value survived",D,"The running total was reset inside the loop, so only the last value survived","Only one option names a mechanism that would produce the wrong total. ""Has a bug"" restates the symptom in technical-sounding words without saying anything about it.",AUTHORED,
GB_TE_003,TECHNICAL_EXPLANATION,TE_C01_WHAT_AN_EXPLANATION_IS,TE_F01_AN_EXPLANATION_ANSWERS_WHY,TE_FAM01_EXPLANATION_VS_DESCRIPTION,TE_RG_NATURE,D1,UNDERSTAND,mcq_single,Which of these explains why a file is still on disk after a program closes?,"Saving writes the data to storage, which keeps its contents without power",Files are persistent,The file was not deleted,A file is a named collection of data,A,"Saving writes the data to storage, which keeps its contents without power","Saving writes the data to storage, which keeps its contents without power — that names why the file is still there. ""Files are persistent"" is the observation dressed as a reason, and the others are a definition and a statement of what did not occur.",AUTHORED,
GB_TE_004,TECHNICAL_EXPLANATION,TE_C01_WHAT_AN_EXPLANATION_IS,TE_F01_AN_EXPLANATION_ANSWERS_WHY,TE_FAM01_EXPLANATION_VS_DESCRIPTION,TE_RG_NATURE,D1,UNDERSTAND,mcq_single,What makes a statement an explanation rather than a description?,It uses technical vocabulary,It is longer than a description,"It says why something happens, not only what happens",It is written for an expert reader,C,"It says why something happens, not only what happens","Explanations answer why. Vocabulary, length and audience are all properties an explanation may have without being one.",AUTHORED,
GB_TE_005,TECHNICAL_EXPLANATION,TE_C01_WHAT_AN_EXPLANATION_IS,TE_F01_AN_EXPLANATION_ANSWERS_WHY,TE_FAM01_EXPLANATION_VS_DESCRIPTION,TE_RG_NATURE,D2,UNDERSTAND,mcq_single,"Someone says a program is slow ""because it has performance problems"". Why is that not an explanation?",It is too short to be an explanation,"It restates the observation in different words, so nothing new is offered as a cause",It uses vocabulary the reader may not know,"It is an explanation, though not a detailed one",B,"It restates the observation in different words, so nothing new is offered as a cause","A cause has to be something other than the effect, and this is the effect renamed. Length and vocabulary are beside the point — a one-word cause would still be an explanation.",AUTHORED,
GB_TE_006,TECHNICAL_EXPLANATION,TE_C02_ANALOGY,TE_F02_AN_ANALOGY_MAPS_ONE_THING_TO_ANOTHER,TE_FAM02_ANALOGY_MAPPING,TE_RG_ANALOGY,D1,UNDERSTAND,mcq_single,Working memory is described as a desk and storage as a filing cabinet. What does taking a folder out of the cabinet and putting it on the desk correspond to?,Saving a file from working memory to storage,Deleting a file,Switching the machine off,Loading a file from storage into working memory,D,Loading a file from storage into working memory,"The direction matters: the cabinet is the long-term place and the desk is where work happens, so moving from cabinet to desk is loading. Reversing the direction gives saving.",AUTHORED,
GB_TE_007,TECHNICAL_EXPLANATION,TE_C02_ANALOGY,TE_F02_AN_ANALOGY_MAPS_ONE_THING_TO_ANOTHER,TE_FAM02_ANALOGY_MAPPING,TE_RG_ANALOGY,D1,UNDERSTAND,mcq_single,A queue is described as a line of people waiting. What does the front of the line correspond to?,The item that will be dealt with next,The item added most recently,The item that has already been dealt with,The total number of items waiting,A,The item that will be dealt with next,"People join a line at the back and are served from the front, so the front is what comes next. The most recent arrival is at the other end.",AUTHORED,
GB_TE_008,TECHNICAL_EXPLANATION,TE_C02_ANALOGY,TE_F02_AN_ANALOGY_MAPS_ONE_THING_TO_ANOTHER,TE_FAM02_ANALOGY_MAPPING,TE_RG_ANALOGY,D1,UNDERSTAND,mcq_single,A network is described as a postal system. What does an address correspond to?,The contents of the message,The speed of delivery,The information that decides where the data is delivered,The person who wrote the message,C,The information that decides where the data is delivered,An address in both systems is what routing acts on. Contents and sender are carried along and play no part in deciding the destination.,AUTHORED,
GB_TE_009,TECHNICAL_EXPLANATION,TE_C02_ANALOGY,TE_F02_AN_ANALOGY_MAPS_ONE_THING_TO_ANOTHER,TE_FAM02_ANALOGY_MAPPING,TE_RG_ANALOGY,D2,UNDERSTAND,mcq_single,A cache is described as a notepad on which you jot down answers you have looked up. What does the notepad becoming out of date correspond to?,The cache running out of space,A stored copy no longer matching what the source now says,The cache being cleared deliberately,The original source becoming unavailable,B,A stored copy no longer matching what the source now says,"The mapping is between a jotted answer and a stored copy, and the failure mode is the same in both: the source changed and the note did not. Running out of space is a different situation with a different remedy.",AUTHORED,
GB_TE_010,TECHNICAL_EXPLANATION,TE_C03_JARGON,TE_F03_JARGON_IS_RELATIVE_TO_THE_READER,TE_FAM03_JARGON_IDENTIFICATION,TE_RG_AUDIENCE,D1,UNDERSTAND,mcq_single,"An explanation for someone who has never programmed says: ""The function is called recursively until the base case is reached."" Which term would stop that reader?",called,until,reached,recursively,D,recursively,"The three ordinary words carry their everyday meanings. Only one term has a technical sense the reader could not guess, and the sentence depends on it.",AUTHORED,
