questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB3_DPT_001,DESIGN_PATTERNS,DPT_C01_NATURE,DPT_F01_WHAT_A_PATTERN_IS,DPT_FAM01_PATTERN_MEANING,DPT_RG_NATURE,D1,REMEMBER,mcq,What is a design pattern?,A rule about how code must be structured,A diagram produced before coding,A name for a solution shape that keeps recurring,A library you install,C,A name for a solution shape that keeps recurring,"A name, not a rule. Code arrives at these shapes on its own; the name is what lets two engineers discuss one in a word.",AUTHORED,
GB3_DPT_002,DESIGN_PATTERNS,DPT_C02_STRATEGY,DPT_F02_WHAT_STRATEGY_DOES,DPT_FAM02_STRATEGY_MEANING,DPT_RG_STRATEGY,D1,REMEMBER,mcq,What does the strategy pattern let you change?,How two interfaces that were never meant to meet connect,Which class is created,"Which algorithm runs, without changing the caller",How objects are notified of events,C,"Which algorithm runs, without changing the caller",The algorithm varies; the caller does not. That separation is the whole pattern.,AUTHORED,
GB3_DPT_003,DESIGN_PATTERNS,DPT_C03_FACTORY,DPT_F03_WHAT_FACTORY_DOES,DPT_FAM03_FACTORY_MEANING,DPT_RG_FACTORY,D1,REMEMBER,mcq,What does a factory do?,Puts the decision about which object to make in one place,Guarantees only one instance exists,Converts one interface into another,Creates objects faster than calling a constructor directly,A,Puts the decision about which object to make in one place,"One place that decides. Speed has nothing to do with it, and a single instance is a different pattern.",AUTHORED,
GB3_DPT_004,DESIGN_PATTERNS,DPT_C04_OBSERVER,DPT_F04_WHAT_OBSERVER_DOES,DPT_FAM04_OBSERVER_MEANING,DPT_RG_OBSERVER,D1,REMEMBER,mcq,What problem does the observer pattern solve?,Telling interested parties that something happened,Choosing which class to instantiate,Restricting a class to one instance,Making two incompatible types work together,A,Telling interested parties that something happened,The thing that changed does not need to know who cares. That is what it buys.,AUTHORED,
GB3_DPT_005,DESIGN_PATTERNS,DPT_C05_ADAPTER,DPT_F05_WHAT_ADAPTER_DOES,DPT_FAM05_ADAPTER_MEANING,DPT_RG_ADAPTER,D1,REMEMBER,mcq,What is an adapter for?,Making something usable through an interface it does not implement,Notifying subscribers of a change,Adding behaviour to an object at runtime,Creating the right objects without naming their concrete class,A,Making something usable through an interface it does not implement,"Usually around a library you cannot change. It translates, and nothing else needs to know.",AUTHORED,
GB3_DPT_006,DESIGN_PATTERNS,DPT_C01_NATURE,DPT_F06_NOT_A_GOAL,DPT_FAM06_PATTERNS_ARE_NOT_A_TARGET,DPT_RG_NATURE,D1,REMEMBER,mcq,Is using more design patterns a sign of better code?,"Yes, for anything above a small project","Yes, patterns are best practice",Only in object-oriented languages,No — each one has to earn its place,D,No — each one has to earn its place,"Every pattern is machinery the next reader must hold. Unearned, it is cost without benefit.",AUTHORED,
GB3_DPT_007,DESIGN_PATTERNS,DPT_C06_VOCABULARY,DPT_F07_SHARED_NAME,DPT_FAM07_WHY_NAMES_HELP,DPT_RG_VOCABULARY,D1,REMEMBER,mcq,What is the main practical benefit of a pattern having a name?,It makes the code shorter,Two engineers can discuss the design in one word,The compiler can optimise it,It proves the design is correct before anything is written,B,Two engineers can discuss the design in one word,"Communication. ""Make it a strategy"" replaces a paragraph, and both people picture the same thing.",AUTHORED,
GB3_DPT_008,DESIGN_PATTERNS,DPT_C07_CHANGE,DPT_F08_WHAT_VARIES,DPT_FAM08_WHAT_PATTERNS_ISOLATE,DPT_RG_CHANGE,D1,REMEMBER,mcq,What do most design patterns separate?,Tested code from untested code,Fast code from slow code,Public code from private code,What changes from what stays the same,D,What changes from what stays the same,"Almost every pattern is an answer to ""what varies here, and what must not be disturbed when it does"".",AUTHORED,
GB3_DPT_009,DESIGN_PATTERNS,DPT_C08_SINGLETON,DPT_F09_WHAT_SINGLETON_IS,DPT_FAM09_SINGLETON_MEANING,DPT_RG_SINGLETON,D1,REMEMBER,mcq,What does a singleton guarantee?,That the object is created lazily,That the object is thread-safe,That only one instance of the class exists,That the class cannot be subclassed,C,That only one instance of the class exists,"One instance. Laziness and thread safety are implementation choices, and neither is implied.",AUTHORED,
GB3_DPT_010,DESIGN_PATTERNS,DPT_C09_LANGUAGE,DPT_F10_LANGUAGE_DEPENDENT,DPT_FAM10_PATTERNS_AND_LANGUAGES,DPT_RG_LANGUAGE,D1,REMEMBER,mcq,Why do some patterns look unnecessary in some languages?,The patterns only apply to compiled languages,Those languages actively discourage object-oriented design,The patterns were written for older hardware,The language already provides what the pattern works around,D,The language already provides what the pattern works around,Strategy is a class in one language and a function argument in another. The need is the same; the machinery is not.,AUTHORED,
GB3_DPT_011,DESIGN_PATTERNS,DPT_C02_STRATEGY,DPT_F11_WHY_STRATEGY,DPT_FAM11_WHY_STRATEGY_HELPS,DPT_RG_STRATEGY,D2,UNDERSTAND,mcq,"What does strategy replace, in code that has grown without it?",A function with too many parameters,A loop that does several things,A class hierarchy that is too deep,A conditional that keeps gaining branches,D,A conditional that keeps gaining branches,The signal is a switch on a type that gets edited every time a case is added. Strategy turns editing into adding.,AUTHORED,
GB3_DPT_012,DESIGN_PATTERNS,DPT_C03_FACTORY,DPT_F12_WHY_FACTORY,DPT_FAM12_WHY_FACTORY_HELPS,DPT_RG_FACTORY,D2,UNDERSTAND,mcq,Why put object creation behind a factory?,It removes the need for constructors,Objects end up being created rather more efficiently,The choice lives in one place instead of every caller,It makes the objects immutable,C,The choice lives in one place instead of every caller,"When the rule changes, one place changes. Callers that each decided for themselves are the problem it solves.",AUTHORED,
GB3_DPT_013,DESIGN_PATTERNS,DPT_C04_OBSERVER,DPT_F13_WHY_OBSERVER,DPT_FAM13_WHY_OBSERVER_HELPS,DPT_RG_OBSERVER,D2,UNDERSTAND,mcq,What does observer stop you from having to do?,Store the same piece of state in more than one place,Edit the source of the event every time a new listener appears,Pass data through several layers,Write code that runs concurrently,B,Edit the source of the event every time a new listener appears,"Without it, adding a fifth thing that cares about an order means editing the order code. With it, the order code never changes again.",AUTHORED,
GB3_DPT_014,DESIGN_PATTERNS,DPT_C05_ADAPTER,DPT_F14_WHY_ADAPTER,DPT_FAM14_WHY_ADAPTER_HELPS,DPT_RG_ADAPTER,D2,UNDERSTAND,mcq,Why is an adapter often the right answer around a third-party library?,It means you can skip reading the library documentation entirely,It removes the dependency entirely,"You cannot change the library, and it keeps its shape out of your code",It makes the library faster,C,"You cannot change the library, and it keeps its shape out of your code",It also means swapping the library later touches one file rather than forty.,AUTHORED,
GB3_DPT_015,DESIGN_PATTERNS,DPT_C08_SINGLETON,DPT_F15_SINGLETON_COST,DPT_FAM15_WHY_SINGLETON_IS_DISLIKED,DPT_RG_SINGLETON,D2,UNDERSTAND,mcq,Why is singleton the most criticised of the common patterns?,It always causes memory leaks,It is measurably slower than creating objects normally,It cannot be used in modern languages,"It is global state, which makes testing and reasoning harder",D,"It is global state, which makes testing and reasoning harder",A singleton is a global with better manners. Two tests sharing one now share its state as well.,AUTHORED,
GB3_DPT_016,DESIGN_PATTERNS,DPT_C07_CHANGE,DPT_F16_PREDICTING_CHANGE,DPT_FAM16_WHY_GUESSING_FAILS,DPT_RG_CHANGE,D2,UNDERSTAND,mcq,Why does applying a pattern early often make code worse?,A pattern cannot be refactored away once it is in place,You are guessing at which axis will actually change,Early code has no tests,Patterns are slower to execute,B,You are guessing at which axis will actually change,"The flexibility gets built along the wrong axis, and then both the machinery and the real change have to be paid for.",AUTHORED,
GB3_DPT_017,DESIGN_PATTERNS,DPT_C10_COMPOSITION,DPT_F17_PATTERNS_USE_COMPOSITION,DPT_FAM17_WHY_COMPOSITION_UNDERPINS,DPT_RG_COMPOSITION,D2,UNDERSTAND,mcq,Why do most patterns favour composition over inheritance?,Inheritance is slower,Composition uses less memory,Inheritance is not supported in every language you might use,Composed parts can be changed at runtime and independently,D,Composed parts can be changed at runtime and independently,Inheritance fixes the relationship when the code is written. Composition leaves it changeable when the program runs.,AUTHORED,
GB3_DPT_018,DESIGN_PATTERNS,DPT_C06_VOCABULARY,DPT_F18_NAMING_WRONGLY,DPT_FAM18_WHY_WRONG_NAMES_HARM,DPT_RG_VOCABULARY,D2,UNDERSTAND,mcq,A class is called OrderFactory but only ever returns one fixed type. What is the harm?,The name promises a flexibility the code does not have,A factory is required to return several different types,The class will be slower,The compiler cannot inline it,A,The name promises a flexibility the code does not have,A reader trusts the name and goes looking for the variation. Misleading vocabulary is worse than none.,AUTHORED,
GB3_DPT_019,DESIGN_PATTERNS,DPT_C11_TESTING,DPT_F19_PATTERNS_AND_TESTS,DPT_FAM19_WHY_PATTERNS_AFFECT_TESTS,DPT_RG_TESTING,D2,UNDERSTAND,mcq,How does strategy usually affect testability?,It removes the need for tests,It has no effect on testing,It worsens it — there are simply more classes to cover,It improves it — each algorithm can be tested alone,D,It improves it — each algorithm can be tested alone,"Behaviour behind an interface is behaviour you can substitute, which is most of what makes something testable.",AUTHORED,
GB3_DPT_020,DESIGN_PATTERNS,DPT_C01_NATURE,DPT_F20_DISCOVERED_NOT_INVENTED,DPT_FAM20_WHERE_PATTERNS_CAME_FROM,DPT_RG_NATURE,D2,UNDERSTAND,mcq,Where did the catalogued design patterns come from?,They were designed as a standard for the industry,They were observed in code people had already written,They were defined by language committees,They came from mathematical proofs,B,They were observed in code people had already written,"Catalogued, not invented. Which is why ""refactor towards a pattern once the need appears"" is the natural order.",AUTHORED,
