questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_AD_001,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F01_A_TABLE_HAS_COORDINATES,AD_FAM01_TABLE_LOOKUP,AD_RG_READING,D1,REMEMBER,mcq_single,"A table gives marks by student and subject. Student P: Maths 70, Science 85. Student Q: Maths 60, Science 90. What is Q's Maths mark?",90,60,70,85,B,60,"The value sits where the Q row meets the Maths column. Reading along the same row gives Q's Science mark, and reading down the same column gives P's Maths mark — both are values in the table, and neither is the one asked for.",LEGACY_REWRITE,bef9f7
GB_AD_002,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F01_A_TABLE_HAS_COORDINATES,AD_FAM01_TABLE_LOOKUP,AD_RG_READING,D1,REMEMBER,mcq_single,"A table lists deliveries by week, with a Total row: Week 1 — 12, Week 2 — 9, Week 3 — 15, Total — 36. What figure is recorded for Week 2?",36,12,15,9,D,9,"Week 2 has its own row and its own value. The Total is computed from the three weeks and is not itself a week, which is why a total row must be read as a summary rather than as data.",LEGACY_REWRITE,c702c2
GB_AD_003,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F01_A_TABLE_HAS_COORDINATES,AD_FAM01_TABLE_LOOKUP,AD_RG_READING,D1,REMEMBER,mcq_single,"A table gives rainfall in millimetres by month and city. City X: June 40, July 65. City Y: June 55, July 30. What was July's rainfall in City Y?",30,65,55,40,A,30,"The answer is where the City Y row meets the July column. The other three values are each one step away — along the row, down the column, or diagonally — which is exactly how a coordinate is misread.",AUTHORED,
GB_AD_004,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F01_A_TABLE_HAS_COORDINATES,AD_FAM01_TABLE_LOOKUP,AD_RG_READING,D1,REMEMBER,mcq_single,"A table gives sales by product and quarter. Product A: Q1 200, Q2 150. Product B: Q1 180, Q2 210. Which cell holds 210?",Product B in Q1,Product A in Q2,Product B in Q2,Product A in Q1,C,Product B in Q2,Locating a value works the same way as reading one: both a row and a column are needed. Naming only one of the two leaves three cells still possible.,AUTHORED,
GB_AD_005,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F01_A_TABLE_HAS_COORDINATES,AD_FAM01_TABLE_LOOKUP,AD_RG_READING,D2,REMEMBER,mcq_single,"A table gives staff numbers by department and site. Support: London 12, Leeds 8. Sales: London 15, Leeds 20. Someone reads ""Sales in Leeds"" as 15. What did they read instead?","Support in Leeds, taking the correct column and the wrong row","Sales in London, taking the correct row and the wrong column",The total for Leeds,The total for Sales,B,"Sales in London, taking the correct row and the wrong column","15 sits in the Sales row under London, so the row was right and the column was not. Support in Leeds is 8, and neither total is 15 — so only one misreading produces the figure they gave.",AUTHORED,
GB_AD_006,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F02_UNITS_AND_SCALE_ARE_PART_OF_THE_VALUE,AD_FAM02_UNIT_READING,AD_RG_READING,D1,REMEMBER,mcq_single,"A table is headed ""Sales, in thousands of rupees"". The entry for March reads 45. What were March's sales?",45 rupees,"45,000,000 rupees","4,500 rupees","45,000 rupees",D,"45,000 rupees","The header says every entry is a count of thousands, so 45 means 45 thousand. Reading the number without applying the scale is the commonest slip; applying it twice gives millions.",AUTHORED,
GB_AD_007,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F02_UNITS_AND_SCALE_ARE_PART_OF_THE_VALUE,AD_FAM02_UNIT_READING,AD_RG_READING,D1,REMEMBER,mcq_single,"A table is headed ""Downloads per month"". The entry for a certain app reads 300. How many downloads would a year bring at that rate?","3,600",300,25,"36,000",A,"3,600","The figure covers one month, so a year is twelve times it, giving 3,600. Treating a monthly figure as annual leaves it at 300, and dividing by twelve goes the wrong way.",AUTHORED,
GB_AD_008,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F02_UNITS_AND_SCALE_ARE_PART_OF_THE_VALUE,AD_FAM02_UNIT_READING,AD_RG_READING,D1,REMEMBER,mcq_single,"A table is headed ""Distance, in kilometres"". One entry reads 8. Another table headed ""Distance, in metres"" also reads 8. Are the two distances the same?",Yes; both entries read 8,No; one is a hundred times the other,No; one is a thousand times the other,It cannot be said without knowing what was measured,C,No; one is a thousand times the other,"The number is only half the value; the unit in the header is the other half. Two identical numbers under different units are different quantities, and how different is fixed by the units alone.",AUTHORED,
GB_AD_009,APTITUDE_DATA_INTERPRETATION,AD_C01_READING,AD_F02_UNITS_AND_SCALE_ARE_PART_OF_THE_VALUE,AD_FAM02_UNIT_READING,AD_RG_READING,D2,REMEMBER,mcq_single,"A table headed ""Revenue, in millions"" shows 3.5 for one region and, in a footnote, ""Region Z reported in thousands: 2,800"". Which region earned more?","Region Z, because 2,800 is larger than 3.5","The first, because 3.5 million exceeds 2.8 million",They are equal once both are converted,"It cannot be decided, because the two use different units",B,"The first, because 3.5 million exceeds 2.8 million","Both figures can be put on the same footing: 3.5 million against 2,800 thousand, which is 2.8 million. Comparing the printed numbers without converting reverses the answer, and differing units are an obstacle to be removed rather than a reason to give up.",AUTHORED,
GB_AD_010,APTITUDE_DATA_INTERPRETATION,AD_C02_CHARTS,AD_F03_A_CHART_ENCODES_VALUES,AD_FAM03_CHART_READING,AD_RG_READING,D1,UNDERSTAND,mcq_single,"A bar chart shows: Python 30, C 20, Java 25. Which is highest?",C,Java,They are equal,Python,D,Python,"Thirty is the largest of the three values, so Python has the tallest bar. Java is the second largest, which is the answer a hurried reading produces.",LEGACY_KEEP,a7eea6
