questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_LP_001,LOOPS_BASICS,LP_C01_PURPOSE,LP_F01_LOOP_REPEATS,LP_FAM01_LOOP_PURPOSE,LP_RG_PURPOSE,D1,REMEMBER,mcq_single,A program must display the same message once for each of forty records. Which approach fits?,Forty display statements written out one after another,"A loop whose body displays the message, repeated once per record",One conditional that examines all forty records at once,"A single display statement, since a loop runs its body once",B,"A loop whose body displays the message, repeated once per record","Repetition of the same work is exactly what a loop replaces. Writing the statement out forty times gives the same output and has to be edited forty times over, and a conditional chooses between paths rather than repeating anything.",AUTHORED,
GB_LP_002,LOOPS_BASICS,LP_C01_PURPOSE,LP_F01_LOOP_REPEATS,LP_FAM01_LOOP_PURPOSE,LP_RG_PURPOSE,D1,REMEMBER,mcq_single,Which of these tasks does not need a loop?,Adding up every value in a list,Displaying each character of a word in turn,Asking for input until a valid answer is given,Swapping the values held by two variables,D,Swapping the values held by two variables,"A swap is a fixed, short sequence of distinct steps, so nothing repeats. The other three each apply the same step to item after item, or repeat until something becomes true.",AUTHORED,
GB_LP_003,LOOPS_BASICS,LP_C01_PURPOSE,LP_F01_LOOP_REPEATS,LP_FAM01_LOOP_PURPOSE,LP_RG_PURPOSE,D1,REMEMBER,mcq_single,How many times does the body of a loop run?,"As many times as the loop's condition or count allows, which may be none","Exactly once, like any other block of code","Exactly twice, since repeating means doing something again","Endlessly, unless something stops it from outside",A,"As many times as the loop's condition or count allows, which may be none","The count is decided by the loop itself, and there is nothing special about one or two. A loop whose condition is false at the start runs its body zero times, which is a perfectly ordinary outcome rather than a fault.",AUTHORED,
GB_LP_004,LOOPS_BASICS,LP_C01_PURPOSE,LP_F01_LOOP_REPEATS,LP_FAM01_LOOP_PURPOSE,LP_RG_PURPOSE,D1,REMEMBER,mcq_single,A program repeats one instruction six times. What is the advantage of writing that as a loop rather than six copies?,The loop runs faster than six separate copies would,Six copies would not be allowed by the language,"The instruction exists once, so changing it changes every repetition",The loop uses less storage on the disk,C,"The instruction exists once, so changing it changes every repetition","Six copies behave identically; what differs is that each would have to be found and edited separately, and one missed copy is a bug. Speed and legality are not what separates them.",AUTHORED,
GB_LP_005,LOOPS_BASICS,LP_C01_PURPOSE,LP_F01_LOOP_REPEATS,LP_FAM01_LOOP_PURPOSE,LP_RG_PURPOSE,D2,REMEMBER,mcq_single,"A program must examine every mark in a list, however many marks there are. Which general strategy fits?","Examine only the first mark, since the rest follow the same pattern",Repeat the same examination once for each mark in turn,Examine all the marks together in a single comparison,"Write out one examination for each mark, once the number of marks is known",B,Repeat the same examination once for each mark in turn,"The number of marks is not fixed in advance, so the code cannot name them individually; a loop applies one examination to each in turn regardless of how many arrive. Checking only the first examines one mark, not every mark.",LEGACY_REMAP,656fd8
GB_LP_006,LOOPS_BASICS,LP_C02_RANGE,LP_F02_RANGE_EXCLUDES_END,LP_FAM02_RANGE_VALUES,LP_RG_RANGE,D1,REMEMBER,mcq_single,Which values does range(5) produce?,"1, 2, 3, 4, 5","0, 1, 2, 3, 4, 5","1, 2, 3, 4","0, 1, 2, 3, 4",D,"0, 1, 2, 3, 4","Counting starts at 0 and stops before the number given, so five values appear and 5 itself is not among them. The count is right; it is where the counting starts and stops that has to be read carefully.",AUTHORED,
GB_LP_007,LOOPS_BASICS,LP_C02_RANGE,LP_F02_RANGE_EXCLUDES_END,LP_FAM02_RANGE_VALUES,LP_RG_RANGE,D1,REMEMBER,mcq_single,How many values does range(8) produce?,8,7,9,It depends on where the loop starts,A,8,"Starting at 0 and stopping before 8 gives 0 up to 7, which is eight values. The number given is the count of values, even though it is never itself one of them.",AUTHORED,
GB_LP_008,LOOPS_BASICS,LP_C02_RANGE,LP_F02_RANGE_EXCLUDES_END,LP_FAM02_RANGE_VALUES,LP_RG_RANGE,D1,REMEMBER,mcq_single,"A loop is written as for i in range(2, 6). Which of these values does i never take?",2,3,6,5,C,6,"Counting begins at the first number and is included; it stops at the second, which is not. So i takes 2, 3, 4 and 5, and never 6. That asymmetry makes the count the difference between the two numbers.",AUTHORED,
GB_LP_009,LOOPS_BASICS,LP_C02_RANGE,LP_F02_RANGE_EXCLUDES_END,LP_FAM02_RANGE_VALUES,LP_RG_RANGE,D2,REMEMBER,mcq_single,A loop should visit the whole numbers 1 to 10 inclusive. Which range does that?,"range(1, 10)","range(1, 11)","range(0, 10)",range(10),B,"range(1, 11)","To include 10 the stopping point has to be one beyond it. Stopping at 10 leaves it out, and the two forms beginning at 0 shift every value down by one.",AUTHORED,
GB_LP_010,LOOPS_BASICS,LP_C03_LOOP_KINDS,LP_F03_FOR_VS_WHILE,LP_FAM03_LOOP_KIND_SELECTION,LP_RG_PURPOSE,D1,UNDERSTAND,mcq_single,A program must display a message exactly twelve times. Which loop form fits?,"A conditional loop, because every loop repeats until something changes","Either, since the two forms are interchangeable in all cases",Neither; a fixed number of repetitions needs no loop,"A counted loop, because the number of repetitions is known in advance",D,"A counted loop, because the number of repetitions is known in advance","A count that is known before the loop starts is exactly what a counted loop expresses. A conditional loop could be made to do it, but only by counting by hand, which is the counted loop written out the long way.",AUTHORED,
GB_LP_011,LOOPS_BASICS,LP_C03_LOOP_KINDS,LP_F03_FOR_VS_WHILE,LP_FAM03_LOOP_KIND_SELECTION,LP_RG_PURPOSE,D1,UNDERSTAND,mcq_single,A program must keep asking for a password until the right one is typed. Which loop form fits?,"A conditional loop, because the number of attempts is not known in advance","A counted loop set to three attempts, since that is the usual limit","A counted loop, because each attempt is one repetition",Neither; input cannot be repeated,A,"A conditional loop, because the number of attempts is not known in advance","Nothing before the loop can say how many attempts there will be, so the repetition has to be governed by whether the password matched. Fixing a count invents a limit the requirement never stated.",AUTHORED,
GB_LP_012,LOOPS_BASICS,LP_C03_LOOP_KINDS,LP_F03_FOR_VS_WHILE,LP_FAM03_LOOP_KIND_SELECTION,LP_RG_PURPOSE,D1,UNDERSTAND,mcq_single,What decides whether a counted loop or a conditional loop suits a task?,Whether the body of the loop is long or short,Whether the values being processed are numbers or text,Whether the number of repetitions is known before the loop begins,Whether the program is meant to be fast or easy to read,C,Whether the number of repetitions is known before the loop begins,"The distinction is about what governs the repetition: a known count, or a condition that must become false. Nothing about the size of the body or the type of the data bears on it.",AUTHORED,
GB_LP_013,LOOPS_BASICS,LP_C03_LOOP_KINDS,LP_F03_FOR_VS_WHILE,LP_FAM03_LOOP_KIND_SELECTION,LP_RG_PURPOSE,D2,UNDERSTAND,mcq_single,"A program must read values from a file until it reaches the end, and nobody knows in advance how many values the file holds. Which loop form fits, and why?","A counted loop, using the size of the file in bytes as the count","A conditional loop, because the stopping point is discovered while reading rather than known beforehand","A counted loop, because reading a file is a fixed sequence of steps","Either, because the file has a definite length even if nobody knows it",B,"A conditional loop, because the stopping point is discovered while reading rather than known beforehand","What matters is whether the count is available to the code before it starts, not whether one exists in principle. The number of values is only learned by reading, so the condition has to be checked as the loop runs.",AUTHORED,
GB_LP_014,LOOPS_BASICS,LP_C02_RANGE,LP_F02_RANGE_EXCLUDES_END,LP_FAM04_ITERATION_COUNT,LP_RG_RANGE,D2,APPLY,mcq_single,"A fragment reads: REPEAT 5 TIMES PRINT ""Hi"". How many times is Hi printed?",1,4,6,5,D,5,"The count states the number of repetitions directly, so the body runs five times and prints five lines. Answers of four and six are the two ways of being one out.",LEGACY_KEEP,f37e01
