questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PE_001,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F01_A_REQUEST_MUST_SAY_WHAT_IS_WANTED,PE_FAM01_GOAL_PRESENCE,PE_RG_PARTS,D1,REMEMBER,mcq_single,Which of these requests states what is actually to be done?,Quarterly sales report,Summarise this report in three sentences,Something about quarterly sales,"This is the quarterly sales report, which covers the last three months and was compiled by the regional team",B,Summarise this report in three sentences,Only the first names an action. The longest option supplies plenty of information and never says what to do with it.,AUTHORED,
GB_PE_002,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F01_A_REQUEST_MUST_SAY_WHAT_IS_WANTED,PE_FAM01_GOAL_PRESENCE,PE_RG_PARTS,D1,REMEMBER,mcq_single,"A request reads: ""Machine learning."" What is missing?",Background about machine learning,The audience for the answer,Nothing; the topic implies an explanation is wanted,Any statement of what is to be done with the topic,D,Any statement of what is to be done with the topic,"A topic is not a task, and there are many things that could be wanted about it. The responder has to guess, and may guess a different one each time.",AUTHORED,
GB_PE_003,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F01_A_REQUEST_MUST_SAY_WHAT_IS_WANTED,PE_FAM01_GOAL_PRESENCE,PE_RG_PARTS,D1,REMEMBER,mcq_single,Which of these requests names a task?,List the three main risks,The risks are considerable,Risk assessment,I have been thinking about risk,A,List the three main risks,"Naming a task means naming an action and its object, which the first does. The others state, label, or narrate.",AUTHORED,
GB_PE_004,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F01_A_REQUEST_MUST_SAY_WHAT_IS_WANTED,PE_FAM01_GOAL_PRESENCE,PE_RG_PARTS,D1,REMEMBER,mcq_single,"A request opens with a polite framing: ""I would be grateful if you could help me with the budget."" What has it asked for?",A budget summary,A revised budget,Nothing specific; help with the budget could mean many different things,An explanation of the budget,C,Nothing specific; help with the budget could mean many different things,"Politeness is not an instruction, and each of the other three is a defensible guess at what was meant. That there are three of them is the problem.",AUTHORED,
GB_PE_005,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F01_A_REQUEST_MUST_SAY_WHAT_IS_WANTED,PE_FAM01_GOAL_PRESENCE,PE_RG_PARTS,D2,REMEMBER,mcq_single,"A long request describes a dataset in detail, names the columns, explains where it came from, and ends there. What is the fault?",It supplies too much context,It supplies context and never states the task,It fails to name an audience,Nothing; the detail makes the task obvious,B,It supplies context and never states the task,The context is genuinely useful and there is nothing to apply it to. Length and completeness in one part do not compensate for the absence of another.,AUTHORED,
GB_PE_006,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F02_CONTEXT_IS_WHAT_THE_READER_CANNOT_SUPPLY,PE_FAM02_MISSING_CONTEXT,PE_RG_PARTS,D1,REMEMBER,mcq_single,"A request reads: ""Rewrite this to be shorter."" What would the responder have to guess?",How much shorter is wanted,Whether to keep the meaning,The tone to use,What the text being referred to is,D,What the text being referred to is,Nothing has been supplied to rewrite. The other three are matters of degree; this one leaves the responder with no material at all.,AUTHORED,
GB_PE_007,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F02_CONTEXT_IS_WHAT_THE_READER_CANNOT_SUPPLY,PE_FAM02_MISSING_CONTEXT,PE_RG_PARTS,D1,REMEMBER,mcq_single,"A request asks for a fix to ""the error in the login function"" with no code supplied. What is missing?",The function itself and the error,The name of the programming language,Whether the fix should include tests,The version of the framework in use,A,The function itself and the error,The responder cannot see the code and has not been told what the error is. The other three would refine an answer; without the code there is nothing to refine.,AUTHORED,
GB_PE_008,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F02_CONTEXT_IS_WHAT_THE_READER_CANNOT_SUPPLY,PE_FAM02_MISSING_CONTEXT,PE_RG_PARTS,D1,REMEMBER,mcq_single,"A request asks for advice on which database to choose, stating only that the application is a website. What most needs supplying?",The developer preferred programming language,The name of the hosting provider,What the application does with data and at what scale,Whether the website has a logo,C,What the application does with data and at what scale,Choosing a database turns on the shape and volume of the data and on what must be guaranteed about it. Being a website narrows almost nothing.,AUTHORED,
GB_PE_009,PROMPT_ENGINEERING,PE_C01_PARTS,PE_F02_CONTEXT_IS_WHAT_THE_READER_CANNOT_SUPPLY,PE_FAM02_MISSING_CONTEXT,PE_RG_PARTS,D2,REMEMBER,mcq_single,"A request asks: ""Is this fast enough?"" and supplies a timing of 200 milliseconds. What has been left out?",The hardware the measurement was taken on,"What the requirement is, since 200 milliseconds is fast for some purposes and slow for others",How many times the measurement was repeated,Nothing; 200 milliseconds is a clear figure,B,"What the requirement is, since 200 milliseconds is fast for some purposes and slow for others",The figure is precise and the standard it is being judged against is absent. The other two would refine the measurement rather than supply the missing comparison.,AUTHORED,
GB_PE_010,PROMPT_ENGINEERING,PE_C02_FORMAT,PE_F03_A_FORMAT_CAN_BE_ASKED_FOR,PE_FAM03_FORMAT_REQUEST,PE_RG_FORMAT,D1,UNDERSTAND,mcq_single,"In the request ""Explain the causes of the delay as a numbered list"", which part constrains the shape of the answer?",Explain,The causes of the delay,The word the,As a numbered list,D,As a numbered list,A numbered list describes the form the answer must take. Explaining and the subject matter describe what it must contain.,AUTHORED,
