questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_AS_001,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F01_A_SERIES_HAS_A_STEP,AS_FAM01_CONSTANT_STEP,AS_RG_STEP,D1,REMEMBER,mcq_single,"What comes next: 3, 6, 9, 12, ?",13,15,18,24,B,15,"Each term is three more than the one before, so the next is 15. Adding one gives 13, and 18 skips a term by applying the step twice.",LEGACY_REMAP,81cc31
GB_AS_002,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F01_A_SERIES_HAS_A_STEP,AS_FAM01_CONSTANT_STEP,AS_RG_STEP,D1,REMEMBER,mcq_single,"What comes next: 40, 35, 30, 25, ?",30,15,21,20,D,20,"The step is five downward, so the next term is 20. Answering 30 applies the step in the wrong direction, and 15 applies it twice.",AUTHORED,
GB_AS_003,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F01_A_SERIES_HAS_A_STEP,AS_FAM01_CONSTANT_STEP,AS_RG_STEP,D1,REMEMBER,mcq_single,"What comes next: 7, 14, 21, 28, ?",35,42,29,32,A,35,"Seven is added each time, giving 35. Answering 42 goes one term too far, and 29 adds one rather than the step.",AUTHORED,
GB_AS_004,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F01_A_SERIES_HAS_A_STEP,AS_FAM01_CONSTANT_STEP,AS_RG_STEP,D1,REMEMBER,mcq_single,"What comes next: 100, 88, 76, 64, ?",56,40,52,76,C,52,"Each term is twelve below the one before, so the next is 52. The step has to be read from the differences rather than guessed; taking it as eight would give 56.",AUTHORED,
GB_AS_005,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F01_A_SERIES_HAS_A_STEP,AS_FAM01_CONSTANT_STEP,AS_RG_STEP,D2,REMEMBER,mcq_single,"What comes next: 2, 4, 6, 8, ?",12,10,16,9,B,10,"The step of two is constant, so the next term is 10. Answering 16 treats the series as doubling, which fits the first two terms and fails at the third.",LEGACY_REMAP,826a68
GB_AS_006,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F02_THE_STEP_CAN_BE_NAMED,AS_FAM02_STEP_NAMING,AS_RG_STEP,D1,REMEMBER,mcq_single,"State the rule relating each term to the previous one in: 5, 10, 15, 20.",Multiply the previous term by 2,Add the position number to the previous term,"Add 5, then add 10, then add 15",Add 5 to the previous term,D,Add 5 to the previous term,"The differences are 5, 5 and 5, so one rule covers every step. Doubling fits the first pair only and fails at 15, which is what makes checking every term necessary.",AUTHORED,
GB_AS_007,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F02_THE_STEP_CAN_BE_NAMED,AS_FAM02_STEP_NAMING,AS_RG_STEP,D1,REMEMBER,mcq_single,"State the rule relating each term to the previous one in: 3, 9, 27, 81.",Multiply the previous term by 3,Add 6 to the previous term,Add three times the position number,"Multiply by 3, then by 4, then by 5",A,Multiply the previous term by 3,Each term is three times the one before it throughout. Adding 6 works between 3 and 9 and nowhere else — an additive rule fitted to a multiplicative series always breaks at the third term.,AUTHORED,
GB_AS_008,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F02_THE_STEP_CAN_BE_NAMED,AS_FAM02_STEP_NAMING,AS_RG_STEP,D1,REMEMBER,mcq_single,"State the rule relating each term to the previous one in: 64, 32, 16, 8.",Subtract 32 from the previous term,"Subtract 32, then 16, then 8",Halve the previous term,"Divide by 2, then by 3, then by 4",C,Halve the previous term,"Halving covers every step with one rule. The second option describes what happens between the first two terms only, and the third merely lists the differences without stating a rule at all.",AUTHORED,
GB_AS_009,APTITUDE_REASONING_SERIES,AS_C01_STEP,AS_F02_THE_STEP_CAN_BE_NAMED,AS_FAM02_STEP_NAMING,AS_RG_STEP,D2,REMEMBER,mcq_single,"Two rules are proposed for the series 1, 2, 4: ""double the previous term"" and ""add the position number minus one"". Both fit. Which is the better statement of the rule?","Doubling, because it is simpler",Neither yet; three terms fitting two rules means more terms are needed to choose,"The position rule, because it uses the position","Doubling, because it is the usual pattern in such questions",B,Neither yet; three terms fitting two rules means more terms are needed to choose,"Both rules genuinely produce 1, 2, 4 — doubling gives 8 next while the other gives 7. Simplicity is a preference rather than evidence, and the honest answer is that the terms shown do not yet separate them.",AUTHORED,
GB_AS_010,APTITUDE_REASONING_SERIES,AS_C02_ANALOGY,AS_F03_AN_ANALOGY_STATES_A_RELATION,AS_FAM03_RELATION_NAMING,AS_RG_ANALOGY,D1,REMEMBER,mcq_single,"What is the relation between the pair ""compiler"" and ""source code""?",The second takes the first as its input,Both are kinds of program,The first is stored inside the second,The first takes the second as its input,D,The first takes the second as its input,"A compiler reads source code and produces something else, so the relation runs in one direction. Both being programs is true of each separately and says nothing about the relation between them.",AUTHORED,
