skillKey,inboundRemaps,outboundRemaps,keep,rewrite,reject,usable,D1Usable,D2Usable,D3Usable,D4Usable,D5Usable,missingTo50
APTITUDE_DATA_INTERPRETATION,0,1,13,2,50,15,3,8,4,0,0,35
APTITUDE_REASONING_LOGIC,1,6,9,4,23,13,0,9,4,0,0,37
APTITUDE_REASONING_SERIES,19,0,18,1,8,19,0,14,5,0,0,31
BROWSER_FUNDAMENTALS,1,0,0,1,0,1,0,1,0,0,0,49
COMPUTER_ARCHITECTURE,2,0,3,3,4,6,0,6,0,0,0,44
CONDITIONALS_BASICS,9,0,13,5,9,18,0,10,8,0,0,32
C_BASICS,1,4,3,3,3,6,2,3,1,0,0,44
C_CONTROL_FLOW,4,0,3,1,0,4,0,3,1,0,0,46
DEBUGGING,0,11,0,0,2,0,0,0,0,0,0,50
DSA_ARRAYS,4,0,1,3,0,4,0,4,0,0,0,46
DSA_STRINGS,1,0,1,0,0,1,0,1,0,0,0,49
FUNCTIONS_BASICS,6,0,5,1,0,6,0,5,1,0,0,44
HOW_COMPUTERS_WORK,4,5,15,2,27,17,6,10,1,0,0,33
HTTP,1,0,1,0,0,1,0,1,0,0,0,49
LOOPS_BASICS,7,0,8,5,1,13,0,5,8,0,0,37
OPERATING_SYSTEMS,1,0,0,1,0,1,0,1,0,0,0,49
PATTERN_RECOGNITION,0,15,3,0,3,3,0,3,0,0,0,47
PROBLEM_SOLVING,0,0,0,6,16,6,3,0,3,0,0,44
PROGRAMMING_FUNDAMENTALS,3,23,7,2,24,9,0,4,5,0,0,41
PSEUDOCODE_FLOWCHARTS,4,0,7,4,3,11,0,4,7,0,0,39
PYTHON_BASICS,0,3,6,3,0,9,1,4,4,0,0,41
TECHNICAL_COMMUNICATION,0,0,9,7,14,16,4,6,6,0,0,34
