skillKey,skillName,activePrimaryQuestions,difficulty1Count,difficulty2Count,difficulty3Count,difficulty4Count,difficulty5Count,easyCount,mediumCount,hardCount,questionsWithFactKeys,questionsWithoutFactKeys
COMPUTER_ARCHITECTURE,Computer Architecture Basics,8,0,0,0,0,0,4,4,0,0,8
HOW_COMPUTERS_WORK,How Computers Work,45,0,0,0,0,0,18,27,0,0,45
OPERATING_SYSTEMS,Operating Systems,0,0,0,0,0,0,0,0,0,0,0
PROBLEM_SOLVING,Problem Solving,22,0,0,0,0,0,7,15,0,0,22
PSEUDOCODE_FLOWCHARTS,Pseudocode & Flowcharts,10,0,0,0,0,0,4,6,0,0,10
PROGRAMMING_FUNDAMENTALS,Programming Fundamentals,53,0,0,0,0,0,21,32,0,0,53
PYTHON_BASICS,Python Basics,12,0,0,0,0,0,4,5,3,0,12
CONDITIONALS_BASICS,Conditionals,18,0,0,0,0,0,0,18,0,0,18
LOOPS_BASICS,Loops,7,0,0,0,0,0,0,7,0,0,7
FUNCTIONS_BASICS,Functions,0,0,0,0,0,0,0,0,0,0,0
GIT_BRANCHING,Git Branching,0,0,0,0,0,0,0,0,0,0,0
GIT_FUNDAMENTALS,Git Fundamentals,0,0,0,0,0,0,0,0,0,0,0
HTML,HTML,0,0,0,0,0,0,0,0,0,0,0
CSS,CSS,0,0,0,0,0,0,0,0,0,0,0
JS_BASICS,JavaScript Basics,0,0,0,0,0,0,0,0,0,0,0
JS_DOM,JavaScript DOM,0,0,0,0,0,0,0,0,0,0,0
BROWSER_FUNDAMENTALS,Browser Fundamentals,0,0,0,0,0,0,0,0,0,0,0
HTTP,HTTP,0,0,0,0,0,0,0,0,0,0,0
C_BASICS,C Basics,12,0,0,0,0,0,4,5,3,0,12
C_CONTROL_FLOW,C Control Flow,0,0,0,0,0,0,0,0,0,0,0
DSA_ARRAYS,Arrays,0,0,0,0,0,0,0,0,0,0,0
DSA_STRINGS,Strings,0,0,0,0,0,0,0,0,0,0,0
DB_FUNDAMENTALS,Database Fundamentals,0,0,0,0,0,0,0,0,0,0,0
SQL_BASICS,SQL Basics,0,0,0,0,0,0,0,0,0,0,0
COMPUTER_NETWORKS,Computer Networks,0,0,0,0,0,0,0,0,0,0,0
APTITUDE_REASONING_LOGIC,Reasoning: Logic Puzzles,41,0,0,0,0,0,20,21,0,0,41
APTITUDE_REASONING_SERIES,Reasoning: Series & Analogy,8,0,0,0,0,0,0,8,0,0,8
APTITUDE_DATA_INTERPRETATION,Data Interpretation,66,0,0,0,0,0,26,40,0,0,66
PATTERN_RECOGNITION,Pattern Recognition,21,0,0,0,0,0,19,2,0,0,21
TECHNICAL_COMMUNICATION,Technical Communication,30,0,0,0,0,0,13,17,0,0,30
TECHNICAL_EXPLANATION,Technical Explanation,0,0,0,0,0,0,0,0,0,0,0
TECH_CAREER_AWARENESS,Tech Career Awareness,0,0,0,0,0,0,0,0,0,0,0
DEBUGGING,Debugging,13,0,0,0,0,0,0,13,0,0,13
