questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PR_001,PATTERN_RECOGNITION,PR_C01_REPETITION,PR_F01_A_PATTERN_HAS_A_REPEATING_UNIT,PR_FAM01_REPEAT_UNIT,PR_RG_REPETITION,D1,REMEMBER,mcq_single,A sequence reads x y x y x y. What is the shortest unit that repeats?,x y x y,x y,x,x y x,B,x y,"Two symbols repeat three times, and no shorter unit does. The four-symbol unit repeats too, which is why the question asks for the shortest.",AUTHORED,
GB_PR_002,PATTERN_RECOGNITION,PR_C01_REPETITION,PR_F01_A_PATTERN_HAS_A_REPEATING_UNIT,PR_FAM01_REPEAT_UNIT,PR_RG_REPETITION,D1,REMEMBER,mcq_single,"A sequence reads p q r p q r p q r. Which unit, repeated, produces it, taken as short as possible?",p q r p q r,p q,p,p q r,D,p q r,"Three symbols repeat throughout. A two-symbol unit fits the opening and then fails, which is the shape of a unit inferred from the start alone.",AUTHORED,
GB_PR_003,PATTERN_RECOGNITION,PR_C01_REPETITION,PR_F01_A_PATTERN_HAS_A_REPEATING_UNIT,PR_FAM01_REPEAT_UNIT,PR_RG_REPETITION,D1,REMEMBER,mcq_single,"This sequence is built by repeating a single unit: a a b a a b a a b. Taken as short as it can be, what is that unit?",a a b,a b,a a,a a b a a b,A,a a b,"The unit a a b is three symbols long and includes the doubled opening symbol. Taking a b instead would produce a b a b, which is not what is shown.",AUTHORED,
GB_PR_004,PATTERN_RECOGNITION,PR_C01_REPETITION,PR_F01_A_PATTERN_HAS_A_REPEATING_UNIT,PR_FAM01_REPEAT_UNIT,PR_RG_REPETITION,D1,REMEMBER,mcq_single,A sequence reads m n n m n n m n n. How long is the shortest repeating unit?,Two symbols,Six symbols,Three symbols,One symbol,C,Three symbols,"The sequence is built from m n n repeated three times, so the shortest unit is Three symbols long. Six symbols also repeat, being twice the shortest unit rather than the unit itself.",AUTHORED,
GB_PR_005,PATTERN_RECOGNITION,PR_C01_REPETITION,PR_F01_A_PATTERN_HAS_A_REPEATING_UNIT,PR_FAM01_REPEAT_UNIT,PR_RG_REPETITION,D2,REMEMBER,mcq_single,"A sequence reads d e d e d e d. Does it have a repeating unit, and if so what is it?",No; the sequence does not divide evenly into units,"Yes, d e; the sequence stops part way through a repetition","Yes, d e d; the last symbol proves the unit is three long","Yes, d; every symbol is either d or e",B,"Yes, d e; the sequence stops part way through a repetition","A pattern may be cut short without ceasing to be a pattern, so ending mid-unit changes nothing. Reading the trailing d as evidence of a three-symbol unit contradicts the rest of the sequence.",AUTHORED,
GB_PR_006,PATTERN_RECOGNITION,PR_C02_SYMMETRY,PR_F02_SYMMETRY_IS_A_CORRESPONDENCE,PR_FAM02_SYMMETRY_RECOGNITION,PR_RG_SYMMETRY,D1,UNDERSTAND,mcq_single,"Is the arrangement a b c b a symmetric, and about what?",No; the symbols are not all the same,"Yes, about its first symbol",No; a symmetric arrangement must have an even number of symbols,"Yes, about its middle symbol",D,"Yes, about its middle symbol","Reading it from either end gives the same sequence, with c at the centre. An odd count is perfectly compatible with symmetry — it simply leaves one symbol in the middle.",AUTHORED,
GB_PR_007,PATTERN_RECOGNITION,PR_C02_SYMMETRY,PR_F02_SYMMETRY_IS_A_CORRESPONDENCE,PR_FAM02_SYMMETRY_RECOGNITION,PR_RG_SYMMETRY,D1,UNDERSTAND,mcq_single,Is the arrangement p q p q symmetric?,No; reading it backwards gives q p q p,Yes; it repeats regularly,Yes; it is symmetric about the gap in the middle,Yes; both halves contain the same symbols,A,No; reading it backwards gives q p q p,"Repetition and symmetry are different properties, and this arrangement has the first without the second. Containing the same symbols in each half is not the same as reading alike in both directions.",AUTHORED,
GB_PR_008,PATTERN_RECOGNITION,PR_C02_SYMMETRY,PR_F02_SYMMETRY_IS_A_CORRESPONDENCE,PR_FAM02_SYMMETRY_RECOGNITION,PR_RG_SYMMETRY,D1,UNDERSTAND,mcq_single,Is the arrangement w x y x w symmetric?,No; the middle symbol has no partner,No; five symbols cannot be symmetric,"Yes; the first and last match, and so do the second and fourth",Yes; every symbol appears twice,C,"Yes; the first and last match, and so do the second and fourth","Symmetry requires each symbol to match its partner counting inward from the ends, and the middle symbol needs none. The symbol y appears once, which is exactly what a centre looks like.",AUTHORED,
GB_PR_009,PATTERN_RECOGNITION,PR_C02_SYMMETRY,PR_F02_SYMMETRY_IS_A_CORRESPONDENCE,PR_FAM02_SYMMETRY_RECOGNITION,PR_RG_SYMMETRY,D2,UNDERSTAND,mcq_single,"An arrangement reads r s t s r except that one position has been changed, giving r s t r r. Is it still symmetric?",Yes; the ends still match,No; the fourth position no longer matches the second,Yes; only one position changed,No; symmetry requires all symbols to differ,B,No; the fourth position no longer matches the second,"Symmetry has to hold at every pair, so a single mismatched position breaks it however much of the rest survives. The ends matching is necessary and not sufficient.",AUTHORED,
GB_PR_010,PATTERN_RECOGNITION,PR_C03_TRANSFORMATIONS,PR_F03_TRANSFORMATIONS_HAVE_NAMES,PR_FAM03_TRANSFORMATION_NAMING,PR_RG_TRANSFORM,D1,REMEMBER,mcq_single,An arrangement a b c becomes c b a. Which transformation is that?,A shift,A repetition,No transformation; the two are the same,A mirror,D,A mirror,"A mirror is what reverses the order. A shift would move every symbol along and bring one round to the other end, which gives a different result.",AUTHORED,
GB_PR_011,PATTERN_RECOGNITION,PR_C03_TRANSFORMATIONS,PR_F03_TRANSFORMATIONS_HAVE_NAMES,PR_FAM03_TRANSFORMATION_NAMING,PR_RG_TRANSFORM,D1,REMEMBER,mcq_single,An arrangement a b c d becomes d a b c. Which transformation is that?,"A shift, with the last symbol brought to the front",A mirror,A swap of the two ends,A sort into reverse order,A,"A shift, with the last symbol brought to the front","Every symbol has moved one place along and the one that fell off the end has come round. Mirroring would have given d c b a, which is not what is shown.",AUTHORED,
GB_PR_012,PATTERN_RECOGNITION,PR_C03_TRANSFORMATIONS,PR_F03_TRANSFORMATIONS_HAVE_NAMES,PR_FAM03_TRANSFORMATION_NAMING,PR_RG_TRANSFORM,D1,REMEMBER,mcq_single,An arrangement a b c d becomes a c b d. Which transformation is that?,A mirror,A shift,A swap of the two middle symbols,A half-turn,C,A swap of the two middle symbols,"A swap of the two middle symbols is all that has happened: only those two moved, and they exchanged places. A mirror or a shift would have moved the outer symbols too.",AUTHORED,
GB_PR_013,PATTERN_RECOGNITION,PR_C03_TRANSFORMATIONS,PR_F03_TRANSFORMATIONS_HAVE_NAMES,PR_FAM03_TRANSFORMATION_NAMING,PR_RG_TRANSFORM,D2,REMEMBER,mcq_single,"Someone says an arrangement was mirrored, and someone else says it was given a half-turn. The arrangement is a b b a and both descriptions produce it. What follows?",One of the two must be wrong,"The two cannot be told apart on this input, because it is symmetric",A mirror and a half-turn are the same transformation,The arrangement was not transformed at all,B,"The two cannot be told apart on this input, because it is symmetric","Two different transformations agree on an input that is already symmetric, so this input cannot distinguish them. Testing on an arrangement that is not symmetric is what would settle it.",AUTHORED,
