questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CS_001,CSS,CS_C01_RULES,CS_F01_RULE_HAS_SELECTOR_AND_DECLARATIONS,CS_FAM01_RULE_ANATOMY,CS_RG_SYNTAX,D1,REMEMBER,mcq_single,"In the rule p { color: blue; }, which part is the selector?",color,p,blue,color: blue,B,p,The selector says which elements the rule applies to and sits before the braces. What follows inside is a property and its value.,AUTHORED,
GB_CS_002,CSS,CS_C01_RULES,CS_F01_RULE_HAS_SELECTOR_AND_DECLARATIONS,CS_FAM01_RULE_ANATOMY,CS_RG_SYNTAX,D1,REMEMBER,mcq_single,"In the same rule, which part is the property?",p,blue,color: blue,color,D,color,The property names what is being set and the value says what it is set to. The two together make one declaration.,AUTHORED,
GB_CS_003,CSS,CS_C01_RULES,CS_F01_RULE_HAS_SELECTOR_AND_DECLARATIONS,CS_FAM01_RULE_ANATOMY,CS_RG_SYNTAX,D1,REMEMBER,mcq_single,"In the rule .btn { font-size: 14px; }, which part is the value?",14px,.btn,font-size,font-size: 14px,A,14px,The value 14px follows the colon and says what the property is being set to. Naming the whole declaration answers a different question.,AUTHORED,
GB_CS_004,CSS,CS_C01_RULES,CS_F01_RULE_HAS_SELECTOR_AND_DECLARATIONS,CS_FAM01_RULE_ANATOMY,CS_RG_SYNTAX,D1,REMEMBER,mcq_single,How many declarations does the rule h1 { color: red; font-size: 20px; } contain?,One,Three,Two,Four,C,Two,"Each property-and-value pair is one declaration, and there are two inside the braces. The selector is not a declaration.",AUTHORED,
GB_CS_005,CSS,CS_C01_RULES,CS_F01_RULE_HAS_SELECTOR_AND_DECLARATIONS,CS_FAM01_RULE_ANATOMY,CS_RG_SYNTAX,D2,REMEMBER,mcq_single,"A rule reads .note { margin: 10px; padding: 5px; }. How many elements does it configure, and how many things does it set on each?","One element, and two things on it","Every element carrying that class, and two things on each","Every element carrying that class, and one thing on each","Two elements, one per declaration",B,"Every element carrying that class, and two things on each","A selector matches a set of elements, however many there are, and every declaration inside applies to each of them. The number of declarations has nothing to do with the number of elements.",AUTHORED,
GB_CS_006,CSS,CS_C02_PROPERTIES,CS_F02_PROPERTIES_HAVE_EFFECTS,CS_FAM02_PROPERTY_PURPOSE,CS_RG_PROPERTIES,D1,REMEMBER,mcq_single,Space is wanted between an element's border and its content. Which property produces it?,margin,border,width,padding,D,padding,"The space inside the border, between it and the content, is padding. Margin sits outside the border and pushes other elements away instead.",AUTHORED,
GB_CS_007,CSS,CS_C02_PROPERTIES,CS_F02_PROPERTIES_HAVE_EFFECTS,CS_FAM02_PROPERTY_PURPOSE,CS_RG_PROPERTIES,D1,REMEMBER,mcq_single,Space is wanted between an element and the one beside it. Which property produces it?,margin,padding,border,height,A,margin,"Margin is space outside the element, which is what separates it from its neighbours. Padding would make the element itself larger and move nothing else away.",AUTHORED,
GB_CS_008,CSS,CS_C02_PROPERTIES,CS_F02_PROPERTIES_HAVE_EFFECTS,CS_FAM02_PROPERTY_PURPOSE,CS_RG_PROPERTIES,D1,REMEMBER,mcq_single,The text of a paragraph should be green. Which property sets it?,background-color,border-color,color,font-size,C,color,"The colour property sets the colour of the text itself. The background property fills the area behind it, which is the pair most often mixed up.",AUTHORED,
GB_CS_009,CSS,CS_C02_PROPERTIES,CS_F02_PROPERTIES_HAVE_EFFECTS,CS_FAM02_PROPERTY_PURPOSE,CS_RG_PROPERTIES,D2,REMEMBER,mcq_single,"A developer adds padding expecting the element to move away from its neighbour, and the neighbour does not move. Why?",Padding only works on text elements,Padding grows the element inwards from its edge; moving neighbours away is what margin does,Padding was applied to the wrong side,The neighbour has a margin cancelling it,B,Padding grows the element inwards from its edge; moving neighbours away is what margin does,"The element does get larger, so something visibly changed and the neighbour still touches its edge. Which side the padding was applied to would change where the space appeared and not whether the neighbour moved.",AUTHORED,
GB_CS_010,CSS,CS_C03_SELECTORS,CS_F03_SELECTOR_KINDS,CS_FAM03_SELECTOR_RECOGNITION,CS_RG_SELECTORS,D1,REMEMBER,mcq_single,What does the selector .warning target?,The one element whose identifier is warning,Every element named warning,The first element carrying the class warning,Every element carrying the class warning,D,Every element carrying the class warning,"A leading dot marks a class, which any number of elements may carry. An identifier is marked differently and is meant to appear once.",AUTHORED,
GB_CS_011,CSS,CS_C03_SELECTORS,CS_F03_SELECTOR_KINDS,CS_FAM03_SELECTOR_RECOGNITION,CS_RG_SELECTORS,D1,REMEMBER,mcq_single,What does the selector #total target?,The element whose identifier is total,Every element carrying the class total,Every element named total,Every element containing the word total,A,The element whose identifier is total,"A leading hash marks an identifier, which is meant to be unique within the page. Swapping the two prefixes is the commonest selector mistake.",AUTHORED,
GB_CS_012,CSS,CS_C03_SELECTORS,CS_F03_SELECTOR_KINDS,CS_FAM03_SELECTOR_RECOGNITION,CS_RG_SELECTORS,D1,REMEMBER,mcq_single,What does the selector nav a target?,Every navigation element and every link,Every navigation element that is also a link,Every link inside a navigation element,The first link inside a navigation element,C,Every link inside a navigation element,"A space between two selectors means ""inside"", so the second is looked for within the first. Reading it as two separate selectors would target both kinds of element.",AUTHORED,
GB_CS_013,CSS,CS_C03_SELECTORS,CS_F03_SELECTOR_KINDS,CS_FAM03_SELECTOR_RECOGNITION,CS_RG_SELECTORS,D2,REMEMBER,mcq_single,"How does the selector p.note differ from p .note, with a space?",They are the same; the space is ignored,The first targets paragraphs carrying the class; the second targets elements with the class inside a paragraph,The first targets any element with the class inside a paragraph,The second targets paragraphs carrying the class,B,The first targets paragraphs carrying the class; the second targets elements with the class inside a paragraph,Without a space the two conditions apply to one element; with a space the second is looked for inside the first. The space is the whole difference and is easy to add or lose by accident.,AUTHORED,
GB_CS_014,CSS,CS_C03_SELECTORS,CS_F04_SELECTOR_MATCHES_A_SET,CS_FAM04_SELECTOR_MATCHING,CS_RG_SELECTORS,D2,APPLY,mcq_single,"Markup: <div><p class=""note"">A</p><p>B</p></div><p class=""note"">C</p>. How many elements does .note match?",One,Three,None,Two,D,Two,"A class selector matches every element carrying the class wherever it appears, so both marked paragraphs match. Assuming a class matches one element confuses it with an identifier.",AUTHORED,
GB_CS_015,CSS,CS_C03_SELECTORS,CS_F04_SELECTOR_MATCHES_A_SET,CS_FAM04_SELECTOR_MATCHING,CS_RG_SELECTORS,D3,APPLY,mcq_single,"A menu is written as <ul id=""menu""><li class=""item"">Home</li><li class=""item current"">About</li></ul>. Which selector reaches the About entry and nothing else?",.current,.item,#menu li,li,A,.current,"Only the second entry carries current, so .current isolates it. The other three each reach both entries, because both carry item and both sit inside the menu.",AUTHORED,
GB_CS_016,CSS,CS_C04_INHERITANCE,CS_F05_SOME_PROPERTIES_INHERIT,CS_FAM05_INHERITANCE,CS_RG_CASCADE,D2,UNDERSTAND,mcq_single,A colour is set on a container. Do the paragraphs inside it take that colour?,No; every property must be set on each element,Only if the paragraphs have no colour of their own and no class,Yes; colour is one of the properties children inherit,Only the first paragraph does,C,Yes; colour is one of the properties children inherit,"Text-related properties pass down to children unless something overrides them. A paragraph with its own colour would use that instead, which is different from needing one.",AUTHORED,
GB_CS_017,CSS,CS_C04_INHERITANCE,CS_F05_SOME_PROPERTIES_INHERIT,CS_FAM05_INHERITANCE,CS_RG_CASCADE,D3,UNDERSTAND,mcq_single,A border is set on a container. Do the paragraphs inside it get a border?,Yes; children inherit everything from a parent,No; a border is not inherited,Yes; borders inherit in the same way as colour,Only the paragraphs with no border of their own,B,No; a border is not inherited,"Some properties inherit and others do not, and box properties such as borders are in the second group. Assuming inheritance is all-or-nothing gets one of the two cases wrong whichever way it is assumed.",AUTHORED,
GB_CS_018,CSS,CS_C05_CASCADE,CS_F06_LATER_AND_MORE_SPECIFIC_WINS,CS_FAM06_CASCADE_RESOLUTION,CS_RG_CASCADE,D2,ANALYZE,mcq_single,Two rules both target the same paragraph with equal specificity: the first sets the colour to red and the second to blue. Which applies?,"Red, because the first rule was applied first",Neither; the conflict cancels both,"Both, blended together","Blue, because the later rule wins when specificity is equal",D,"Blue, because the later rule wins when specificity is equal","Order decides only when specificity is level, which it is here. Nothing blends or cancels — one value is used.",AUTHORED,
GB_CS_019,CSS,CS_C05_CASCADE,CS_F06_LATER_AND_MORE_SPECIFIC_WINS,CS_FAM06_CASCADE_RESOLUTION,CS_RG_CASCADE,D3,ANALYZE,mcq_single,"A rule .note { color: red; } appears first, and p { color: blue; } appears after it. A paragraph carries the class note. Which colour applies?","Red, because the class selector is more specific than the element selector","Blue, because it appears later","Blue, because element selectors are stronger",Neither; the two cancel out,A,"Red, because the class selector is more specific than the element selector","Specificity is considered before order, so a later rule loses to a more specific earlier one. This is the case where ""the last rule wins"" gives the wrong answer.",AUTHORED,
GB_CS_020,CSS,CS_C05_CASCADE,CS_F06_LATER_AND_MORE_SPECIFIC_WINS,CS_FAM06_CASCADE_RESOLUTION,CS_RG_CASCADE,D4,ANALYZE,mcq_single,"A developer moves a rule to the bottom of the stylesheet to make it win, and the colour does not change. Their rule uses an element selector and the competing rule uses a class. What happened?",The stylesheet was cached,The move introduced a syntax error,"The competing rule is more specific, and moving a rule later does not overcome that",The rule is now too late in the file to apply,C,"The competing rule is more specific, and moving a rule later does not overcome that","Order is only consulted when specificity ties, so a more specific rule wins from anywhere in the file. The move was based on a rule that holds only in the equal-specificity case.",AUTHORED,
GB_CS_021,CSS,CS_C05_CASCADE,CS_F07_SPECIFICITY_IS_COMPARABLE,CS_FAM07_SPECIFICITY_COMPARISON,CS_RG_CASCADE,D2,ANALYZE,mcq_single,Which is more specific: p or .note?,p,.note,They are equal,It depends which appears first,B,.note,A class outranks an element selector regardless of order. Order is only consulted when the two are level.,AUTHORED,
GB_CS_022,CSS,CS_C05_CASCADE,CS_F07_SPECIFICITY_IS_COMPARABLE,CS_FAM07_SPECIFICITY_COMPARISON,CS_RG_CASCADE,D3,ANALYZE,mcq_single,"Which is more specific: body div section p, or .note?","body div section p, since it has four parts",They are equal,It depends which appears first,.note,D,.note,"Specificity compares the kinds of selector rather than how many there are, and one class outranks any number of element selectors. Length is the intuition this case exists to break.",AUTHORED,
GB_CS_023,CSS,CS_C05_CASCADE,CS_F07_SPECIFICITY_IS_COMPARABLE,CS_FAM07_SPECIFICITY_COMPARISON,CS_RG_CASCADE,D4,ANALYZE,mcq_single,"A developer adds three more element names to their selector to make it beat a class rule, and it still loses. Their selector is now six elements long. Why?","Element selectors never accumulate into a class's worth of specificity, however many are added",Six is too many selectors to combine,The class rule appears later in the file,The extra elements do not match the markup,A,"Element selectors never accumulate into a class's worth of specificity, however many are added","The comparison is made level by level, and no quantity of the weaker kind reaches the stronger. Adding more of what is already losing cannot change the outcome.",AUTHORED,
GB_CS_024,CSS,CS_C06_BOX_MODEL,CS_F08_BOX_SIZE_INCLUDES_PARTS,CS_FAM08_BOX_MODEL_SIZE,CS_RG_LAYOUT,D2,APPLY,mcq_single,"An element has a content width of 100px and padding of 10px on each side, with no border. How wide is it in total?",100px,110px,120px,140px,C,120px,"Padding is added on both sides, so twice ten is added to the content width. Counting one side only gives 110.",AUTHORED,
GB_CS_025,CSS,CS_C06_BOX_MODEL,CS_F08_BOX_SIZE_INCLUDES_PARTS,CS_FAM08_BOX_MODEL_SIZE,CS_RG_LAYOUT,D3,APPLY,mcq_single,An element must end up occupying exactly 240px across. It carries padding of 15px on each side and a border of 5px on each side. What content width is needed?,240px,200px,220px,210px,B,200px,"Padding and border are both doubled, so forty of the 240 is taken before the content, leaving 200px. Subtracting only one side of each leaves 220.",AUTHORED,
GB_CS_026,CSS,CS_C06_BOX_MODEL,CS_F08_BOX_SIZE_INCLUDES_PARTS,CS_FAM08_BOX_MODEL_SIZE,CS_RG_LAYOUT,D4,APPLY,mcq_single,"An element has a content width of 100px, padding of 10px each side and a margin of 20px each side. A developer says it occupies 160px. The question asks for the width of the element itself, not the space it reserves. What is it?","160px, as they said","100px, since padding is inside the content","140px, counting the margin on one side",120px; the margin is outside the element rather than part of it,D,120px; the margin is outside the element rather than part of it,Margin is space around the element and belongs to no element's own width. The 160 answers a different and reasonable question — how much horizontal space is reserved — which is why the stem says which is being asked.,AUTHORED,
GB_CS_027,CSS,CS_C07_DISPLAY,CS_F09_DISPLAY_DECIDES_FLOW,CS_FAM09_DISPLAY_BEHAVIOUR,CS_RG_LAYOUT,D2,APPLY,mcq_single,Two block elements follow one another in the markup. How are they arranged?,"Stacked, one below the other",Side by side,Overlapping,Side by side if there is room,A,"Stacked, one below the other","A block element takes the full width available, so the next one starts on a new line. Sitting side by side is what inline elements do.",AUTHORED,
GB_CS_028,CSS,CS_C07_DISPLAY,CS_F09_DISPLAY_DECIDES_FLOW,CS_FAM09_DISPLAY_BEHAVIOUR,CS_RG_LAYOUT,D3,APPLY,mcq_single,Two inline elements follow one another in the markup. How are they arranged?,"Stacked, one below the other","Side by side, never wrapping","Side by side, wrapping to the next line if there is not room",Overlapping,C,"Side by side, wrapping to the next line if there is not room",Inline elements flow like words in a sentence and wrap when the line runs out. That flow is exactly what distinguishes them from block elements.,AUTHORED,
GB_CS_029,CSS,CS_C07_DISPLAY,CS_F09_DISPLAY_DECIDES_FLOW,CS_FAM09_DISPLAY_BEHAVIOUR,CS_RG_LAYOUT,D4,APPLY,mcq_single,A developer sets a width on an inline element and nothing changes. The rule is being applied and the selector matches. Why is the width ignored?,The width value is invalid,"An inline element is sized by its content, so a width has no effect on it",A more specific rule is setting the width,The element has no content to size,B,"An inline element is sized by its content, so a width has no effect on it","The stem rules out the rule not applying, so the value is reaching the element and doing nothing. Width applies to elements that participate in block layout, which an inline element does not.",AUTHORED,
GB_CS_030,CSS,CS_C08_UNITS,CS_F10_UNITS_ARE_RELATIVE_OR_ABSOLUTE,CS_FAM10_UNIT_BEHAVIOUR,CS_RG_LAYOUT,D2,APPLY,mcq_single,A child element is given a width of 50%. What is that a percentage of?,The width of the screen,The width of the whole page,Its own content width,Its parent's width,D,Its parent's width,A percentage width resolves against the containing element. Resolving it against the screen would give the same answer only when the parent happens to fill the screen.,AUTHORED,
GB_CS_031,CSS,CS_C08_UNITS,CS_F10_UNITS_ARE_RELATIVE_OR_ABSOLUTE,CS_FAM10_UNIT_BEHAVIOUR,CS_RG_LAYOUT,D3,APPLY,mcq_single,A container has a font size of 20px and a child is given a font size of 1.5 of the inherited size. What size is the child's text?,30px,1.5px,"24px, based on a 16px default",20px,A,30px,"A relative font unit multiplies the size inherited from the parent, which is 20 here. Resolving it against the document default ignores the inheritance.",AUTHORED,
GB_CS_032,CSS,CS_C08_UNITS,CS_F10_UNITS_ARE_RELATIVE_OR_ABSOLUTE,CS_FAM10_UNIT_BEHAVIOUR,CS_RG_LAYOUT,D4,APPLY,mcq_single,A developer sets a font size in pixels and a reader's enlarged text setting has no effect on it. The setting works on the rest of the page. What accounts for it?,The reader's setting is broken,The rule is more specific than the reader's setting,"A fixed unit does not scale with the reader's preference, while relative units do",Pixels are a relative unit and should have scaled,C,"A fixed unit does not scale with the reader's preference, while relative units do","Fixed units mean exactly what they say and ignore the reader's preference, which is the whole difference from relative ones. The rest of the page scaling shows the setting itself is working.",AUTHORED,
GB_CS_033,CSS,CS_C09_LAYOUT,CS_F11_LAYOUT_RULES_COMBINE,CS_FAM11_LAYOUT_RESULT,CS_RG_LAYOUT,D3,APPLY,mcq_single,Three block elements sit inside a container whose display is set to arrange its children in a row. How are they arranged?,"Stacked one below the other, as blocks normally are",Side by side in a row,Overlapping at the same position,Side by side only if each is given a width,B,Side by side in a row,"The container's arrangement governs how its children are laid out, overriding their default block behaviour. Nothing further is needed to place them in a row.",AUTHORED,
