questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_FS_001,FILE_SYSTEMS_PERMISSIONS,FS_C01_PATH_SHAPE,FS_F01_A_PATH_EITHER_STARTS_AT_THE_TOP_OR_FROM_HERE,FS_FAM01_PATH_SHAPE,FS_RG_PATHS,D1,REMEMBER,mcq_single,A path is written as /home/asha/notes.txt. Does its meaning depend on where you are?,Yes; every path is read from the current directory,No; it begins at the top of the tree and means the same everywhere,"Yes, unless the current directory is the top of the tree",It depends on whether the file exists,B,No; it begins at the top of the tree and means the same everywhere,Starting at the top fixes the meaning completely. Where the reader happens to be changes nothing about where it points.,AUTHORED,
GB_FS_002,FILE_SYSTEMS_PERMISSIONS,FS_C01_PATH_SHAPE,FS_F01_A_PATH_EITHER_STARTS_AT_THE_TOP_OR_FROM_HERE,FS_FAM01_PATH_SHAPE,FS_RG_PATHS,D1,REMEMBER,mcq_single,A path is written as reports/june.txt. Does its meaning depend on where you are?,No; it names one file wherever it is used,"No, because it contains a directory name",Only if the file does not exist,Yes; it is read from wherever you currently are,D,Yes; it is read from wherever you currently are,"Not starting at the top means starting from here, and here changes. The same path reaches different files from different places.",AUTHORED,
GB_FS_003,FILE_SYSTEMS_PERMISSIONS,FS_C01_PATH_SHAPE,FS_F01_A_PATH_EITHER_STARTS_AT_THE_TOP_OR_FROM_HERE,FS_FAM01_PATH_SHAPE,FS_RG_PATHS,D1,REMEMBER,mcq_single,Which of these paths means the same thing from every directory?,/var/log/system.log,log/system.log,../log/system.log,./system.log,A,/var/log/system.log,Only the first begins at the top. The other three all start from wherever the reader is.,AUTHORED,
GB_FS_004,FILE_SYSTEMS_PERMISSIONS,FS_C01_PATH_SHAPE,FS_F01_A_PATH_EITHER_STARTS_AT_THE_TOP_OR_FROM_HERE,FS_FAM01_PATH_SHAPE,FS_RG_PATHS,D1,REMEMBER,mcq_single,What distinguishes the two kinds of path?,How many directory names it contains,Whether the file it names exists,Whether it starts at the top of the tree or from where you are,Whether it ends in a file name or a directory name,C,Whether it starts at the top of the tree or from where you are,Length and existence have nothing to do with it. A one-segment path can start at the top and a five-segment one need not.,AUTHORED,
GB_FS_005,FILE_SYSTEMS_PERMISSIONS,FS_C01_PATH_SHAPE,FS_F01_A_PATH_EITHER_STARTS_AT_THE_TOP_OR_FROM_HERE,FS_FAM01_PATH_SHAPE,FS_RG_PATHS,D2,REMEMBER,mcq_single,A student says a long path must start at the top of the tree because it is detailed. What is wrong?,Nothing; long paths always start at the top,Length says nothing about it; a long path can still be read from where you are,Long paths are always read from where you are,The rule holds for paths of more than three segments,B,Length says nothing about it; a long path can still be read from where you are,A path like a/b/c/d/e/f.txt is six segments and entirely relative. Only how it begins settles the question.,AUTHORED,
GB_FS_006,FILE_SYSTEMS_PERMISSIONS,FS_C02_PERMISSION_KINDS,FS_F02_THE_THREE_PERMISSIONS_ALLOW_DIFFERENT_THINGS,FS_FAM02_PERMISSION_MEANING,FS_RG_PERMISSIONS,D1,REMEMBER,mcq_single,A user wants to see what is inside a file. Which permission does that need?,Write,Execute,All three,Read,D,Read,Reading the contents needs the read permission and nothing else. The other two govern different actions entirely.,AUTHORED,
GB_FS_007,FILE_SYSTEMS_PERMISSIONS,FS_C02_PERMISSION_KINDS,FS_F02_THE_THREE_PERMISSIONS_ALLOW_DIFFERENT_THINGS,FS_FAM02_PERMISSION_MEANING,FS_RG_PERMISSIONS,D1,REMEMBER,mcq_single,A user has write permission on a file and not read permission. What can they do?,Change the contents without being able to see them,"Both change and see the contents, since write includes read","Neither, since write is useless without read",See the contents but not change them,A,Change the contents without being able to see them,"The three are independent rather than ranked, so having one grants nothing about the others. Writing without reading is unusual and entirely possible.",AUTHORED,
GB_FS_008,FILE_SYSTEMS_PERMISSIONS,FS_C02_PERMISSION_KINDS,FS_F02_THE_THREE_PERMISSIONS_ALLOW_DIFFERENT_THINGS,FS_FAM02_PERMISSION_MEANING,FS_RG_PERMISSIONS,D1,REMEMBER,mcq_single,Which statement about the three permissions is true?,"Write implies read, since changing needs seeing",Execute implies read and write,Each is granted separately and none implies another,"They form a ladder, with each including the ones below",C,Each is granted separately and none implies another,Independence is the whole design. The ladder reading is intuitive and makes every real access question come out wrong.,AUTHORED,
GB_FS_009,FILE_SYSTEMS_PERMISSIONS,FS_C02_PERMISSION_KINDS,FS_F02_THE_THREE_PERMISSIONS_ALLOW_DIFFERENT_THINGS,FS_FAM02_PERMISSION_MEANING,FS_RG_PERMISSIONS,D2,REMEMBER,mcq_single,A student cannot run a script and says it must be because they lack read permission on it. The read permission is granted and the execute permission is not. What is the actual obstacle?,"The missing read permission, which running also requires","The missing execute permission, which is what running requires",Both permissions are needed and both are missing,Nothing; the script should run,B,"The missing execute permission, which is what running requires","Running needs execute, and read is separately granted here. Assuming one permission covers another is what produces this diagnosis.",AUTHORED,
GB_FS_010,FILE_SYSTEMS_PERMISSIONS,FS_C03_WHO,FS_F03_A_USER_FALLS_INTO_EXACTLY_ONE_CLASS,FS_FAM03_CLASS_RECOGNITION,FS_RG_PERMISSIONS,D1,UNDERSTAND,mcq_single,A file is owned by Asha. Asha opens it. Which set of permissions applies to her?,The group set,The everyone-else set,Whichever of the three is most generous,The owner set,D,The owner set,"She is the owner, so the owner set governs. The other two describe other people.",AUTHORED,
