questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CA_001,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F01_CPU_ROLE,CA_FAM01_CPU_ROLE_SELECT,CA_RG_COMPONENT_ROLES,D1,REMEMBER,mcq_single,Which of these jobs is done by the processor?,Keeping files so they survive a restart,Carrying out the instructions a program contains,Deciding which program is allowed to run next,Holding the pictures shown on the screen,B,Carrying out the instructions a program contains,"The processor executes instructions; that is what it is for. Keeping files is storage, deciding what runs next is the operating system's decision, and holding an image is memory.",AUTHORED,
GB_CA_002,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F01_CPU_ROLE,CA_FAM01_CPU_ROLE_SELECT,CA_RG_COMPONENT_ROLES,D1,REMEMBER,mcq_single,Is the processor where a computer's files are kept?,Yes; the processor holds everything the machine has,"Yes, but only the files currently open",No; files are kept in the operating system,"No; files are kept on storage, and the processor holds almost nothing",D,"No; files are kept on storage, and the processor holds almost nothing",The processor works on values handed to it and keeps only a few at a time. Confusing it with storage makes the rest of the machine's arrangement impossible to explain.,AUTHORED,
GB_CA_003,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F01_CPU_ROLE,CA_FAM01_CPU_ROLE_SELECT,CA_RG_COMPONENT_ROLES,D1,REMEMBER,mcq_single,Is the processor hardware or software?,Hardware; it is a physical component,Software; it is a set of instructions,Software; it is part of the operating system,Neither; it is a way of describing what a machine does,A,Hardware; it is a physical component,"The processor is a physical part that instructions are given to. Instructions are what run on it, which is exactly the distinction the question turns on.",AUTHORED,
GB_CA_004,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F01_CPU_ROLE,CA_FAM01_CPU_ROLE_SELECT,CA_RG_COMPONENT_ROLES,D1,REMEMBER,mcq_single,A machine displays an image on screen. Which part of that is the processor's job?,Holding the image while it is displayed,Turning the values into light on the panel,Working out the values that describe the image,Deciding which application may use the screen,C,Working out the values that describe the image,"The processor computes; other parts hold the result, display it, and arbitrate access to it. Attributing everything the machine does to the processor is the error being probed.",AUTHORED,
GB_CA_005,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F01_CPU_ROLE,CA_FAM01_CPU_ROLE_SELECT,CA_RG_COMPONENT_ROLES,D2,REMEMBER,mcq_single,Which component mainly executes program instructions?,Working memory,The processor,The storage drive,The keyboard,B,The processor,Instructions are fetched from memory and carried out by the processor. Memory holds them and storage keeps them between runs; neither performs them.,LEGACY_REMAP,3d6bf6
GB_CA_006,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F02_ALU_ARITHMETIC_LOGIC,CA_FAM02_OPERATION_ROUTING,CA_RG_COMPONENT_ROLES,D2,APPLY,mcq_single,Two numbers are added together. Which unit performs the addition?,The control unit,Working memory,The operating system,The arithmetic and logic unit,D,The arithmetic and logic unit,"The arithmetic and logic unit is the part built to carry arithmetic out. The control unit decides what happens next, memory holds the values, and the operating system issues no arithmetic of its own here.",AUTHORED,
GB_CA_007,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F02_ALU_ARITHMETIC_LOGIC,CA_FAM02_OPERATION_ROUTING,CA_RG_COMPONENT_ROLES,D3,APPLY,mcq_single,Two values are compared to see which is larger. Which unit performs the comparison?,"The arithmetic and logic unit, which handles logic as well as arithmetic","The control unit, since a comparison controls what happens next","Working memory, where the two values are held","The operating system, which decides the outcome",A,"The arithmetic and logic unit, which handles logic as well as arithmetic","The unit's name covers logic as well as arithmetic, and a comparison is a logic operation. That its result then influences what runs next is a separate step performed by the control unit.",AUTHORED,
GB_CA_008,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F03_CONTROL_UNIT_DECODES,CA_FAM03_CONTROL_VS_COMPUTE,CA_RG_COMPONENT_ROLES,D2,UNDERSTAND,mcq_single,What does the control unit do?,Performs the calculations the instructions ask for,Holds the program while it runs,Works out what each instruction means and directs the other parts accordingly,Stores the results of each instruction,C,Works out what each instruction means and directs the other parts accordingly,"The control unit interprets and directs; it produces no values of its own. Reading ""control"" as ""does the work"" is exactly the misreading the name invites.",AUTHORED,
GB_CA_009,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F03_CONTROL_UNIT_DECODES,CA_FAM03_CONTROL_VS_COMPUTE,CA_RG_COMPONENT_ROLES,D3,UNDERSTAND,mcq_single,"An instruction says to multiply two values. Which part decides that a multiplication is what is wanted, and which part produces the answer?",The arithmetic and logic unit decides and produces the answer,The control unit decides; the arithmetic and logic unit produces the answer,The control unit decides and produces the answer,Working memory decides; the control unit produces the answer,B,The control unit decides; the arithmetic and logic unit produces the answer,Interpreting the instruction and performing it are two jobs done by two parts. Assigning both to one of them collapses the distinction the two units exist to make.,AUTHORED,
GB_CA_010,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F04_REGISTERS_WORKING_VALUES,CA_FAM04_REGISTER_PLACEMENT,CA_RG_MEMORY_HIERARCHY,D2,UNDERSTAND,mcq_single,What do registers hold?,The whole of the program currently running,Files that must survive a restart,A copy of everything in working memory,The few values the processor is working with at this moment,D,The few values the processor is working with at this moment,"Registers hold a very small number of values, right where the work happens. Anything larger lives further out, in memory or on storage.",AUTHORED,
GB_CA_011,COMPUTER_ARCHITECTURE,CA_C01_PROCESSOR,CA_F04_REGISTERS_WORKING_VALUES,CA_FAM04_REGISTER_PLACEMENT,CA_RG_MEMORY_HIERARCHY,D3,UNDERSTAND,mcq_single,How do registers compare with working memory?,Far faster and far smaller,Faster and larger,Slower and smaller,"The same speed, and simply nearer",A,Far faster and far smaller,"Speed and capacity run in opposite directions across the whole arrangement, and registers sit at the fast, tiny end of it. Being both faster and larger would remove the reason for having memory at all.",AUTHORED,
GB_CA_012,COMPUTER_ARCHITECTURE,CA_C02_MEMORY_STORAGE,CA_F05_RAM_VOLATILE_WORKING,CA_FAM05_RAM_PURPOSE,CA_RG_STORAGE_CHOICE,D1,REMEMBER,mcq_single,What happens to the contents of working memory when a machine is switched off?,They are kept until the machine is switched on again,They are written to storage automatically,They are lost,They are kept for a few hours and then lost,C,They are lost,Working memory holds what is needed while the machine runs and keeps nothing without power. That is precisely why saving a file writes it somewhere else.,AUTHORED,
GB_CA_013,COMPUTER_ARCHITECTURE,CA_C02_MEMORY_STORAGE,CA_F05_RAM_VOLATILE_WORKING,CA_FAM05_RAM_PURPOSE,CA_RG_STORAGE_CHOICE,D1,REMEMBER,mcq_single,Which of these is kept in working memory while a program runs?,"The program's files, permanently",The values the program is currently using,"The operating system's installation, permanently",Nothing; a running program uses only the processor,B,The values the program is currently using,"Working memory holds what is in use now, and gives it up when the program ends. Permanent copies of anything live on storage.",AUTHORED,
GB_CA_014,COMPUTER_ARCHITECTURE,CA_C02_MEMORY_STORAGE,CA_F05_RAM_VOLATILE_WORKING,CA_FAM05_RAM_PURPOSE,CA_RG_STORAGE_CHOICE,D1,REMEMBER,mcq_single,Does adding more working memory make the processor faster?,Yes; more memory means faster calculation,Yes; the processor runs at the speed of the memory,No; adding memory has no effect on anything,"No; it lets more be held at once, which is a different thing",D,"No; it lets more be held at once, which is a different thing","More memory removes the need to shuffle data to and from storage, which can make a machine feel much faster without the processor doing anything more quickly. The two are separate quantities.",AUTHORED,
