questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_CF_001,C_CONTROL_FLOW,CF_C01_STRUCTURE,CF_F01_BLOCKS_ARE_BRACED,CF_FAM01_BLOCK_RECOGNITION,CF_RG_STRUCTURE,D1,REMEMBER,mcq_single,"A C fragment reads: if (x > 0) printf(""A""); printf(""B""); with both prints written on separate, equally indented lines. Which of them is controlled by the condition?","Both, because they are indented together",Only the first,"Neither, because there are no braces",Only the second,B,Only the first,"Without braces a conditional governs exactly one statement, which is the first. Indentation is invisible to the compiler, so lining the two up changes nothing about which is controlled.",AUTHORED,
GB_CF_002,C_CONTROL_FLOW,CF_C01_STRUCTURE,CF_F01_BLOCKS_ARE_BRACED,CF_FAM01_BLOCK_RECOGNITION,CF_RG_STRUCTURE,D1,REMEMBER,mcq_single,"A C fragment reads: if (x > 0) { printf(""A""); printf(""B""); } How many statements are controlled by the condition?","One, the first only","None, because braces separate them from the condition","Two, but only if they are indented",Two,D,Two,"Braces group statements into one block, and the whole block is what the condition governs. Indentation plays no part in either direction.",AUTHORED,
GB_CF_003,C_CONTROL_FLOW,CF_C01_STRUCTURE,CF_F01_BLOCKS_ARE_BRACED,CF_FAM01_BLOCK_RECOGNITION,CF_RG_STRUCTURE,D1,REMEMBER,mcq_single,Are braces compulsory after a C conditional?,No; without them the conditional governs the single statement that follows,Yes; a conditional without braces does not compile,"Yes, unless the body is on the same line",No; without them the conditional governs everything until the next blank line,A,No; without them the conditional governs the single statement that follows,"One statement needs no braces, which is precisely why adding a second line later is such a common way to break working code. Blank lines mean nothing to the compiler.",AUTHORED,
GB_CF_004,C_CONTROL_FLOW,CF_C01_STRUCTURE,CF_F01_BLOCKS_ARE_BRACED,CF_FAM01_BLOCK_RECOGNITION,CF_RG_STRUCTURE,D1,REMEMBER,mcq_single,"A C fragment reads: if (x > 0); printf(""A""); What does the condition control?","The print, which runs only when x is positive","Nothing, and the fragment does not compile",Nothing; the semicolon is an empty statement and is the whole body,"The print, which runs regardless of x",C,Nothing; the semicolon is an empty statement and is the whole body,"A semicolon on its own is a complete, empty statement, and the conditional takes it as its body. The print then sits outside the conditional and runs every time — legal, silent and almost never what was meant.",AUTHORED,
GB_CF_005,C_CONTROL_FLOW,CF_C01_STRUCTURE,CF_F01_BLOCKS_ARE_BRACED,CF_FAM01_BLOCK_RECOGNITION,CF_RG_STRUCTURE,D2,REMEMBER,mcq_single,A C fragment reads: while (i < 5); { total += i; i++; } The program never finishes and never prints anything. Why?,The braces are in the wrong place and the program does not compile,"The semicolon makes the loop body empty, so nothing ever changes i",The increment is inside the braces and so never runs,The condition should have used <= rather than <,B,"The semicolon makes the loop body empty, so nothing ever changes i","The loop repeats an empty statement forever, because nothing inside it can make the condition false. The braced block is a separate block that is never reached, which is why nothing prints either.",AUTHORED,
GB_CF_006,C_CONTROL_FLOW,CF_C02_CONDITIONS,CF_F02_CONDITIONS_ARE_NUMERIC,CF_FAM02_CONDITION_TRUTH,CF_RG_CONDITIONS,D1,REMEMBER,mcq_single,"In C, is the condition if (3) satisfied?",No; only the value 1 counts as true,No; a condition must be a comparison,It does not compile; 3 is not a condition,Yes; any value other than zero counts as true,D,Yes; any value other than zero counts as true,"A C condition is a number, and every non-zero value is treated as true. Requiring a comparison is a rule from other languages that C does not impose.",AUTHORED,
GB_CF_007,C_CONTROL_FLOW,CF_C02_CONDITIONS,CF_F02_CONDITIONS_ARE_NUMERIC,CF_FAM02_CONDITION_TRUTH,CF_RG_CONDITIONS,D1,REMEMBER,mcq_single,"A variable holds the result of 2 - 6. Used directly as a C condition, is it satisfied?","Yes; the result is -4, which is not zero, so it counts as true",No; a negative result counts as false,No; only a positive result counts as true,It cannot be used as a condition without a comparison,A,"Yes; the result is -4, which is not zero, so it counts as true","What matters is only whether the value differs from zero, so a negative result satisfies the test. Reading ""true"" as ""positive"" is the natural but wrong reading of a numeric condition.",AUTHORED,
GB_CF_008,C_CONTROL_FLOW,CF_C02_CONDITIONS,CF_F02_CONDITIONS_ARE_NUMERIC,CF_FAM02_CONDITION_TRUTH,CF_RG_CONDITIONS,D1,REMEMBER,mcq_single,"In C, is the condition if (0) satisfied?",Yes; zero is a valid value,No; and the compiler warns about it,No; zero is the only value that counts as false,It depends on whether the zero is written or computed,C,No; zero is the only value that counts as false,"Zero is false and everything else is true, whether the zero was written down or produced by a calculation. Nothing warns about it, which is why a computed zero can quietly disable a branch.",AUTHORED,
GB_CF_009,C_CONTROL_FLOW,CF_C02_CONDITIONS,CF_F02_CONDITIONS_ARE_NUMERIC,CF_FAM02_CONDITION_TRUTH,CF_RG_CONDITIONS,D2,REMEMBER,mcq_single,"A C fragment reads: int x = 7; if (x > 5) printf(""A""); else printf(""B""); What is printed?",B,A,7,"Nothing, since the condition is not stored anywhere",B,A,"The comparison produces a non-zero value, so the first branch runs and the second is skipped. A condition does not need to be stored to be acted on.",LEGACY_REMAP,92299f
GB_CF_010,C_CONTROL_FLOW,CF_C03_LOOP_FORMS,CF_F03_LOOP_FORMS_DIFFER_IN_WHEN_THEY_TEST,CF_FAM03_LOOP_FORM_RECOGNITION,CF_RG_LOOPS,D1,REMEMBER,mcq_single,Which C loop form always executes its body at least once?,while,for,None of them; every loop tests before running,do ... while,D,do ... while,"The do form tests after the body, so the body has already run by the time the condition is examined. Both other forms test first and may run zero times.",AUTHORED,
GB_CF_011,C_CONTROL_FLOW,CF_C03_LOOP_FORMS,CF_F03_LOOP_FORMS_DIFFER_IN_WHEN_THEY_TEST,CF_FAM03_LOOP_FORM_RECOGNITION,CF_RG_LOOPS,D1,REMEMBER,mcq_single,A C while loop is reached with its condition already false. How many times does the body run?,None,"Once, and then the condition is checked","Once, because a loop always runs its body",It does not compile,A,None,"A while loop checks before it runs, so a condition false at entry means the body is skipped entirely. Running once regardless is what the do form would do.",AUTHORED,
