questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_PF_001,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F01_SYMBOL_MEANINGS,PF_FAM01_SYMBOL_RECOGNITION,PF_RG_NOTATION,D1,REMEMBER,mcq_single,"In a flowchart, which symbol represents reading a value typed in by the person using the program?",The process symbol,The input/output symbol,The decision symbol,The terminator symbol,B,The input/output symbol,"Bringing a value in from outside is input, and one symbol covers both bringing values in and reporting them out. A process symbol holds work done on values already present, and a terminator only marks where the algorithm starts and stops.",AUTHORED,
GB_PF_002,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F01_SYMBOL_MEANINGS,PF_FAM01_SYMBOL_RECOGNITION,PF_RG_NOTATION,D1,REMEMBER,mcq_single,"In a flowchart, which symbol represents working out a total from two values already held?",The input/output symbol,The decision symbol,The terminator symbol,The process symbol,D,The process symbol,"Calculation on values the algorithm already has is a process step. Nothing enters or leaves the algorithm here, and nothing is being chosen between.",AUTHORED,
GB_PF_003,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F01_SYMBOL_MEANINGS,PF_FAM01_SYMBOL_RECOGNITION,PF_RG_NOTATION,D1,REMEMBER,mcq_single,How many arrows leave a decision symbol in a flowchart?,"One for each outcome, so at least two","Exactly one, like every other symbol",None; a decision ends that path,As many as there are variables being compared,A,"One for each outcome, so at least two","A decision exists in order to send the flow one way or another, so it needs a route for each outcome. A symbol with a single exit could not change anything about what happens next.",AUTHORED,
GB_PF_004,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F01_SYMBOL_MEANINGS,PF_FAM01_SYMBOL_RECOGNITION,PF_RG_NOTATION,D1,REMEMBER,mcq_single,A flowchart begins with a step that reads a mark from the keyboard. Which symbol is that step drawn in?,"The terminator symbol, because it is the first step","The process symbol, because reading is something the algorithm does",The input/output symbol,"The decision symbol, because the mark will later be compared",C,The input/output symbol,"What the step does decides the symbol, not where it sits or what happens to the value later. The terminator marks the start of the algorithm; the first step after it can be anything.",AUTHORED,
GB_PF_005,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F01_SYMBOL_MEANINGS,PF_FAM01_SYMBOL_RECOGNITION,PF_RG_NOTATION,D2,REMEMBER,mcq_single,"A flowchart step reports a computed average on screen. Which symbol is it drawn in, and why is that not the process symbol?","The process symbol, because computing the average was work","The input/output symbol, because reporting a value sends it out of the algorithm","The terminator symbol, because reporting is usually the last step","The decision symbol, because a value is being examined",B,"The input/output symbol, because reporting a value sends it out of the algorithm","The computing and the reporting are two different steps, and only the first is a process. Reporting moves a value across the boundary of the algorithm, which is what the input/output symbol marks.",AUTHORED,
GB_PF_006,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F02_ARROWS_ARE_CONTROL_FLOW,PF_FAM02_CONTROL_FLOW_READING,PF_RG_NOTATION,D2,UNDERSTAND,mcq_single,"A flowchart has a decision with two arrows leaving it, one labelled Yes and one labelled No. For a given input, how many of those arrows are followed?","Both, in the order they are drawn","Neither, until the decision is reached a second time",It depends on which arrow is drawn higher on the page,One,D,One,"A decision has one outcome for any given input, so exactly one route is taken. Position on the page is a matter of drawing rather than of order.",AUTHORED,
GB_PF_007,PSEUDOCODE_FLOWCHARTS,PF_C01_SYMBOLS,PF_F02_ARROWS_ARE_CONTROL_FLOW,PF_FAM02_CONTROL_FLOW_READING,PF_RG_NOTATION,D3,UNDERSTAND,mcq_single,"A flowchart runs step P, then step Q, then a decision. The No arrow from that decision leads back up to step Q. Which steps can run more than once?",Q and the decision,Only Q,"P, Q and the decision",None; a flowchart runs each step once,A,Q and the decision,"The arrow leads back to Q, so Q and everything after it up to the decision run again each time the answer is No. P is above the point the arrow returns to and is never revisited. Following the arrows rather than reading down the page is the whole measurement.",AUTHORED,
GB_PF_008,PSEUDOCODE_FLOWCHARTS,PF_C02_SEQUENCE_ASSIGNMENT,PF_F03_ASSIGNMENT_REPLACES_VALUE,PF_FAM03_ASSIGNMENT_EFFECT,PF_RG_STATE,D2,APPLY,mcq_single,"An algorithm reads: X = 10, then X = X + 3, then PRINT X. What is printed?",10,3,13,30,C,13,"The second step works out 10 plus 3 and stores 13 back in X, replacing the 10. Answering 10 treats the first step as fixing the value permanently.",LEGACY_KEEP,8266a3
GB_PF_009,PSEUDOCODE_FLOWCHARTS,PF_C02_SEQUENCE_ASSIGNMENT,PF_F03_ASSIGNMENT_REPLACES_VALUE,PF_FAM03_ASSIGNMENT_EFFECT,PF_RG_STATE,D2,APPLY,mcq_single,"An algorithm reads: P = 4, then Q = 9, then P = Q, then Q = P. What do P and Q hold at the end?",P holds 9 and Q holds 4,P holds 9 and Q holds 9,P holds 4 and Q holds 9,P holds 4 and Q holds 4,B,P holds 9 and Q holds 9,"The third step overwrites P with 9, so the original 4 no longer exists anywhere; the fourth step then copies that same 9 back. Exchanging the two would need the first value stored somewhere before it is overwritten.",AUTHORED,
GB_PF_010,PSEUDOCODE_FLOWCHARTS,PF_C03_IO_STEPS,PF_F04_INPUT_OUTPUT_STEPS,PF_FAM04_IO_STEP_EFFECT,PF_RG_NOTATION,D1,UNDERSTAND,mcq_single,An algorithm contains the step READ age. What does that step do?,Displays the value currently held in age,Checks whether age holds a sensible value,Sets age to zero ready for use,Brings a value in from outside and stores it in age,D,Brings a value in from outside and stores it in age,Reading takes a value from outside the algorithm and puts it somewhere. It neither displays anything nor examines what arrives.,AUTHORED,
GB_PF_011,PSEUDOCODE_FLOWCHARTS,PF_C03_IO_STEPS,PF_F04_INPUT_OUTPUT_STEPS,PF_FAM04_IO_STEP_EFFECT,PF_RG_NOTATION,D1,UNDERSTAND,mcq_single,An algorithm contains the step PRINT total. What does that step change?,Nothing; it reports the value and leaves total as it was,"It empties total, since the value has now been used",It stores the reported text back into total,It converts total into text for the rest of the algorithm,A,Nothing; it reports the value and leaves total as it was,Reporting a value is a one-way step: it makes the value visible and alters nothing. The same variable can be reported repeatedly and still hold the same value.,AUTHORED,
GB_PF_012,PSEUDOCODE_FLOWCHARTS,PF_C03_IO_STEPS,PF_F04_INPUT_OUTPUT_STEPS,PF_FAM04_IO_STEP_EFFECT,PF_RG_NOTATION,D1,UNDERSTAND,mcq_single,Which pair of steps changes what a variable holds?,PRINT mark changes mark; READ mark does not,Both change mark,READ mark changes mark; PRINT mark does not,Neither changes mark,C,READ mark changes mark; PRINT mark does not,Reading places a new value into the variable; reporting only looks at it. Confusing the two directions is what makes an algorithm appear to lose or gain values for no reason.,AUTHORED,
