title,description,instructions,type,difficulty,totalPoints,topics,allowedLanguages,dueDate,timeLimitMinutes,maxAttempts,showSyntaxErrors,showTestCaseResults,showExpectedOutput,enablePlagiarismCheck,tc1_input,tc1_expected,tc1_hidden,tc1_weight,tc2_input,tc2_expected,tc2_hidden,tc2_weight,tc3_input,tc3_expected,tc3_hidden,tc3_weight
"Reverse a String","Write a function to reverse a given string without using built-in reverse methods.","Create a method that takes a string as input and returns the reversed string. Example: 'hello' -> 'olleh'",coding,easy,50,"strings,basics","java",2026-03-25T23:59:00,30,3,true,true,true,false,"hello","olleh",false,30,"java","avaj",false,30,"programming","gnimmargorp",true,40
"Check Palindrome","Write a function to check if a given string is a palindrome.","A palindrome reads the same forwards and backwards. Return true if palindrome, false otherwise. Ignore case.",coding,easy,50,"strings,basics","java",2026-03-25T23:59:00,30,3,true,true,true,false,"madam","true",false,30,"hello","false",false,30,"RaceCar","true",true,40
"Fibonacci Number","Write a function to return the nth Fibonacci number.","The Fibonacci sequence: 0, 1, 1, 2, 3, 5, 8, 13... Return the nth number (0-indexed).",coding,easy,50,"recursion,math","java",2026-03-25T23:59:00,30,3,true,true,true,false,"5","5",false,30,"10","55",false,30,"20","6765",true,40
"Find Factorial","Write a function to calculate the factorial of a number.","Factorial of n (n!) = n * (n-1) * (n-2) * ... * 1. Return the factorial of the given number.",coding,easy,50,"recursion,math","java",2026-03-25T23:59:00,30,3,true,true,true,false,"5","120",false,30,"0","1",false,30,"10","3628800",true,40
"Prime Number Check","Write a function to check if a number is prime.","A prime number is only divisible by 1 and itself. Return true if prime, false otherwise.",coding,medium,75,"math,algorithms","java",2026-03-25T23:59:00,45,3,true,true,true,false,"7","true",false,25,"4","false",false,25,"29","true",true,50
"Find Second Largest","Write a function to find the second largest element in an array.","Given an array of integers, find and return the second largest element. Assume array has at least 2 elements.",coding,medium,75,"arrays,sorting","java",2026-03-25T23:59:00,45,3,true,true,true,false,"[1,2,3,4,5]","4",false,30,"[10,5,8,20]","10",false,30,"[7,7,7,8,8]","7",true,40
"Remove Duplicates","Write a function to remove duplicate elements from an array.","Given an array, return a new array with duplicates removed while maintaining original order.",coding,medium,75,"arrays,collections","java",2026-03-25T23:59:00,45,3,true,true,true,false,"[1,2,2,3,4,4,5]","[1,2,3,4,5]",false,30,"[1,1,1,1]","[1]",false,30,"[5,3,5,2,3,1]","[5,3,2,1]",true,40
"Two Sum Problem","Write a function that finds two numbers in an array that add up to a target sum.","Return the indices of the two numbers. Assume exactly one solution exists.",coding,medium,100,"arrays,hashmap","java",2026-03-25T23:59:00,60,3,true,true,true,false,"[2,7,11,15],9","[0,1]",false,30,"[3,2,4],6","[1,2]",false,30,"[3,3],6","[0,1]",true,40
"Reverse Linked List","Write a function to reverse a singly linked list.","Given the head of a linked list, reverse the list and return the new head.",coding,hard,100,"linked-list,pointers","java",2026-03-25T23:59:00,60,3,true,true,true,false,"[1,2,3,4,5]","[5,4,3,2,1]",false,30,"[1,2]","[2,1]",false,30,"[1]","[1]",true,40
"Binary Search","Implement binary search algorithm to find an element in a sorted array.","Return the index of the target element, or -1 if not found.",coding,medium,75,"arrays,searching,algorithms","java",2026-03-25T23:59:00,45,3,true,true,true,false,"[1,2,3,4,5,6,7],4","3",false,30,"[1,3,5,7,9],5","2",false,30,"[2,4,6,8],5","-1",true,40
