questionId,skillKey,conceptId,factId,familyId,reassessmentGroup,difficulty,cognitiveLevel,questionType,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,explanation,provenance,sourceQuestionId
GB_MX_001,MATRICES,MX_C01_SHAPE,MX_F01_DIMENSIONS_ARE_ROWS_THEN_COLUMNS,MX_FAM01_DIMENSION_READING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,A matrix has the rows [1 2 3] and [4 5 6]. What are its dimensions?,3 by 2,2 by 3,6 by 1,2 by 2,B,2 by 3,"There are two rows and three entries in each, so it is 2 by 3. Quoting the two counts the other way round describes a different shape entirely.",AUTHORED,
GB_MX_002,MATRICES,MX_C01_SHAPE,MX_F01_DIMENSIONS_ARE_ROWS_THEN_COLUMNS,MX_FAM01_DIMENSION_READING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,"A table of results has 3 rows and 5 columns. Written as dimensions in the usual order, what is it?",5 by 3,15 by 1,3 by 3,3 by 5,D,3 by 5,"Rows are quoted first, so 3 rows and 5 columns is 3 by 5. The total of fifteen entries is a consequence of the shape rather than the shape itself.",AUTHORED,
GB_MX_003,MATRICES,MX_C01_SHAPE,MX_F01_DIMENSIONS_ARE_ROWS_THEN_COLUMNS,MX_FAM01_DIMENSION_READING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,"When dimensions are quoted, which count is given first?",The number of rows,The number of columns,The larger of the two counts,The total number of entries,A,The number of rows,"Rows come first by convention, always. Quoting the larger first would make the notation depend on the values, which would leave it unable to describe a shape at all.",AUTHORED,
GB_MX_004,MATRICES,MX_C01_SHAPE,MX_F01_DIMENSIONS_ARE_ROWS_THEN_COLUMNS,MX_FAM01_DIMENSION_READING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,A matrix has 4 rows and 2 columns. How many entries does it hold altogether?,6,4,8,2,C,8,"Every row has an entry in every column, so the total is four times two, which is 8. Adding the two counts gives 6 and describes nothing.",AUTHORED,
GB_MX_005,MATRICES,MX_C01_SHAPE,MX_F01_DIMENSIONS_ARE_ROWS_THEN_COLUMNS,MX_FAM01_DIMENSION_READING,MX_RG_SHAPE,D2,REMEMBER,mcq_single,A student describes the matrix with rows [1 2 3 4] and [5 6 7 8] as 4 by 2. What has gone wrong?,Nothing; 4 by 2 is the right description,The two counts have been given in the wrong order; the matrix is 2 by 4,The total number of entries should have been quoted instead,A matrix that is not square has no dimensions to quote,B,The two counts have been given in the wrong order; the matrix is 2 by 4,"There are two rows of four entries each, so the description is exactly reversed. Both numbers are right and neither is in the right place.",AUTHORED,
GB_MX_006,MATRICES,MX_C01_SHAPE,MX_F02_AN_ENTRY_IS_FOUND_BY_ROW_THEN_COLUMN,MX_FAM02_ENTRY_INDEXING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,"A matrix has the rows [1 2 3], [4 5 6] and [7 8 9], with rows and columns counted from 1. What is the entry at row 2, column 3?",8,5,2,6,D,6,"The second row is [4 5 6] and its third entry is 6. Taking row 3, column 2 instead would give 8, which is the position with the two counts exchanged.",AUTHORED,
GB_MX_007,MATRICES,MX_C01_SHAPE,MX_F02_AN_ENTRY_IS_FOUND_BY_ROW_THEN_COLUMN,MX_FAM02_ENTRY_INDEXING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,"An entry is described as being at row 1, column 2. Which of these describes the same position?",The second entry along the top row,The first entry of the second row,The second entry of the second column,The entry where the two counts happen to be equal,A,The second entry along the top row,Row 1 places it on the top row and column 2 places it second along. Reading the counts the other way round lands on a different entry unless the matrix happens to be symmetric.,AUTHORED,
GB_MX_008,MATRICES,MX_C01_SHAPE,MX_F02_AN_ENTRY_IS_FOUND_BY_ROW_THEN_COLUMN,MX_FAM02_ENTRY_INDEXING,MX_RG_SHAPE,D1,REMEMBER,mcq_single,"When an entry is located by two counts, which is applied first?",The column,Whichever of the two is smaller,The row,"Either, since it makes no difference",C,The row,"The row is always taken first. It matters because the two counts generally point at different entries, so the order is what makes the address mean anything.",AUTHORED,
GB_MX_009,MATRICES,MX_C01_SHAPE,MX_F02_AN_ENTRY_IS_FOUND_BY_ROW_THEN_COLUMN,MX_FAM02_ENTRY_INDEXING,MX_RG_SHAPE,D2,REMEMBER,mcq_single,"A matrix has the rows [2 9] and [4 7], with counting starting at 1 on both sides. A developer asks for row 1, column 2 and the system returns 4. What has happened?",The counting is starting at 0 rather than 1,"The two counts are being exchanged, so row 2, column 1 was returned",The matrix has been stored with its rows in the wrong order,"Nothing; the entry at row 1, column 2 really is 4",B,"The two counts are being exchanged, so row 2, column 1 was returned","Row 1, column 2 holds 9, and 4 sits at row 2, column 1. Counting from 0 would have returned 7 instead, so that explanation does not fit what was seen.",AUTHORED,
GB_MX_010,MATRICES,MX_C02_SPECIAL,MX_F03_SOME_SHAPES_HAVE_NAMES,MX_FAM03_SPECIAL_RECOGNITION,MX_RG_SHAPE,D1,REMEMBER,mcq_single,A matrix has the rows [1 0] and [0 1]. What is it called?,A zero matrix,A matrix of all ones,A square of no particular name,An identity matrix,D,An identity matrix,An identity matrix is exactly this: ones down the diagonal and zeros everywhere else. A grid of nothing but zeros would have no ones in it at all.,AUTHORED,
